language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,ollama_translation_rationale,exclude_openai
zh-yue,Cantonese,Digital Humanities,數碼人文學,123.0,1775525598.0,stop,gpt-4o-2024-08-06,130.0,253.0,"The term ""數碼人文學"" is a scholarly accurate translation for ""Digital Humanities"" in Cantonese. ""數碼"" denotes ""digital,"" which aligns with contemporary academic usage and is widely understood in technological contexts within Chinese-speaking communities. ""人文學"" translates to ""humanities,"" capturing the essence of the disciplines related to human culture, philosophy, and history. This combination respects both cultural equivalence and academic conventions, effectively communicating the interdisciplinary nature of Digital Humanities in a professionally recognizable form.",,,,2026-04-07 02:33:19,False,數碼人文,True,,True,,False,dai jing wén fó gung,"{
  ""translated_term"": ""dai jing wén fó gung"",
  ""translation_rationale"": ""The term \'Digital Humanities\' is translated into Cantonese as \'dai jing wén fó gung\'. 
    * \'Dai jing\' ( ) means \'digital\', derived from the Chinese characters for digital ().
    * \'Wén fó\' ( ) literally means \'humanist study\', with \'wén\'' ( ) referring to literature and \'fó\'' ( ) meaning humanities.
    * \'Gung\' ( ) is a suffix indicating a field of study or academic discipline. 
    The term is constructed to convey the essence of Digital Humanities as a fusion of digital technology and humanist inquiry, while adhering to Cantonese linguistic and cultural conventions.""
}",2026-04-07T01:29:05.602785Z,stop,171.0,5500609297.0,[],83423833.0,llama3.1,133.0,365728500.0,5998259041.0,,"The term \'Digital Humanities\' is translated into Cantonese as \'dai jing wén fó gung\'. 
    * \'Dai jing\' ( ) means \'digital\', derived from the Chinese characters for digital ().
    * \'Wén fó\' ( ) literally means \'humanist study\', with \'wén\'' ( ) referring to literature and \'fó\'' ( ) meaning humanities.
    * \'Gung\' ( ) is a suffix indicating a field of study or academic discipline. 
    The term is constructed to convey the essence of Digital Humanities as a fusion of digital technology and humanist inquiry, while adhering to Cantonese linguistic and cultural conventions.",False
zh-tw,Traditional Chinese,Digital Humanities,數位人文,111.0,1775525595.0,stop,gpt-4o-2024-08-06,130.0,241.0,"The term ""數位人文"" accurately translates ""Digital Humanities"" into Traditional Chinese. It aligns with academic conventions and is widely accepted in scholarly circles. ""數位"" denotes ""digital,"" capturing the technological aspect, while ""人文"" refers to ""humanities,"" indicating the field of study. This translation respects cultural equivalence by using terminology that is both familiar and relevant in Traditional Chinese academic discourse, ensuring clarity and precision in scholarly contexts.",,,,2026-04-07 02:33:17,False,數位人文,True,,False,數位人文,False,,"{
""translated_term"": ,
""translation_rationale"": ""
 (Shū Dì Zhī Shù) shì zhōu jiàn le yī zhǒng xīn de kè lǐ shēng wén huà, yóu yú chū xiàn zài dào mò kuài de xīn de xiàng fāng shí zuò wéi, zì jǐ xiǎng biǎo xiàn le gōng kě zhǔn zhuān dào jiě miàn rén wén huà yǔ shù huà de guān xiè, tǎo lùn le rén wén huà de shí huó yǐ jīng shēng chéng le de qū zhōu. 
Dà jiā fāng biàn xún zài Zhōng Wén jiào yuán dào shàng fǎn yì (Digital Humanities) le nèi, zhǔn bù de pīn cí zuò wéi Dàmǐ Qū Zhōu Jiào Yuán.
""
}",2026-04-07T01:28:57.573227Z,stop,247.0,8275166962.0,[],82077959.0,llama3.1,132.0,367249584.0,8792285459.0,,,False
zh-min-nan,Minnan,Digital Humanities,數位人文學,122.0,1775525592.0,stop,gpt-4o-2024-08-06,131.0,253.0,"The term ""Digital Humanities"" is translated as ""數位人文學"" in Minnan. ""數位"" (sòo-ùi) refers to ""digital,"" capturing the sense of technology and digital media. ""人文學"" (jîn-bûn-ha̍k) translates to ""humanities,"" reflecting the academic study of human culture and society. This translation aligns with scholarly terminology used in academic circles where Minnan is spoken, maintaining both academic rigor and cultural relevance.",,,,2026-04-07 02:33:14,True,,True,,True,,False,Chhiú-khì-tô͘-kài,"{
  ""translated_term"": ""Chhiú-khì-tô͘-kài"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Minnan as Chhiú-khì-tô͘-kài, which closely follows the original term's structure. 
  - 'Chhiú' (, digital) is derived from the Minnan pronunciation of """" (zhī dàng), meaning 'digital' or 'electronic'. This adaptation ensures scholarly accuracy.
  - 'Khì' (, humanities) corresponds to the original term and has been adopted in various Chinese dialects, including Minnan. 
  - 'Tô͘-kài' (, studies) combines the idea of 'tô͘' (study, research) with '-kài' (field or discipline), conveying the concept of a specific field of study.
  The translation aims to balance cultural equivalence and academic conventions in Minnan, while also ensuring that it accurately conveys the original meaning.""
}",2026-04-07T01:28:46.750196Z,stop,213.0,7005966911.0,[],79875292.0,llama3.1,134.0,382027417.0,7526899959.0,,"I translated 'Digital Humanities' into Minnan as Chhiú-khì-tô͘-kài, which closely follows the original term's structure. 
  - 'Chhiú' (, digital) is derived from the Minnan pronunciation of ",False
zh-classical,Classical Chinese,Digital Humanities,數字人文,141.0,1775525588.0,stop,gpt-4o-2024-08-06,130.0,271.0,"The term ""Digital Humanities"" encompasses the use of digital technologies within the humanities disciplines. In Classical Chinese, scholarly terms often need to balance conciseness with descriptive accuracy. ""數字"" translates to ""digital"" and is a term that has been retrospectively applied to describe counting or figures, implying a numerical or digital aspect. ""人文"" broadly means ""humanities"" or ""cultural studies"" and has historical precedent in Chinese as referring to the study of human culture and ethics. This translation, therefore, captures both the digital and humanistic elements while conforming to Classical Chinese norms.",,,,2026-04-07 02:33:11,True,,True,,True,,True,,,,,,,,,,,,,,,False
xmf,Megrelian,Digital Humanities,დიჯითალური გენაცვალობა,140.0,1775525585.0,stop,gpt-4o-2024-08-06,132.0,272.0,"The term ""დიჯითალური გენაცვალობა"" translates to ""Digital Humanities"" in English. ""დიჯითალური"" directly corresponds to ""digital,"" reflecting the integration of computing technology into the humanities. ""გენაცვალობა"" is an attempt to encompass ""humanities,"" though it can also convey broader cultural and social studies in a Megrelian context. This translation keeps scholarly accuracy by prioritizing terms that resonate with both digital innovation and traditional humanistic study, ensuring cultural equivalence and accessibility for Megrelian speakers involved in academic discourse.",,,,2026-04-07 02:33:07,True,,True,,True,,False,საინფორმაციო ხელოვნება,"{
  ""translated_term"": ""საინფორმაციო ხელოვნება"",
  ""translation_rationale"": ""To translate 'Digital Humanities' into Megrelian, I considered the following factors:

1. Scholarly accuracy: The term 'საინფორმაციო' is a direct borrowing from Russian 'информационный', which means 'informational'. This is fitting for Digital Humanities, as it encompasses the intersection of information technology and humanities.

2. Cultural equivalence: Megrelian is an East Georgian Kartvelian language with its own distinct culture and linguistic features. The term 'ხელოვნება' (khelovneba) corresponds to the concept of 'art' or 'humanities', which aligns with the Western notion of Humanities.

3. Academic conventions in Megrelian: Given the influence of Russian and Georgian on Megrelian, particularly in academic contexts, I employed a combination of loanwords and native vocabulary to create an equivalent term that maintains the original meaning and connotation.
""
}",2026-04-07T01:28:37.206415Z,stop,276.0,10389894500.0,[],80505792.0,llama3.1,135.0,397336083.0,10945209167.0,,"To translate 'Digital Humanities' into Megrelian, I considered the following factors:

1. Scholarly accuracy: The term 'საინფორმაციო' is a direct borrowing from Russian 'информационный', which means 'informational'. This is fitting for Digital Humanities, as it encompasses the intersection of information technology and humanities.

2. Cultural equivalence: Megrelian is an East Georgian Kartvelian language with its own distinct culture and linguistic features. The term 'ხელოვნება' (khelovneba) corresponds to the concept of 'art' or 'humanities', which aligns with the Western notion of Humanities.

3. Academic conventions in Megrelian: Given the influence of Russian and Georgian on Megrelian, particularly in academic contexts, I employed a combination of loanwords and native vocabulary to create an equivalent term that maintains the original meaning and connotation.
",False
xal,Kalmyk,Digital Humanities,Дижитал Һуҗар,131.0,1775525582.0,stop,gpt-4o-2024-08-06,131.0,262.0,"The term ""Digital Humanities"" translates to ""Дижитал Һуҗар"" in Kalmyk. ""Дижитал"" is a direct transliteration of ""Digital,"" commonly used in modern Kalmyk to denote digital or cyber-related concepts. ""Һуҗар"" corresponds to ""Humanities,"" encompassing the study of human culture, arts, and history. This translation respects academic conventions in Kalmyk by adopting a widely understood term for digital and a culturally equivalent word for humanities, ensuring scholarly accuracy and cultural relevance.",,,,2026-04-07 02:33:04,True,,True,,True,,False,Ишлэм хүреш,"{
  ""translated_term"": ""Ишлэм хүреш"",
  ""translation_rationale"": ""The term \""Digital Humanities\"" is translated as \""Ишлэм хүреш\"", where:
  - \""Ишлэм\"" (ishl'em) comes from the Mongolian root \""ish\"" meaning 'new' or 'digital', and the suffix \""-l'em\"" indicating a process or action, equivalent to the English term \""digitally\"";
  - \""хүреш\"" (khu'resh) is derived from the Kalmyk word for 'humanity' or 'culture', similar in meaning to the Latin-derived English term \""humanities\"".
  In this combination, \""Ишлэм хүреш\"" conveys the idea of a new, digital approach to studying and understanding human culture, making it an accurate and culturally equivalent translation of the term \""Digital Humanities\"".""
}",2026-04-07T01:28:24.235628Z,stop,197.0,8659080034.0,[],81435500.0,llama3.1,135.0,387755792.0,9187030709.0,,"The term ""Digital Humanities"" is translated as ""Ишлэм хүреш"", where:
  - ""Ишлэм"" (ishl'em) comes from the Mongolian root ""ish"" meaning 'new' or 'digital', and the suffix ""-l'em"" indicating a process or action, equivalent to the English term ""digitally"";
  - ""хүреш"" (khu'resh) is derived from the Kalmyk word for 'humanity' or 'culture', similar in meaning to the Latin-derived English term ""humanities"".
  In this combination, ""Ишлэм хүреш"" conveys the idea of a new, digital approach to studying and understanding human culture, making it an accurate and culturally equivalent translation of the term ""Digital Humanities"".",False
war,Waray / Samar-Leyte Visayan,Digital Humanities,Dijital nga Humanidades,128.0,1775525580.0,stop,gpt-4o-2024-08-06,152.0,280.0,"The translation of ""Digital Humanities"" into Waray recognizes both the academic and cultural contexts. ""Dijital"" is a direct borrowing from the English term ""Digital,"" adapted for phonetic relevance in Waray. ""Humanidades"" is a well-established academic term in Waray, referring to the study of human culture, which aligns with the broader scholarly conventions used in the region. This translation maintains intellectual rigor and cultural relevance, ensuring that the term is both understood and respected within academic circles in the Waray-speaking community.",,,,2026-04-07 02:33:01,False,Digital nga Katawhan,True,,True,,False,Mga Dakit sa Digital,"{
  ""translated_term"": ""Mga Dakit sa Digital"",
  ""translation_rationale"": 
    ""In translating the term 'Digital Humanities' into Waray / Samar-Leyte Visayan, I considered scholarly accuracy by ensuring that the translation conveys the essence of the discipline. The prefix 'Digital' is translated as 'Dakit', which means digital or electronic in the local language, to emphasize the field's focus on technology and digital methods.

    The second part, 'Humanities', is translated as 'Mga Dakit', a direct adaptation of the English term, but with a cultural twist. In Waray / Samar-Leyte Visayan, 'dakit' can also mean a way or method of doing something, which aligns with the humanities' focus on critical thinking and humanistic inquiry.

    To ensure cultural equivalence, I chose words that are commonly used in academic settings and resonate with local values. The translation 'Mga Dakit sa Digital' reflects the Waray / Samar-Leyte Visayan affinity for using inclusive pronouns and grammatical structures to convey a sense of community and shared knowledge.

    In terms of academic conventions, I adhered to the standard Waray / Samar-Leyte Visayan grammar rules and vocabulary usage to ensure that the translation is easily understandable by local scholars and students. The translation also maintains the original's technical nuance, making it suitable for academic purposes.""
}",2026-04-07T01:28:13.022723Z,stop,291.0,13269513665.0,[],81524542.0,llama3.1,155.0,421155000.0,13856047417.0,,"In translating the term 'Digital Humanities' into Waray / Samar-Leyte Visayan, I considered scholarly accuracy by ensuring that the translation conveys the essence of the discipline. The prefix 'Digital' is translated as 'Dakit', which means digital or electronic in the local language, to emphasize the field's focus on technology and digital methods.

    The second part, 'Humanities', is translated as 'Mga Dakit', a direct adaptation of the English term, but with a cultural twist. In Waray / Samar-Leyte Visayan, 'dakit' can also mean a way or method of doing something, which aligns with the humanities' focus on critical thinking and humanistic inquiry.

    To ensure cultural equivalence, I chose words that are commonly used in academic settings and resonate with local values. The translation 'Mga Dakit sa Digital' reflects the Waray / Samar-Leyte Visayan affinity for using inclusive pronouns and grammatical structures to convey a sense of community and shared knowledge.

    In terms of academic conventions, I adhered to the standard Waray / Samar-Leyte Visayan grammar rules and vocabulary usage to ensure that the translation is easily understandable by local scholars and students. The translation also maintains the original's technical nuance, making it suitable for academic purposes.",False
vls,West Flemish,Digital Humanities,Digitale Humanistiek,120.0,1775525577.0,stop,gpt-4o-2024-08-06,132.0,252.0,"In West Flemish, academic terms often transliterate closely to their standard Dutch counterparts due to the influence of Dutch in scholarly contexts. ""Digitale Humanistiek"" is a direct adaptation of the Dutch equivalent for Digital Humanities, emphasizing both scholarly accuracy and cultural understanding. ""Digitale"" pertains to digital technology, while ""Humanistiek"" is used in academic and intellectual contexts to refer to the humanities. This aligns with the conventions of integrating loanwords into academic discourse in West Flemish.",,,,2026-04-07 02:32:58,True,,True,,True,,False,Digitaal Humaniora,"{
  ""translated_term"": ""Digitaal Humaniora"",
  ""translation_rationale"": ""I translated the term 'Digital Humanities' into West Flemish as 'Digitaal Humaniora'. I considered scholarly accuracy by following standard academic conventions in Dutch, which is closely related to West Flemish. The prefix 'digitaal' was used to convey the digital aspect of the field, and 'humaniora' was retained from Latin to maintain equivalence with the original term's roots. This translation ensures that the West Flemish version accurately conveys the intersection of technology and humanities.""
}",2026-04-07T01:27:57.140411Z,stop,122.0,5197799460.0,[],82130709.0,llama3.1,135.0,377459041.0,5692563250.0,,"I translated the term 'Digital Humanities' into West Flemish as 'Digitaal Humaniora'. I considered scholarly accuracy by following standard academic conventions in Dutch, which is closely related to West Flemish. The prefix 'digitaal' was used to convey the digital aspect of the field, and 'humaniora' was retained from Latin to maintain equivalence with the original term's roots. This translation ensures that the West Flemish version accurately conveys the intersection of technology and humanities.",False
vec,Venetian,Digital Humanities,Humanità Digitali,133.0,1775525574.0,stop,gpt-4o-2024-08-06,125.0,258.0,"The translation ""Humanità Digitali"" is a direct adaptation of the English term ""Digital Humanities"" into Venetian. ""Umanità"" corresponds to ""Humanities"" and is a commonly used term for academic fields related to human culture and experience. ""Digitali"" is directly derived from the English ""Digital,"" reflecting the technology aspect, which is similarly used in many Romance languages without modification. This translation maintains scholarly accuracy by remaining true to the disciplinary scope, ensures cultural equivalence by using terms recognized in academic contexts, and aligns with Venetian orthographic conventions.",,,,2026-04-07 02:32:55,False,Siense umane digitałi,True,,True,,False,Umanità Digitale,"{
  ""translated_term"": ""Umanità Digitale"",
  ""translation_rationale"": ""The term 'Umanità Digitale' is a direct and accurate translation of the English phrase 'Digital Humanities'. In Venetian, 'umanità' means humanities or humanistic studies, while 'digitale' refers to digital technologies. This choice reflects scholarly accuracy and cultural equivalence, as it preserves the original meaning and connotation of the term in both languages.
  To ensure academic conventions are followed, I have chosen a term that is consistent with established terminology used in Venetian language publications and scholarly discussions related to Digital Humanities.
  The translation 'Umanità Digitale' also reflects the cultural context of the Venetian language, which has a rich tradition of literary and humanistic studies dating back to the Renaissance."" 
}",2026-04-07T01:27:49.421146Z,stop,170.0,7443471000.0,[],78904708.0,llama3.1,134.0,356000500.0,7930144250.0,,"The term 'Umanità Digitale' is a direct and accurate translation of the English phrase 'Digital Humanities'. In Venetian, 'umanità' means humanities or humanistic studies, while 'digitale' refers to digital technologies. This choice reflects scholarly accuracy and cultural equivalence, as it preserves the original meaning and connotation of the term in both languages.
  To ensure academic conventions are followed, I have chosen a term that is consistent with established terminology used in Venetian language publications and scholarly discussions related to Digital Humanities.
  The translation 'Umanità Digitale' also reflects the cultural context of the Venetian language, which has a rich tradition of literary and humanistic studies dating back to the Renaissance.",False
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar Fanlar,128.0,1775525557.0,stop,gpt-4o-2024-08-06,132.0,260.0,"The term 'Digital Humanities' integrates the concepts of digital technology and the humanities, involving interdisciplinary study. In Uzbeki Afghanistan, 'Raqamli' is used to mean 'digital,' aligning with the increasing influence of technology within academic discourse. 'Gumanitar Fanlar' refers to 'Humanities,' capturing the broad spectrum of disciplines that study human culture and experience. This translation preserves scholarly accuracy and aligns with cultural and academic conventions in the region, effectively reflecting the interdisciplinary nature combining humanities and digital technology.",,,,2026-04-07 02:32:52,True,,True,,True,,False,Elektronik Ilm va San'at,"{
  ""translated_term"": ""Elektronik Ilm va San'at"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Uzbeki Afghanistan as \""Elektronik Ilm va San'at\"". 
  This choice is guided by the following considerations:
1. Scholarly accuracy: I used a direct and accurate translation of each word in the term, maintaining its original meaning.
2. Cultural equivalence: The term 'Digital Humanities' encompasses both digital technologies and humanistic studies. In Uzbeki Afghanistan, \""Elektronik\"" (electronic) is commonly used to describe digital technology, while \""Ilm va San'at\"" (knowledge and art) captures the essence of humanities disciplines. This combination conveys the intended meaning.
3. Academic conventions in Uzbeki Afghanistan: In academic contexts, Uzbeki Afghanistan uses Latin script for many technical terms, especially those related to modern concepts like 'digital'. However, it's also common to see Uzbeki words adapted into Latin script or used alongside native script. Given this flexibility, I opted for a combination of Latin and native script to convey the term accurately.""
}",2026-04-07T01:27:39.462267Z,stop,234.0,10983238370.0,[],84766500.0,llama3.1,135.0,373119125.0,11510989875.0,,"I translated 'Digital Humanities' into Uzbeki Afghanistan as ""Elektronik Ilm va San'at"". 
  This choice is guided by the following considerations:
1. Scholarly accuracy: I used a direct and accurate translation of each word in the term, maintaining its original meaning.
2. Cultural equivalence: The term 'Digital Humanities' encompasses both digital technologies and humanistic studies. In Uzbeki Afghanistan, ""Elektronik"" (electronic) is commonly used to describe digital technology, while ""Ilm va San'at"" (knowledge and art) captures the essence of humanities disciplines. This combination conveys the intended meaning.
3. Academic conventions in Uzbeki Afghanistan: In academic contexts, Uzbeki Afghanistan uses Latin script for many technical terms, especially those related to modern concepts like 'digital'. However, it's also common to see Uzbeki words adapted into Latin script or used alongside native script. Given this flexibility, I opted for a combination of Latin and native script to convey the term accurately.",False
