language_code,language_name,term_source,llama_translated_term,llama_content,llama_created_at,llama_done_reason,llama_eval_count,llama_eval_duration,llama_extracted_dictionaries,llama_load_duration,llama_model,llama_prompt_eval_count,llama_prompt_eval_duration,llama_total_duration,llama_translation,llama_translation_rationale,term,llama_system_prompt,llama_user_prompt,coding_dh_date,exclude_llama,wikipedia_translated_term,family_name,gt_translated_term,enmt_translated_term,exclude_google_cloud_translate,lingvanex_translated_term,exclude_easynmt
nan,Min Nan Chinese,Digital Humanities,\u5e73\u516c\u4f1a\u6d77\u7ea8,"{""translated_term"": ""\u5e73\u516c\u4f1a\u6d77\u7ea8"", ""translation_rationale"": ""\u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6d77\u7ea8. \u5e73\u516c\u4f1a\u6d77\u7ea8 sioh \u5e74\u53f0\u7b14\u672c\u7ea8, \u6709\u5e2e\u5b66\u751f\u7684\u7ec4\u537f\u7ed9\u7a97\u6",2026-05-15T01:35:53.41548Z,length,2048.0,27551140036.0,[],79359000.0,llama3.1:latest,168.0,195331500.0,28231563833.0,,No rationale provided,,You are a Digital Humanities scholar who speaks many languages.,"You are a native Min Nan Chinese speaker and translation expert. Translate 'Digital Humanities' into Min Nan Chinese (ISO code: nan (ISO 639-3 code for Min Nan Chinese — this is a real language, not a null value)).

Please provide your rationale in Min Nan Chinese, not English — unless Min Nan Chinese is English or you have a strong reason to use English. Writing in Min Nan Chinese demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Min Nan Chinese):
{""translated_term"": ""your translation in Min Nan Chinese"", ""translation_rationale"": ""your explanation in Min Nan Chinese""}",2026-05-14 20:35:53,False,,,,,,,
gmy,Mycenaean Greek,Digital Humanities,e-keimelía paideía,"{""translated_term"": ""e-keimelía paideía"", ""translation_rationale"": ""e-keimelía (ἐκείμελεια) is derived from e-kéi-mai (ἐκείμαι), meaning 'to be situated' or 'to be located', and keimelía (κειμηλία), a suffix indicating a place or territory. Paideía (παιδεία) means 'education' or 'training'. The term Digital Humanities is translated to convey the idea of a discipline that deals with the digital aspects of human culture, situated within the broader context of education and intellectual inquiry.""}",2026-05-15T01:35:23.159176Z,stop,136.0,1587191960.0,"[{'translated_term': 'e-keimelía paideía', 'translation_rationale': ""e-keimelía (ἐκείμελεια) is derived from e-kéi-mai (ἐκείμαι), meaning 'to be situated' or 'to be located', and keimelía (κειμηλία), a suffix indicating a place or territory. Paideía (παιδεία) means 'education' or 'training'. The term Digital Humanities is translated to convey the idea of a discipline that deals with the digital aspects of human culture, situated within the broader context of education and intellectual inquiry.""}]",77749459.0,llama3.1:latest,162.0,199926375.0,1896111042.0,e-keimelía paideía,"e-keimelía (ἐκείμελεια) is derived from e-kéi-mai (ἐκείμαι), meaning 'to be situated' or 'to be located', and keimelía (κειμηλία), a suffix indicating a place or territory. Paideía (παιδεία) means 'education' or 'training'. The term Digital Humanities is translated to convey the idea of a discipline that deals with the digital aspects of human culture, situated within the broader context of education and intellectual inquiry.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Mycenaean Greek speaker and translation expert. Translate 'Digital Humanities' into Mycenaean Greek (ISO code: gmy).

Please provide your rationale in Mycenaean Greek, not English — unless Mycenaean Greek is English or you have a strong reason to use English. Writing in Mycenaean Greek demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Mycenaean Greek):
{""translated_term"": ""your translation in Mycenaean Greek"", ""translation_rationale"": ""your explanation in Mycenaean Greek""}",2026-05-14 20:35:23,False,,,,,,,
ecy,Eteocypriot,Digital Humanities,Διγίταλες Ανθρωπολογίας,"{""translated_term"": ""Διγίταλες Ανθρωπολογίας"", ""translation_rationale"": ""Διγίταλες (di-gítal-es) από το δίγιτος, που σημαίνει 'ψηφιακά' και αντίστοιχα για την ανθρωπολογία, η οποία είναι η μελέτη του ανθρώπου.""}",2026-05-15T01:35:19.240047Z,stop,82.0,947948330.0,"[{'translated_term': 'Διγίταλες Ανθρωπολογίας', 'translation_rationale': ""Διγίταλες (di-gítal-es) από το δίγιτος, που σημαίνει 'ψηφιακά' και αντίστοιχα για την ανθρωπολογία, η οποία είναι η μελέτη του ανθρώπου.""}]",1566598750.0,llama3.1:latest,162.0,244727916.0,2778568083.0,Διγίταλες Ανθρωπολογίας,"Διγίταλες (di-gítal-es) από το δίγιτος, που σημαίνει 'ψηφιακά' και αντίστοιχα για την ανθρωπολογία, η οποία είναι η μελέτη του ανθρώπου.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Eteocypriot speaker and translation expert. Translate 'Digital Humanities' into Eteocypriot (ISO code: ecy).

Please provide your rationale in Eteocypriot, not English — unless Eteocypriot is English or you have a strong reason to use English. Writing in Eteocypriot demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Eteocypriot):
{""translated_term"": ""your translation in Eteocypriot"", ""translation_rationale"": ""your explanation in Eteocypriot""}",2026-05-14 20:35:19,False,,,,,,,
zmi,Negeri Sembilan Malay,Digital Humanities,Budaya Digital,"{""translated_term"": ""Budaya Digital"", ""translation_rationale"": ""Kata 'Digital' dalam bahasa Inggeris bermaksud elektronik atau digital, manakala 'Humanities' bermaksud sains manusia. Oleh itu, terjemahan yang tepat ialah Budaya Digital, kerana ia menggabungkan konsep budaya dan teknologi digital.""}",2026-05-12T01:14:43.079931Z,stop,87.0,1270938001.0,"[{'translated_term': 'Budaya Digital', 'translation_rationale': ""Kata 'Digital' dalam bahasa Inggeris bermaksud elektronik atau digital, manakala 'Humanities' bermaksud sains manusia. Oleh itu, terjemahan yang tepat ialah Budaya Digital, kerana ia menggabungkan konsep budaya dan teknologi digital.""}]",77444208.0,llama3.1:latest,178.0,199255209.0,1567700916.0,Budaya Digital,"Kata 'Digital' dalam bahasa Inggeris bermaksud elektronik atau digital, manakala 'Humanities' bermaksud sains manusia. Oleh itu, terjemahan yang tepat ialah Budaya Digital, kerana ia menggabungkan konsep budaya dan teknologi digital.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Negeri Sembilan Malay speaker and translation expert. Translate 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi).

Please provide your rationale in Negeri Sembilan Malay, not English — unless Negeri Sembilan Malay is English or you have a strong reason to use English. Writing in Negeri Sembilan Malay demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Negeri Sembilan Malay):
{""translated_term"": ""your translation in Negeri Sembilan Malay"", ""translation_rationale"": ""your explanation in Negeri Sembilan Malay""}",2026-05-11 20:14:43,False,,,,,,,
zdj,Ngazidja Comorian,Digital Humanities,Mbinu za Kielektroniki za Kisayansi,"{
""translated_term"": ""Mbinu za Kielektroniki za Kisayansi"",
""translation_rationale"": ""Njia ya kueleza habari za kisayansi katika mfumo wa kompyuta, ambayo ina maana ya uwezo wa kutumia teknolojia za kielektroniki ili kuwasilisha na kuchambua data ya kisayansi. Hii ni mbinu ya kujifunza na kufanya utafiti ambayo inatumia zana za kompyuta, programu za kielektroniki, na mitandao ya intaneti.""
}",2026-05-12T01:14:39.487197Z,stop,136.0,2517657958.0,[],72588042.0,llama3.1:latest,170.0,199186334.0,2820825417.0,,"Njia ya kueleza habari za kisayansi katika mfumo wa kompyuta, ambayo ina maana ya uwezo wa kutumia teknolojia za kielektroniki ili kuwasilisha na kuchambua data ya kisayansi. Hii ni mbinu ya kujifunza na kufanya utafiti ambayo inatumia zana za kompyuta, programu za kielektroniki, na mitandao ya intaneti.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Ngazidja Comorian speaker and translation expert. Translate 'Digital Humanities' into Ngazidja Comorian (ISO code: zdj).

Please provide your rationale in Ngazidja Comorian, not English — unless Ngazidja Comorian is English or you have a strong reason to use English. Writing in Ngazidja Comorian demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Ngazidja Comorian):
{""translated_term"": ""your translation in Ngazidja Comorian"", ""translation_rationale"": ""your explanation in Ngazidja Comorian""}",2026-05-11 20:14:39,False,,,,,,,
zag,Zaghawa,Digital Humanities,Tɣaṛi n Tɣeḍi,"{""translated_term"": ""Tɣaṛi n Tɣeḍi"", ""translation_rationale"": ""Tɣaṛi n (noun) means 'science' or 'knowledge'. Tɣeḍi (noun) means 'digital' or 'computer'. I combined these two words to convey the concept of Digital Humanities, which is a field that applies digital methods and tools to humanities research. In Zaghawa, we often use compound nouns to create new terms, so this translation aims to reflect the spirit of the original term while being faithful to the language's grammatical structure.""}",2026-05-12T01:14:34.639786Z,stop,133.0,2976118539.0,"[{'translated_term': 'Tɣaṛi n Tɣeḍi', 'translation_rationale': ""Tɣaṛi n (noun) means 'science' or 'knowledge'. Tɣeḍi (noun) means 'digital' or 'computer'. I combined these two words to convey the concept of Digital Humanities, which is a field that applies digital methods and tools to humanities research. In Zaghawa, we often use compound nouns to create new terms, so this translation aims to reflect the spirit of the original term while being faithful to the language's grammatical structure.""}]",73925292.0,llama3.1:latest,145.0,172305584.0,3251637459.0,Tɣaṛi n Tɣeḍi,"Tɣaṛi n (noun) means 'science' or 'knowledge'. Tɣeḍi (noun) means 'digital' or 'computer'. I combined these two words to convey the concept of Digital Humanities, which is a field that applies digital methods and tools to humanities research. In Zaghawa, we often use compound nouns to create new terms, so this translation aims to reflect the spirit of the original term while being faithful to the language's grammatical structure.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Zaghawa speaker and translation expert. Translate 'Digital Humanities' into Zaghawa (ISO code: zag).

Please provide your rationale in Zaghawa, not English — unless Zaghawa is English or you have a strong reason to use English. Writing in Zaghawa demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zaghawa):
{""translated_term"": ""your translation in Zaghawa"", ""translation_rationale"": ""your explanation in Zaghawa""}",2026-05-11 20:14:34,False,,,,,,,
yua,Yucateco,Digital Humanities,K'uk'ul Kan K'aab,"{""translated_term"": ""K'uk'ul Kan K'aab"", ""translation_rationale"": ""K'uk'ul (digital) ti kan (humanities) k'aab (study), chukmaal (because) k'uk'ul ti kan ti k'aab ti yaxcheob (computer, book, and knowledge) ti k'anob (together).""}",2026-05-12T01:14:29.364167Z,stop,82.0,1062761297.0,"[{'translated_term': ""K'uk'ul Kan K'aab"", 'translation_rationale': ""K'uk'ul (digital) ti kan (humanities) k'aab (study), chukmaal (because) k'uk'ul ti kan ti k'aab ti yaxcheob (computer, book, and knowledge) ti k'anob (together).""}]",69046042.0,llama3.1:latest,154.0,197259458.0,1347701875.0,K'uk'ul Kan K'aab,"K'uk'ul (digital) ti kan (humanities) k'aab (study), chukmaal (because) k'uk'ul ti kan ti k'aab ti yaxcheob (computer, book, and knowledge) ti k'anob (together).",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Yucateco speaker and translation expert. Translate 'Digital Humanities' into Yucateco (ISO code: yua).

Please provide your rationale in Yucateco, not English — unless Yucateco is English or you have a strong reason to use English. Writing in Yucateco demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Yucateco):
{""translated_term"": ""your translation in Yucateco"", ""translation_rationale"": ""your explanation in Yucateco""}",2026-05-11 20:14:29,False,,,Humanidades digitales,,,,
yrk,Nenets,Digital Humanities,Saaŋa qajaqta,"{""translated_term"": ""Saaŋa qajaqta"", ""translation_rationale"": ""Saaŋa - 'digital' (from Saami word saaŋa, meaning 'wire', 'cable'); qajaqta - 'humanities' (from Nenets word qajaq-, meaning 'to know', and suffix -ta, indicating a field of study or knowledge).""}",2026-05-12T01:14:25.993595Z,stop,88.0,1118914251.0,"[{'translated_term': 'Saaŋa qajaqta', 'translation_rationale': ""Saaŋa - 'digital' (from Saami word saaŋa, meaning 'wire', 'cable'); qajaqta - 'humanities' (from Nenets word qajaq-, meaning 'to know', and suffix -ta, indicating a field of study or knowledge).""}]",72920083.0,llama3.1:latest,146.0,170754333.0,1382208333.0,Saaŋa qajaqta,"Saaŋa - 'digital' (from Saami word saaŋa, meaning 'wire', 'cable'); qajaqta - 'humanities' (from Nenets word qajaq-, meaning 'to know', and suffix -ta, indicating a field of study or knowledge).",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Nenets speaker and translation expert. Translate 'Digital Humanities' into Nenets (ISO code: yrk).

Please provide your rationale in Nenets, not English — unless Nenets is English or you have a strong reason to use English. Writing in Nenets demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Nenets):
{""translated_term"": ""your translation in Nenets"", ""translation_rationale"": ""your explanation in Nenets""}",2026-05-11 20:14:25,False,,,,,,,
xum,Umbrian,Digital Humanities,Umanità Digitàle,"{""translated_term"": ""Umanità Digitàle"", ""translation_rationale"": ""S'è traduttu a partì da 'digital', che si riferisce a tecnulogie e sistemi informatici, e 'humanities', che si riferisce a studi umanistici. In Umbrian, 'digitale' si traduce con 'digitàle', e 'umanità' si traduce con 'umanità'. Ma poiché il termine è un composto, abbiamo unito i due elementi in una parola sola, mantenendo la stessa struttura del termine originale. L'accento sulla seconda sillaba è tipico dell'Umbrian e indica l'eminenza della parola.""}",2026-05-12T01:14:22.589486Z,stop,161.0,3692407545.0,"[{'translated_term': 'Umanità Digitàle', 'translation_rationale': ""S'è traduttu a partì da 'digital', che si riferisce a tecnulogie e sistemi informatici, e 'humanities', che si riferisce a studi umanistici. In Umbrian, 'digitale' si traduce con 'digitàle', e 'umanità' si traduce con 'umanità'. Ma poiché il termine è un composto, abbiamo unito i due elementi in una parola sola, mantenendo la stessa struttura del termine originale. L'accento sulla seconda sillaba è tipico dell'Umbrian e indica l'eminenza della parola.""}]",68574458.0,llama3.1:latest,138.0,178187792.0,3976165083.0,Umanità Digitàle,"S'è traduttu a partì da 'digital', che si riferisce a tecnulogie e sistemi informatici, e 'humanities', che si riferisce a studi umanistici. In Umbrian, 'digitale' si traduce con 'digitàle', e 'umanità' si traduce con 'umanità'. Ma poiché il termine è un composto, abbiamo unito i due elementi in una parola sola, mantenendo la stessa struttura del termine originale. L'accento sulla seconda sillaba è tipico dell'Umbrian e indica l'eminenza della parola.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Umbrian speaker and translation expert. Translate 'Digital Humanities' into Umbrian (ISO code: xum).

Please provide your rationale in Umbrian, not English — unless Umbrian is English or you have a strong reason to use English. Writing in Umbrian demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Umbrian):
{""translated_term"": ""your translation in Umbrian"", ""translation_rationale"": ""your explanation in Umbrian""}",2026-05-11 20:14:22,False,,,,,,,
xsr,Sherpa,Digital Humanities,Dhigyal Gyen Tsom Sum,"{""translated_term"": ""Dhigyal Gyen Tsom Sum"", ""translation_rationale"": ""Dhigyal Gyen Tsom Sum (དིག་རྒྱལ་རྗེན་ཚོམ་སུམ) - This term combines 'Dhigyal' (དིག་རྒྱལ), meaning 'digital' or 'related to the mind', with 'Gyen Tsom Sum' (རྗེན་ཚོམ་སུམ), which refers to the three aspects of human knowledge: Gyen (རྗེན) meaning 'humanities', Tsom (ཚོམ) meaning 'arts and sciences', and Sum (སུམ) meaning 'three'.""}",2026-05-12T01:14:16.588557Z,stop,214.0,6596975337.0,"[{'translated_term': 'Dhigyal Gyen Tsom Sum', 'translation_rationale': ""Dhigyal Gyen Tsom Sum (དིག་རྒྱལ་རྗེན་ཚོམ་སུམ) - This term combines 'Dhigyal' (དིག་རྒྱལ), meaning 'digital' or 'related to the mind', with 'Gyen Tsom Sum' (རྗེན་ཚོམ་སུམ), which refers to the three aspects of human knowledge: Gyen (རྗེན) meaning 'humanities', Tsom (ཚོམ) meaning 'arts and sciences', and Sum (སུམ) meaning 'three'.""}]",73728542.0,llama3.1:latest,138.0,169699750.0,6892086375.0,Dhigyal Gyen Tsom Sum,"Dhigyal Gyen Tsom Sum (དིག་རྒྱལ་རྗེན་ཚོམ་སུམ) - This term combines 'Dhigyal' (དིག་རྒྱལ), meaning 'digital' or 'related to the mind', with 'Gyen Tsom Sum' (རྗེན་ཚོམ་སུམ), which refers to the three aspects of human knowledge: Gyen (རྗེན) meaning 'humanities', Tsom (ཚོམ) meaning 'arts and sciences', and Sum (སུམ) meaning 'three'.",,You are a Digital Humanities scholar who speaks many languages.,"You are a native Sherpa speaker and translation expert. Translate 'Digital Humanities' into Sherpa (ISO code: xsr).

Please provide your rationale in Sherpa, not English — unless Sherpa is English or you have a strong reason to use English. Writing in Sherpa demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sherpa):
{""translated_term"": ""your translation in Sherpa"", ""translation_rationale"": ""your explanation in Sherpa""}",2026-05-11 20:14:16,False,,,,,,,
