language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_system_prompt,ollama_user_prompt,ollama_translation_rationale,coding_dh_date_x,coding_dh_date_y,family_name
yue,Cantonese,Digital Humanities,私海事姐,"{
  ""translated_term"": ""\u79c1\u6d77\u4e8b\u59d0"",
  ""translation_rationale"": ""The most widely agreed-upon translation is (1), '數碼人文學', which closely matches the original term in both sound and meaning. It's a suitable blend of Chinese characters for 'digital' (\u79c1\u6d77) and 'humanities' (\u4e8b\u59d0). The other options either lack precision or clarity, or combine elements in an unconventional way that doesn't match common usage in Cantonese.""
}",2026-04-20T20:56:23.83884Z,stop,128.0,1516971462.0,[],1554490083.0,llama3.1,395.0,799120625.0,3907520625.0,,,數碼人文學,2026-04-20 15:56:23,False,數碼人文,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Cantonese (ISO code: yue), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI, minimal — Claude, expert_persona — OpenAI, expert_persona — Claude, expert_persona — Gemini, native_rationale — OpenAI, Wikipedia): ""數碼人文學""
  2. (minimal — Gemini, Google Translate): ""數碼人文""
  3. (minimal — Ollama): ""广代叨名""
  4. (expert_persona — Ollama): ""Daijik leihfaan gaa fanlei""
  5. (native_rationale — Ollama): ""元深安清""

Note: The following sources produced no translation for this language: EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","The most widely agreed-upon translation is (1), '數碼人文學', which closely matches the original term in both sound and meaning. It's a suitable blend of Chinese characters for 'digital' (私海) and 'humanities' (事姐). The other options either lack precision or clarity, or combine elements in an unconventional way that doesn't match common usage in Cantonese.",2026-04-18 19:13:11,2026-04-20 15:49:06,Sino-Tibetan languages
saz,Saurashtra,Digital Humanities,ડિજિટલ માનવશાસ્ત્ર,"{
  ""translated_term"": ""ડિજિટલ માનવશાસ્ત્ર"",
  ""translation_rationale"": ""The proposed translations show a mix of agreement and divergence. Translation #5 (Gemini) and #6 (Ollama) are close, but I prefer 'ડિજિટલ માનવશાસ્ત્ર' as it is more accurate to the concept of Digital Humanities. In Saurashtra, 'માનવશાસ્ત્ર' is used to denote humanities or human sciences, which aligns with the focus on human-centered studies in Digital Humanities. This translation also follows a common pattern in Saurashtra, where '-શાસ્ત્ર' is used as a suffix to indicate a field of study.""
}",2026-04-20T20:49:02.273131Z,stop,224.0,2711087331.0,[],3577167583.0,llama3.1,564.0,1037894875.0,7387878000.0,,,,2026-04-20 15:49:02,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Saurashtra (ISO code: saz), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI, expert_persona — OpenAI): ""ડિજિટલ હ્યુમેનિટીઝ""
  2. (minimal — Claude, expert_persona — Claude): ""ડિજિટલ માનવિકી""
  3. (minimal — Gemini): ""డిజిటల్ హ్యూమానిటీస్""
  4. (minimal — Ollama): ""Aayaji digital mukt""
  5. (expert_persona — Gemini): ""ડિજિટલ માનવવિદ્યા""
  6. (expert_persona — Ollama): ""ડિજિટલ માનવત્વ""
  7. (native_rationale — OpenAI): ""डिजिटल मानविकी""
  8. (native_rationale — Ollama): ""Aapne Digital Pustakvedha""

Note: The following sources produced no translation for this language: Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","The proposed translations show a mix of agreement and divergence. Translation #5 (Gemini) and #6 (Ollama) are close, but I prefer 'ડિજિટલ માનવશાસ્ત્ર' as it is more accurate to the concept of Digital Humanities. In Saurashtra, 'માનવશાસ્ત્ર' is used to denote humanities or human sciences, which aligns with the focus on human-centered studies in Digital Humanities. This translation also follows a common pattern in Saurashtra, where '-શાસ્ત્ર' is used as a suffix to indicate a field of study.",,2026-04-20 13:40:06,Indo-European languages
zh,Chinese,Digital Humanities,数字人文,"{
  ""translations"": [
    {""translator"": ""OpenAI (minimal)"", ""translation"": ""数字人文""},
    {""translator"": ""Claude (minimal)"", ""translation"": ""数字人文""},
    {""translator"": ""Gemini (minimal)"", ""translation"": ""数字人文""},
    {""translator"": ""OpenAI (expert_persona)"", ""translation"": ""数字人文""},
    {""translator"": ""Claude (expert_persona)"", ""translation"": ""数字人文""},
    {""translator"": ""Gemini (expert_persona)"", ""translation"": ""数字人文""},
    {""translator"": ""OpenAI (native_rationale)"", ""translation"": ""数字人文""},
    {""translator"": ""Google Translate"", ""translation"": ""数字人文""},
    {""translator"": ""EasyNMT"", ""translation"": ""数字人文""},
    {""translator"": ""Lingvanex"", ""translation"": ""数字人文""}
  ],
  ""rejected_translations"": [
    {""translator"": ""Ollama (minimal)"", ""translation"": """"},
    {""translator"": ""Ollama (expert_persona)"", ""translation"": """"},
    {""translator"": ""Ollama (native_rationale)"", ""translation"": """"}
  ]
}",2026-04-20T18:40:34.445109Z,stop,250.0,3213956131.0,"[{'translator': 'OpenAI (minimal)', 'translation': '数字人文'}, {'translator': 'Claude (minimal)', 'translation': '数字人文'}, {'translator': 'Gemini (minimal)', 'translation': '数字人文'}, {'translator': 'OpenAI (expert_persona)', 'translation': '数字人文'}, {'translator': 'Claude (expert_persona)', 'translation': '数字人文'}, {'translator': 'Gemini (expert_persona)', 'translation': '数字人文'}, {'translator': 'OpenAI (native_rationale)', 'translation': '数字人文'}, {'translator': 'Google Translate', 'translation': '数字人文'}, {'translator': 'EasyNMT', 'translation': '数字人文'}, {'translator': 'Lingvanex', 'translation': '数字人文'}, {'translator': 'Ollama (minimal)', 'translation': ''}, {'translator': 'Ollama (expert_persona)', 'translation': ''}, {'translator': 'Ollama (native_rationale)', 'translation': ''}]",68800834.0,llama3.1,374.0,741762750.0,4086796042.0,,,數位人文,2026-04-20 13:40:34,False,数字人文,False,数字人文,False,数字人文,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Chinese (ISO code: zh), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI, minimal — Claude, minimal — Gemini, expert_persona — OpenAI, expert_persona — Claude, expert_persona — Gemini, native_rationale — OpenAI, Google Translate, EasyNMT, Lingvanex): ""数字人文""
  2. (minimal — Ollama): ""带綅一檘元""
  3. (expert_persona — Ollama): ""常用杀海种""
  4. (native_rationale — Ollama): ""邮箱兴学""
  5. (Wikipedia): ""數位人文""

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}",No rationale provided,2026-04-18 19:13:11,2026-04-20 12:29:23,Sino-Tibetan languages
zgh,Standard Moroccan Tamazight,Digital Humanities,ⵜⴰⵏⵓⵙ ⵏ ⵜⵀⵏⵉ ⵜⵎⵙⵏⴰⵡⵉⵏ,"{
  ""translated_term"": ""ⵜⴰⵏⵓⵙ ⵏ ⵜⵀⵏⵉ ⵜⵎⵙⵏⴰⵡⵉⵏ"",
  ""translation_rationale"": ""This translation is a combination of the minimal and expert_persona approaches from OpenAI. It correctly reflects the concept of 'Digital Humanities' while using accurate Standard Moroccan Tamazight (ISO code: zgh) terminology.""
}",2026-04-20T18:40:28.318999Z,stop,111.0,1436293212.0,[],67293333.0,llama3.1,858.0,1415380208.0,2949857250.0,,,,2026-04-20 13:40:28,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Standard Moroccan Tamazight (ISO code: zgh), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI): ""ⴰⵏⵓⵙⴻⵡ ⵏ ⵜⵀⵏⵉ ⵜⵎⵙⵏⴰⵡⵉⵏ""
  2. (minimal — Claude): ""ⵜⴰⵏⵙⵙⴰⵏⵉⵏ ⵜⵉⵎⴰⵜⵔⴰⵔⵉⵏ""
  3. (minimal — Gemini): ""ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴷⵉⵊⵉⵟⴰⵍⵉⵜ ⴷ ⵜⴰⵏⵙⴰⵢⵜ""
  4. (minimal — Ollama): ""Ṭaglalit Tamazight""
  5. (expert_persona — OpenAI): ""ⴰⵡⴷⵉⵖ ⵏ ⵜⵜⵓⵜⵜⵍⵉⵜ""
  6. (expert_persona — Claude): ""ⵜⴰⵙⵙⵏⴰⵏⵉⵏ ⵜⵉⵎⴰⵜⵔⴰⵏⵉⵏ ⵜⵓⵖⵎⵉⵙⵉⵏ""
  7. (expert_persona — Gemini): ""ⵜⴰⵏⵏⴰⵢⵜ ⵜⴰⴷⵉⵊⵉⵟⴰⵍⵜ ⵏ ⵉⵎⵣⴳⴰⵏ""
  8. (expert_persona — Ollama): ""Tiɣawin Tikkalṭabin""
  9. (native_rationale — OpenAI): ""ⵜⴰⵜⴰⵎⵙⵙⵓⵏⴰⵏ ⴰⴳⵔⵉⴷⵉⵜⴰⵏ""
  10. (native_rationale — Ollama): ""Igmuḍalen aɣerbaz n idurar""

Note: The following sources produced no translation for this language: Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}",This translation is a combination of the minimal and expert_persona approaches from OpenAI. It correctly reflects the concept of 'Digital Humanities' while using accurate Standard Moroccan Tamazight (ISO code: zgh) terminology.,,2026-04-20 12:29:14,Afro-Asiatic languages
ur,Urdu,Digital Humanities,ڈیجیٹل بشریات,"{
  ""translated_term"": ""ڈیجیٹل بشریات"",
  ""translation_rationale"": ""The best translation is 'ڈیجیٹل بشریات' because it accurately conveys the meaning of the term 'Digital Humanities'. It combines the Urdu words for 'digital' and 'humanities', resulting in a clear and concise phrase. This translation was suggested by OpenAI's expert_persona, which suggests that this model has some expertise in the field. The other translations either use incorrect terminology or introduce unnecessary complexity.""
}",2026-04-20T18:40:20.258188Z,stop,112.0,1445687582.0,[],63899791.0,llama3.1,453.0,826393166.0,2369395333.0,,,,2026-04-20 13:40:20,False,ڈیجیٹل ہیومینٹیز,False,انسانی کمزوریوں کی وجہ سے,False,ڈیجیٹل ہیومینٹیز,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Urdu (ISO code: ur), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI, minimal — Gemini, native_rationale — OpenAI, Google Translate, Lingvanex): ""ڈیجیٹل ہیومینٹیز""
  2. (minimal — Claude, expert_persona — Claude): ""ڈیجیٹل انسانیات""
  3. (minimal — Ollama): ""ڈیجیٹل مानवیات""
  4. (expert_persona — OpenAI): ""ڈیجیٹل بشریات""
  5. (expert_persona — Gemini): ""رقمی انسانیات""
  6. (expert_persona — Ollama): ""دھرتی انسٹیوٹيوں کی humaneت""
  7. (native_rationale — Ollama): ""ڈیجیٹل انسانیت""
  8. (EasyNMT): ""انسانی کمزوریوں کی وجہ سے""

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","The best translation is 'ڈیجیٹل بشریات' because it accurately conveys the meaning of the term 'Digital Humanities'. It combines the Urdu words for 'digital' and 'humanities', resulting in a clear and concise phrase. This translation was suggested by OpenAI's expert_persona, which suggests that this model has some expertise in the field. The other translations either use incorrect terminology or introduce unnecessary complexity.",,2026-04-20 12:23:43,Indo-European languages
tyv,Tuvinian,Digital Humanities,Санныг хуманитар эртемдер,"{
  ""translated_term"": ""Санныг хуманитар эртемдер"",
  ""translation_rationale"": ""Based on the expert_persona approach, I agree with translations 5 and 6. However, I choose translation 6 because it better follows the Tuvinian grammar and word order. \""Цифралыг хүмээнивиин шынжоол\"" (translation 5) is a bit awkward in terms of word order, while \""Санныг хуманитар эртемдер\"" (translation 6) is more idiomatic and clear. I generated this translation based on my understanding of the term 'Digital Humanities' and its equivalent meaning in Tuvinian.""
}",2026-04-20T18:40:15.85288Z,stop,156.0,2031034083.0,[],68385208.0,llama3.1,549.0,953363875.0,3102731625.0,,,,2026-04-20 13:40:15,False,Санныг гуманитарлыг эртемнер,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Tuvinian (ISO code: tyv), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — Gemini, Google Translate): ""Санныг гуманитарлыг эртемнер""
  2. (minimal — OpenAI): ""Цифралыг гуманитарлың""
  3. (minimal — Claude): ""Санап кижи эртемнери""
  4. (minimal — Ollama): ""ÐÑ‚yða-kuÑ–Ñ›Ð°Ð½Ñ‹Ð¼ Ð¾Ð½ Ñ€yÐ·""
  5. (expert_persona — OpenAI): ""Цифралыг хүмээнивиин шынжоол""
  6. (expert_persona — Claude): ""Санныг хуманитар эртемдер""
  7. (expert_persona — Gemini): ""Санныг Гуманитарлыг Эртемнер""
  8. (expert_persona — Ollama): ""Туһунан Хөгжүн""
  9. (native_rationale — OpenAI): ""Цифра университет чуртталдары""
  10. (native_rationale — Ollama): ""Köksülükün Derege""

Note: The following sources produced no translation for this language: EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","Based on the expert_persona approach, I agree with translations 5 and 6. However, I choose translation 6 because it better follows the Tuvinian grammar and word order. ""Цифралыг хүмээнивиин шынжоол"" (translation 5) is a bit awkward in terms of word order, while ""Санныг хуманитар эртемдер"" (translation 6) is more idiomatic and clear. I generated this translation based on my understanding of the term 'Digital Humanities' and its equivalent meaning in Tuvinian.",,2026-04-20 12:22:34,Altaic languages
sid,Sidamo,Digital Humanities,Dijjitaala Namoomaa,"{
  ""translated_term"": ""Dijjitaala Namoomaa"",
  ""translation_rationale"": ""The best translation among the provided options is 'Dijjitaala Namoomaa' from Claude's expert_persona approach. This translation follows a consistent pattern of combining the Sidamo equivalent for 'digital' with the concept of 'humanities'. The use of 'Namoomaa' to represent 'humanities' is reasonable and aligns with linguistic patterns in the region.""
}",2026-04-20T18:40:10.709805Z,stop,100.0,1295220706.0,[],71191250.0,llama3.1,472.0,856020875.0,2251821375.0,,,,2026-04-20 13:40:10,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Sidamo (ISO code: sid), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI): ""Malabotaa Ardaaza""
  2. (minimal — Claude): ""Dijjitaala Nama'ummaa""
  3. (minimal — Gemini): ""Dajitaali Haammanite""
  4. (minimal — Ollama): ""Dagim Baabburra Imaada""
  5. (expert_persona — Claude): ""Dijjitaala Namoomaa""
  6. (expert_persona — Gemini): ""Dijjitaali Saayinsse Qixxaawe""
  7. (expert_persona — Ollama): ""ልይ ንብረት ጽህ""
  8. (native_rationale — Ollama): ""Qaqqicha Ganjilcha""

Note: The following sources produced no translation for this language: expert_persona — OpenAI, native_rationale — OpenAI, Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}",The best translation among the provided options is 'Dijjitaala Namoomaa' from Claude's expert_persona approach. This translation follows a consistent pattern of combining the Sidamo equivalent for 'digital' with the concept of 'humanities'. The use of 'Namoomaa' to represent 'humanities' is reasonable and aligns with linguistic patterns in the region.,,2026-04-20 12:14:29,Afro-Asiatic languages
ryu,Central Okinawan,Digital Humanities,Ryūjin no gendai bin (genjitsu) jinbungaku,"{
  ""translated_term"": ""Ryūjin no gendai bin (genjitsu) jinbungaku"",
  ""translation_rationale"": ""The best translation is a combination of options 3 and 5. Option 3 correctly uses the term 'Ryūjin' to refer to the Okinawan context, but it lacks the clarity and precision that 'gendai bin (genjitsu) jinbungaku' provides in option 5. This additional phrase accurately conveys the meaning of 'Digital Humanities', emphasizing its modern (gendai) digital aspects (bin) and accurate representation (genjitsu) of humanities studies.""
}",2026-04-20T18:40:03.105336Z,stop,135.0,1758907331.0,[],61024833.0,llama3.1,466.0,883312833.0,2743767333.0,,,,2026-04-20 13:40:03,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Central Okinawan (ISO code: ryu), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — Claude, minimal — Gemini): ""デジタル人文学""
  2. (minimal — OpenAI): ""ディジタルうんなまちゅや""
  3. (minimal — Ollama): ""Ryūjin no gendai bin""
  4. (expert_persona — OpenAI): ""ディジタル ヒューマニティーズ""
  5. (expert_persona — Claude): ""デジタル人文学 (dejitaru jinbungaku)""
  6. (expert_persona — Gemini): ""デジタル人文学 (Dejitaru Jinbungaku)""
  7. (expert_persona — Ollama): ""Ryukyu Kajin Keishō Gijutsu""
  8. (native_rationale — Ollama): ""Gyaru Gekichi Rinrika""

Note: The following sources produced no translation for this language: native_rationale — OpenAI, Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","The best translation is a combination of options 3 and 5. Option 3 correctly uses the term 'Ryūjin' to refer to the Okinawan context, but it lacks the clarity and precision that 'gendai bin (genjitsu) jinbungaku' provides in option 5. This additional phrase accurately conveys the meaning of 'Digital Humanities', emphasizing its modern (gendai) digital aspects (bin) and accurate representation (genjitsu) of humanities studies.",,2026-04-20 12:11:45,Japanese languages
rkt,Rangpuri,Digital Humanities,ডিজিটাল মানবিক শিক্ষা,"{
  ""translated_term"": ""ডিজিটাল মানবিক শিক্ষা"",
  ""translation_rationale"": ""I agree with the expert_persona translations from OpenAI, Gemini, and Ollama, as they reflect a clear understanding of the concept. However, upon careful consideration, I believe 'ডিজিটাল মানবিক শিক্ষা' (Digital Humanities Education) is the most accurate translation. It captures the essence of the field by emphasizing education and learning in the digital humanities. This term is more precise and concise compared to other options, which either include unnecessary words or use incorrect terminology.""
}",2026-04-20T18:39:58.321563Z,stop,151.0,1939230045.0,[],67365625.0,llama3.1,566.0,1044736041.0,3096424584.0,,,,2026-04-20 13:39:58,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Rangpuri (ISO code: rkt), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — Claude, expert_persona — Claude): ""ডিজিটেল মানবিকী""
  2. (minimal — OpenAI): ""ডিজিটাল মানবিক বিজ্ঞান""
  3. (minimal — Gemini): ""ডিজিটাল হিউম্যানিটিজ""
  4. (minimal — Ollama): ""Digitaal Uchchaan""
  5. (expert_persona — OpenAI): ""ডিজিটাল মানবিক বিদ্যা""
  6. (expert_persona — Gemini): ""ডিজিটাল মানববিদ্যা""
  7. (expert_persona — Ollama): ""Digitali Manuskritti Shiksha""
  8. (native_rationale — OpenAI): ""ডিজিটাল হিউম্যানিটিস""
  9. (native_rationale — Ollama): ""আই খেলে ডিজিটাল সাহিত্য""

Note: The following sources produced no translation for this language: Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","I agree with the expert_persona translations from OpenAI, Gemini, and Ollama, as they reflect a clear understanding of the concept. However, upon careful consideration, I believe 'ডিজিটাল মানবিক শিক্ষা' (Digital Humanities Education) is the most accurate translation. It captures the essence of the field by emphasizing education and learning in the digital humanities. This term is more precise and concise compared to other options, which either include unnecessary words or use incorrect terminology.",,2026-04-20 12:10:03,Indo-European languages
nyo,Nyoro,Digital Humanities,Ebyobuhangwa bya Digiito,"{
  ""translated_term"": ""Ebyobuhangwa bya Digiito"",
  ""translation_rationale"": ""Claude's 'minimal' approach produces a direct and clear translation of the term. The use of 'Digiito' as an adjective to describe the type of humanities is consistent with other languages and dialects. This translation effectively conveys the concept of digital humanities, making it the most suitable option among those provided.""
}",2026-04-20T18:39:53.187689Z,stop,92.0,1177407583.0,[],67324833.0,llama3.1,505.0,931521334.0,2203970583.0,,,,2026-04-20 13:39:53,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a Digital Humanities scholar. Your task is to judge the following proposed translations of the academic term 'Digital Humanities' into Nyoro (ISO code: nyo), then either select the best one or generate an improved translation.

Approach descriptions:
  - minimal: bare instruction to an LLM with no additional context
  - expert_persona: LLM prompted as a domain expert and native speaker
  - native_rationale: LLM asked to provide its reasoning in the target language
  - Google Translate: automated machine translation (Google)
  - EasyNMT: neural machine translation (Helsinki-NLP models)
  - Lingvanex: automated machine translation (Lingvanex)
  - Wikipedia: existing Wikipedia article title for this concept

Proposed translations:
  1. (minimal — OpenAI): ""Obwengye Bwekiganwa""
  2. (minimal — Claude): ""Ebyobuhangwa bya Digiito""
  3. (minimal — Gemini): ""Obuntu bw'omu Butereezibwamu n'Eby'obwengye""
  4. (minimal — Ollama): ""Bɛŋgɛlɛ Mbuga""
  5. (expert_persona — OpenAI): ""Obumu bwa Mpakasi Y’imagezo""
  6. (expert_persona — Claude): ""Ebyobumanyisa bya Tekinolojya""
  7. (expert_persona — Gemini): ""Obuhangwa bw'Eby'Omutindo gw'Ebya Digitali""
  8. (expert_persona — Ollama): ""Budaa za Kitamaduni cha Digitali""
  9. (native_rationale — Ollama): ""Omwana wa Gavumenti za Digitale""

Note: The following sources produced no translation for this language: native_rationale — OpenAI, Google Translate, EasyNMT, Lingvanex.

Judge these translations, noting where sources agreed or diverged. Select the best translation or generate a new one if none are satisfactory. Provide your reasoning.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your evaluation and reasoning""}","Claude's 'minimal' approach produces a direct and clear translation of the term. The use of 'Digiito' as an adjective to describe the type of humanities is consistent with other languages and dialects. This translation effectively conveys the concept of digital humanities, making it the most suitable option among those provided.",,2026-04-20 12:05:26,Niger-Kordofanian languages
