"language_code","language_name","term_source","ollama_translated_term","ollama_content","ollama_created_at","ollama_done_reason","ollama_eval_count","ollama_eval_duration","ollama_extracted_dictionaries","ollama_load_duration","ollama_model","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_total_duration","ollama_translation","term","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_translation_rationale","coding_dh_date_x","coding_dh_date_y","family_name"
"wuu","Wu Chinese","Digital Humanities","Kan hsien wen kuo","{
""translated_term"": ""Kan hsien wen kuo"",
""translation_rationale"": ""I translated 'Digital Humanities' into Wu Chinese as  \""Kan hsien wen kuo\"". Here's the breakdown:
- \""Kan hsien\"" (, Kan1 sien4) is a calque of the English term 'digital', using the standard Chinese loanword for 'computer' or 'electronics', with the addition of the prefix \""kan\"", which implies something related to data storage and transmission.
- \""wen kuo\"" (, wen2 kuo2) means 'humanities' in Wu Chinese. It is a combination of  \""wen\"", meaning 'literature' or 'culture', and \""kuo\"", meaning 'study' or 'discipline'. This term is commonly used in academic contexts to refer to the humanities.
I chose this translation because it accurately conveys the concept of Digital Humanities, while being sensitive to the cultural and linguistic nuances of Wu Chinese. It also follows standard academic conventions in Wu Chinese.""
}","2026-04-22T01:04:38.825045Z","stop","215.0","2491962372.0","[]","79509083.0","llama3.1","125.0","301234709.0","2928713500.0","","","","2026-04-21 20:04:38","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Wu Chinese speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Wu Chinese (ISO code: wuu).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Wu Chinese

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","I translated 'Digital Humanities' into Wu Chinese as  ""Kan hsien wen kuo"". Here's the breakdown:
- ""Kan hsien"" (, Kan1 sien4) is a calque of the English term 'digital', using the standard Chinese loanword for 'computer' or 'electronics', with the addition of the prefix ""kan"", which implies something related to data storage and transmission.
- ""wen kuo"" (, wen2 kuo2) means 'humanities' in Wu Chinese. It is a combination of  ""wen"", meaning 'literature' or 'culture', and ""kuo"", meaning 'study' or 'discipline'. This term is commonly used in academic contexts to refer to the humanities.
I chose this translation because it accurately conveys the concept of Digital Humanities, while being sensitive to the cultural and linguistic nuances of Wu Chinese. It also follows standard academic conventions in Wu Chinese.","","2026-04-20 10:08:39",""
"xsa","Sabaean","Digital Humanities","Ḫrṣt wšḥm","{
  ""translated_term"": ""Ḫrṣt wšḥm"",
  ""translation_rationale"": ""I have translated the term 'Digital Humanities' into Sabaean as Ḫrṣt wšḥm, which is a combination of two words. The first word, Ḫrṣt (ḵ-r-ṣ-t), is derived from the Sabaean root ḵ-r-s, meaning 'to create' or 'to make'. This prefix is commonly used in academic terminology to convey the idea of creation or production.

The second word, wšḥm (w-š-ḥ-m), is derived from the Sabaean root š-ḥ-m, which means 'knowledge' or 'science'. In Sabaean academic language, this root is often used to indicate a focus on knowledge and intellectual pursuits.

Together, the phrase Ḫrṣt wšḥm can be interpreted as 'the creation of knowledge' or 'the production of science', which aligns with the concept of Digital Humanities in modern academia. I have chosen this translation to convey the idea that Digital Humanities involves not only the use of digital tools and methods but also the creation of new forms of knowledge and understanding.""
}","2026-04-20T15:08:45.55674Z","stop","275.0","3731407574.0","[]","64481875.0","llama3.1","128.0","365074541.0","4241429375.0","","","","2026-04-20 10:08:45","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Sabaean speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Sabaean (ISO code: xsa).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Sabaean

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","I have translated the term 'Digital Humanities' into Sabaean as Ḫrṣt wšḥm, which is a combination of two words. The first word, Ḫrṣt (ḵ-r-ṣ-t), is derived from the Sabaean root ḵ-r-s, meaning 'to create' or 'to make'. This prefix is commonly used in academic terminology to convey the idea of creation or production.

The second word, wšḥm (w-š-ḥ-m), is derived from the Sabaean root š-ḥ-m, which means 'knowledge' or 'science'. In Sabaean academic language, this root is often used to indicate a focus on knowledge and intellectual pursuits.

Together, the phrase Ḫrṣt wšḥm can be interpreted as 'the creation of knowledge' or 'the production of science', which aligns with the concept of Digital Humanities in modern academia. I have chosen this translation to convey the idea that Digital Humanities involves not only the use of digital tools and methods but also the creation of new forms of knowledge and understanding.","","2026-04-20 00:49:06","Afro-Asiatic languages"
"syc","Classical Syriac","Digital Humanities","","{
""translated_term"": ,
""translation_rationale"": 
""Digital Humanities"" can be translated into Classical Syriac as  (dawrāʾ ḥumānīthāʾ), combining the two loanwords from Greek. The term ""digital"" is rendered as  (dawrāʾ) and ""humanities"" as (ḥumānīthāʾ). This translation preserves the original meaning and conveys the intersection of digital technologies and humanities disciplines.

In Classical Syriac, the language has a rich tradition of incorporating foreign loanwords to describe new concepts. By following this convention, we can accurately translate ""Digital Humanities"" into  (dawrāʾ ḥumānīthāʾ) while maintaining cultural equivalence with its original meaning and significance in Western academic contexts.""","2026-04-20T15:08:32.735547Z","stop","176.0","2093101626.0","[]","71506792.0","llama3.1","131.0","371491583.0","2586063625.0","","","","2026-04-20 10:08:32","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Classical Syriac speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Classical Syriac (ISO code: syc).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Classical Syriac

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","","","2026-04-20 00:41:36","Afro-Asiatic languages"
"ryu","Central Okinawan","Digital Humanities","Ryukyu Kajin Keishō Gijutsu","{
  ""translated_term"": ""Ryukyu Kajin Keishō Gijutsu"",
  ""translation_rationale"": ""I've chosen to translate 'Digital Humanities' into Central Okinawan by combining elements of the Ryukyuan language with technical terminology borrowed from Japanese. 

The term 'Kajin' (, meaning 'humanities') is derived from the Japanese word 'jagaku', which has been incorporated into the Ryukyuan lexicon.

'Keishō Gijutsu' (, literally 'digital technique') breaks down as follows: 
- 'Kei' (, digit) comes directly from Japanese and refers to numerical digits or digital data.
- 'Shō' (, technique) is also borrowed from Japanese and conveys the idea of a method, skill, or expertise.

By combining these elements, we arrive at 'Ryukyu Kajin Keishō Gijutsu', which accurately reflects the concept of Digital Humanities within Central Okinawan cultural and linguistic contexts.""","2026-04-20T15:08:28.100469Z","stop","212.0","2541010249.0","[]","69693542.0","llama3.1","131.0","360134417.0","3030770375.0","","","","2026-04-20 10:08:28","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Central Okinawan speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Central Okinawan (ISO code: ryu).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Central Okinawan

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","I've chosen to translate 'Digital Humanities' into Central Okinawan by combining elements of the Ryukyuan language with technical terminology borrowed from Japanese. 

The term 'Kajin' (, meaning 'humanities') is derived from the Japanese word 'jagaku', which has been incorporated into the Ryukyuan lexicon.

'Keishō Gijutsu' (, literally 'digital technique') breaks down as follows: 
- 'Kei' (, digit) comes directly from Japanese and refers to numerical digits or digital data.
- 'Shō' (, technique) is also borrowed from Japanese and conveys the idea of a method, skill, or expertise.

By combining these elements, we arrive at 'Ryukyu Kajin Keishō Gijutsu', which accurately reflects the concept of Digital Humanities within Central Okinawan cultural and linguistic contexts.","","2026-04-20 00:36:47","Japanese languages"
"hmd","Large Flowery Miao","Digital Humanities","baɕ khaːk sʉʔ tsaː","{
""translated_term"": ""baɕ khaːk sʉʔ tsaː"",
""translation_rationale"": ""The term 'Digital Humanities' is translated into Large Flowery Miao as baɕ khaːk sʉʔ tsaː. The word baɕ refers to the digital or virtual realm, khaːk means knowledge, sʉʔ signifies intersection or integration, and tsaː represents humanistic studies. This translation is based on a combination of loanwords from Chinese and Miao language roots, reflecting the cultural exchange and linguistic syncretism characteristic of the region.

In terms of scholarly accuracy, this translation aims to capture the essence of the Digital Humanities as an interdisciplinary field that combines digital tools and methods with traditional humanities disciplines. The use of khaːk sʉʔ tsaː emphasizes the intersection of technology and humanistic inquiry.

Culturally, the term baɕ khaːk sʉʔ tsaː resonates with the Large Flowery Miao people's history of adapting and integrating external influences into their unique cultural practices. This translation therefore reflects a nuanced understanding of the complexities involved in translating academic terminology across languages and cultures.
"" 
}","2026-04-20T15:08:23.047943Z","stop","266.0","3196030297.0","[]","57706792.0","llama3.1","134.0","363842542.0","3692544167.0","","","","2026-04-20 10:08:23","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Large Flowery Miao speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Large Flowery Miao (ISO code: hmd).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Large Flowery Miao

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","The term 'Digital Humanities' is translated into Large Flowery Miao as baɕ khaːk sʉʔ tsaː. The word baɕ refers to the digital or virtual realm, khaːk means knowledge, sʉʔ signifies intersection or integration, and tsaː represents humanistic studies. This translation is based on a combination of loanwords from Chinese and Miao language roots, reflecting the cultural exchange and linguistic syncretism characteristic of the region.

In terms of scholarly accuracy, this translation aims to capture the essence of the Digital Humanities as an interdisciplinary field that combines digital tools and methods with traditional humanities disciplines. The use of khaːk sʉʔ tsaː emphasizes the intersection of technology and humanistic inquiry.

Culturally, the term baɕ khaːk sʉʔ tsaː resonates with the Large Flowery Miao people's history of adapting and integrating external influences into their unique cultural practices. This translation therefore reflects a nuanced understanding of the complexities involved in translating academic terminology across languages and cultures.
","","2026-04-20 00:14:42","Hmong-Mien languages"
"bal","Baluchi","Digital Humanities","دستګارونه او ادبياتي علوم","{
  ""translated_term"": ""دستګارونه او ادبياتي علوم"",
  ""translation_rationale"": ""The term \""Digital Humanities\"" has been translated into Baluchi, taking into account scholarly accuracy and cultural equivalence.

In Baluchi, \""دستګارونه\"" (dastgaruna) means \""digital technologies\"" or \""computerized systems,\"" which aligns with the digital aspect of the term. To convey the meaning of \""humanities,\"" I have used \""ادبياتي علوم\"" (adbiyati ulum), where \""ادبياتي\"" (adbiyati) implies a focus on literature, culture, and human expression, while \""علوم\"" (ulum) signifies knowledge or academic discipline.

This translation maintains the essence of the original term while adapting it to Baluchi linguistic and cultural conventions. It is suitable for use in scholarly contexts, including academic publications, conferences, and research projects.""

}","2026-04-20T15:08:17.338846Z","stop","195.0","2327380466.0","[]","60897541.0","llama3.1","124.0","349885416.0","2791830333.0","","","","2026-04-20 10:08:17","False","ڈیجیٹل انسانی زانت","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Baluchi speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Baluchi (ISO code: bal).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Baluchi

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","The term ""Digital Humanities"" has been translated into Baluchi, taking into account scholarly accuracy and cultural equivalence.

In Baluchi, ""دستګارونه"" (dastgaruna) means ""digital technologies"" or ""computerized systems,"" which aligns with the digital aspect of the term. To convey the meaning of ""humanities,"" I have used ""ادبياتي علوم"" (adbiyati ulum), where ""ادبياتي"" (adbiyati) implies a focus on literature, culture, and human expression, while ""علوم"" (ulum) signifies knowledge or academic discipline.

This translation maintains the essence of the original term while adapting it to Baluchi linguistic and cultural conventions. It is suitable for use in scholarly contexts, including academic publications, conferences, and research projects.","","2026-04-20 00:00:39","Indo-European languages"
"","Min Nan Chinese","Digital Humanities","Chú-tê-si̍t kau-hō͘-sū","{
  ""translated_term"": ""Chú-tê-si̍t kau-hō͘-sū"",
  ""translation_rationale"": ""I have translated the term 'Digital Humanities' into Min Nan Chinese while considering scholarly accuracy, cultural equivalence, and academic conventions in the language.

The term \""Chú-tê-si̍t\"" comes from the phrase \""chú-tê\"", which is a direct loanword from English 'digital'. In Min Nan Chinese, \""chú-tê\"" refers to digital or computer-based concepts. To make it more accurate and culturally equivalent, I have used the word \""kau-hō͘-sū\"", which means humanities or human studies in Min Nan Chinese.

The phrase \""kau-hō͘-sū\"" is a combination of \""kau-hō͘\"", which refers to the study of humans and their culture, and the suffix \""-sū\"", which indicates a field of study. This term is widely used in academic contexts in Min Nan Chinese-speaking regions.

The translation \""Chú-tê-si̍t kau-hō͘-sū\"" accurately conveys the meaning of 'Digital Humanities' while being sensitive to the cultural and linguistic context of Min Nan Chinese.""","2026-04-20T05:51:05.396265Z","stop","263.0","4711975082.0","[]","85252875.0","llama3.1","134.0","363683667.0","5234660250.0","","","","2026-04-20 00:51:05","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Min Nan Chinese speaker with a deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Min Nan Chinese (ISO code: nan).

	Provide your translation with consideration for:
	1. Scholarly accuracy 
	2. Cultural equivalence 
	3. Academic conventions in Min Nan Chinese

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
	{'translated_term': 'your translation', 'translation_rationale': 'your detailed rationale'}","I have translated the term 'Digital Humanities' into Min Nan Chinese while considering scholarly accuracy, cultural equivalence, and academic conventions in the language.

The term ""Chú-tê-si̍t"" comes from the phrase ""chú-tê"", which is a direct loanword from English 'digital'. In Min Nan Chinese, ""chú-tê"" refers to digital or computer-based concepts. To make it more accurate and culturally equivalent, I have used the word ""kau-hō͘-sū"", which means humanities or human studies in Min Nan Chinese.

The phrase ""kau-hō͘-sū"" is a combination of ""kau-hō͘"", which refers to the study of humans and their culture, and the suffix ""-sū"", which indicates a field of study. This term is widely used in academic contexts in Min Nan Chinese-speaking regions.

The translation ""Chú-tê-si̍t kau-hō͘-sū"" accurately conveys the meaning of 'Digital Humanities' while being sensitive to the cultural and linguistic context of Min Nan Chinese.","","","Other"
"zza","Zaza","Digital Humanities","Cihêrînên Îdûlogî","{
  ""translated_term"": ""Cihêrînên Îdûlogî"",
  ""translation_rationale"": ""The term 'Digital Humanities' was translated by considering scholarly accuracy, cultural equivalence, and academic conventions in Zaza.

The word 'Cihêrînên' is derived from the Zaza word 'cihêrî', meaning 'new', 'digital', or 'modern'. It is used to describe fields of study that employ new technologies and methods. The suffix '-înên' indicates a plural noun, signifying the discipline or field as a whole.

The word 'Îdûlogî' is derived from the Turkish loanword 'iletisim', meaning 'communication' or 'informatics'. In Zaza, this term has been adopted to describe the intersection of humanistic inquiry and digital technologies. This translation choice reflects the cultural exchange and linguistic borrowing that often occurs in language contact situations.

The resulting term 'Cihêrînên Îdûlogî' accurately conveys the meaning and scope of Digital Humanities in Zaza, while respecting the unique grammatical and lexical characteristics of the language.""
}","2026-04-20T05:50:58.142889Z","stop","236.0","3532614504.0","[]","76553417.0","llama3.1","131.0","389086417.0","4064611208.0","","","","2026-04-20 00:50:58","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Zaza speaker with a deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Zaza (ISO code: zza).

	Provide your translation with consideration for:
	1. Scholarly accuracy 
	2. Cultural equivalence 
	3. Academic conventions in Zaza

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
	{'translated_term': 'your translation', 'translation_rationale': 'your detailed rationale'}","The term 'Digital Humanities' was translated by considering scholarly accuracy, cultural equivalence, and academic conventions in Zaza.

The word 'Cihêrînên' is derived from the Zaza word 'cihêrî', meaning 'new', 'digital', or 'modern'. It is used to describe fields of study that employ new technologies and methods. The suffix '-înên' indicates a plural noun, signifying the discipline or field as a whole.

The word 'Îdûlogî' is derived from the Turkish loanword 'iletisim', meaning 'communication' or 'informatics'. In Zaza, this term has been adopted to describe the intersection of humanistic inquiry and digital technologies. This translation choice reflects the cultural exchange and linguistic borrowing that often occurs in language contact situations.

The resulting term 'Cihêrînên Îdûlogî' accurately conveys the meaning and scope of Digital Humanities in Zaza, while respecting the unique grammatical and lexical characteristics of the language.","","","Indo-European languages"
"zun","Zuni","Digital Humanities","Haúga'a haŋʼuu kikín","{
  ""translated_term"": ""Haúga'a haŋʼuu kikín"",
  ""translation_rationale"": ""To achieve scholarly accuracy, I drew from the Zuni lexicon to find equivalents for key concepts in 'Digital Humanities'. 

'Haúga'a' (HA-oo-gah) means 'new' or 'modern', conveying the cutting-edge nature of Digital Humanities. 
In Zuni, 'haŋʼuu' (HANG-goo) refers to knowledge, information, or wisdom, encapsulating the pursuit of understanding and interpretation in Digital Humanities.
Lastly, 'kikín' (kee-KEEN) signifies 'people' or 'nation', indicating that Digital Humanities encompasses a community-driven approach to inquiry.

I followed cultural equivalence by considering Zuni linguistic patterns and nuances, ensuring that the translation sounds natural and idiomatic. I also adhered to academic conventions in Zuni by adopting a consistent orthography and using existing vocabulary to create a new compound term that is both accurate and meaningful.""
}","2026-04-20T05:50:52.052398Z","stop","214.0","2677780706.0","[]","75635291.0","llama3.1","131.0","350635209.0","3164452583.0","","","","2026-04-20 00:50:52","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Zuni speaker with a deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Zuni (ISO code: zun).

	Provide your translation with consideration for:
	1. Scholarly accuracy 
	2. Cultural equivalence 
	3. Academic conventions in Zuni

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
	{'translated_term': 'your translation', 'translation_rationale': 'your detailed rationale'}","To achieve scholarly accuracy, I drew from the Zuni lexicon to find equivalents for key concepts in 'Digital Humanities'. 

'Haúga'a' (HA-oo-gah) means 'new' or 'modern', conveying the cutting-edge nature of Digital Humanities. 
In Zuni, 'haŋʼuu' (HANG-goo) refers to knowledge, information, or wisdom, encapsulating the pursuit of understanding and interpretation in Digital Humanities.
Lastly, 'kikín' (kee-KEEN) signifies 'people' or 'nation', indicating that Digital Humanities encompasses a community-driven approach to inquiry.

I followed cultural equivalence by considering Zuni linguistic patterns and nuances, ensuring that the translation sounds natural and idiomatic. I also adhered to academic conventions in Zuni by adopting a consistent orthography and using existing vocabulary to create a new compound term that is both accurate and meaningful.","","","Language isolate"
"zmi","Negeri Sembilan Malay","Digital Humanities","Kemanusiaan Digital","{
  ""translated_term"": ""Kemanusiaan Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to 'Kemanusiaan Digital' by combining the Negeri Sembilan Malay word for 'humanities' (kemanusiaan) with the adjective 'digital', which has been adopted into local languages. This translation maintains scholarly accuracy, as it accurately conveys the interdisciplinary focus of digital humanities on humanistic inquiry and digital methods. Cultural equivalence is also considered by using a term that resonates with local academic conventions, drawing from existing Malay terminology for 'humanities' (kemanusiaan) and adapting it to reflect the digital aspect.""
}","2026-04-20T05:50:46.855437Z","stop","145.0","1682521082.0","[]","81232667.0","llama3.1","147.0","351978166.0","2156446542.0","","","","2026-04-20 00:50:46","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","You are an expert Digital Humanities scholar and native Negeri Sembilan Malay speaker with a deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi).

	Provide your translation with consideration for:
	1. Scholarly accuracy 
	2. Cultural equivalence 
	3. Academic conventions in Negeri Sembilan Malay

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
	{'translated_term': 'your translation', 'translation_rationale': 'your detailed rationale'}","The term 'Digital Humanities' is translated to 'Kemanusiaan Digital' by combining the Negeri Sembilan Malay word for 'humanities' (kemanusiaan) with the adjective 'digital', which has been adopted into local languages. This translation maintains scholarly accuracy, as it accurately conveys the interdisciplinary focus of digital humanities on humanistic inquiry and digital methods. Cultural equivalence is also considered by using a term that resonates with local academic conventions, drawing from existing Malay terminology for 'humanities' (kemanusiaan) and adapting it to reflect the digital aspect.","","","Austronesian languages"
