language_code,language_name,bcp47_tag,kind,bcp47_source,project_translation,project_error,bcp47_translation,bcp47_error,agree,outcome
bat-smg,Samogitian,sgs,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|sgs [{'@type',False,both_failed
be-x-old,Belarusian (Taraškievica),be-tarask,grandfathered,grandfathered_fallback,Лічбавыя гуманітарныя навукі,,Лічбавыя гуманітарныя навукі,,True,agree
cnr,Montenegrin,sr-ME,iana_preferred_value,iso639_2_t,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|cnr [{'@type',,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|sr-ME [{'@typ,False,both_failed
fiu-vro,Võro,vro,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|vro [{'@type',False,both_failed
map-bms,Banyumasan,jv,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,Humaniora Digital,,False,bcp47_only
mo,Moldovan,ro,iana_preferred_value,iso639_1,Științe Umaniste Digitale,,Științe Umaniste Digitale,,True,agree
roa-rup,Aromanian,rup,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|rup [{'@type',False,both_failed
sh,Serbo-Croatian,sr-Latn,iana_preferred_value,iso639_1,Дигиталне хуманистичке науке,,Дигиталне хуманистичке науке,,True,agree
tl,Tagalog,fil,iana_preferred_value,iso639_1,Digital Humanities,,Digital Humanities,,True,agree
tokipona,Toki Pona,tok,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|tok [{'@type',False,both_failed
zh-classical,Classical Chinese,lzh,grandfathered,grandfathered_fallback,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Invalid Value [{'@type': 'type.goog,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|lzh [{'@type',False,both_failed
zh-min-nan,Minnan,nan,iana_preferred_value,language_code,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|zh-min-nan [{,,BadRequest: 400 POST https://translation.googleapis.com/language/translate/v2?prettyPrint=false: Bad language pair: en|nan [{'@type',False,both_failed
zh-yue,Cantonese,yue,iana_preferred_value,language_code,數碼人文,,數碼人文,,True,agree
