language_code,wikipedia_translated_term,term_source,coding_dh_date
ar,تاريخ عام,Public History,2025-05-15 17:23:52
cs,Public history,Public History,2025-05-15 17:23:52
de,Public History,Public History,2025-05-15 17:23:52
el,Δημόσια ιστορία,Public History,2025-05-15 17:23:52
es,Historia pública,Public History,2025-05-15 17:23:52
fr,Histoire publique,Public History,2025-05-15 17:23:52
he,היסטוריה ציבורית,Public History,2025-05-15 17:23:52
id,Sejarah publik,Public History,2025-05-15 17:23:52
it,Public history,Public History,2025-05-15 17:23:52
ko,공공역사,Public History,2025-05-15 17:23:52
pt,História pública,Public History,2025-05-15 17:23:52
ru,Публичная история,Public History,2025-05-15 17:23:52
uz,Ommaviy tarix,Public History,2025-05-15 17:23:52
zh,大眾史學,Public History,2025-05-15 17:23:52
en,public history,Public History,2025-05-15 17:23:52
