"language_code","language_name","term_source","openai_translated_term","openai_completion_tokens","openai_created","openai_finish_reason","openai_model","openai_prompt_tokens","openai_total_tokens","openai_translation_rationale","openai_translation","term","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_translated_term","ollama_content","ollama_created_at","ollama_done_reason","ollama_eval_count","ollama_eval_duration","ollama_extracted_dictionaries","ollama_load_duration","ollama_model","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_total_duration","ollama_translation","ollama_system_prompt","ollama_user_prompt","ollama_translation_rationale","exclude_openai","openai_system_prompt","openai_user_prompt","coding_dh_date_x","coding_dh_date_y","family_name"
"zun","Zuni","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:35","True","","True","","True","","True","","{'translated_term': 'Shinííyáa'góóni', 'translation_rationale': 'K'ééh, ""Shiníí"" kin haashch'éé yishtlí, ""iiná"" hozhoni, ""yaa"" át'éelínii, ""Góóni"" haashch'éélínii. Shinííyáa'góóni hozhonii.'}","2026-04-20T12:44:57.988842Z","stop","98.0","1147965544.0","[]","100555167.0","llama3.1","152.0","364463542.0","1639388084.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Zuni speaker and translation expert. Translate 'Digital Humanities' into Zuni (ISO code: zun).

	Please provide your rationale (explanation) in Zuni, not English. Unless you have a strong reason to use English (such as when Zuni is English), your rationale should be in Zuni to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zuni):
	{'translated_term': 'the translation in Zuni', 'translation_rationale': 'your explanation in Zuni'}","","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Zuni speaker and translation expert. Translate 'Digital Humanities' into Zuni (ISO code: zun).

Please provide your rationale in Zuni, not English — unless Zuni is English or you have a strong reason to use English. Writing in Zuni demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zuni):
{""translated_term"": ""your translation in Zuni"", ""translation_rationale"": ""your explanation in Zuni""}","","2026-04-20 10:37:30",""
"zen","Zenaga","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:33","True","","True","","True","","False","Innaŋen daxam","{
  ""translated_term"": ""Innaŋen daxam"",
  ""translation_rationale"": ""Iggiŋo lafwaɣe Innaŋen, ame senniwa daxam. Innaŋen kebbu k'awlaɣ, akk'u daxam t'addakal ɣeyw'a, aw'nag l'efsiɣ d'iɣa kewwi.""
}","2026-04-20T12:44:34.163151Z","stop","104.0","1220072916.0","[]","74944042.0","llama3.1","152.0","364887625.0","1688235750.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Zenaga speaker and translation expert. Translate 'Digital Humanities' into Zenaga (ISO code: zen).

	Please provide your rationale (explanation) in Zenaga, not English. Unless you have a strong reason to use English (such as when Zenaga is English), your rationale should be in Zenaga to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zenaga):
	{'translated_term': 'the translation in Zenaga', 'translation_rationale': 'your explanation in Zenaga'}","Iggiŋo lafwaɣe Innaŋen, ame senniwa daxam. Innaŋen kebbu k'awlaɣ, akk'u daxam t'addakal ɣeyw'a, aw'nag l'efsiɣ d'iɣa kewwi.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Zenaga speaker and translation expert. Translate 'Digital Humanities' into Zenaga (ISO code: zen).

Please provide your rationale in Zenaga, not English — unless Zenaga is English or you have a strong reason to use English. Writing in Zenaga demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zenaga):
{""translated_term"": ""your translation in Zenaga"", ""translation_rationale"": ""your explanation in Zenaga""}","","2026-04-20 10:37:23",""
"zbl","Blissymbols","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:31","True","","True","","True","","True","","{'translated_term': zbl['digital': 0, 1, 2] + zbl['humanities': 3, 4, 5, 6, 7], 'translation_rationale': zbl['zhrak': 8, 9, 10, 11] + zbl['tiknok': 12, 13, 14, 15] + zbl['savon': 16, 17, 18] + zbl['toku': 19, 20, 21, 22] + zbl['sava': 23, 24]}

Explanation: 
zhrak (8) tiknok (9-13) savon (14-18) tiku (19-23) sava (24)

The term 'Digital Humanities' is composed of two parts. The first part, ""digital"", refers to the use of technology and digital methods in academic research. In Blissymbols, this can be represented by zhrak (8), indicating the concept of numbers and quantity, which is expanded upon with tiknok (9-13) to include the notion of binary code and computational thinking.

The second part, ""humanities"", refers to the study of human culture, language, and behavior. This can be represented by savon (14-18), indicating the concept of written language and communication. The use of tiku (19-23) indicates the focus on qualitative aspects of human experience, while sava (24) emphasizes the importance of subjective interpretation and understanding.

Together, these Blissymbols convey the idea that the Digital Humanities is an interdisciplinary field that combines quantitative and qualitative approaches to study human culture and behavior in a digital context.","2026-04-20T12:44:21.182436Z","stop","359.0","5464195251.0","[]","75193416.0","llama3.1","153.0","362764167.0","5997324583.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Blissymbols speaker and translation expert. Translate 'Digital Humanities' into Blissymbols (ISO code: zbl).

	Please provide your rationale (explanation) in Blissymbols, not English. Unless you have a strong reason to use English (such as when Blissymbols is English), your rationale should be in Blissymbols to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Blissymbols):
	{'translated_term': 'the translation in Blissymbols', 'translation_rationale': 'your explanation in Blissymbols'}","","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Blissymbols speaker and translation expert. Translate 'Digital Humanities' into Blissymbols (ISO code: zbl).

Please provide your rationale in Blissymbols, not English — unless Blissymbols is English or you have a strong reason to use English. Writing in Blissymbols demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Blissymbols):
{""translated_term"": ""your translation in Blissymbols"", ""translation_rationale"": ""your explanation in Blissymbols""}","","2026-04-20 10:37:21",""
"zap","Zapotec","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:30","False","Humanidades digitales","True","","True","","False","Nkixpantla Tlaltilahtli","{
  ""translated_term"": ""Nkixpantla Tlaltilahtli"",
  ""translation_rationale"": ""Na nkixpan tlanetzapotitikaya ximximaya tlatlapalhualiliztah ti Nkixpantla Tlaltilahtli, tzitzimitl tlakuxihuatzinaka, kaxtlapamiliztah tlatililiztah.""
}","2026-04-20T12:44:13.153558Z","stop","91.0","1063957625.0","[]","81297417.0","llama3.1","152.0","370892750.0","1541702375.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Zapotec speaker and translation expert. Translate 'Digital Humanities' into Zapotec (ISO code: zap).

	Please provide your rationale (explanation) in Zapotec, not English. Unless you have a strong reason to use English (such as when Zapotec is English), your rationale should be in Zapotec to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zapotec):
	{'translated_term': 'the translation in Zapotec', 'translation_rationale': 'your explanation in Zapotec'}","Na nkixpan tlanetzapotitikaya ximximaya tlatlapalhualiliztah ti Nkixpantla Tlaltilahtli, tzitzimitl tlakuxihuatzinaka, kaxtlapamiliztah tlatililiztah.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Zapotec speaker and translation expert. Translate 'Digital Humanities' into Zapotec (ISO code: zap).

Please provide your rationale in Zapotec, not English — unless Zapotec is English or you have a strong reason to use English. Writing in Zapotec demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zapotec):
{""translated_term"": ""your translation in Zapotec"", ""translation_rationale"": ""your explanation in Zapotec""}","","2026-04-20 10:37:19",""
"yrk","Nenets","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:28","True","","True","","True","","False","Iñarįŋađiŋ","Here is the response in the requested format:

{
  ""translated_term"": ""Iñarįŋađiŋ"",
  ""translation_rationale"": ""Sɨlɨɣət ɨnɪrɔŋkɪn Iŋuŋɐłˈɕɛs. Kʊsɪłmɪŋ sɨnɨŋŋɪrɪn ađɪpɪlɪrət kɪhɑkɪt ɯŋuŋˈkɛ. Iɔrɐkɪŋ sɨŋɣɛŋɛr ałɪsɐ ɡɪdʊpɪl kɪhɑkɪt, sɯŋɣɛŋɛr Iŋuŋɐłˈɕɛ. Kɪhɑkɪt kɪnɔ ɣɑkɪpɪl ɡɪdʊpɪl ađɪ.""
}","2026-04-20T12:43:50.683356Z","stop","275.0","5849368245.0","[]","81779792.0","llama3.1","161.0","438459083.0","6439303834.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Nenets speaker and translation expert. Translate 'Digital Humanities' into Nenets (ISO code: yrk).

	Please provide your rationale (explanation) in Nenets, not English. Unless you have a strong reason to use English (such as when Nenets is English), your rationale should be in Nenets to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Nenets):
	{'translated_term': 'the translation in Nenets', 'translation_rationale': 'your explanation in Nenets'}","Sɨlɨɣət ɨnɪrɔŋkɪn Iŋuŋɐłˈɕɛs. Kʊsɪłmɪŋ sɨnɨŋŋɪrɪn ađɪpɪlɪrət kɪhɑkɪt ɯŋuŋˈkɛ. Iɔrɐkɪŋ sɨŋɣɛŋɛr ałɪsɐ ɡɪdʊpɪl kɪhɑkɪt, sɯŋɣɛŋɛr Iŋuŋɐłˈɕɛ. Kɪhɑkɪt kɪnɔ ɣɑkɪpɪl ɡɪdʊpɪl ađɪ.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Nenets speaker and translation expert. Translate 'Digital Humanities' into Nenets (ISO code: yrk).

Please provide your rationale in Nenets, not English — unless Nenets is English or you have a strong reason to use English. Writing in Nenets demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Nenets):
{""translated_term"": ""your translation in Nenets"", ""translation_rationale"": ""your explanation in Nenets""}","","2026-04-20 10:37:17",""
"yao","Yao","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:23","True","","True","","True","","True","","{
  'translated_term': 'Tiwai waji ai',
  'translation_rationale': 'Tiwa' - 'digital' na 'waji ai' - 'humanities'. Tiwa ni tukio linalofanywa kwenye kompyuta, wakati waji ai ni sayansi ya binadamu. Ni masharti yanayofanana na matumizi ya teknolojia na kubuni habari.'
}","2026-04-20T12:43:20.61375Z","stop","95.0","1226912500.0","[]","80818667.0","llama3.1","145.0","373230834.0","1707547917.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Yao speaker and translation expert. Translate 'Digital Humanities' into Yao (ISO code: yao).

	Please provide your rationale (explanation) in Yao, not English. Unless you have a strong reason to use English (such as when Yao is English), your rationale should be in Yao to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Yao):
	{'translated_term': 'the translation in Yao', 'translation_rationale': 'your explanation in Yao'}","","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Yao speaker and translation expert. Translate 'Digital Humanities' into Yao (ISO code: yao).

Please provide your rationale in Yao, not English — unless Yao is English or you have a strong reason to use English. Writing in Yao demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Yao):
{""translated_term"": ""your translation in Yao"", ""translation_rationale"": ""your explanation in Yao""}","","2026-04-20 10:37:05",""
"xsr","Sherpa","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:21","True","","True","","True","","False","Khang La Tshom Chhoeku Samskrti","{""translated_term"": ""Khang La Tshom Chhoeku Samskrti"", ""translation_rationale"": ""Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.""}","2026-04-20T15:23:33.238702Z","stop","127.0","1511604541.0","[{'translated_term': 'Khang La Tshom Chhoeku Samskrti', 'translation_rationale': ""Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.""}]","75580833.0","llama3.1","138.0","356128167.0","1977603542.0","Khang La Tshom Chhoeku Samskrti","You are a Digital Humanities scholar who speaks many languages.","You are a native Sherpa speaker and translation expert. Translate 'Digital Humanities' into Sherpa (ISO code: xsr).

Please provide your rationale in Sherpa, not English — unless Sherpa is English or you have a strong reason to use English. Writing in Sherpa demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sherpa):
{""translated_term"": ""your translation in Sherpa"", ""translation_rationale"": ""your explanation in Sherpa""}","Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Sherpa speaker and translation expert. Translate 'Digital Humanities' into Sherpa (ISO code: xsr).

Please provide your rationale in Sherpa, not English — unless Sherpa is English or you have a strong reason to use English. Writing in Sherpa demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sherpa):
{""translated_term"": ""your translation in Sherpa"", ""translation_rationale"": ""your explanation in Sherpa""}","","2026-04-20 10:37:04",""
"xsa","Sabaean","Digital Humanities","𐩡𐩥𐩬𐩺𐩡𐩧 𐩨𐩥𐩻𐩬𐩰𐩡𐩢","157.0","1776820696.0","stop","gpt-4o-2024-08-06","142.0","299.0","التحويل إلى المفاهيم القديمة للاقتصاد الرقمي أمر صعب. 'الرقمية' تحمل معنى 'العلوم الحديثة والمتطورة' بينما 'الإنسانية' ترتبط بالتعلم والدراسة للنصوص والآثار المكتشفة. اختيار ترجمة إلى السبئية يتطلب اهتماما بالاصطلاحات الأصلية والطابع الثقافي الأصيل لحضارة سبأ.","","","","2026-04-21 20:18:19","True","","True","","True","","False","Ḥumāniyyatu qadimīyatu ṣanʿat al-raqm","I must emphasize that translating a modern concept like ""Digital Humanities"" into an ancient language like Sabaean is a challenging task, as it requires creative interpretation and adaptation. Here's my attempt at a translation:

{
  'translated_term': 'Ḥumāniyyatu qadimīyatu ṣanʿat al-raqm',
  'translation_rationale': 'ḥumāniyyatu (humanity) qadimīyatu (ancient, old) ṣanʿat (craft, skill) al-raqm (of calculation, digit). I have employed a calque translation method to convey the essence of Digital Humanities in Sabaean. The term ""qadimīyatu"" emphasizes the antiquity and continuity with classical humanities, while ""ṣanʿat al-raqm"" conveys the modern, computational aspects.'
}","2026-04-20T12:43:09.485014Z","stop","191.0","2269335083.0","[]","78561833.0","llama3.1","161.0","405755959.0","2806969042.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Sabaean speaker and translation expert. Translate 'Digital Humanities' into Sabaean (ISO code: xsa).

	Please provide your rationale (explanation) in Sabaean, not English. Unless you have a strong reason to use English (such as when Sabaean is English), your rationale should be in Sabaean to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sabaean):
	{'translated_term': 'the translation in Sabaean', 'translation_rationale': 'your explanation in Sabaean'}","ḥumāniyyatu (humanity) qadimīyatu (ancient, old) ṣanʿat (craft, skill) al-raqm (of calculation, digit). I have employed a calque translation method to convey the essence of Digital Humanities in Sabaean. The term ""qadimīyatu"" emphasizes the antiquity and continuity with classical humanities, while ""ṣanʿat al-raqm"" conveys the modern, computational aspects.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Sabaean speaker and translation expert. Translate 'Digital Humanities' into Sabaean (ISO code: xsa).

Please provide your rationale in Sabaean, not English — unless Sabaean is English or you have a strong reason to use English. Writing in Sabaean demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sabaean):
{""translated_term"": ""your translation in Sabaean"", ""translation_rationale"": ""your explanation in Sabaean""}","","2026-04-20 10:37:00",""
"xpr","Parthian","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:15","True","","True","","True","","True","","","","","","","","","","","","","","","","","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Parthian speaker and translation expert. Translate 'Digital Humanities' into Parthian (ISO code: xpr).

Please provide your rationale in Parthian, not English — unless Parthian is English or you have a strong reason to use English. Writing in Parthian demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Parthian):
{""translated_term"": ""your translation in Parthian"", ""translation_rationale"": ""your explanation in Parthian""}","","2026-04-20 10:36:58",""
"xmr","Meroitic","Digital Humanities","","","","","","","","","","","","2026-04-21 20:18:09","True","","True","","True","","False","ኸር-ጠቢ-ዓፎ","{ 
    ""translated_term"": ""ኸር-ጠቢ-ዓፎ"", 
    ""translation_rationale"": ""ኸር (digital) = ኸር 'säure', ጠቢ (humanities) = ጠቢ 'tɔbɛ, meaning a place of knowledge, and ዓፎ (sciences/letters) = ዓፎ 'ʕafɑ 'a place where letters are kept'. Therefore, ኸር-ጠቢ-ዓፎ literally means 'place of digital knowledge'."" 
}","2026-04-20T12:42:51.977803Z","stop","157.0","1940017626.0","[]","80976334.0","llama3.1","161.0","422672458.0","2484218084.0","","You are a Digital Humanities scholar who speaks many languages.","You are a native Meroitic speaker and translation expert. Translate 'Digital Humanities' into Meroitic (ISO code: xmr).

	Please provide your rationale (explanation) in Meroitic, not English. Unless you have a strong reason to use English (such as when Meroitic is English), your rationale should be in Meroitic to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Meroitic):
	{'translated_term': 'the translation in Meroitic', 'translation_rationale': 'your explanation in Meroitic'}","ኸር (digital) = ኸር 'säure', ጠቢ (humanities) = ጠቢ 'tɔbɛ, meaning a place of knowledge, and ዓፎ (sciences/letters) = ዓፎ 'ʕafɑ 'a place where letters are kept'. Therefore, ኸር-ጠቢ-ዓፎ literally means 'place of digital knowledge'.","False","You are a Digital Humanities scholar who speaks many languages.","You are a native Meroitic speaker and translation expert. Translate 'Digital Humanities' into Meroitic (ISO code: xmr).

Please provide your rationale in Meroitic, not English — unless Meroitic is English or you have a strong reason to use English. Writing in Meroitic demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Meroitic):
{""translated_term"": ""your translation in Meroitic"", ""translation_rationale"": ""your explanation in Meroitic""}","","2026-04-20 10:36:55",""
