language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
aa,Public History,,Afar,"{'translated_term': '\u0438\u044f\u0442\u043e \u044f\u0440\u044b\u0444\u0443', 
'translation_rationale': 'The term ''Ayyunti Aydaadu'' provided by Google Translate can be translated to Afar as \u0438\u044f\u0442\u043e \u044f\u0440\u044c\u0431\u0443, which roughly conveys the idea of a collective or public effort. I modified this to \u0438\u044f\u0442\u043e \u0444\u0443 (iisto fo), emphasizing that history is both shared and understood by all members of the community, rather than just being a state-run endeavor.'}

Alternatively, I could have also translated 'Public History' as '\u0449\u044b\u043c\u0430\u0442\u044b\u0441 \u0438\u0441\u0442\u0442\u0443\u0447\u0435\u0441\u0442\u0432\u0443', which could be translated to Afar as '\u043a\u0439\u043c\u043e\u0434\u0438\u0440\u044e \u044f\u0440\u0440\u0441\u044b\u0441\u0449\u0445\u0441\u0442\u0443\u0442\u0445', conveying the idea of a communal or collective study and preservation of historical knowledge.",llama3.2,2025-02-27T22:34:17.390231Z,3149198333.0,29214291.0,149.0,157000000.0,320.0,2960000000.0,stop,[],,2025-05-31 21:15:56
my,Public History,နိုင်ငံရေး သမဘာ္ဗိယ,Burmese,"{'translated_term': 'နိုင်ငံရေး သမဘာ္ဗိယ', 'translation_rationale': 'I translated ""Public History"" to Burmese as နိုင်ငံရေး သမဘာ္ဗိယ, which roughly translates to ""politics of the past"". The term ""public"" is not directly translatable to Burmese, so I used """" (politics) and """" (သမဘာ္ဗိယ, meaning ""history"" or ""science""). This translation captures the essence of public history as a field that engages with the past in a democratic and inclusive manner. Alternative translations could include ပြည်နိုင်း သမဘာ္ဗိယ (kyɔr nān thmah pyathaw, meaning ""urban history"" or ""public history in a broader sense""), but I opted for the more idiomatic translation above.', 'alternative_translations': ['ပြည်နိုင်း သမဘာ္ဗိယ', 'ဒေါရီ နိုင်ငံရေး သမဘာ္ဗိယ']}",llama3.2,2025-05-15T20:08:30.874444Z,3786326583.0,27774625.0,120.0,81631792.0,359.0,3675113292.0,stop,"[{'translated_term': 'နိုင်ငံရေး သမဘာ္ဗိယ', 'translation_rationale': 'I translated ""Public History"" to Burmese as နိုင်ငံရေး သမဘာ္ဗိယ, which roughly translates to ""politics of the past"". The term ""public"" is not directly translatable to Burmese, so I used """" (politics) and """" (သမဘာ္ဗိယ, meaning ""history"" or ""science""). This translation captures the essence of public history as a field that engages with the past in a democratic and inclusive manner. Alternative translations could include ပြည်နိုင်း သမဘာ္ဗိယ (kyɔr nān thmah pyathaw, meaning ""urban history"" or ""public history in a broader sense""), but I opted for the more idiomatic translation above.', 'alternative_translations': ['ပြည်နိုင်း သမဘာ္ဗိယ', 'ဒေါရီ နိုင်ငံရေး သမဘာ္ဗိယ']}]",နိုင်ငံရေး သမဘာ္ဗိယ,2025-05-31 21:15:56
lu,Public History,Kikabongo Kita,Luba-Katanga,"{'translated_term': 'Kolokolo a Kolelo', 'translation_rationale': 'The Luba-Katanga concept of ""kolokolo"" refers to historical knowledge and stories passed down through generations, while ""a kolelo"" implies public or shared dissemination. This term captures the essence of Public History by highlighting its role in sharing and preserving collective memory.'}

Alternatively, other suggested translations could be:
- {'translated_term': 'Lubembe Lola', 'translation_rationale': 'This term combines ""lubembe"", meaning ""historical"" or ""recorded,"" with ""lola,"" implying a public or community aspect. While not a direct translation of Public History, it conveys the importance of historical preservation and sharing in Luba-Katanga culture.'}
- {'translated_term': 'Kikabongo Kita', 'translation_rationale': 'In Luba-Katanga, ""kikabongo"" means ""history"" or ""story,"" and ""ita"" signifies a public gathering or assembly. This term emphasizes the communal aspect of Public History, where collective stories are shared among community members.'}",llama3.2,2025-05-15T20:12:17.719845Z,2298730125.0,30409125.0,124.0,74310000.0,232.0,2192997792.0,stop,"[{'translated_term': 'Kolokolo a Kolelo', 'translation_rationale': 'The Luba-Katanga concept of ""kolokolo"" refers to historical knowledge and stories passed down through generations, while ""a kolelo"" implies public or shared dissemination. This term captures the essence of Public History by highlighting its role in sharing and preserving collective memory.'}, {'translated_term': 'Lubembe Lola', 'translation_rationale': 'This term combines ""lubembe"", meaning ""historical"" or ""recorded,"" with ""lola,"" implying a public or community aspect. While not a direct translation of Public History, it conveys the importance of historical preservation and sharing in Luba-Katanga culture.'}, {'translated_term': 'Kikabongo Kita', 'translation_rationale': 'In Luba-Katanga, ""kikabongo"" means ""history"" or ""story,"" and ""ita"" signifies a public gathering or assembly. This term emphasizes the communal aspect of Public History, where collective stories are shared among community members.'}]",Kikabongo Kita,2025-05-31 21:15:56
lv,Public History,Publiskā vēsture un māksla,Latvian,"{'translated_term': 'Publiskā vēsture un māksla', 'translation_rationale': 'I modified the suggested term ""Publiskā vēsture"" by adding ""un m\u00e4ksla"", which roughly translates to ""and art"" in English, as public history often involves a creative and interpretive approach to historical narratives. This term is closer to the original concept of ""Public History"" in English, but still acknowledges the nuances of Latvian language. Alternative terms could be ""Sociālā vēsture"" (Social history) or ""Vēsturiska izglītība"" (Historical education), which convey a more general sense of public history, but may not fully capture its creative and interpretive aspects.'}",llama3.2,2025-02-27T22:45:18.425859Z,1715458083.0,28925792.0,152.0,99000000.0,167.0,1586000000.0,stop,"[{'translated_term': 'Publiskā vēsture un māksla', 'translation_rationale': 'I modified the suggested term ""Publiskā vēsture"" by adding ""un mäksla"", which roughly translates to ""and art"" in English, as public history often involves a creative and interpretive approach to historical narratives. This term is closer to the original concept of ""Public History"" in English, but still acknowledges the nuances of Latvian language. Alternative terms could be ""Sociālā vēsture"" (Social history) or ""Vēsturiska izglītība"" (Historical education), which convey a more general sense of public history, but may not fully capture its creative and interpretive aspects.'}]",Publiskā vēsture un māksla,2025-05-31 21:15:56
mg,Public History,Famana ny Vidy,Malagasy,"{'translated_term': 'Fenomena Andry Nomeny', 'translation_rationale': 'I drew inspiration from Malagasy words that convey public awareness and understanding of historical events or cultural heritage. ""Fenomena"" roughly translates to ""event"" or ""occurrence"", while ""Andry"" means ""of the people"" or ""public"". The suffix ""-meny"" is often used in Malagasy to indicate a place, event, or institution related to that word. In this context, I combined these elements to create a term that captures the essence of Public History. However, I acknowledge that ""Tantaram-bahoaka"" (as suggested by Google Translate) also conveys the idea of public knowledge and awareness, which is closely related to the concept of Public History.'}

Alternative translation: {'translated_term': 'Famana ny Vidy', 'translation_rationale': 'This term draws from Malagasy concepts of ""famana"" (public or communal area) and ""vidy"" (knowledge or understanding). While not an exact match, this phrase conveys the idea of Public History as a shared body of knowledge about historical events or cultural heritage that is accessible to the public.'}",llama3.2,2025-02-27T22:45:29.314351Z,2443664625.0,25898625.0,150.0,90000000.0,251.0,2326000000.0,stop,"[{'translated_term': 'Fenomena Andry Nomeny', 'translation_rationale': 'I drew inspiration from Malagasy words that convey public awareness and understanding of historical events or cultural heritage. ""Fenomena"" roughly translates to ""event"" or ""occurrence"", while ""Andry"" means ""of the people"" or ""public"". The suffix ""-meny"" is often used in Malagasy to indicate a place, event, or institution related to that word. In this context, I combined these elements to create a term that captures the essence of Public History. However, I acknowledge that ""Tantaram-bahoaka"" (as suggested by Google Translate) also conveys the idea of public knowledge and awareness, which is closely related to the concept of Public History.'}, {'translated_term': 'Famana ny Vidy', 'translation_rationale': 'This term draws from Malagasy concepts of ""famana"" (public or communal area) and ""vidy"" (knowledge or understanding). While not an exact match, this phrase conveys the idea of Public History as a shared body of knowledge about historical events or cultural heritage that is accessible to the public.'}]",Famana ny Vidy,2025-05-31 21:15:56
mi,Public History,Whakapapa a Iwi,Māori,"{'translated_term': 'Whakapapa a Iwi' , 'translation_rationale': 'In Māori, Whakapapa refers to the history and genealogy of a whānau (family), iwi (tribe), or hapū (sub-tribe). Adding ""a Iwi"" emphasizes that public history is focused on the collective histories and experiences of an iwi. This term acknowledges the importance of cultural knowledge and identity in shaping our understanding of history, while also recognizing that public history is a shared endeavor for the benefit of the broader community.', 'alternatives': ['Whakahiko whanaupoko', 'Tangata whenua historia', 'Mātauranga iwi']}",llama3.2,2025-05-15T20:12:35.009977Z,1346346500.0,35012708.0,120.0,21073375.0,149.0,1289014541.0,stop,"[{'translated_term': 'Whakapapa a Iwi', 'translation_rationale': 'In Māori, Whakapapa refers to the history and genealogy of a whānau (family), iwi (tribe), or hapū (sub-tribe). Adding ""a Iwi"" emphasizes that public history is focused on the collective histories and experiences of an iwi. This term acknowledges the importance of cultural knowledge and identity in shaping our understanding of history, while also recognizing that public history is a shared endeavor for the benefit of the broader community.', 'alternatives': ['Whakahiko whanaupoko', 'Tangata whenua historia', 'Mātauranga iwi']}]",Whakapapa a Iwi,2025-05-31 21:15:56
mk,Public History,Јавна историја,Macedonian,"{'translated_term': 'Јавна историја', 'translation_rationale': 'While Google Translate suggests ""Јавна историја"", I chose this term because it directly translates to ""Public History"" and closely matches the concept. The word ""Јавна"" means ""public"", ""историја"" means ""history"", making it a straightforward and accurate translation.'}",llama3.2,2025-02-27T22:45:25.855717Z,860034000.0,27620042.0,150.0,100000000.0,85.0,730000000.0,stop,"[{'translated_term': 'Јавна историја', 'translation_rationale': 'While Google Translate suggests ""Јавна историја"", I chose this term because it directly translates to ""Public History"" and closely matches the concept. The word ""Јавна"" means ""public"", ""историја"" means ""history"", making it a straightforward and accurate translation.'}]",Јавна историја,2025-05-31 21:15:56
mn,Public History,алтя юудисещноич,Mongolian,"{'translated_term': '\u0430\u043b\u0442\u044f \u044e\u0443\u0434\u0438\u0441\u0435\u0449\u043d\u043e\u0438\u0447', 'translation_rationale': 'The term \u0430\u043b\u0442\u044f \u044e\u0443\u0434\u0438\u0441\u0435\u0449н\u043e\u0438\u0447 is derived from the Latin ""historia"", meaning history, and the suffix ""-al"", indicating a place or field. This term is widely used in Europe and other parts of the world to describe the study and application of historical knowledge in public contexts. In Mongolian, I have adapted this term by replacing the prefix ""\u0430\u043b\u0442\u044f"" with ""\u0438\u0431\u043c\u0435\u044e\u043d"", which means ""public"" or ""publicly"", to convey the idea of public history. This adaptation is inspired by Mongolian words like \u0439\u043b\u0438\u043d (ilyn), meaning ""to be known"", and \u0430\u043a\u0431\u0443\u043e\u0442 (akhuut), meaning ""community"" or ""public"".', 'alternatives': ['Нийтийн түүх', '\u0428\u0435\u0439\u043d\u0438\u0446 \u044f \u0441\u0430\u043b\u0438\u0434\u0438', '\u0410\u0432\u043c\u0430\u0436\u043d \u0438\u0443\u0444\u043a\u043e\u0441\u0443\u0439']}",llama3.2,2025-02-27T22:46:07.646631Z,4237737000.0,28737666.0,152.0,19000000.0,391.0,4188000000.0,stop,"[{'translated_term': 'алтя юудисещноич', 'translation_rationale': 'The term алтя юудисещноич is derived from the Latin ""historia"", meaning history, and the suffix ""-al"", indicating a place or field. This term is widely used in Europe and other parts of the world to describe the study and application of historical knowledge in public contexts. In Mongolian, I have adapted this term by replacing the prefix ""алтя"" with ""ибмеюн"", which means ""public"" or ""publicly"", to convey the idea of public history. This adaptation is inspired by Mongolian words like йлин (ilyn), meaning ""to be known"", and акбуот (akhuut), meaning ""community"" or ""public"".', 'alternatives': ['Нийтийн түүх', 'Шейниц я салиди', 'Авмажн иуфкосуй']}]",алтя юудисещноич,2025-05-31 21:15:56
mr,Public History,,Marathi (Marāṭhī),"{'translated_term': 'सार्वजनिक इतिहास, सामाजिक प्रगति' या 'सामाजिक आणि व्यापक काळ', 'सामाजिक काळ' या 'प्रदर्शनवादी ऐतिहासिक अभिव्यक्ती' , 'पब्लिक हिस्ट्री'या संदर्भात: 'सार्वजनिक इतिहास, सामाजिक आणि सांस्कृतिक प्रगती' याने शीर्षक दिल्याची भावना ,  'काळ', 'प्रदर्शनवादी ऐतिहासिक अभिव्यक्ती, 'सामाजिक आणि व्यापक काळ, 'सार्वजनिक इतिहास, सामाजिक प्रगती' याचा समावेश करीत}",llama3.2,2025-02-27T22:45:55.62234Z,1951925541.0,27227958.0,165.0,101000000.0,201.0,1821000000.0,stop,[],,2025-05-31 21:15:56
ms,Public History,Sejarah Publik,Malay,"{'translated_term': 'Sejarah Masyarakat', 'translation_rationale': 'I chose ""Sejarah Masyarakat"" because it closely translates to ""Public History"" and conveys the idea of history being related to or affecting the community. It is a more nuanced term than ""Sejarah Awam"", which can imply a more superficial or popularized version of history.'}

Alternatively, I could also suggest:

{'translated_term': 'Sejarah Publik', 'translation_rationale': 'This term directly translates to ""Public History"" and uses the Malay word for ""public"" (publik), making it clear that the focus is on a broader audience. However, this term might be seen as less nuanced than ""Sejarah Masyarakat"", which implies a more contextualized understanding of history.'}

{'translated_term': 'Sejarah Umum', 'translation_rationale': 'This term translates to ""Common History"" and conveys the idea that public history is about shared experiences and stories. While it doesn't directly convey the concept of public or community-focused history, it still captures the essence of the field.'}

Note: Malay language has a complex grammar system, and word order can change depending on the context. These translations aim to provide a reasonable approximation of ""Public History"" in Malay while considering cultural nuances and connotations.",llama3.2,2025-02-27T22:45:37.358184Z,2676001250.0,25958167.0,145.0,16000000.0,274.0,2632000000.0,stop,"[{'translated_term': 'Sejarah Masyarakat', 'translation_rationale': 'I chose ""Sejarah Masyarakat"" because it closely translates to ""Public History"" and conveys the idea of history being related to or affecting the community. It is a more nuanced term than ""Sejarah Awam"", which can imply a more superficial or popularized version of history.'}, {'translated_term': 'Sejarah Publik', 'translation_rationale': 'This term directly translates to ""Public History"" and uses the Malay word for ""public"" (publik), making it clear that the focus is on a broader audience. However, this term might be seen as less nuanced than ""Sejarah Masyarakat"", which implies a more contextualized understanding of history.'}]",Sejarah Publik,2025-05-31 21:15:56
