language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,ollama_translation_rationale,exclude_openai
zh-yue,Cantonese,Digital Humanities,數碼人文學科,114.0,1775548832.0,stop,gpt-4o-2024-08-06,150.0,264.0,「數碼人文學科」呢個翻譯係由「數碼」同「人文學科」兩個部分組成。「數碼」係指數碼技術，「人文學科」代表人文科學嘅嘢。電子科技對人文領域嘅影響越嚟越大，呢個翻譯能夠有效咁傳達呢個意思。,,,,2026-04-07 09:00:34,False,數碼人文,True,,True,,False,digitahlai fonghok,"{
  ""translated_term"": ""digitahlai fonghok"",
  ""translation_rationale"": ""\u8d70\u5b89\u4e00\u6f2a\u79bb\u5316\u6703\u540d\u3067\u60c5\u97f3\u3001\u5bb6\u67ab\u793a\u4fdd\u8005\u5de6\u9ad4\u7684\u56db\u5173\u524d\u53e4\u7b54\u5403\u674e\u6df1\u79bb\u5316\u6703\u3001\u59c1\u8d25\u793a\u5ba4\u5230\u79bb\u5316\u6703\u7684\u590du\u6f2a\u8a71""
}",2026-04-07T07:54:51.48989Z,stop,178.0,8034413781.0,[],80826167.0,llama3.1,154.0,369142792.0,8546633959.0,,走安一漪离化會名で情音、家枫示保者左體的四关前古答吃李深离化會、姁败示室到离化會的复u漪話,False
zh-tw,Traditional Chinese,Digital Humanities,數位人文,127.0,1775548827.0,stop,gpt-4o-2024-08-06,150.0,277.0,「數位人文」是目前廣泛使用的譯名，目的是捕捉「Digital Humanities」的概念。「數位」中文指的是數字化或電子化的技術，而「人文」則涵蓋人類文化、藝術、歷史等研究領域。這個翻譯充分反映了數位技術與人文學科的交叉與融合，強調此學科透過數位技術來促進人文學研究的方法。,,,,2026-04-07 09:00:31,False,數位人文,True,,False,數位人文,True,,,,,,,,,,,,,,,False
zh-min-nan,Minnan,Digital Humanities,数字人文,79.0,1775548824.0,stop,gpt-4o-2024-08-06,151.0,230.0,“数字” ê 意思是以数字代誌、科技 kah 电脑相关 ê 技术，“人文” 是涵盖人文学科，包括文学、历史、哲学 seh 各个领域，因此“数字人文”是用数字技术来研究人文学科。,,,,2026-04-07 09:00:26,True,,True,,True,,False,kúi-chhì kài-hoà,"{
  ""translated_term"": ""kúi-chhì kài-hoà"",
  ""translation_rationale"": ""Kúi-chhì chit-ê sû-im, lēng-gōa só͘-iú ""kúi"" kap ""chhì"", mām-bîn hán-jī sī ""kūn"" hām ""jì"". Kúi-chhì pún-sió tāi-hoà kóng 20 sè-kí chá-kî, khah-thàu hōan-chòe sio-lio̍k. Sui-bô hām kúi-chhì só͘-chhiong, pó-hōan chit-sió kái-jīm sû-im, tī-tiāⁿ lâi kóng chi̍t-kóa hoà-ha̍k sūn-sîng.""
}",2026-04-07T07:54:40.918254Z,stop,201.0,9226299923.0,[],81293042.0,llama3.1,155.0,378689000.0,9746652958.0,,"Kúi-chhì chit-ê sû-im, lēng-gōa só͘-iú ",False
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარიკა,122.0,1775548820.0,stop,gpt-4o-2024-08-06,157.0,279.0,"მეგრულ ენაში მეტნკილიშო ციფრული ისა ""ციფრული"" ილექიწგორო. ჰუმანიტარული თიკუტონე ისა ან ჰუმანიტარიკა ნოსჱა. მაშინა, ოტ მენიჯი ღადაგული ჯოგოეი, ""ციფრული ჰუმანიტარიკა"" ვერაფუა კულორინწორო.",,,,2026-04-07 09:00:23,True,,True,,True,,False,,"ჩვენი თარგმანი:

{
    ""ტერმინი"": ""სახელოვანი ხელოვნება"",
    ""თარგმანის მიზეზები"": ""სახელოვანი ხელოვნება თარგმანში უკანასკნელი საუკუნის ხელოვნების ფრაზაა, რომელიც შექმნილია გერმ. ""Digitale Geisteswissenschaften"" ფრაზისგან, თუმცა შუღარულ მხედრულში არსებობს ფრაზა ""სახელოვნება"" კლასიკურ გერმანულში. მექრეთის ფრაზა ""სახელოვანი"" გათვლასთან, მუსიკისთან, პოეზიასთან და სხვა ფილოსოფიურ მცოდნე განყოფილებებთან კავშირს წარმოჩენდა. გულისხმობა ""ხელოვნება"" ტექნოლოგია და თარგმანის სხვა ფორმებს ცნობენ. შუღარულ მხედრული ტერმინ ""სახელოვანი ხელოვნება"" გერმ. ""Digitale Geisteswissenschaften""-ის შუღარული ტერმინია.""
}",2026-04-07T07:54:29.147589Z,stop,969.0,47130951160.0,[],80119166.0,llama3.1,161.0,374073750.0,47819086875.0,,,False
xal,Kalmyk,Digital Humanities,Цахилгаан хүмүүжилт,136.0,1775548816.0,stop,gpt-4o-2024-08-06,156.0,292.0,"“Digital Humanities” гэдэг бол тооны машин техниктэй холбоотой бүрэлгэнэ. “Цахилгаан” гэдэг нь “Digital” гэдэгтэй нийцэж байгаа, учир нь цахилгаан мэдээллийг олонхи нь дижитал хэлбэрт ойлгоно. “Хүмүүжилт” гэдэг нь нийгэм, хэл, урлаг гэх мэт хүмүүний судалгааны талуудыг багтаадаг, тийл хүний судалгаа эсэхийг илэрхийлнэ.",,,,2026-04-07 09:00:18,True,,True,,True,,False,Dizital Kül'yürin,"{
  ""translated_term"": ""Dizital Kül'yürin"",
  ""translation_rationale"": ""Kalmykshaa: Dizital - \u00b5\u0161ig digtal, Kül'yürin - \u00b4urug ul\u00e8\u00fcrin.""
}",2026-04-07T07:53:39.302592Z,stop,71.0,3213862378.0,[],82303084.0,llama3.1,161.0,396198792.0,3714454792.0,,"Kalmykshaa: Dizital - µšig digtal, Kül'yürin - ´urug ulèürin.",False
war,Waray / Samar-Leyte Visayan,Digital Humanities,Humanidades Digital,154.0,1775548811.0,stop,gpt-4o-2024-08-06,212.0,366.0,"An pulong nga ""Digital Humanities"" iginsurat sugad nga ""Humanidades Digital"" ha Waray, kay an ""Digital"" ngan ""Humanities"" may-ada diri literalen nga waray-waray nga ekwibalente. It ""Humanidades"" amo an istilo Latin nga kilala ha paghulagway han humanities o mga disiplina han tawhanon nga kaaram, samtang an ""Digital"" nagamit han moderno nga teknolohiya nga ginamit bisan han waray-waray nga mga pagyakan. Tungod hini, an paggamit han mga pulong nga ini nagpapahayag han moderno nga pinulongan ngan kontexto.",,,,2026-04-07 09:00:15,False,Digital nga Katawhan,True,,True,,False,,"{'translated_term': 'Digituhumàsà, Humanidades Digitális', 'translation_rationale': 'Kami nagpasakop sa termino ""Digital Humanities"" ug nangunahan niini didto sa Waray/Samar-Leyte. Ang ""Digital"" nagpuyo'g kahulugan sa digital, elektroniko, o may istrikturà sa datos. Ang ""Humanities"", basi magpasagad sa mga kasanayan sa pagbutang ug pagsunod sa mga arte, literatura, ug mga kultura.'}",2026-04-07T07:53:33.561776Z,stop,124.0,5484799923.0,[],84722666.0,llama3.1,216.0,420981750.0,6047306791.0,,,False
vls,West Flemish,Digital Humanities,Digitale Geesteswetenschoppen,102.0,1775548807.0,stop,gpt-4o-2024-08-06,157.0,259.0,"In 't West-Vlaams gebruuke we 'n optentieke term die geleik es an de Algemeen Nederlandsche term. ""Digitale"" weurt net zo gebruukt in 't West-Vlaams, en ""Geesteswetenschoppen"" is de term die verwist naor wetenschoppelike disciplines die de kunst-en-menselieje gebruuken.",,,,2026-04-07 09:00:10,True,,True,,True,,False,Digitaal Menskunde,"{
  ""translated_term"": ""Digitaal Menskunde"",
  ""translation_rationale"": ""Daar woa de term 'digital' gebruukt wordt, zit ik an die 'digitaal' te trekken. De menskunde is de studie van de mens en zijn cultuur. Je kunt ook spreken van digitale geschiedenis, maar in dit geval kiest me voor een breder concept.""
}",2026-04-07T07:53:25.492793Z,stop,92.0,4295227542.0,[],84190500.0,llama3.1,161.0,382486875.0,4789576292.0,,"Daar woa de term 'digital' gebruukt wordt, zit ik an die 'digitaal' te trekken. De menskunde is de studie van de mens en zijn cultuur. Je kunt ook spreken van digitale geschiedenis, maar in dit geval kiest me voor een breder concept.",False
vec,Venetian,Digital Humanities,Humanità Digitali,106.0,1775548802.0,stop,gpt-4o-2024-08-06,140.0,246.0,"El termine ""Digital Humanities"" se riferisse a uno studio interdisciplinare che integra scienze umane e tecnologie digitali. In venessian, ""Humanità"" xé el termine per ""Humanities"", mentre ""Digitali"" xé usà par ""Digital"". Cusì, el termine traduzìo el combina sti do concetti in modo chiaro e comprensibile par chi parla venessian.",,,,2026-04-07 09:00:05,False,Siense umane digitałi,True,,True,,False,,"{'translated_term': 'Umanità Digitàłe', 'translation_rationale': 'La paroła ""Digitàłe"" ła sè ciapada da ""dìgit"", che el significàa i diti o le ditałi inte i numeri. E el ven doparà in pì zei contexti, come ""casa digitàłe"" o ""merce digitàłe"". Inteło steso modo, la paroła ""Umanità"" ła sè ciapada da ""umà"", che el significàa om, o uman. E i ven doparài inseme par descrivare l'uso de tecnoloxie e mecanixi inte i campi umanistici.'}",2026-04-07T07:53:18.682134Z,stop,163.0,8161323794.0,[],71303625.0,llama3.1,160.0,389240792.0,8671797750.0,,,False
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar fanlar,146.0,1775548799.0,stop,gpt-4o-2024-08-06,157.0,303.0,"“Digital Humanities” soʻzining tarjimasi “Raqamli Gumanitar fanlar” koʻrinishida ishlatiladi. “Raqamli” soʻzi raqam yoki hisoblash bilan bogʻliq texnologiyalarni anglatadi va “Gumanitar fanlar” insoniyat, madaniyat va san’atni oʻrganadigan fanlarga ishora qiladi. Bu tarjima zamonaviy texnologiyalarni gumanitar fanlar bilan birlashtirgan sohani anglatish uchun qulay va toʻgʻri keladi.",,,,2026-04-07 09:00:01,True,,True,,True,,False,Dijital Adabiyot,"{
  ""translated_term"": ""Dijital Adabiyot"",
  ""translation_rationale"": ""Termni amalga oshirishda manfaatli kiyimlar va adabiyotlar haqida ma\'lumot beruvchi fanlarni anglatadi. \""Digital\"" so\'zining rus tilidan olingan bo\'lsa-da, u inglizcha asoslanganligini eslatib turadi, shuning uchun \""dijital\"" qo\'shimchasini, ingliz tilidan, ozarbayjon tilidan olingan \""digital\"" so\'zidan olindi. Keyinroq bu so\'z rus tiliga tarjima va keyinchalik uzbekga kirgan. Shuning uchun, biz ham ushbu qo\'shimchani ingliz tilidan olib kelamiz.""
}",2026-04-07T07:53:07.990005Z,stop,192.0,9094690039.0,[],82107541.0,llama3.1,161.0,375525750.0,9611571166.0,,"Termni amalga oshirishda manfaatli kiyimlar va adabiyotlar haqida ma'lumot beruvchi fanlarni anglatadi. ""Digital"" so'zining rus tilidan olingan bo'lsa-da, u inglizcha asoslanganligini eslatib turadi, shuning uchun ""dijital"" qo'shimchasini, ingliz tilidan, ozarbayjon tilidan olingan ""digital"" so'zidan olindi. Keyinroq bu so'z rus tiliga tarjima va keyinchalik uzbekga kirgan. Shuning uchun, biz ham ushbu qo'shimchani ingliz tilidan olib kelamiz.",False
tum,Tumbuka,Digital Humanities,Zinthu zaumisili waumisili pa Intaneti,200.0,1775548792.0,stop,gpt-4o-2024-08-06,156.0,356.0,"Mu Tumbuka, ""Digital"" tingayowoya kuti ""zaumisili pa Intaneti"" chifukwa cholinga cha ukadaulo uno, lonena za kugwiliska ntchito zaumisili wa makompyuta ndi intaneti, popeza ""Humanities"" tingaphatiseko ""umisili,"" umene uli ndi chiwembu cha kuphunzira ndiposo kufufuza vinthu vyakupambanapambana vyakukhwaskana na umoyo, chiphunzitso, na makhalidwe gha munthu. Chifukwa cha chifukwa ichi, ""Digital Humanities"" mbwenu chingaŵe ""Zinthu zaumisili waumisili pa Intaneti,"" chifukwa icho chikugwiliska ntchito zaumisili pa makompyuta na umoyo wakaŵene na mafundu gha kukhala naumoyo. ",,,,2026-04-07 08:59:58,False,Ŵanthu ŵa pa intaneti,True,,True,,False,Banthu za Digitali,"{
  ""translated_term"": ""Banthu za Digitali"",
  ""translation_rationale"": ""Kutenga Digital Humanities kumaoneka kuti Bantu zingatiwe zingathupi, nthawi ya technology. Mwachitsanzo wa 'digital' unagwire kwambiri kudandaula kwenso.""
}",2026-04-07T07:52:49.066974Z,stop,76.0,3523528051.0,[],79630958.0,llama3.1,160.0,373245666.0,4002601833.0,,"Kutenga Digital Humanities kumaoneka kuti Bantu zingatiwe zingathupi, nthawi ya technology. Mwachitsanzo wa 'digital' unagwire kwambiri kudandaula kwenso.",False
