language_code,language_name,service,exclude_translation,exclude_term_minimal,exclude_term_fluent_speaker,exclude_term_github_searcher,exclude_term_judge,original_term,corrected_term,notes
"ain","Ainu","term_correction",false,false,false,false,false,"ペーシ・ウシ・イプキ・アプ・シケペ","Dkara Usaamrra",""
"ain","Ainu","term_correction",false,false,false,false,false,"/Dkara Usaamrra","Dkara Usaamrra",""
"ain","Ainu","term_correction",false,false,false,false,false,"/Dkiritik Huamuuni","Dkiritik Huamuuni",""
"brx","Boro","term_correction",false,false,false,false,false,"digitāl ḥumnāt","ཐོགས་པའི་བདེན་ཆུང",""
"brx","Boro","term_correction",false,false,false,false,false,"DIGITAL HUMANITIES","ဗိုႯလ်ချမ်းဘာသာ",""
"brx","Boro","term_correction",false,false,false,false,false,"Digital Humanities ≈ ཐོགས་པའི་བདེན་ཆུང","ཐོགས་པའི་བདེན་ཆུང",""
"brx","Boro","term_correction",false,false,false,false,false,"Digital Humanities ဗိုႯလ်ချမ်းဘာသာ (Dịch vụ người lập trình viên)","ဗိုႯလ်ချမ်းဘာသာ",""
"lus","Mizo","term_correction",false,false,false,false,false,"Ditech Hman Lalsawmhlip","Dkawnthu Hmuantengminlas",""
"lus","Mizo","term_correction",false,false,false,false,false,"/Dkawnthu Hmuantengminlas","Dkawnthu Hmuantengminlas",""
"gld","Nanai","term_correction",false,false,false,false,false,"Цифровой гуманитарный науки","Dkaw ᑕ+-+-+",""
"gld","Nanai","term_correction",false,false,false,false,false,"/Dkaw ᑕ+-+-+","Dkaw ᑕ+-+-+",""
"ctd","Tedim Chin","term_correction",false,false,false,false,false,"Di-gi-ta Hman-lau","Dkawng Hninmin",""
"ctd","Tedim Chin","term_correction",false,false,false,false,false,"/Dkawng Hninmin","Dkawng Hninmin",""
"ctd","Tedim Chin","term_correction",false,false,false,false,false,"/Dkawz Hlumjai","Dkawz Hlumjai",""
"cr","Cree","term_correction",false,false,false,false,false,"ᒪᒪᐗᐤ ᑭᐢᑫᔨᐦᑕᒧᐎᓇ / mamawâw kiskêyihtamowin","ᒪᒪᐗᐤ ᑭᐢᑫᔨᐦᑕᒧᐎᓇ",""
"cr","Cree","term_correction",false,false,false,false,false,"ᓇᐃᐢᑲᐅᓯᒧᐠᐣ ᐋᔨᒧᐦᐃᑲᓇᐣ (niskawisimoᐠᐣ âyimôhikanaᐣ)","ᓇᐃᐢᑲᐅᓯᒧᐠᐣ ᐋᔨᒧᐦᐃᑲᓇᐣ",""
"cr","Cree","term_correction",false,false,false,false,false,"ᒪᓯᓇᐦᐃᑲᐣ ᑭᐢᑭᓄᐦᐊᒪᑫᐃᐧᐣ ᐊᐧᐋᐦᑲᐣ / masinahikan kiskinohamakewin wâhkân","ᒪᓯᓇᐦᐃᑲᐣ ᑭᐢᑭᓄᐦᐊᒪᑫᐃᐧᐣ ᐊᐧᐋᐦᑲᐣ",""
"cr","Cree","term_correction",false,false,false,false,false,"ᑎᒋᑕᓪ ᐊᔪᒥᕙᐎᓐ / ticihtâl acumihâwin","ᑎᒋᑕᓪ ᐊᔪᒥᕙᐎᓐ",""
"iu","Inuktitut","term_correction",false,false,false,false,false,"ᓄᐊᑦ ᒥᕗᖅᑎᓚᓂᕐᒃ","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅᑐᖅ ᓴᖅᑭᓰᓂᖅ",""
"iu","Inuktitut","term_correction",false,false,false,false,false,"ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅᑐᖅ ᓴᖅᑭᓰᓂᖅ (Angilluqtitsiuqtuq saqqumiit)","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅᑐᖅ ᓴᖅᑭᓰᓂᖅ",""
"crg","Michif","term_correction",false,false,false,false,false,"Lumanités Dijitales","naskapiy-owinimakan-asiniy-iskwēwak kiskeya-mīna-oyawiyik",""
"crg","Michif","term_correction",false,false,false,false,false,"Digital Humanities naskapiy-owinimakan-asiniy-iskwēwak kiskeya-mīna-oyawiyik","naskapiy-owinimakan-asiniy-iskwēwak kiskeya-mīna-oyawiyik",""
"blt","Tai Dam","term_correction",false,false,false,false,false,"Lèe-khɔ̀ɔ-sʉ̀ʉ-dɔɔ-hɔɔ-sʉ̀ʉ","Dkawm Laj",""
"blt","Tai Dam","term_correction",false,false,false,false,false,"/Dkawm Laj","Dkawm Laj",""
"si","Sinhala, Sinhalese","term_correction",false,false,false,false,false,"දිගිටල් මානව විද්‍යා","ඩිජිටල් මානවwissenschaft",""
"si","Sinhala, Sinhalese","term_correction",false,false,false,false,false,"ඩිජිටල් මානවwissenschaft (Dijital Mānavavidyā)","ඩිජිටල් මානවwissenschaft",""
"si","Sinhala, Sinhalese","term_correction",false,false,false,false,false,"ඩිජිටල් මානවwissenschaft (Ḍijitaḷ Mānawa Viyañña)","ඩිජිටල් මානවwissenschaft",""
"kac","Kachin","term_correction",false,false,false,false,false,"ၾကီး ႏိုင္ေျပာင္","ඩිជីថល လူမှုศาสตร์",""
"kac","Kachin","term_correction",false,false,false,false,false,"ඩිជីថល လူမှုศาสตร์ (Di-ji-thal lu-mu-saat)","ඩිជីថល လူမှုศาสตร์",""
"aa","Afar","term_correction",false,false,false,false,false,"Qorri-dhamaa qajeelaa","Humanitati Digitaalii",""
"aa","Afar","term_correction",false,false,false,false,false,"Humanitati Digitaalii (Fa-Latn)","Humanitati Digitaalii",""
"eky","Eastern Kayah","term_correction",false,false,false,false,false,"Hwa ree gwaa hpaa gwaa","Dkawp tshu hnaing lai",""
"eky","Eastern Kayah","term_correction",false,false,false,false,false,"/Dkawp tshu hnaing lai","Dkawp tshu hnaing lai",""
"eky","Eastern Kayah","term_correction",false,false,false,false,false,"/Dkaw ၲေတာင္းမြန်းအစား","Dkaw ၲေတာင္းမြန်းအစား",""
"gan","Gan Chinese","term_correction",false,false,false,false,false,"平代米武","數碼人 humanities",""
"gan","Gan Chinese","term_correction",false,false,false,false,false,"數碼人 humanities (Sù-má rén humanities)","數碼人 humanities",""
"jml","Jumli","term_correction",false,false,false,false,false,"Dhoomi Kala","디지털 인문학",""
"jml","Jumli","term_correction",false,false,false,false,false,"*/


디지털 인문학","디지털 인문학",""
"tcy","Tulu","term_correction",false,false,false,false,false,"ಡಿಜಿಟಲ್ ಮಾನವೀಯತೆ","דיגיಟಲ್ ಮಾನವ್ಯ",""
"tcy","Tulu","term_correction",false,false,false,false,false,"דיגיಟಲ್ ಮಾನವ್ಯ (ḍiijitaḷ mānavya)","דיגיಟಲ್ ಮಾನವ್ಯ",""
"mey","Hassaniyya","term_correction",false,false,false,false,false,"al-ʿulūm al-insāniyya ar-raqmiyya / العلوم الإنسانية الرقمية","العلوم الإنسانية الرقمية",""
"kgp","Kaingang","term_correction",false,false,false,false,false,"Vĩnh mũnh mũnh vĩnh kãnhrã","Tetxã kĩra",""
"kgp","Kaingang","term_correction",false,false,false,false,false,"Kaingang equivalent for Digital Humanities: 'Tetxã kĩra' (tetxa = digital, kira = humanities)","Tetxã kĩra",""
"uga","Ugaritic","term_correction",false,false,false,false,false,"ḏīmta ḫuṣbi","'ilm al-insanīyāt al-dīgitaliya'",""
"uga","Ugaritic","term_correction",false,false,false,false,false,"[something like] 'ilm al-insanīyāt al-dīgitaliya'","'ilm al-insanīyāt al-dīgitaliya'",""
"hsn","Xiang Chinese","term_correction",false,false,false,false,false,"數碼人文","數碼人 humanities",""
"hsn","Xiang Chinese","term_correction",false,false,false,false,false,"平程例学","數碼人 humanities",""
"hsn","Xiang Chinese","term_correction",false,false,false,false,false,"數碼人 humanities (Soe-maah-yan humanities)","數碼人 humanities",""
"hsn","Xiang Chinese","term_correction",false,false,false,false,false,"數碼人 humanities (sou2 maa4 jan4 humanities)","數碼人 humanities",""
"ike","Eastern Canadian Inuktitut","term_correction",false,false,false,false,false,"ᑎᑎᕋᐅᔭᖅᑎᑦᑎᓂᕐᒧᑦ ᐃᓅᓯᓕᕆᓂᖅ","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ",""
"ike","Eastern Canadian Inuktitut","term_correction",false,false,false,false,false,"ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ (angiqaluititsiuq saqqumiuq)","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ",""
"ike","Eastern Canadian Inuktitut","term_correction",false,false,false,false,false,"ᐊᑑᓰᕲᓂᐅᖅ ᐋᓐᓂᐊᖅᑐᖅ (Aulliqanniq Aanngiaqtuq)","ᐊᑑᓰᕲᓂᐅᖅ ᐋᓐᓂᐊᖅᑐᖅ",""
"hak","Hakka Chinese","term_correction",false,false,false,false,false,"Sîn-tiûng-kau","數碼人 humanities",""
"hak","Hakka Chinese","term_correction",false,false,false,false,false,"數碼人 humanities (syu1 daa1 jan4 humanities)","數碼人 humanities",""
"hak","Hakka Chinese","term_correction",false,false,false,false,false,"數碼人 humanities (syu1 daa2 jan4 humanities)","數碼人 humanities",""
"hz","Herero","term_correction",false,false,false,false,false,"Ondjokonona yOvanhu","Digitale Mensileke Wetenskap",""
"hz","Herero","term_correction",false,false,false,false,false,"Digital Humanities - Digitale Mensileke Wetenskap","Digitale Mensileke Wetenskap",""
"mgy","Mbunga","term_correction",false,false,false,false,false,"Mbuṅgwa ɗiŋ","Teknoloji ya Bashili",""
"mgy","Mbunga","term_correction",false,false,false,false,false,"Teknoloji ya Bashili (Bashili meaning 'human beings' in Mbunga)","Teknoloji ya Bashili",""
"bgx","Balkan Gagauz Turkish","term_correction",false,false,false,false,false,"Dijital Beşerî Bilimler","Sanat ve İnsanat İletişimi",""
"bgx","Balkan Gagauz Turkish","term_correction",false,false,false,false,false,"Sanat ve İnsanat İletişimi (Digital)","Sanat ve İnsanat İletişimi",""
"srn","Sranan Tongo","term_correction",false,false,false,false,false,"Sabi fu den Digitali Tori","Djigitale Menenshonitee",""
"srn","Sranan Tongo","term_correction",false,false,false,false,false,"Digital Humanities wi suwi 'Djigitale Menenshonitee'","Djigitale Menenshonitee",""
"ikt","Western Canadian Inuktitut","term_correction",false,false,false,false,false,"ᑎᑎᕋᐅᔭᖅᓯᒪᔪᑦ ᐃᓄᐃᑦ ᖃᐅᔨᒪᔭᑐᖃᖏᑦ","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ",""
"ikt","Western Canadian Inuktitut","term_correction",false,false,false,false,false,"ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ (angililluqtitsiuq saqqiqniq)","ᐊᑑᕱᓕᐅᖅᑎᑦᓯᐅᖅ ᓴᖅᑭᓰᓂᖅ",""
"zbl","Blissymbols","term_correction",false,false,false,false,false,"['computer', 'study']","⠠⠙⠊⠛⠊⠞⠁⠇ ⠠⠓⠥⠍⠁⠝⠊⠞⠊⠑⠎",""
"zbl","Blissymbols","term_correction",false,false,false,false,false,"(minimal — OpenAI (GPT-4o), github_searcher — OpenAI (GPT-4o)): ""⠠⠙⠊⠛⠊⠞⠁⠇ ⠠⠓⠥⠍⠁⠝⠊⠞⠊⠑⠎""","⠠⠙⠊⠛⠊⠞⠁⠇ ⠠⠓⠥⠍⠁⠝⠊⠞⠊⠑⠎",""
"unr","Mundari","term_correction",false,false,false,false,false,"Mundari: ŋwét-dhuor-wëëk-ëëŋ-ëŋ","ŋwét-dhuor-wëëk-ëëŋ-ëŋ",""
"am","Amharic","term_correction",false,false,false,false,false,"DIGITAL ባህሪስ","DIGITAL ባህሪስ",""
"chg","Chagatai","term_correction",false,false,false,false,false,"رقمي ئەدەبiyot (Raqami Ädebiyot)","رقمي ئەدەبiyot",""
"kjg","Khmu","term_correction",false,false,false,false,false,"/Dkhnuaesawm","Dkhnuaesawm",""
"khb","Lü","term_correction",false,false,false,false,false,"Digital Humanities ດິຈິຕອນ ມະນຸດສາດ (di-jit-ton ma-nut-sat)","ດິຈິຕອນ ມະນຸດສາດ",""
"ti","Tigrinya","term_correction",false,false,false,false,false,"DIGITAL ሣይንስ","DIGITAL ሣይንስ",""
"gez","Geez","term_correction",false,false,false,false,false,"DIGITAL ባህሪስ","DIGITAL ባህሪስ",""
"kaw","Kawi","term_correction",false,false,false,false,false,"Kawi: Dhātumāyādhikāra","Dhātumāyādhikāra",""
"kaw","Kawi","term_correction",false,false,false,false,false,"Kawi: Ngālaga Sajatara","Ngālaga Sajatara",""
"kaw","Kawi","term_correction",false,false,false,false,false,"Kawi: Kawipunika dhaharanipunika","Kawipunika dhaharanipunika",""
"kaw","Kawi","term_correction",false,false,false,false,false,"Kawi Digital Manusia","Digital Manusia",""
"mdt","Mbere","term_correction",false,false,false,false,false,"Mbere: Öüméð´¾Ç¸¼µº¿","Öüméð´¾Ç¸¼µº¿",""
"yav","Yangben","term_correction",false,false,false,false,false,"Yangben Digitális Ŋamši","Digitális Ŋamši",""
"bqv","Koro Wachi","term_correction",false,false,false,false,false,"Koro Wachi: Kanaqorok","Kanaqorok",""
"aro","Araona","term_correction",false,false,false,false,false,"Araona: Kawsay Pacha Wasi","Kawsay Pacha Wasi",""
"aro","Araona","term_correction",false,false,false,false,false,"Araona kawiriwira","kawiriwira",""
"bum","Bulu","term_correction",false,false,false,false,false,"Bulu: Ŋuun-dhuuma-ŋi-ŋu","Ŋuun-dhuuma-ŋi-ŋu",""
