language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,ollama_translation_rationale,exclude_openai
zh-yue,Cantonese,Digital Humanities,數碼人文學,96.0,1775546916.0,stop,gpt-4o-2024-08-06,130.0,226.0,"The translation ""數碼人文學"" directly translates to ""Digital Humanities"" in an academic context. ""數碼"" means ""digital,"" representing the technology aspect, while ""人文學"" stands for ""humanities,"" signifying the scholarly and cultural dimension of the field. This translation preserves the technical precision and disciplinary significance of the term in the academic landscape.",,,,2026-04-07 08:28:38,False,數碼人文,True,,True,,False,dak bit gai,"{
  ""translated_term"": ""dak bit gai"" ,
  ""translation_rationale"": ""In Cantonese, \u3000'dak' (\u5316) means digital, and \u3000'bit gai' (\u5e73\u79c1) refers to humanities. This translation preserves the technical precision of Digital Humanities by using \u3000'dak' to convey its digital aspect, while using \u3000'gai' (\u79c1) to refer to humanistic studies.""
}",2026-04-07T07:24:08.283653Z,stop,113.0,3907188747.0,[],78601666.0,llama3.1,134.0,367147542.0,4384306958.0,,"In Cantonese, 　'dak' (化) means digital, and 　'bit gai' (平私) refers to humanities. This translation preserves the technical precision of Digital Humanities by using 　'dak' to convey its digital aspect, while using 　'gai' (私) to refer to humanistic studies.",False
zh-tw,Traditional Chinese,Digital Humanities,數位人文,103.0,1775546913.0,stop,gpt-4o-2024-08-06,130.0,233.0,"The term ""數位人文"" combines ""數位"" which means digital, and ""人文"" which stands for humanities. This translation is widely used in academic circles to represent the interdisciplinary field that merges the use of digital tools and methodologies with the study of humanities. The phrase maintains the technical precision by directly translating the component parts of the original term, and it is well-established in Taiwanese academic discourse.",,,,2026-04-07 08:28:35,False,數位人文,True,,False,數位人文,True,,,,,,,,,,,,,,,False
zh-min-nan,Minnan,Digital Humanities,數位人文,94.0,1775546910.0,stop,gpt-4o-2024-08-06,131.0,225.0,"The term ""數位人文"" is an appropriate translation for ""Digital Humanities"" in Minnan. ""數位"" translates to ""digital,"" capturing the technological aspect of the field. ""人文"" translates to ""humanities,"" referring to the study of human culture. Together, they convey the interdisciplinary nature of combining digital technology with the study of humanities.",,,,2026-04-07 08:28:32,True,,True,,True,,False,\[chûi-sèk-tâi kŭan-hòa̍k\],"{
  ""translated_term"": ""\[chûi-sèk-tâi kŭan-hòa̍k\]"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese \u5e73\u53d1, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (\u4ec0\u6c17) with the suffix '-hòa̍k', indicating a field of study or academic discipline.""
}",2026-04-07T07:24:01.873555Z,stop,152.0,5392196460.0,[],75292542.0,llama3.1,135.0,385719833.0,5901487625.0,,"I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese 平发, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (什気) with the suffix '-hòa̍k', indicating a field of study or academic discipline.",False
zh-classical,Classical Chinese,Digital Humanities,,,,,,,,,,,,2026-04-07 08:28:29,True,,True,,True,,True,,,,,,,,,,,,,,,False
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარული მეცნიერებები,100.0,1775546904.0,stop,gpt-4o-2024-08-06,131.0,231.0,"The term ""ციფრული"" means ""digital"" and captures the technological aspect of the field. ""ჰუმანიტარული მეცნიერებები"" translates to ""humanities"" and conveys the scholarly and academic disciplines involved. The translation ensures that both components of the original term are accurately represented in Megrelian, maintaining the term’s technical precision and its academic context.",,,,2026-04-07 08:28:26,True,,True,,True,,False,Txaltek'itxa digitali,"{
  ""translated_term"": ""Txaltek'itxa digitali"",
  ""translation_rationale"": ""I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing.""
}",2026-04-07T07:23:53.950888Z,stop,75.0,1705283119.0,[],69972375.0,llama3.1,135.0,373378334.0,2169468375.0,,"I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing.",False
xal,Kalmyk,Digital Humanities,Цахим гуманитар,94.0,1775546901.0,stop,gpt-4o-2024-08-06,130.0,224.0,"The term ""Digital Humanities"" refers to the application of digital tools and methods to the humanities. In Kalmyk, ""Цахим"" means ""digital,"" reflecting the use of technology, and ""гуманитар"" refers to the humanities. This translation maintains the technical and disciplinary significance by directly correspodning to each part of the original term.",,,,2026-04-07 08:28:23,True,,True,,True,,False,Khölömii khöltüül,"{
  ""translated_term"": ""Khölömii khöltüül"",
  ""translation_rationale"": 
    ""The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context.""
}",2026-04-07T07:23:49.76472Z,stop,96.0,3104695962.0,[],82077250.0,llama3.1,135.0,389439000.0,3603097833.0,,"The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context.",False
war,Waray / Samar-Leyte Visayan,Digital Humanities,Diyital nga Humanidades,105.0,1775546898.0,stop,gpt-4o-2024-08-06,144.0,249.0,"The term ""Digital Humanities"" combines the digital or technological aspect with the study of human culture and society. In Waray, ""Diyital"" is a direct transliteration for ""Digital,"" capturing the technological aspect relevant in an academic context. ""Humanidades"" translates to ""Humanities,"" referring to the broad study of human culture, which is a direct translation from English and aligns well with academic discussions.",,,,2026-04-07 08:28:20,False,Digital nga Katawhan,True,,True,,False,Humanidades Digital,"{
  ""translated_term"": ""Humanidades Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance.""
}",2026-04-07T07:23:44.137242Z,stop,91.0,2983630372.0,[],83378333.0,llama3.1,148.0,359669625.0,3453227250.0,,"The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance.",False
vls,West Flemish,Digital Humanities,Digitale Geesteswetenschappen,104.0,1775546895.0,stop,gpt-4o-2024-08-06,131.0,235.0,"The term 'Digitale Geesteswetenschappen' is a direct translation, where 'Digitale' means 'Digital' and 'Geesteswetenschappen' refers to the 'Humanities' in an academic context. This preserves the technical precision and disciplinary significance by using standard Flemish academic terminology for both 'digital' and 'humanities', ensuring that the translation is understandable and relevant within the academic field.",,,,2026-04-07 08:28:17,True,,True,,True,,False,Digitale Geesteswetenschappen,"{
  ""translated_term"": ""Digitale Geesteswetenschappen"",
  ""translation_rationale"": ""I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept.""
}",2026-04-07T07:23:38.661881Z,stop,105.0,3741295831.0,[],81004375.0,llama3.1,135.0,394732333.0,4248229500.0,,"I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept.",False
vec,Venetian,Digital Humanities,Scienze Umane Digitali,101.0,1775546891.0,stop,gpt-4o-2024-08-06,126.0,227.0,"The term ""Digital Humanities"" refers to the intersection of digital technologies and the humanities. ""Scienze Umane"" is a common translation for ""Humanities"" in Italian, and more specifically in Venetian, it captures the academic aspect of the humanities. The adjective ""Digitali"" modifies it to reflect the inclusion of digital tools and methodologies, accurately conveying the academic field’s scope in Venetian.",,,,2026-04-07 08:28:14,False,Siense umane digitałi,True,,True,,False,Umanità Digitali,"{
  ""translated_term"": ""Umanità Digitali"",
  ""translation_rationale"": ""I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term.""
}",2026-04-07T07:23:32.382407Z,stop,71.0,1171688625.0,[],71479083.0,llama3.1,134.0,373996542.0,1636389083.0,,"I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term.",False
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar Fanlar,109.0,1775546889.0,stop,gpt-4o-2024-08-06,131.0,240.0,"The term ""Raqamli Gumanitar Fanlar"" captures the essence of ""Digital Humanities,"" with ""Raqamli"" meaning digital, which relates to the digital and technological aspect. ""Gumanitar Fanlar"" refers to humanities disciplines, covering a wide range of academic fields studying human culture. This translation maintains the technical precision of the original term while emphasizing its interdisciplinary nature in an academic context.",,,,2026-04-07 08:28:10,True,,True,,True,,False,Digital Ilm-fan,"{
  ""translated_term"": ""Digital Ilm-fan"",
  ""translation_rationale"": ""In Uzbeki Afghanistan, I have used \""Ilm-fan\"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix \""Digital\"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use.""
}",2026-04-07T07:23:28.731204Z,stop,110.0,3768881292.0,[],68702125.0,llama3.1,135.0,362387458.0,4232542584.0,,"In Uzbeki Afghanistan, I have used ""Ilm-fan"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix ""Digital"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use.",False
