language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
zh-yue,,Cantonese,Digital Humanities,,2026-04-07 01:14:56,False,數碼人文,False,,False,,False,"{
  ""translated_term"": ""\ud598\u5e38\u4fca\u7ed9"",
  ""translation_rationale"": ""Cantonese translation of 'Digital Humanities'""
}",llama3.1,2026-04-07T00:04:49.989473Z,907235500.0,84602083.0,75.0,341919375.0,40.0,467970749.0,stop,햘常俊给,Cantonese translation of 'Digital Humanities',[],,False,數碼人文學,56.0,1775520519.0,stop,gpt-4o-2024-08-06,71.0,127.0,"The term '數碼' refers to 'digital', and '人文學' means 'humanities'. Together, they accurately reflect the concept of 'Digital Humanities' in Cantonese.",,False,數碼人文,"This is the standard Cantonese term for Digital Humanities, where 數碼 means 'digital' and 人文 means 'humanities'. This term is commonly used in Hong Kong academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:56.157121,147.0,78.0,69.0
zh-tw,,Traditional Chinese,Digital Humanities,,2026-04-07 01:14:52,False,數位人文,False,,False,數位人文,False,"{
  ""translated_term"": ""\u56FD\u6D77\u5173\u5B66"",
  ""translation_rationale"": ""Combining \u56FD (digital) and \u5173\u5B66 (humanities)""
}",llama3.1,2026-04-07T00:04:47.062457Z,1079729625.0,77677833.0,74.0,348697667.0,53.0,637256626.0,stop,国海关学,Combining 国 (digital) and 关学 (humanities),[],,False,數位人文,50.0,1775520517.0,stop,gpt-4o-2024-08-06,71.0,121.0,"In Traditional Chinese, '數位' means 'digital' and '人文' means 'humanities'. This translation is widely accepted in academic and professional contexts.",,False,數位人文,"This is the standard and widely accepted translation of 'Digital Humanities' in Traditional Chinese, commonly used in Taiwan and Hong Kong academic contexts. '數位' means 'digital' and '人文' means 'humanities'.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:52.395864,145.0,75.0,70.0
zh-min-nan,,Minnan,Digital Humanities,,2026-04-07 01:14:49,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": """"
}",llama3.1,2026-04-07T00:04:43.966022Z,618139709.0,87854084.0,76.0,351697083.0,16.0,172892290.0,stop,,,[],,False,數位人文,83.0,1775520515.0,stop,gpt-4o-2024-08-06,72.0,155.0,"The term 'Digital Humanities' is translated into Minnan as '數位人文', where '數位' refers to 'digital' and '人文' refers to 'humanities'. This translation is consistent with the usage in Minnan where technical and academic terms often draw from Mandarin.",,False,數位人文,"Direct translation using standard Minnan Chinese characters: 數位 (su-ūi) for 'digital' and 人文 (jîn-bûn) for 'humanities', following common academic terminology used in Taiwan's Minnan-speaking contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:49.174686,160.0,78.0,82.0
zh-classical,,Classical Chinese,Digital Humanities,,2026-04-07 01:14:44,False,,False,,False,,False,"{
  ""translated_term"": """" ( Zhì shù rénwén xué "",
  ""translation_rationale"": "" Digital Humanities is translated as "" ( Zhì shù rénwén xué "", combining the term for ""digital"" from """" and the concept of humanistic studies """" with a modifier indicating a specific field or domain""
}",llama3.1,2026-04-07T00:04:41.32802Z,1479608666.0,83579291.0,75.0,338826083.0,71.0,1036638627.0,stop,, Digital Humanities is translated as ,[],,False,數字人文,76.0,1775520512.0,stop,gpt-4o-2024-08-06,71.0,147.0,"The term '數字' refers to 'digital,' incorporating the idea of numeracy and computation, while '人文' refers to 'humanities,' encompassing literature, philosophy, and cultural studies, which aligns with the concept of Digital Humanities in merging technology and cultural scholarship.",,False,數位人文,"Combines '數位' (digital/numerical) and '人文' (humanities/humanistic studies), following modern Classical Chinese conventions for technical terminology",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:44.981355,128.0,75.0,53.0
xmf,,Megrelian,Digital Humanities,,2026-04-07 01:14:40,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Megrelian language has limited digital presence and translations, I couldn't find a reliable source for the term 'Digital Humanities'. However, I can suggest a possible equivalent in Megrelian: "", ""translation_note"": ""The term is derived from the concept of \""digitali ხალისათუეb"" which combines the idea of digital technology with the concept of human knowledge and culture, similar to the original English term.""}",llama3.1,2026-04-07T00:04:37.829235Z,3079855250.0,81931750.0,75.0,341006584.0,112.0,2623164747.0,stop,,"Megrelian language has limited digital presence and translations, I couldn't find a reliable source for the term 'Digital Humanities'. However, I can suggest a possible equivalent in Megrelian: ",[],,False,ციფრული ჰუმანიტარული მეცნიერებები,97.0,1775520509.0,stop,gpt-4o-2024-08-06,71.0,168.0,"The term 'Digital Humanities' is translated by using 'ციფრული', which means 'digital', and 'ჰუმანიტარული მეცნიერებები', which corresponds to 'humanities disciplines'. This translation adapts the concept to the context in Megrelian as there might not be a direct equivalent in the language without using loanwords.",,False,ციფრული ჰუმანიტარული მეცნიერებეფი,Megrelian uses Georgian script and borrows modern technical terms from Georgian. 'ციფრული' (tsipruli) means 'digital' and 'ჰუმანიტარული მეცნიერებეფი' (humanitaruli metsnierebеpi) means 'humanities/humanitarian sciences' with the Megrelian plural suffix '-ეფი' (-epi).,claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:40.408784,217.0,77.0,140.0
xal,,Kalmyk,Digital Humanities,,2026-04-07 01:14:34,False,,False,,False,,False,"{
""translated_term"": ""Aglɨyq humaniti"",
""translation_rationale"": ""Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti)""
}",llama3.1,2026-04-07T00:04:32.729624Z,1063201042.0,80071709.0,75.0,373377334.0,50.0,594493087.0,stop,Aglɨyq humaniti,Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti),[],,False,Цахим Энэрстийн Ажиялан,84.0,1775520507.0,stop,gpt-4o-2024-08-06,70.0,154.0,"The translation into Kalmyk involves using 'Цахим' for 'Digital' and 'Энэрстийн Ажиялан' to capture the essence of 'Humanities'. This maintains the context of dealing with cultural, historical, and social aspects through digital means.",,False,Дигитальн Хүмүнә Ухан,"Combines 'дигитальн' (digital, borrowed from Russian/international usage) with 'хүмүнә ухан' (humanities/human sciences), following Kalmyk linguistic patterns for compound academic terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:34.966416,162.0,76.0,86.0
war,,Waray / Samar-Leyte Visayan,Digital Humanities,,2026-04-07 01:14:29,False,Digital nga Katawhan,False,,False,,False,"{
""translated_term"": ""Digidal na Kasaysayan"",
""translation_rationale"": ""Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan'""
}",llama3.1,2026-04-07T00:04:29.649469Z,1169525333.0,82466166.0,81.0,374174500.0,57.0,695198912.0,stop,Digidal na Kasaysayan,Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan',[],,False,Diyitál nga Humanidades,58.0,1775520504.0,stop,gpt-4o-2024-08-06,77.0,135.0,"Waray language often borrows terms directly from English, especially in academic and technical fields, and 'humanidades' is a widely accepted translation of 'humanities'.",,False,Dijital nga Kaalam-on han Tawo,"Waray translation combining 'dijital' (digital, loanword), 'kaalam-on' (humanities/human knowledge), and 'han tawo' (of humans). This follows Waray grammatical structure while preserving the concept of humanities as human-centered knowledge fields in the digital context.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:29.780142,188.0,85.0,103.0
vls,,West Flemish,Digital Humanities,,2026-04-07 01:14:25,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Menskunde"",
  ""translation_rationale"": ""The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.""
}",llama3.1,2026-04-07T00:04:26.459349Z,1112231333.0,79877208.0,75.0,349249292.0,55.0,666456003.0,stop,Digitale Menskunde,"The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.",[],,False,Digitale Geesteswetenschappen,78.0,1775520502.0,stop,gpt-4o-2024-08-06,71.0,149.0,"The term 'Digital Humanities' is translated into West Flemish as 'Digitale Geesteswetenschappen', similar to the standard Dutch translation, as West Flemish is a dialectal variant of Dutch. This translation maintains the meaning and context of the original term.",,False,Digitale Humaniora,"West Flemish, as a dialect of Dutch, uses the same term as standard Dutch for 'Digital Humanities', which is 'Digitale Humaniora' - combining 'digitale' (digital) with 'humaniora' (humanities).",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:25.053295,158.0,76.0,82.0
vec,,Venetian,Digital Humanities,,2026-04-07 01:14:21,False,Siense umane digitałi,False,,False,,False,"{
  ""translated_term"": ""Umànità Digitél"",
  ""translation_rationale"": ""Transliteration from Italian 'Umanità Digitale'""
}",llama3.1,2026-04-07T00:04:23.326763Z,863327417.0,80725334.0,74.0,359557208.0,35.0,412549206.0,stop,Umànità Digitél,Transliteration from Italian 'Umanità Digitale',[],,False,Humanità Digitai,64.0,1775520499.0,stop,gpt-4o-2024-08-06,68.0,132.0,The term 'Digital Humanities' is translated into Venetian by using 'Humanità' for 'Humanities' and 'Digitai' for 'Digital'. This translation respects the structure of Venetian and conveys the same meaning.,,False,Umanisteghe Digitali,"Direct translation following Venetian language patterns where 'Digital' becomes 'Digitali' (plural feminine) and 'Humanities' becomes 'Umanisteghe' (plural feminine form of 'umanistega'), maintaining grammatical agreement in Venetian.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:21.308825,162.0,74.0,88.0
uz_AF,,Uzbeki Afghanistan,Digital Humanities,,2026-04-07 01:14:17,False,,False,,False,,False,"{
  ""translated_term"": ""Kodli Adabiyot Ilmi"",
  ""translation_rationale"": ""I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.""
}",llama3.1,2026-04-07T00:04:20.4403Z,1734646250.0,94052292.0,75.0,365291333.0,75.0,1253719455.0,stop,Kodli Adabiyot Ilmi,"I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.",[],,False,Raqamli Gumanitar Fanlar,88.0,1775520496.0,stop,gpt-4o-2024-08-06,71.0,159.0,"This translation captures the concept of 'Digital Humanities' as a field that integrates digital technology and humanities scholarship in Uzbeki Afghanistan. 'Raqamli' translates to 'Digital,' while 'Gumanitar Fanlar' corresponds to 'Humanities.' This conveys the interdisciplinary nature of the field.",,False,Рақамли гуманитар фанлар,"This is the Cyrillic script translation used in Afghanistan for 'Digital Humanities', where 'Рақамли' means 'Digital' and 'гуманитар фанлар' means 'Humanities' or 'humanitarian sciences', following the standard terminology used in Uzbek academic contexts in Afghanistan.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:17.079569,181.0,77.0,104.0
