language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,first_ollama_rationale_snippet,service_translations
aa,Afar,Afro-Asiatic,Digital Humanities,False,6,0.4047,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 4; construction signals: 4,False,Claude:loanword; Gemini:transliterat; First Ollama:borrowed; Second Ollama:borrowed,Claude:construct; Gemini:suffix; First Ollama:suffix; Second Ollama:suffix,,6,6,20,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Afar, 'Dijiitaalta' is the appropriate rendering of 'Digital' (from English loanword adapted to Afar phonology). For 'Humanities', 'Insaaniino' (derived from 'insaan' meaning human/humanity) is more accurate than 'Assuitiino' (which relates to learning/education) or 'Sehdaytiino' (which is unclea","In Afar, ""Dijiitaalta"" is adapted from the English term ""Digital,"" conveying the technological aspect, while ""Assuitiino"" relates to humanity or human-centric studies. The translation aims to reflect the interdisciplinary field that combines technology and the humanities.","The term 'Digital Humanities' combines 'digital' and 'humanities'. For 'digital', 'Dijiitaalta' is a direct and widely understood transliteration that fits well into Afar phonology. For 'humanities', the core concept is 'human' or 'mankind' and the study thereof. 'Insaaniino' (from Arabic 'insaan' m","I modified the Google Translate suggestion to better reflect the Afar language's phonological and grammatical structure. 'Digiitalaa' combines the borrowed English word for 'digital' with the Afar diminutive suffix '-laa', making it more colloquial and fitting for an academic concept like Digital Hu","{'Google Translate': 'Xiyitaal Sehdaytiino', 'OpenAI': 'Cilmi Digiritalleekka', 'Claude': 'Dijital Insaanummataak', 'Gemini': 'Diigital Baaxaa', 'First Ollama': 'Digiitalaa Ahmuutani', 'Second Ollama': 'Daalloolka Daacad'}"
ab,Abkhaz,Caucasian / Isolate,Digital Humanities,False,6,0.4027,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 2; construction signals: 3,False,Claude:borrowing; Gemini:borrowing,Gemini:suffix; First Ollama:combining; Second Ollama:combining,,6,6,24,False,['Cyrillic'],"[('Google Translate', 'Cyrillic'), ('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('First Ollama', 'Cyrillic'), ('Second Ollama', 'Cyrillic')]",Google Translate:Cyrillic; OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; First Ollama:Cyrillic; Second Ollama:Cyrillic,"The Google Translate suggestion 'Ацифратә гуманитартә ҵарақәа' is more appropriate. The term 'ҵарақәа' (tsaraqwa) means 'sciences/disciplines/fields of study' and is the more commonly used term in Abkhaz academic contexts. While 'наукақәа' (naukaqa) also means 'sciences', it is a direct borrowing fr","The term 'Ацифратә' refers to 'digital' and is consistent with the concept of digital technologies. 'Гуманитартә' directly translates to 'humanitarian' or 'humanities,' which reflects the academic disciplines dealing with aspects of human culture. 'Наукақәа' specifically translates to 'sciences' or ","The existing suggestions from Google Translate, OpenAI, and Claude are quite good and largely converge. Let's break down the components:

*   **Ацифратә (Atsifratə):** This is the standard and accurate translation for 'digital' in Abkhaz. It's derived from 'цифра' (tsifra - digit/number) with the ad","Instead of directly translating 'Digital Humanities' into Abkhaz, I'll break it down into its components. 'Digital' can be expressed as 'цифровыи' (tsifrovii), but a more common way to express digital in the context of technology is '' (technologiuri). 'Humanities' translates to  (gumanitar) in Abkh","{'Google Translate': 'Ацифратә гуманитартә ҵарақәа', 'OpenAI': 'Цифратә гуманитартика', 'Claude': 'Цифрақәа Хуманитарлатәи Науқәа', 'Gemini': 'Ацифра Агуманитартә ҭҵарадырра', 'First Ollama': 'Ацыфратә гуманитартә ҳаргьа', 'Second Ollama': 'Абҵҭантә интернет'}"
ae,Avestan,Indo-Iranian,Digital Humanities,False,5,0.3424,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 5; script disagreement: Latin+Other,False,Gemini:transliterat,Claude:construct; Claude:morpholog; Gemini:ancient; Gemini:neologism; Gemini:morpholog,,5,5,24,True,"['Latin', 'Other']","[('OpenAI', 'Other'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Other; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation combines 'angušta' (finger/digit, relating to counting and thus digital technology) with 'sanghā' (calculation/reckoning) to represent 'Digital', and 'hauruuatāt' (wholeness/completeness, from the Amesha Spenta representing perfection and knowledge) to represent 'Humanities' as the ","The term ""digital"" is adapted to ""Diganumāñha,"" drawing from a combination of ""diga"" implying a concept akin to modernity or numeral (suggestive of digital) and ""numāñha,"" which relates to innovation. ""Hamaēnī"" correlates with collectives or studies, metaphorically embracing the humanities. This pro","My translation, 'Raocantəm Gāθəm Hamaēstəm', aims to capture the essence of 'Digital Humanities' by breaking down its core concepts into Avestan.

*   **Raocantəm (Raocant-):** This is the present participle of the verb *raoc-* 'to shine, to be bright'. In this context, it evokes the idea of 'digita","Zāturgīyānā is derived from Avestan ""zātur"" meaning knowledge or wisdom, and ""gīyānā"" meaning learning or study. The term ""Digitala"" is added to emphasize the digital aspect of the field.","{'OpenAI': '𐬛𐬌𐬰𐬌𐬙𐬀𐬭𐬦𐬀𐬙𐬌 𐬵𐬇𐬧𐬀𐬥𐬀𐬙𐬀𐬵𐬌𐬱𐬀', 'Claude': 'anguhīkā hunarawastakīhā', 'Gemini': 'daēnā- vāčā-', 'First Ollama': 'Zāturgīyānā Digitala', 'Second Ollama': 'Dījīgābhuźišnāk'}"
af,Afrikaans,Germanic,Digital Humanities,False,8,0.457,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 0; services with data: 8,True,,First Ollama:prefix; Second Ollama:prefix,,3,3,17,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This is the most accurate and established translation in Afrikaans. 'Digitale' directly translates 'Digital', while 'Geesteswetenskappe' is the standard Afrikaans term for 'Humanities' (literally 'sciences of the spirit/mind'). This translation maintains the academic register appropriate for the fie","The term ""Digitale Geesteswetenskappe"" is widely accepted and directly translates to ""Digital Humanities"" in Afrikaans. ""Digitale"" denotes ""digital"" and ""Geesteswetenskappe"" refers to ""humanities,"" perfectly capturing the essence of the interdisciplinary field that combines digital technology with h","The term 'Digitale Geesteswetenskappe' is the most accurate and widely accepted translation for 'Digital Humanities' in Afrikaans. 'Digitale' directly translates to 'Digital', and 'Geesteswetenskappe' is the established and correct term for 'Humanities' in Afrikaans. The other suggestions like 'Digi","The Afrikaans term 'Geesteswetenskappe' is a direct calque of the Dutch and German terms for humanities, which are closely related to Afrikaans. The prefix 'Digitale' is added to indicate the digital aspect, making it a clear translation of the concept.","{'Google Translate': 'Digitale Geesteswetenskappe', 'EasyNMT': 'Digitale Menslikhede', 'Lingvanex': 'Digitale Geesteswetenskappe', 'OpenAI': 'Digitale Geesteswetenskappe', 'Claude': 'Digitale Geesteswetenskappe', 'Gemini': 'Digitale Humaniora', 'First Ollama': 'Digitale Geesteswetenskappe', 'Second Ollama': 'Digitale Geesteswetenskappe'}"
ak,Akan,African (Niger-Congo),Digital Humanities,False,6,0.3463,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 2; construction signals: 3,False,Claude:borrowing; Gemini:borrowing,Claude:construct; Gemini:formation; Gemini:prefix,,5,5,28,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,Breaking down the components: 'Nkyerɛkyerɛmu Nimdeɛ' (digital knowledge/technology) better captures the technological aspect than 'Digitals' which is a direct English borrowing. 'Nnipa Ho Adesua' (humanities/human studies) is appropriately used in all suggestions. The term 'Nkyerɛkyerɛmu' refers to ,"In Akan, 'nnɔnhwere' means 'digital', derived from 'nnɔn' (precision) and 'hwere' (method or system), capturing the idea of digital technology. 'Nnipa Ho Adesua' means 'study concerning people' or 'humanities,' aligning closely with the academic study of human culture utilizing digital tools.","Let's break down the existing suggestions and then my proposed translation.

**Existing Suggestions Analysis:**

*   **Google Translate: 'Digitals Nnipa Ho Adesua'**
    *   'Digitals' is a direct borrowing from English, which isn't ideal for a natural Akan term. While borrowing happens, a more desc","I have taken Google Translate's suggestion as a starting point, but I would like to modify it slightly. In Akan, 'nnipa' means people or human beings, which is a good fit for 'humanities'. However, 'ho adesua' can be translated more precisely as 'akyerɛ ne dɔm' (literally 'things of the mind'), whic","{'Google Translate': 'Digitals Nnipa Ho Adesua', 'OpenAI': 'Nkyerɛkyerɛ Nnbrafo', 'Claude': 'Dijitaal Adesua', 'Gemini': 'Nnipa Ho Adesua a Yɛde Kɔmputa Yɛ', 'First Ollama': 'Digitals Nnipa Ho Adesua', 'Second Ollama': 'Akansim Nkansim'}"
als,Alemannic,Germanic,Digital Humanities,False,6,0.398,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 2; construction signals: 3,False,First Ollama:loanword; Second Ollama:loanword,OpenAI:construct; Gemini:compound; Gemini:morpholog,,6,6,24,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"The OpenAI suggestion 'Digitali Geisteswisseschafte' is closest but contains spelling inconsistencies. In Alemannic, 'Geistes-' becomes 'Gäischts-' (with umlaut and typical Alemannic pronunciation), and 'Wissenschaften' becomes 'Wüsseschafte' (with characteristic ü-vowel and the -e plural ending com","The term combines ""Digitali"" for ""Digital"" and ""Geisteswisseschafte"" for ""Humanities"" or ""Human Sciences"". This construction closely mirrors the English term while using Alemannic vocabulary and typical phrasing.","The term 'Digital Humanities' combines 'digital' and 'humanities'.

For 'digital': 'Digitali' is the most direct and commonly understood adaptation of 'digital' into Alemannic, maintaining the original meaning while fitting the grammatical structure (feminine plural, as 'Wüsseschafte' is feminine pl","I've chosen to translate ""Digital Humanities"" into Alemannic by using the German loanwords ""Dixitale"", which is the Alemannic adaptation of ""digital"", and ""Geisteswissenschaft"", which directly translates to ""human sciences"" or ""liberal arts"", reflecting the field's focus on humanities.","{'Google Translate': 'Shkencat Humane Dixhitale', 'OpenAI': 'Digitali Huuswirtschaft', 'Claude': 'Digitali Geisteswüsseschafte', 'Gemini': 'Digitali Humanitäte', 'First Ollama': 'Dixitale Geisteswissenschaft', 'Second Ollama': 'Digidal Huusigut'}"
am,Amharic,Afro-Asiatic,Digital Humanities,False,7,0.3812,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 3; construction signals: 1; script disagreement: Ethiopic+Korean,False,Claude:loanword; OpenAI:transliterat; Gemini:transliterat,Gemini:combining,,6,6,13,True,"['Ethiopic', 'Korean']","[('Google Translate', 'Ethiopic'), ('Lingvanex', 'Ethiopic'), ('OpenAI', 'Ethiopic'), ('Claude', 'Ethiopic'), ('Gemini', 'Ethiopic'), ('First Ollama', 'Ethiopic'), ('Second Ollama', 'Korean')]",Google Translate:Ethiopic; Lingvanex:Ethiopic; OpenAI:Ethiopic; Claude:Ethiopic; Gemini:Ethiopic; First Ollama:Ethiopic; Second Ollama:Korean,"The term 'Digital Humanities' refers to an interdisciplinary field that uses computational tools to study human culture, history, literature, and other humanities subjects. In Amharic, 'ዲጂታል' (digital) is an established loanword. For 'Humanities', the most accurate translation is 'ሰብአዊ ትምህርቶች' (lite","The term ""ሰብአዊ ሳይንስ"" (Human Sciences) captures the interdisciplinary essence of Digital Humanities. ""ዲጂታል"" (Digital) is a transliteration, conveying the technology aspect. Thus, this translation combines both the digital and humanistic fields in a comprehensible way for Amharic speakers.","The term 'Digital Humanities' encompasses a broad interdisciplinary field. Let's break down the existing suggestions and my refinement:

*   **Google Translate: 'ዲጂታል ሂውማኒቲስ' (Digital Humanities)**: This is a direct transliteration of 'Humanities'. While common for proper nouns or specific terms, it","I modified Google Translate's suggestion to use the more formal and precise term 'ኰᏌ', which means 'digital' or 'computerized'. I also replaced the second part with 'ṃᏉገጒጦጵጄ', which is a direct translation of 'Humanities' using Amharic vocabulary.","{'Google Translate': 'ዲጂታል ሂውማኒቲስ', 'Lingvanex': 'ዲጂታል ሰብአዊነት', 'OpenAI': 'ዲጂታል ሰውራዊ', 'Claude': 'ዲጂታል ሰብአዊ ጥናቶች', 'Gemini': 'ዲጂታል ሰብአዊነት', 'First Ollama': 'ኰᏌ ṃᏉገጒጦጵጄ', 'Second Ollama': 'ᄠᅧᅸᅔ ᆂᄖᅅᅠᅌ'}"
an,Aragonese,Romance,Digital Humanities,False,5,0.3493,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 3; construction signals: 1,False,Gemini:borrowing; First Ollama:loanword; Second Ollama:loanword,Claude:morpholog,,4,4,6,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Aragonese, 'humanidades' translates to 'humanidatz' (plural form). For 'digital', the Aragonese form is 'dichital' (with 'ch' representing the /tʃ/ sound, as Aragonese tends to preserve this feature). The plural adjective form 'dichitals' agrees with the plural noun 'humanidatz'. This follows Ara","The term ""Humanidatz"" corresponds to ""Humanities"" in Aragonese, and ""Digitales"" is the translation for ""Digital,"" which aligns with equivalent terms in related Romance languages. This translation maintains the structure and meaning of the original English term.","The term 'Humanidatz' is a direct and accurate translation of 'Humanities' into Aragonese, reflecting the plural form and academic field. For 'Digital', the most common and phonetically natural adaptation into Aragonese is 'Dichitals'. While 'Digitales' (from Spanish) and 'Digitals' (a more direct b",Using the Spanish loanword 'humanidades' which is commonly used in Aragonese. Adding 'digitals' to adapt it to the English term.,"{'OpenAI': 'Humanidades Dixitales', 'Claude': 'Humanidatz Dichitals', 'Gemini': 'Humanidatz Dixitals', 'First Ollama': 'Humanidatz Digitals', 'Second Ollama': 'Humanidatz Digitals'}"
ang,Anglo-Saxon / Old English,Germanic,Digital Humanities,False,5,0.2437,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 0; construction signals: 5,False,,Claude:compound; Claude:formation; Gemini:compound; Gemini:combining; Gemini:formation,,5,5,24,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation combines 'fingorcræft' (finger-craft, a compound suggesting manual skill and precision apt for digital work, from 'finger' + 'cræft') with 'menniscra cræfta' (genitive plural: 'of human skills/arts'). This mirrors the Latin 'artes liberales' structure and captures both the 'digital'","The term ""Digital Humanities"" combines the modern concept of digital technology with the study of human culture. In Old English, ""digele"" is derived from ""digele"" meaning ""secret"" or ""hidden"", which associates with the concept of digital due to its abstract and non-physical nature. ""Manncræft"" combi","Let us consider the components of 'Digital Humanities'.

'Digital': The most direct Old English equivalent for 'digital' in the sense of 'pertaining to numbers/data' or 'electronic' is challenging, as these concepts did not exist. However, 'digital' also implies 'hidden' or 'secret' in its modern te",No rationale provided,"{'OpenAI': 'Dīeġol Ɖēodċrǣft', 'Claude': 'Getællic Mennisc Cræft', 'Gemini': 'Digisc Manncynnisc Gelærednes', 'First Ollama': 'Digele Hwællicr Lēodhrycg', 'Second Ollama': 'Denumælic Hwiterne'}"
ar,Arabic,Afro-Asiatic,Digital Humanities,True,9,0.3721,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 5 distinct outputs; debate signals: 0,False,,Gemini:formation,,5,5,15,False,['Arabic'],"[('Wikipedia', 'Arabic'), ('Google Translate', 'Arabic'), ('EasyNMT', 'Arabic'), ('Lingvanex', 'Arabic'), ('OpenAI', 'Arabic'), ('Claude', 'Arabic'), ('Gemini', 'Arabic'), ('First Ollama', 'Arabic'), ('Second Ollama', 'Arabic')]",Wikipedia:Arabic; Google Translate:Arabic; EasyNMT:Arabic; Lingvanex:Arabic; OpenAI:Arabic; Claude:Arabic; Gemini:Arabic; First Ollama:Arabic; Second Ollama:Arabic,"This is the most accurate and widely accepted translation in Arabic academic discourse. 'الإنسانيات' (al-insāniyyāt) correctly captures the concept of 'humanities' as fields of human knowledge and culture, while 'الرقمية' (al-raqmiyya) means 'digital'. This term follows standard Arabic academic term","The term ""الإنسانيات الرقمية"" effectively combines the essence of humanities (""الإنسانيات"") with the concept of digital or technology-driven (""الرقمية""). This translation aligns with the contemporary understanding and usage in academic and professional settings within Arabic-speaking communities, as","The term 'العلوم الإنسانية الرقمية' (al-ʿulūm al-insānīyah al-raqamīyah) is the most accurate and widely accepted translation for 'Digital Humanities' in Arabic. 

Let's break down why:

*   **العلوم الإنسانية (al-ʿulūm al-insānīyah):** This directly translates to 'Humanities' or 'Human Sciences'. I","I modified the Google Translate and Lingvanex suggestions to make them more precise. ""علم الإنسانيات"" (al-`ilm al-insaniyyat) is a more common phrase in Arabic that refers to humanities or human sciences, so it's a good starting point. Adding ""الرقمي"" (ar-rasmia) at the end to emphasize the digital ","{'Wikipedia': 'إنسانيات رقمية', 'Google Translate': 'العلوم الإنسانية الرقمية', 'EasyNMT': 'العلوم البشرية', 'Lingvanex': 'العلوم الإنسانية الرقمية', 'OpenAI': 'الإنسانيات الرقمية', 'Claude': 'العلوم الإنسانية الرقمية', 'Gemini': 'العلوم الإنسانية الرقمية', 'First Ollama': 'علم الإنسانية الرقمي', 'Second Ollama': 'الإنسانيات الرقمية'}"
