language_code,language_name,language_family,term_source,category,rule_fired,evidence,has_wikipedia,rationales_are_english,n_services_with_translation,n_services_with_rationale,n_unique_raw,n_unique_normalized,max_edit_distance,loan_words_found,has_script_disagreement,scripts_found,absence_signals,construction_signals,debate_signals,mean_rationale_similarity,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
aa,Afar,Afro-Asiatic languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 9 distinct outputs; construction signals: 8,False,True,9,8,9,9,22,,False,Latin,Claude:\bborrowed\b; Claude:\bloanword\b; OpenAI:\bborrowing\b; Gemini:\bborrowed\b; DeepSeek:\bloanword\b,Claude:morpholog; Claude:suffix; OpenAI:combining; Gemini:create.*term; Llama:combining; Qwen:root word; Qwen:construct; Mistral:compound,,0.3052,"In Afar, 'Digital' can be borrowed as 'Dijital' (a common practice for modern technological terms), and 'Humanities' translates to 'Insaanummak' (from 'insaan' meaning human/people and the suffix '-ummak' indicating fields of knowledge or study related to humans). This combines a loanword for the te","The term 'Digital Humanities' refers to the intersection of digital technology and humanities disciplines. In Afar, 'Sayinsi' can be used to denote 'science' or 'study,' and 'Digitaal' is a direct borrowing from the English 'digital,' as there may not be a native term for 'digital' in Afar. This tra","A direct, word-for-word translation of 'Digital Humanities' into Afar is challenging because 'humanities' as a distinct academic field doesn't have a single, universally recognized equivalent term that perfectly captures its breadth (literature, philosophy, history, arts, etc.) in Afar. 

Here's the",,"{'Google Translate': 'Xiyitaal Sehdaytiino', 'OpenAI': 'Sayinsi Digitaal', 'Claude': 'Dijital Insaanummata', 'Gemini': 'Qandali Digitaal', 'DeepSeek': 'Dijitaal Af-ka Taariikhda', 'Llama': 'Dagmajiin Dhaqameed', 'Gemma': 'Qorri-dhamaa qajeelaa', 'Qwen': 'Xidiska Soomaaliga', 'Mistral': 'Humanitati Digitaalii (Fa-Latn)'}"
ab,Abkhaz,Caucasian languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 11,False,True,8,8,8,8,36,,False,Cyrillic,Claude:\btransliterat; Gemini:\bborrowing\b; DeepSeek:\bborrowed\b; Gemma:\bborrowed\b; Gemma:\bborrowing\b,OpenAI:combining; Gemini:compound; Gemini:combining; DeepSeek:combining; DeepSeek:construct; DeepSeek:morpholog; DeepSeek:suffix; Gemma:compound; Gemma:combining; Gemma:construct; Gemma:suffix,,0.24,"This translation breaks down as: 'Ацифратә' (digital, from 'цифра' meaning digit/digital), 'хуманитартә' (humanitarian/humanities, from 'хуманитар'), and 'ҭҵаарадырратә шьҭахқәа' (sciences/disciplines). However, a more commonly used shorter form might be 'Ацифратә хуманитартә ҭҵаарақәа' (Digital Hum","The term 'Digital Humanities' is translated into Abkhazian by combining the words for 'digital' (Ацифратә) and 'humanities' (гуманитартә наукақәа). 'Ацифратә' refers to anything related to digital or electronic, while 'гуманитартә наукақәа' translates to 'humanities' or 'human sciences'. This transl","The term 'Digital Humanities' is a compound of 'Digital' and 'Humanities'.

*   **Digital:** The most direct translation for 'digital' in Abkhazian is 'ацифралырра' (atsifralyrra), which literally means 'digitalization' or 'the digital'. It's often used to refer to the digital realm or digital aspec",,"{'Google Translate': 'Ацифратә гуманитартә ҵарақәа', 'OpenAI': 'Ацифратә гуманитартә наукақәа', 'Claude': 'Ацифратә хуманитартә ҭҵаарадырратә шьҭахқәа', 'Gemini': 'Ацифралырра агуманитарра', 'DeepSeek': 'Адигиталтә гуманитартә зҵаарақәа', 'Llama': 'Аҳәынҭқар ашәышыҟәи', 'Gemma': 'цифралл техникааблаахъуеи', 'Qwen': 'Диджиталдык Исламтывышы'}"
abq,Abaza,Caucasian languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 7 distinct outputs; construction signals: 7,False,True,7,8,7,7,25,,False,Cyrillic,Claude:\bborrowed\b; Gemini:\bborrowing\b; Gemini:\btransliterat; DeepSeek:\bloanword\b; Gemma:\btransliterat,Claude:compound; OpenAI:combining; DeepSeek:morpholog; DeepSeek:suffix; Llama:combining; Llama:suffix; Gemma:suffix,,0.2279,"Abaza uses Cyrillic script and borrows Russian terminology for modern academic concepts. 'Цифровой' (tsifrovoy) means 'digital' (borrowed from Russian), 'гуманитарла' (gumanitarla) means 'humanitarian/humanities' (Russian loan with Abaza plural marker -ла), and 'ӏилмӀла' (ʿilmʿla) means 'sciences/kn","The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Abaza, 'цифрахьан' translates to 'digital' and 'гуманитартә наукақәа' translates to 'humanities'. This translation captures the essence of the field by com","Abaza, like many languages, often adopts loanwords for new concepts, especially those from English in the digital realm. 'Digital' is directly transliterated as 'Диджитал' (Didzhital). For 'Humanities', the term 'гуманитар' (gumanitar) is a direct borrowing from Russian 'гуманитарные науки' (gumanit",,"{'OpenAI': 'Цифрахь гуманитартә наукақәа', 'Claude': 'Цифровой гуманитарла ӏилмӀла', 'Gemini': 'Диджитал гуманитар', 'DeepSeek': 'Цифровой гуманитарлыгьа', 'Llama': 'Абаджыртхэм', 'Gemma': 'Дигитал гуманитардикæй', 'Mistral': 'Дигитал ӡахьымлар'}"
abr,Abron,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,7,6,7,7,44,digital; humanities,True,Japanese; Latin,Claude:\bloanword\b; Claude:\bborrowing\b; Gemini:\bborrowing\b,Claude:neologism; Gemini:neologism,,0.1925,Abron (Bron/Brong) is a Kwa language spoken in Ghana and Côte d'Ivoire with limited standardized technical terminology. The translation uses a mixed approach: 'Numérique' (French loanword commonly used in West African contexts for 'digital') combined with 'kɛ' (Abron conjunction meaning 'and') and ',,"Abron, like many other Ghanaian languages, often adopts English terms directly or with minor phonetic adjustments for new concepts, especially in specialized academic or technological fields where a direct equivalent might not exist or be widely understood. 'Digital Humanities' is a relatively new a",,"{'Claude': 'Numérique kɛ Humanités', 'Gemini': 'Digital Humanities', 'DeepSeek': 'Adwuma a ɛfa Nsɛm a Wɔde Kɔmputa Di Dwuma Ho', 'Llama': 'Kɛlɛmɔnɛ Kpɛlɛ', 'Gemma': 'Ɛbɛn Nhyiamu', 'Qwen': 'デジタル人文科学', 'Mistral': 'Nyansa Teknoloji Yenni'}"
ace,Acehnese,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,9,8,6,6,19,digital,False,Latin,Claude:\bborrowed\b; Claude:\bborrowing\b; OpenAI:\bborrowed\b; Gemini:\bborrowed\b; Gemini:\bborrowing\b; DeepSeek:\bloanword\b; Gemma:\bborrowing\b,Gemini:combining; DeepSeek:combining; Llama:combining; Gemma:combining,,0.3255,"In Acehnese, 'Ilmu' means 'knowledge/science', 'Manusia' means 'humanities/human', and 'Digital' is borrowed as is (common practice for modern technological terms). This follows the natural word order in Acehnese and maintains clarity while adapting the English academic term to local linguistic patt","The term 'Digital Humanities' refers to an interdisciplinary field that combines the use of digital technology with the study of humanities. In Acehnese, 'Humaniora' is used to denote 'Humanities', and 'Digital' is a borrowed term that is commonly understood in many languages, including Acehnese, du","The term 'Digital Humanities' is a modern academic field. In Acehnese, direct translation of 'digital' is 'digital' (borrowed term, widely understood and used for technology-related concepts). 'Humanities' translates to 'Humaniora'. Combining them directly as 'Humaniora Digital' is the most accurate",,"{'Google Translate': 'Kemanusiaan Digital', 'OpenAI': 'Humaniora Digital', 'Claude': 'Ilmu Kemanusiaan Digital', 'Gemini': 'Humaniora Digital', 'DeepSeek': 'Humaniora Digital', 'Llama': 'Humanitas Digital', 'Gemma': 'Humanitas Digital', 'Qwen': 'Tadabbur Digital', 'Mistral': 'Komputer Sastra'}"
ach,Acoli,Nilo-Saharan languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,9,8,9,9,25,digital; humanities,False,Latin,DeepSeek:\bloanword\b; Qwen:\bborrowed\b,Gemini:compound; Gemini:combining; DeepSeek:combining; Llama:prefix; Gemma:construct; Gemma:prefix,,0.2724,"This translation breaks down 'Digital Humanities' into Acoli components: 'Ngeyo' (knowledge/learning/studies), 'me Dano' (of people/human), 'ma ki Komputa' (that is with computer/digital). This captures the essence of Digital Humanities as the study of human culture and society using digital/computa","The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Acoli, 'Yore' means 'study' or 'field', 'me' is a preposition meaning 'of', 'Kompiuta' refers to 'computer' or 'digital', and 'ki Dano' means 'with humans'","The term 'Digital Humanities' is a compound of 'Digital' and 'Humanities'. In Acoli, 'Digital' can be translated as 'me Digital' (literally 'of Digital', or 'digital'). For 'Humanities', a direct equivalent doesn't exist as a single word in the same academic sense. However, 'Jamiro' refers to 'knowl",,"{'Google Translate': 'Digital Humanities', 'OpenAI': 'Teknologi me Yore me Dano', 'Claude': 'Ngeyo me Dano ma ki Komputa', 'Gemini': 'Jamiro me Digital', 'DeepSeek': 'Dijitaal Dhan-Dhan pa Winyo', 'Llama': 'Ŋwɔmɛrɛ tɛŋɛ', 'Gemma': ""Héé-tse'é-yéé-tse'é-yéé-yéé-tse'é"", 'Qwen': 'Dital Humaniti', 'Mistral': ""omwoyo okwang'om""}"
ada,Adangme,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,8,8,7,7,27,digital; humanities,False,Latin,Qwen:no direct; Qwen:\btransliterat,Claude:combining; Gemini:compound,,0.2358,"This translation attempts to convey 'Digital Humanities' in Adangme by combining concepts: 'Nɔɔ' (knowledge/learning), 'Kɛ' (and/with), 'Nimɔɔ' (numbers/counting, often used for digital/computational concepts), and 'Sɛɛ' (matters/affairs/studies). However, I must note that I have limited certainty a","The term 'Digital Humanities' is a specialized academic term that may not have a direct equivalent in Adangme. In many cases, such terms are often used in their original form or adapted phonetically into the language. Additionally, the concept of 'Digital Humanities' might be relatively new or not w","The Adangme language, like many indigenous languages, does not have a direct equivalent for 'Digital Humanities' as a pre-existing concept. Therefore, the most appropriate approach is to use the English term directly. This is a common practice for new, complex, and highly specialized concepts that o",,"{'OpenAI': 'Digital Humanities', 'Claude': 'Dijitɛɛ Nitsɔɔ Kɛ Ŋmɛɔyɔɔ', 'Gemini': 'Digital Humanities', 'DeepSeek': 'Adesaa Miimɛ Kɛ Nɔ́ Nɔ́ Kɛ Hɛnɔmi', 'Llama': 'Mɛtɔ́lɛ wɔ́tɔ́', 'Gemma': 'Nuumo Ŋɔɔi Ŋleshie', 'Qwen': 'Digitla Hwnimanses', 'Mistral': 'Nyansapo ne Nyansapomaa'}"
ady,Adyghe,Caucasian languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 3,False,True,8,8,8,8,29,,False,Cyrillic,DeepSeek:\bborrowed\b; Gemma:\btransliterat,Gemini:suffix; DeepSeek:combining; Mistral:compound,,0.2383,"This translation breaks down as: 'Цифровэ' (digital, from Russian 'цифровой'), 'гуманитар' (humanitarian/humanities, from Russian 'гуманитарный'), and 'ӀэщӀагъэхэр' (sciences/studies, plural form). Adyghe commonly borrows technical and academic terms from Russian while maintaining native grammatical","The term 'Digital Humanities' does not have a direct equivalent in Adyghe, as it is a relatively modern interdisciplinary field that combines digital technology with the humanities. Therefore, the translation uses the Russian equivalent 'Цифровые гуманитарные науки', which is commonly understood in ","The translation 'Цифрэрэ гуманитарнэ лъэныкъуэхэмрэ' is a direct and accurate rendering of 'Digital Humanities' into Adyghe. 

*   **Цифрэрэ** (tsifrerə) means 'digital' (from Russian 'цифровой'). This is the standard way to express 'digital' in Adyghe.
*   **гуманитарнэ** (gumanitarnə) means 'human",,"{'OpenAI': 'Цифровые гуманитарные науки', 'Claude': 'Цифровэ гуманитар IэщIагъэхэр', 'Gemini': 'Цифрэрэ гуманитарнэ лъэныкъуэхэмрэ', 'DeepSeek': 'Цифрэ Гуманитарнэ ШIэныгъэхэр', 'Llama': 'Адыгэм ишъхьа', 'Gemma': 'Дигитал гуманитори', 'Qwen': 'Диджиталдз Хумантиз', 'Mistral': 'Дигиталны хуманитари'}"
ae,Avestan,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 7 distinct outputs; construction signals: 7,False,True,7,8,7,7,21,,False,Latin,,OpenAI:ancient; Gemini:ancient; Gemini:neologism; DeepSeek:neologism; DeepSeek:morpholog; Llama:suffix; Gemma:formation,,0.2406,"This translation combines 'daēnā-' (knowledge, wisdom, intellectual tradition) with 'aŋhəuš' (of existence/being, material world). In Avestan, 'daēnā-' represents intellectual and spiritual knowledge, while 'aŋhəuš' (genitive of aŋhu-) refers to the material/existential realm. This captures the conc","Avestan is an ancient language used primarily for Zoroastrian scripture and does not have modern vocabulary for terms like 'Digital Humanities'. The language is not actively used for contemporary concepts, and thus, a direct translation is not feasible.","Avestan is an ancient Iranian language, primarily known from the Avesta, the sacred texts of Zoroastrianism. Its vocabulary is limited to concepts relevant to its religious and cultural context (e.g., divine beings, rituals, moral principles, natural phenomena, agricultural terms). 

The concept of ",,"{'Claude': 'daēnā- aŋhəuš', 'Gemini': 'Not directly translatable', 'DeepSeek': 'Dīgitālīš Hūmānītātīš', 'Llama': 'Dātīkā Āvistakā', 'Gemma': 'dîd-xšačî-āčar', 'Qwen': 'Daṇtōji ḥvitavān', 'Mistral': 'raxshni-fravarénī-'}"
aeb,Tunisian Arabic,Afro-Asiatic languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 6 distinct outputs; construction signals: 3,False,True,8,8,6,6,18,,False,Arabic,,Gemini:compound; Gemini:formation; Gemma:construct,,0.3041,"This is a direct translation of 'Digital Humanities' into Tunisian Arabic. 'العلوم الإنسانية' (al-ʿulūm al-insāniyya) means 'humanities' or 'human sciences', and 'الرقمية' (al-raqmiyya) means 'digital'. This term follows the standard Arabic academic terminology that is widely understood and used in ","The term 'Digital Humanities' is translated into Tunisian Arabic as 'العلوم الإنسانية الرقمية'. This translation captures the essence of the original English term, where 'العلوم الإنسانية' refers to 'Humanities' and 'الرقمية' refers to 'Digital'. The translation maintains the meaning and context of ","The translation 'العلوم الإنسانية الرقمية' (al-ʿulūm al-insāniyya ar-raqamiyya) is a direct and accurate rendering of 'Digital Humanities' into Tunisian Arabic. 

*   'العلوم الإنسانية' (al-ʿulūm al-insāniyya) directly translates to 'Humanities' or 'Human Sciences'. This is the standard term used in",,"{'OpenAI': 'العلوم الإنسانية الرقمية', 'Claude': 'العلوم الإنسانية الرقمية', 'Gemini': 'الإنسانيات الرقمية', 'DeepSeek': 'العلوم الإنسانية الرقمية', 'Llama': 'الآداب الرقمية', 'Gemma': 'المنظور الرقمي للإنسانيات', 'Qwen': 'العلوم الرقمية للحضارة', 'Mistral': 'الإنسانية الدقيقة'}"
