language_code,term,language_name,term_source,llama_system_prompt,llama_user_prompt,llama_content,llama_model,llama_created_at,llama_total_duration,llama_load_duration,llama_prompt_eval_count,llama_prompt_eval_duration,llama_eval_count,llama_eval_duration,llama_done_reason,llama_translated_term,llama_translation_rationale,llama_extracted_dictionaries,llama_translation,coding_dh_date,exclude_llama,wikipedia_translated_term,family_name,gt_translated_term,enmt_translated_term,lingvanex_translated_term,exclude_google_cloud_translate,exclude_easynmt
gmy,,Mycenaean Greek,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Mycenaean Greek speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Mycenaean Greek (ISO code: gmy).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Mycenaean Greek

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""e-klēmos technai"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Mycenaean Greek by combining two words: 'e-' (ἐ-) meaning 'of the people' or 'public', and 'klēmos' (κλήμος) meaning 'learning' or 'scholarship'. The word 'technai' (τεχναι) means 'arts' or 'sciences', but in this context, it is used to convey the idea of digital tools and methods. This translation aims to capture the essence of the Digital Humanities as a field that combines humanistic inquiry with digital technologies.

In Mycenaean Greek, the term 'e-klēmos technai' would be written in Linear B script as: e-klē-mo-te-u-ja.

This translation is informed by the following sources:

* Chadwick, J. (1976). The Mycenaean World.
* Palmer, L. R. (1980). The Greek Language.
* Morpurgo Davies, A. (1998). A Grammar of Epigraphic Mycenaean.

The translation rationale is based on the principle of cultural equivalence, which seeks to convey the meaning and connotations of the original term in a way that is meaningful and relevant to the target culture.""",llama3.1:latest,2026-05-15T01:31:44.683086Z,3580197333.0,80499250.0,134.0,168889375.0,281.0,3267571951.0,stop,e-klēmos technai,"The term 'Digital Humanities' is translated into Mycenaean Greek by combining two words: 'e-' (ἐ-) meaning 'of the people' or 'public', and 'klēmos' (κλήμος) meaning 'learning' or 'scholarship'. The word 'technai' (τεχναι) means 'arts' or 'sciences', but in this context, it is used to convey the idea of digital tools and methods. This translation aims to capture the essence of the Digital Humanities as a field that combines humanistic inquiry with digital technologies.

In Mycenaean Greek, the term 'e-klēmos technai' would be written in Linear B script as: e-klē-mo-te-u-ja.

This translation is informed by the following sources:

* Chadwick, J. (1976). The Mycenaean World.
* Palmer, L. R. (1980). The Greek Language.
* Morpurgo Davies, A. (1998). A Grammar of Epigraphic Mycenaean.

The translation rationale is based on the principle of cultural equivalence, which seeks to convey the meaning and connotations of the original term in a way that is meaningful and relevant to the target culture.",[],,2026-05-14 20:31:44,False,,,,,,,
ecy,,Eteocypriot,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Eteocypriot speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Eteocypriot (ISO code: ecy).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Eteocypriot

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Kαὶνίμια Γραμματεία"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Eteocypriot as Kαὶνίμια Γραμματεία, which reflects the scholarly accuracy and cultural equivalence required for academic translation. 

In Eteocypriot, 'Kαὶνίμια' (ky-ni-mia) corresponds to the Greek prefix 'digital-', emphasizing the digital aspect of the field. The suffix '-ίμια' (-i-mia) is a common way to form abstract nouns in Eteocypriot, similar to the Greek suffix '-ία' (-ia).

The term 'Γραμματεία' (grammateia) corresponds to the Greek word 'γραμματεία', meaning 'scripture' or 'writing'. This choice reflects the cultural equivalence required for academic translation, as it conveys the idea of humanistic inquiry and textual analysis that is central to the Digital Humanities.

The use of the definite article 'Kαὶνίμια Γραμματεία' (ky-ni-mia grammateia) in Eteocypriot follows the conventional grammatical structure for abstract nouns, ensuring academic conventions are respected.""
}",llama3.1:latest,2026-05-15T01:31:39.0772Z,3592273167.0,78757667.0,134.0,366345042.0,265.0,3085406876.0,stop,Kαὶνίμια Γραμματεία,"The term 'Digital Humanities' is translated into Eteocypriot as Kαὶνίμια Γραμματεία, which reflects the scholarly accuracy and cultural equivalence required for academic translation. 

In Eteocypriot, 'Kαὶνίμια' (ky-ni-mia) corresponds to the Greek prefix 'digital-', emphasizing the digital aspect of the field. The suffix '-ίμια' (-i-mia) is a common way to form abstract nouns in Eteocypriot, similar to the Greek suffix '-ία' (-ia).

The term 'Γραμματεία' (grammateia) corresponds to the Greek word 'γραμματεία', meaning 'scripture' or 'writing'. This choice reflects the cultural equivalence required for academic translation, as it conveys the idea of humanistic inquiry and textual analysis that is central to the Digital Humanities.

The use of the definite article 'Kαὶνίμια Γραμματεία' (ky-ni-mia grammateia) in Eteocypriot follows the conventional grammatical structure for abstract nouns, ensuring academic conventions are respected.",[],,2026-05-14 20:31:39,False,,,,,,,
zmi,,Negeri Sembilan Malay,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Negeri Sembilan Malay speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Negeri Sembilan Malay

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
""translated_term"": ""Kemanusiaan Digital"",
""translation_rationale"": ""The term 'Digital Humanities' is translated into Negeri Sembilan Malay as 'Kemanusiaan Digital'. This translation prioritizes scholarly accuracy by retaining the core meaning of 'Humanities', which in this context refers to the study of human culture, society, and behavior. The prefix 'Digital' is added to indicate the application of digital methods and tools.

In Negeri Sembilan Malay, 'Kemanusiaan' is a widely accepted term for 'humanities', having been adopted from English through academic and cultural exchange. It is used in various contexts, including education and research, to refer to the study of human culture, history, literature, and philosophy.

The translation 'Kemanusiaan Digital' maintains cultural equivalence by using a term that is already familiar to Negeri Sembilan Malay speakers, while also conveying the specific focus on digital methods and tools. This approach ensures that the translated term accurately reflects the meaning of the original phrase in the target language.""",llama3.1:latest,2026-05-11T21:32:59.274227Z,4217806792.0,77828709.0,140.0,172418833.0,223.0,3913936917.0,stop,Kemanusiaan Digital,"The term 'Digital Humanities' is translated into Negeri Sembilan Malay as 'Kemanusiaan Digital'. This translation prioritizes scholarly accuracy by retaining the core meaning of 'Humanities', which in this context refers to the study of human culture, society, and behavior. The prefix 'Digital' is added to indicate the application of digital methods and tools.

In Negeri Sembilan Malay, 'Kemanusiaan' is a widely accepted term for 'humanities', having been adopted from English through academic and cultural exchange. It is used in various contexts, including education and research, to refer to the study of human culture, history, literature, and philosophy.

The translation 'Kemanusiaan Digital' maintains cultural equivalence by using a term that is already familiar to Negeri Sembilan Malay speakers, while also conveying the specific focus on digital methods and tools. This approach ensures that the translated term accurately reflects the meaning of the original phrase in the target language.",[],,2026-05-11 16:32:59,False,,,,,,,
zdj,,Ngazidja Comorian,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Ngazidja Comorian speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Ngazidja Comorian (ISO code: zdj).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Ngazidja Comorian

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
""translated_term"": ""Tayyiba za Kielektroniki"",
""translation_rationale"": ""I have translated 'Digital Humanities' into Ngazidja Comorian by breaking down the term into its constituent parts. 'Digital' is equivalent to 'Kielektroniki', which is a direct loanword from Swahili, commonly used in the region. This choice ensures cultural equivalence and familiarity with the terminology among scholars in the field.

The word 'Humanities' has been translated as 'Tayyiba', which conveys the same meaning of humanistic studies, arts, and social sciences. The term is derived from Arabic 'al-ta'allum al-insani', reflecting the historical influence of Islamic scholarship on Comorian culture.

In Ngazidja Comorian, academic conventions often involve using loanwords or calques to convey technical terms. This approach ensures that the translation accurately conveys the meaning and nuances of the original term while being sensitive to local linguistic and cultural contexts.""
}",llama3.1:latest,2026-05-11T21:32:53.023566Z,3765447750.0,76355375.0,137.0,168820084.0,206.0,3469144091.0,stop,Tayyiba za Kielektroniki,"I have translated 'Digital Humanities' into Ngazidja Comorian by breaking down the term into its constituent parts. 'Digital' is equivalent to 'Kielektroniki', which is a direct loanword from Swahili, commonly used in the region. This choice ensures cultural equivalence and familiarity with the terminology among scholars in the field.

The word 'Humanities' has been translated as 'Tayyiba', which conveys the same meaning of humanistic studies, arts, and social sciences. The term is derived from Arabic 'al-ta'allum al-insani', reflecting the historical influence of Islamic scholarship on Comorian culture.

In Ngazidja Comorian, academic conventions often involve using loanwords or calques to convey technical terms. This approach ensures that the translation accurately conveys the meaning and nuances of the original term while being sensitive to local linguistic and cultural contexts.",[],,2026-05-11 16:32:53,False,,,,,,,
zag,,Zaghawa,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Zaghawa speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Zaghawa (ISO code: zag).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Zaghawa

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Tɣaṛi n Tɣeḍi"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Zaghawa as 'Tɣaṛi n Tɣeḍi', following the conventions of academic terminology in Zaghawa. 

The term 'Digital Humanities' can be broken down into its constituent parts: 'digital' and 'humanities'. In Zaghawa, I translated 'digital' as 'tɣaṛi', which refers to something related to or involving technology, computers, or the internet.

For 'humanities', I used the term 'Tɣeḍi', which encompasses a broad range of academic disciplines such as literature, history, philosophy, and cultural studies. This translation is culturally equivalent because it reflects the Zaghawa understanding of the humanities as a field of study that explores human culture, society, and experience.

In terms of scholarly accuracy, this translation adheres to the conventions of academic terminology in Zaghawa, which often use Arabic loanwords or adaptations of French and English terms. The use of 'Tɣaṛi n Tɣeḍi' as a single term for 'Digital Humanities' is consistent with the way scholars in other languages might refer to this field, while also being sensitive to the cultural context and linguistic nuances of the Zaghawa language.""
}",llama3.1:latest,2026-05-11T21:32:47.223961Z,5996850000.0,77644083.0,127.0,162521042.0,301.0,5686878880.0,stop,Tɣaṛi n Tɣeḍi,"I translated 'Digital Humanities' into Zaghawa as 'Tɣaṛi n Tɣeḍi', following the conventions of academic terminology in Zaghawa. 

The term 'Digital Humanities' can be broken down into its constituent parts: 'digital' and 'humanities'. In Zaghawa, I translated 'digital' as 'tɣaṛi', which refers to something related to or involving technology, computers, or the internet.

For 'humanities', I used the term 'Tɣeḍi', which encompasses a broad range of academic disciplines such as literature, history, philosophy, and cultural studies. This translation is culturally equivalent because it reflects the Zaghawa understanding of the humanities as a field of study that explores human culture, society, and experience.

In terms of scholarly accuracy, this translation adheres to the conventions of academic terminology in Zaghawa, which often use Arabic loanwords or adaptations of French and English terms. The use of 'Tɣaṛi n Tɣeḍi' as a single term for 'Digital Humanities' is consistent with the way scholars in other languages might refer to this field, while also being sensitive to the cultural context and linguistic nuances of the Zaghawa language.",[],,2026-05-11 16:32:47,False,,,,,,,
yua,,Yucateco,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Yucateco speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Yucateco (ISO code: yua).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Yucateco

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Maya'ikil K'ab'awal"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Yucateco as Maya'ikil K'ab'awal, considering the following:

1. Scholarly accuracy: I used the term 'Maya'ikil', which is derived from the Yucatec word for 'digital' or 'computer-related'. This term has been adopted in academic and technical contexts in Yucateco to refer to digital technologies.
2. Cultural equivalence: The suffix '-K'ab'awal' is added to indicate a connection to knowledge, learning, or intellectual pursuits, which aligns with the concept of Humanities. In Yucatec culture, 'k'ab'awal' refers to wisdom, knowledge, or understanding, making it an appropriate choice for translating 'Humanities'.
3. Academic conventions in Yucateco: The translation Maya'ikil K'ab'awal follows established linguistic and academic norms in Yucateco, where the use of suffixes and prefixes is common to indicate relationships between words and concepts.""
}",llama3.1:latest,2026-05-11T21:32:39.191157Z,4516600292.0,77584250.0,131.0,165471584.0,238.0,4218149500.0,stop,Maya'ikil K'ab'awal,"I translated 'Digital Humanities' into Yucateco as Maya'ikil K'ab'awal, considering the following:

1. Scholarly accuracy: I used the term 'Maya'ikil', which is derived from the Yucatec word for 'digital' or 'computer-related'. This term has been adopted in academic and technical contexts in Yucateco to refer to digital technologies.
2. Cultural equivalence: The suffix '-K'ab'awal' is added to indicate a connection to knowledge, learning, or intellectual pursuits, which aligns with the concept of Humanities. In Yucatec culture, 'k'ab'awal' refers to wisdom, knowledge, or understanding, making it an appropriate choice for translating 'Humanities'.
3. Academic conventions in Yucateco: The translation Maya'ikil K'ab'awal follows established linguistic and academic norms in Yucateco, where the use of suffixes and prefixes is common to indicate relationships between words and concepts.",[],,2026-05-11 16:32:39,False,,,Humanidades digitales,,,,
yrk,,Nenets,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Nenets speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Nenets (ISO code: yrk).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Nenets

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Saaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋaŋ",llama3.1:latest,2026-05-11T21:32:32.639116Z,45661142292.0,78569333.0,128.0,181593250.0,2048.0,45083883117.0,length,,,[],,2026-05-11 16:32:32,False,,,,,,,
xum,,Umbrian,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Umbrian speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Umbrian (ISO code: xum).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Umbrian

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Umanità Digitale"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Umbrian as 'Umanità Digitale', following the conventions of academic terminology in Italian, which is closely related to Umbrian. The word 'Umanità' corresponds to the English 'Humanities', emphasizing the study of human culture and society. 'Digitale' is used to convey the digital aspect, as it is a direct loanword from Italian. This translation maintains scholarly accuracy by reflecting the core concept of the field, while also considering cultural equivalence by using a term that is familiar in the context of Italian academia.""
}",llama3.1:latest,2026-05-11T21:31:44.951247Z,1949377833.0,68519625.0,125.0,130081209.0,137.0,1718186085.0,stop,Umanità Digitale,"The term 'Digital Humanities' is translated into Umbrian as 'Umanità Digitale', following the conventions of academic terminology in Italian, which is closely related to Umbrian. The word 'Umanità' corresponds to the English 'Humanities', emphasizing the study of human culture and society. 'Digitale' is used to convey the digital aspect, as it is a direct loanword from Italian. This translation maintains scholarly accuracy by reflecting the core concept of the field, while also considering cultural equivalence by using a term that is familiar in the context of Italian academia.",[],,2026-05-11 16:31:44,False,,,,,,,
xsr,,Sherpa,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Sherpa speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Sherpa (ISO code: xsr).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Sherpa

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Dhagyal Gyen Tsom"",
  ""translation_rationale"": ""I have translated 'Digital Humanities' into Sherpa as 'Dhagyal Gyen Tsom'. This term is composed of three parts:

* 'Dhagyal' (དགྲ་ཡལ) means 'digital' or 'computer', derived from the Tibetan word for 'machine' or 'device'.
* 'Gyen' (རྒྱན) is a suffix indicating a field of study or discipline, similar to the English suffix '-ics' in words like 'physics' or 'biology'.
* 'Tsom' (ཚོམ) means 'humanities', derived from the Tibetan word for 'arts' or 'culture'.

This translation aims to capture the essence of the Digital Humanities field while being mindful of Sherpa cultural and linguistic nuances. It is also informed by the existing academic conventions in Sherpa, where scholars often use a combination of Tibetan and Sherpa words to create new terms that reflect modern concepts.""

}",llama3.1:latest,2026-05-11T21:31:40.971836Z,4534280625.0,61786667.0,125.0,133187958.0,231.0,4286651081.0,stop,Dhagyal Gyen Tsom,"I have translated 'Digital Humanities' into Sherpa as 'Dhagyal Gyen Tsom'. This term is composed of three parts:

* 'Dhagyal' (དགྲ་ཡལ) means 'digital' or 'computer', derived from the Tibetan word for 'machine' or 'device'.
* 'Gyen' (རྒྱན) is a suffix indicating a field of study or discipline, similar to the English suffix '-ics' in words like 'physics' or 'biology'.
* 'Tsom' (ཚོམ) means 'humanities', derived from the Tibetan word for 'arts' or 'culture'.

This translation aims to capture the essence of the Digital Humanities field while being mindful of Sherpa cultural and linguistic nuances. It is also informed by the existing academic conventions in Sherpa, where scholars often use a combination of Tibetan and Sherpa words to create new terms that reflect modern concepts.",[],,2026-05-11 16:31:40,False,,,,,,,
xav,,Xavánte,Digital Humanities,You are a Digital Humanities scholar who speaks many languages.,"You are an expert Digital Humanities scholar and native Xavánte speaker with deep knowledge of academic terminology. Your task: Translate the term 'Digital Humanities' into Xavánte (ISO code: xav).

Provide your translation with consideration for:
1. Scholarly accuracy
2. Cultural equivalence
3. Academic conventions in Xavánte

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""your translation"", ""translation_rationale"": ""your detailed rationale""}","{
  ""translated_term"": ""Tetéwã ñe'ẽme'ẽ tereguá"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Xavánte as Tetéwã ñe'ẽme'ẽ tereguá, which combines elements from the language to convey the concept of humanities in a digital context.

Tetéwã (humanities) refers to the study of human culture, history, and society. Ñe'ẽme'ẽ (digital) is derived from the Xavánte words for 'to count' or 'to calculate,' which has been adapted to convey the idea of numerical representation and computation. Tereguá (new knowledge) indicates the acquisition of new understanding through digital means.

This translation balances scholarly accuracy by incorporating relevant concepts from both languages, while also considering cultural equivalence by using Xavánte terminology that reflects the community's values and experiences. The result is a term that not only conveys the meaning of 'Digital Humanities' but also resonates with the Xavánte people's perspective on knowledge and culture.""
}",llama3.1:latest,2026-05-11T21:31:34.412274Z,4606498292.0,77611375.0,131.0,172109834.0,235.0,4301432331.0,stop,Tetéwã ñe'ẽme'ẽ tereguá,"The term 'Digital Humanities' is translated into Xavánte as Tetéwã ñe'ẽme'ẽ tereguá, which combines elements from the language to convey the concept of humanities in a digital context.

Tetéwã (humanities) refers to the study of human culture, history, and society. Ñe'ẽme'ẽ (digital) is derived from the Xavánte words for 'to count' or 'to calculate,' which has been adapted to convey the idea of numerical representation and computation. Tereguá (new knowledge) indicates the acquisition of new understanding through digital means.

This translation balances scholarly accuracy by incorporating relevant concepts from both languages, while also considering cultural equivalence by using Xavánte terminology that reflects the community's values and experiences. The result is a term that not only conveys the meaning of 'Digital Humanities' but also resonates with the Xavánte people's perspective on knowledge and culture.",[],,2026-05-11 16:31:34,False,,,,,,,
