n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,term_source,language_code,language_name,language_family,service,is_baseline,difference_types
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Lingvanex,True,
4,4,1.0,數位人文,"{'minimal': '數位人文', 'fluent_speaker': '數位人文', 'github_searcher': '數位人文', 'judge': '數位人文'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,OpenAI,False,all_identical
4,4,1.0,數位人文,"{'minimal': '數位人文', 'fluent_speaker': '數位人文', 'github_searcher': '數位人文', 'judge': '數位人文'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Claude,False,all_identical
4,2,0.5,數位人文學,"{'minimal': '數位人文學', 'fluent_speaker': '數位人文', 'github_searcher': '數位人文', 'judge': '數位人文學'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Gemini,False,content
4,2,0.5,數位人文學,"{'minimal': '數位人文學', 'fluent_speaker': '數位人文學', 'github_searcher': '數位人文', 'judge': '數位人文'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,DeepSeek,False,content
4,1,0.25,Só͘-chheng kòan-hē,"{'minimal': 'Só͘-chheng kòan-hē', 'fluent_speaker': '\\u5e73\\u516c\\u4f1a\\u6d77\\u7ea8', 'github_searcher': '平代米武', 'judge': '平公会海纨'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Llama,False,content
4,2,0.5,數位人文,"{'minimal': '數位人文 (dî-bî-bîn-jîn)', 'fluent_speaker': '數字人文', 'github_searcher': '數位人文', 'judge': '數位人文'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Gemma,False,content
4,2,0.5,數位人文学,"{'minimal': '數位人文学', 'fluent_speaker': '數位人文學', 'github_searcher': '數位人文学', 'judge': '數位人文學'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Qwen,False,content
4,3,0.75,數位人文學,"{'minimal': '數位人文學', 'fluent_speaker': '數位人文學', 'github_searcher': '數位人文學', 'judge': '數位人文'}",Digital Humanities,nan,Min Nan Chinese,Sino-Tibetan languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Lingvanex,True,
3,2,0.6667,𐀇𐀒𐀜𐀰𐀊𐀗𐀒𐀍𐀙𐀂𐀊,"{'minimal': '𐀇𐀒𐀜𐀰𐀊𐀍𐀙𐀂𐀊𐀍', 'github_searcher': '𐀇𐀒𐀜𐀰𐀊𐀗𐀒𐀍𐀙𐀂𐀊', 'judge': '𐀇𐀒𐀜𐀰𐀊𐀗𐀒𐀍𐀙𐀂𐀊'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,OpenAI,False,content
4,1,0.25,te-ke-na a-pi-qo-ro,"{'minimal': 'te-ke-na a-pi-qo-ro', 'fluent_speaker': '�te𐀒𐀙𐀴 𐀀𐀪𐀲𐀴', 'github_searcher': 'Digital Humanities', 'judge': 'di-gi-ta-ro a-na-to-ro-po'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Claude,False,content
1,1,1.0,𐀀𐀷𐀐𐀕𐀙𐀂𐀍 𐀀𐀪𐀲𐀴,{'judge': '𐀀𐀷𐀐𐀕𐀙𐀂𐀍 𐀀𐀪𐀲𐀴'},Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Gemini,False,no_differences
