search_term,natural_language,counts,directionality,search_term_source,category,keep_term
डिजिटल मानविकी,"anp, awa, bap, bfy, bgc, bh, bhb, bhi, bho, bjj, bra, brx, doi, dty, gbm, gju, gom, gon, gvr, hi, hif, hne, hoc, hoj, jml, kfy, khb, knn, kok, kru, kxp, lif, lki, lmn, mag, mai, mgp, mni, mr, mrd, mtr, mwr, ne, new, noe, nwc, raj, rjs, rmt, sa, saz, smp, srx, suz, swv, taj, tdg, tdh, thl, thq, thr, tkt, tsj, unx, wbr, xnr, xsr",67,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिजिटल मानवीयता,"awa, bgc, bh, bho, doi, gbm, gu, gvr, hi, hne, kfy, knn, ks, lep, mai, mgp, mr, mrd, mtr, mwr, ne, new, pa, raj, sd, swv, taj, tdg, te, thl, thr",31,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humaniora digital,"ace, ban, bbc, bew, bjn, bug, gay, gor, id, jv, kvr, lbw, ljp, mad, mak, map-bms, min, nia, nij, sas, sly, su, sxn",23,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
humanidades digitais,"blo, ch, ext, gl, gub, kea, kj, kmb, knf, lad, lam, mwl, pt, seh, smp, ter, tet, umb, xpr, yrl",20,rtl,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
цифровые гуманитарные науки,"ady, av, ckt, cu, dar, evn, izh, kbd, kjh, koi, lbe, mdf, mns, myv, ru, tt, udm, yrk",18,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
digitale humaniora,"af, da, den, dnj, frs, fy, jut, kkj, li, nb, nds-nl, nl, nn, no, tem, vls, vmf, zea",18,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
kebudayaan digital,"ban, bew, bjn, bug, dtp, gor, id, jv, kcg, mad, mak, map-bms, mfa, ms, sly, su, zmi",17,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
humanidades digitales,"arn, ast, ay, bvb, es, ext, guc, krj, lad, mwl, nhe, pap, qu, rap, xld, yua, zap",17,rtl,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanités numériques,"bci, en, fr, frc, frm, fro, gcr, lb, ln, mg, nrm, pcd, rcf, wa, xpr",15,ltr,Digital Humanities,"COMPLETE_CONSENSUS, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
العلوم الإنسانية الرقمية,"aeb, apc, apd, ar, arq, ars, ary, arz, bej, fvr, jrb, kbl, mey, shu",14,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
kemanusiaan digital,"ace, bbc, bjn, dtp, iba, ljp, mak, map-bms, mdr, mfa, ms, sas, sly, zmi",14,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
