language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translation_rationale
zh-tw,Traditional Chinese,Digital Humanities,數位人文學,"{
  ""translated_term"": ""數位人文學"",
  ""translation_rationale"": ""I modified the existing suggestions to make it more precise and accurate in Traditional Chinese. \""學\"" is added at the end, indicating that Digital Humanities is a field of study.""
}",2026-04-07T00:40:45.119311Z,stop,57.0,663952582.0,[],77057250.0,llama3.1,121.0,349357250.0,1109927709.0,,,,2026-04-07 01:40:45,False,數位人文,True,,False,數位人文,False,"I modified the existing suggestions to make it more precise and accurate in Traditional Chinese. ""學"" is added at the end, indicating that Digital Humanities is a field of study."
chr,Cherokee,Digital Humanities,ᏗᎭᎶᎦ ᏕᎬᏠᎵᏍᎩ,"{
  ""translated_term"": ""ᏗᎭᎶᎦ ᏕᎬᏠᎵᏍᎩ"",
  ""translation_rationale"": ""Using the Cherokee language, we break down 'Digital Humanities' into its components: ᏗᎭᎶ (digital) from English loanword ᏗᎭ (electric), Ꭶ (computer/gadget), ᏕᎬ (arts/humanities), and ᏠᎵᏍᎩ (new/study).""
}",2026-04-07T00:40:41.98428Z,stop,127.0,1462992204.0,[],96293458.0,llama3.1,81.0,281632541.0,1873996625.0,,,,2026-04-07 01:40:41,True,,True,,True,,False,"Using the Cherokee language, we break down 'Digital Humanities' into its components: ᏗᎭᎶ (digital) from English loanword ᏗᎭ (electric), Ꭶ (computer/gadget), ᏕᎬ (arts/humanities), and ᏠᎵᏍᎩ (new/study)."
zh-yue,Cantonese,Digital Humanities,數位學術,"{
  ""translated_term"": ""數位學術"",
  ""translation_rationale"": ""I modified Google Translate's suggestion to '數碼人文' as it is more idiomatic in Cantonese. '數位' (suhng yi) is a more common term used in Cantonese for 'digital', and '學術' (hok juk) is a more precise translation for 'humanities'. The combination of these two words accurately conveys the concept of Digital Humanities.""
}",2026-04-07T00:24:00.84818Z,stop,103.0,2799329833.0,[],101957417.0,llama3.1,112.0,321730333.0,3252434792.0,,,,2026-04-07 01:24:00,False,數碼人文,True,,True,,False,"I modified Google Translate's suggestion to '數碼人文' as it is more idiomatic in Cantonese. '數位' (suhng yi) is a more common term used in Cantonese for 'digital', and '學術' (hok juk) is a more precise translation for 'humanities'. The combination of these two words accurately conveys the concept of Digital Humanities."
zh-min-nan,Minnan,Digital Humanities,"\(
\)\( \) (déng-jī xué-shū)","{
  ""translated_term"": ""\(\n\)\( \) (déng-jī xué-shū)"",
  ""translation_rationale"": ""I used """" to represent the Minnan pronunciation of """" as /tɪŋ.ki/ and """" for """" which is equivalent to """" in Mandarin Chinese. I then added """" to make it clear that we're talking about the field of study, rather than just 'digital' in general.""
}",2026-04-07T00:23:50.920434Z,stop,95.0,1359520952.0,[],84776375.0,llama3.1,86.0,288397125.0,1759876125.0,,,,2026-04-07 01:23:50,True,,True,,True,,False,"I used  to represent the Minnan pronunciation of  as /tɪŋ.ki/ and  for  which is equivalent to  in Mandarin Chinese. I then added  to make it clear that we're talking about the field of study, rather than just 'digital' in general."
zh-classical,Classical Chinese,Digital Humanities,,"{
  ""translated_term"": ,
  ""translation_rationale"": 
}",2026-04-07T00:23:47.13992Z,stop,16.0,176363209.0,[],71867875.0,llama3.1,85.0,295786167.0,550095167.0,,,,2026-04-07 01:23:47,True,,True,,True,,False,
xmf,Megrelian,Digital Humanities,დიჯიტალური ხელოვნება,"{
  ""translated_term"": ""დიჯიტალური ხელოვნება"",
  ""translation_rationale"": ""I used the Georgian word for 'digital' (დიჯიტალური) and added the Megrelian suffix '-იხელოვნება', which is a loanword from Georgian. The Megrelian language has been influenced by Georgian, so it's common to use Georgian loanwords in everyday speech.""
}",2026-04-07T00:23:44.567047Z,stop,148.0,4743974372.0,[],86049333.0,llama3.1,86.0,305282292.0,5174682167.0,,,,2026-04-07 01:23:44,True,,True,,True,,False,"I used the Georgian word for 'digital' (დიჯიტალური) and added the Megrelian suffix '-იხელოვნება', which is a loanword from Georgian. The Megrelian language has been influenced by Georgian, so it's common to use Georgian loanwords in everyday speech."
xal,Kalmyk,Digital Humanities,Tüšelijn Sürgün,"{
  ""translated_term"": ""Tüšelijn Sürgün"",
  ""translation_rationale"": ""The term \u00abDigital Humanities\u00bb is translated by combining two words from Kalmyk: Tüšelijn (tushelin), meaning 'new' or 'modern', and Sürgün, meaning 'humanities' or 'liberal arts'. The term aims to convey the innovative and interdisciplinary nature of the field.""
}",2026-04-07T00:23:37.371635Z,stop,95.0,3100082919.0,[],89109000.0,llama3.1,86.0,343229708.0,3559078375.0,,,,2026-04-07 01:23:37,True,,True,,True,,False,"The term «Digital Humanities» is translated by combining two words from Kalmyk: Tüšelijn (tushelin), meaning 'new' or 'modern', and Sürgün, meaning 'humanities' or 'liberal arts'. The term aims to convey the innovative and interdisciplinary nature of the field."
war,Waray / Samar-Leyte Visayan,Digital Humanities,Digital nga mga Dako,"{
  ""translated_term"": ""Digital nga mga Dako"",
  ""translation_rationale"": ""The term 'Dakos' in Waray means people or humans, so it's more natural to use the plural form. 'Nga' is a marker used to denote the digital aspect.""
}",2026-04-07T00:23:31.790223Z,stop,62.0,875728374.0,[],79025042.0,llama3.1,127.0,356845084.0,1329167958.0,,,,2026-04-07 01:23:31,False,Digital nga Katawhan,True,,True,,False,"The term 'Dakos' in Waray means people or humans, so it's more natural to use the plural form. 'Nga' is a marker used to denote the digital aspect."
vls,West Flemish,Digital Humanities,Digitaal Humaniora,"{
  ""translated_term"": ""Digitaal Humaniora"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to West Flemish by combining the prefix 'digitaal' (digital) and the suffix '-humaniora', which is an adjective form of 'humaniora' meaning relating to humanities. The article 'de' is often used in West Flemish, but it's omitted here for simplicity.""
}",2026-04-07T00:23:28.434004Z,stop,92.0,2999100124.0,[],86414625.0,llama3.1,86.0,289721709.0,3401911292.0,,,,2026-04-07 01:23:28,True,,True,,True,,False,"The term 'Digital Humanities' is translated to West Flemish by combining the prefix 'digitaal' (digital) and the suffix '-humaniora', which is an adjective form of 'humaniora' meaning relating to humanities. The article 'de' is often used in West Flemish, but it's omitted here for simplicity."
vec,Venetian,Digital Humanities,Siense umane digitałi,"{
  ""translated_term"": ""Siense umane digitałi"",
  ""translation_rationale"": ""Accepting the Google Translate suggestion, but noting that the term is largely English-based and not directly translatable. This phrase aims to convey the concept of digital humanities in Venetian.""
}",2026-04-07T00:23:23.012349Z,stop,62.0,1502285914.0,[],88193958.0,llama3.1,116.0,355381292.0,1963140791.0,,,,2026-04-07 01:23:23,False,Siense umane digitałi,True,,True,,False,"Accepting the Google Translate suggestion, but noting that the term is largely English-based and not directly translatable. This phrase aims to convey the concept of digital humanities in Venetian."
