coding_dh_date,language_code,language_name,term_source,enmt_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt
2026-03-15 16:32:18,af,Afrikaans,Computational Humanities,Verdraagtingsmense,,,
2026-03-15 16:32:18,ar,Arabic,Computational Humanities,الدراسات الإنسانية الحسابية,,,
2026-03-15 16:32:18,az,Azerbaijani,Computational Humanities,İnsaniyyəti,,,
2026-03-15 16:32:18,bg,Bulgarian,Computational Humanities,(Код на ражданията),,,
2026-03-15 16:32:18,bi,Bislama,Computational Humanities,Ol Trabol We Ol Man Oli Stap Kasem,,,
2026-03-15 16:32:18,ca,Catalan; Valencian,Computational Humanities,Classificacions humanes,,,
2026-03-15 16:32:18,cs,Czech,Computational Humanities,Výpočetní humanitní vědy,,,
2026-03-15 16:32:18,cy,Welsh,Computational Humanities,ational weekday 1 - LongDayName,,,
2026-03-15 16:32:18,da,Danish,Computational Humanities,Computational Humanities,,,
2026-03-15 16:32:18,de,German,Computational Humanities,Computational Humanities,,,
2026-03-15 16:32:18,ee,Ewe,Computational Humanities,Nu Siwo Amegbetɔwo Wɔ Le Aɖaŋu Me,,,
2026-03-15 16:32:18,el,"Greek, Modern",Computational Humanities,Υπολογιστικές Ανθρωπιστικές Επιστήμες,,,
2026-03-15 16:32:18,eo,Esperanto,Computational Humanities,Compunitaj homecoj,,,
2026-03-15 16:32:18,es,Spanish; Castilian,Computational Humanities,Humanidades computacionales,,,
2026-03-15 16:32:18,et,Estonian,Computational Humanities,Arvutatud humanitaarteadused,,,
2026-03-15 16:32:18,eu,Basque,Computational Humanities,Gizatasun Konprometituak,,,
2026-03-15 16:32:18,fi,Finnish,Computational Humanities,Laskennalliset humanistiset tieteet,,,
2026-03-15 16:32:18,fj,Fijian,Computational Humanities,Duidui na iValavala ni Tamata,,,
2026-03-15 16:32:18,fr,French,Computational Humanities,Les humanités computationnelles,,,
2026-03-15 16:32:18,ga,Irish,Computational Humanities,Daonnachtaí Ríomhacha,,,
2026-03-15 16:32:18,gl,Galician,Computational Humanities,Humanos humanos,,,
2026-03-15 16:32:18,gv,Manx,Computational Humanities,query-sort,,,
2026-03-15 16:32:18,ha,Hausa,Computational Humanities,KCharselect unicode block name,,,
2026-03-15 16:32:18,he,Hebrew (modern),Computational Humanities,מדעי הרוח המשכילים,,,
2026-03-15 16:32:18,hi,Hindi,Computational Humanities,गणना की जा रही मानवीय सीमाएँ,,,
2026-03-15 16:32:18,ho,Hiri Motu,Computational Humanities,Taunimanima Edia Lalohadai Idia Haidaua Gaudia,,,
2026-03-15 16:32:18,ht,Haitian,Computational Humanities,Reflechi sou fason lèzòm pral viv,,,
2026-03-15 16:32:18,hu,Hungarian,Computational Humanities,Számítástechnikai bölcsészettudományok,,,
2026-03-15 16:32:18,hy,Armenian,Computational Humanities,Համագործակցեք մարդկանց հետ,,,
2026-03-15 16:32:18,id,Indonesian,Computational Humanities,Humanities Computational,,,
2026-03-15 16:32:18,ig,Igbo,Computational Humanities,Ọnọdụ Ụmụ Mmadụ Ndị Na - agbanwe Agbanwe,,,
2026-03-15 16:32:18,is,Icelandic,Computational Humanities,Gildi,,,
2026-03-15 16:32:18,it,Italian,Computational Humanities,Umanità computazionali,,,
2026-03-15 16:32:18,kg,Kongo,Computational Humanities,Dibanza ya Bantu,,,
2026-03-15 16:32:18,kj,"Kwanyama, Kuanyama",Computational Humanities,Kombada yedu okwa li haku ningifa ovanhu va kale ve na ekwatafano liwa navamwe,,,
2026-03-15 16:32:18,lg,Luganda,Computational Humanities,Engeri y'Okukozesaamu Amaanyi g'Abantu,,,
2026-03-15 16:32:18,ln,Lingala,Computational Humanities,Makambo matali bomoi ya bato,,,
2026-03-15 16:32:18,lu,Luba-Katanga,Computational Humanities,MADINGI a Bantu,,,
2026-03-15 16:32:18,mg,Malagasy,Computational Humanities,Zon'olombelona tsy ara-dalàna,,,
2026-03-15 16:32:18,mh,Marshallese,Computational Humanities,Men ko Armej Rej Kõm̦m̦ani Rem̦m̦an,,,
2026-03-15 16:32:18,mk,Macedonian,Computational Humanities,Компутативни хуманистички науки,,,
2026-03-15 16:32:18,ml,Malayalam,Computational Humanities,മാനവരാശി,,,
2026-03-15 16:32:18,mr,Marathi (Marāṭhī),Computational Humanities,नैसर्गिक विपत्ती,,,
2026-03-15 16:32:18,mt,Maltese,Computational Humanities,L-Umanistika tal-Komputazzjoni,,,
2026-03-15 16:32:18,ng,Ndonga,Computational Humanities,Aantu oyendji oya li ye na uuntsa,,,
2026-03-15 16:32:18,nl,Dutch,Computational Humanities,Computational Humanities,,,
2026-03-15 16:32:18,ny,Chichewa; Chewa; Nyanja,Computational Humanities,Zinthu Zimene Anthu Amakumana Nazo,,,
2026-03-15 16:32:18,om,Oromo,Computational Humanities,Rakkina Ilmaan Namootaa Ilaalchisee Wanta Gara Fuulduraatti Dhufu,,,
2026-03-15 16:32:18,rn,Kirundi,Computational Humanities,Abantu babumbwa n’ivyo bafise,,,
2026-03-15 16:32:18,ro,"Romanian, Moldavan",Computational Humanities,Umanităţi computerizate,,,
2026-03-15 16:32:18,ru,Russian,Computational Humanities,Расчетные гуманитарные науки,,,
2026-03-15 16:32:18,rw,Kinyarwanda,Computational Humanities,Tujye dushimira ku bw'inyungu z'abantu,,,
2026-03-15 16:32:18,sg,Sango,Computational Humanities,"Na ngoi so lo de kete, lo zi ambeni ye na yâ fini ti lo",,,
2026-03-15 16:32:18,sk,Slovak,Computational Humanities,Počítačové humanitné vedy,,,
2026-03-15 16:32:18,sm,Samoan,Computational Humanities,Āuga Leaga o Tagata,,,
2026-03-15 16:32:18,sn,Shona,Computational Humanities,Zvitayera Zvohunhu,,,
2026-03-15 16:32:18,sq,Albanian,Computational Humanities,Humanitete kompakte,,,
2026-03-15 16:32:18,ss,Swati,Computational Humanities,Indlela Yekwenta Imisebenti Yekwenta Bantfu Labaphila Ngayo,,,
2026-03-15 16:32:18,st,Southern Sotho,Computational Humanities,Batho ba Nang le Maikutlo a sa Tšoaneng,,,
2026-03-15 16:32:18,sv,Swedish,Computational Humanities,Beräkning av humanistiska egenskaper,,,
2026-03-15 16:32:18,sw,Swahili,Computational Humanities,Jamii Mbalimbali za Wanadamu,,,
2026-03-15 16:32:18,ti,Tigrinya,Computational Humanities,ንሰብኣዊ ጸገማት ምግጣሙ,,,
2026-03-15 16:32:18,tl,Tagalog,Computational Humanities,Komputasyonal na mga Sangkatauhan,,,
2026-03-15 16:32:18,tn,Tswana,Computational Humanities,Dilo Tse di Dirang Gore Batho ba Nne mo Maemong a a Kwa Godimo,,,
2026-03-15 16:32:18,to,Tonga,Computational Humanities,"Ngaahi Tō""onga Ta'etaau "" a e Tangatá",,,
2026-03-15 16:32:18,ts,Tsonga,Computational Humanities,Vumunhu Bya Vanhu,,,
2026-03-15 16:32:18,tw,Twi,Computational Humanities,Nneɛma a Ɛde Nnipa Ba,,,
2026-03-15 16:32:18,ty,Tahitian,Computational Humanities,Te mau haapapuraa i te mana'o o te taata,,,
2026-03-15 16:32:18,uk,Ukrainian,Computational Humanities,Сумісні гуманітарні зв'язки,,,
2026-03-15 16:32:18,ur,Urdu,Computational Humanities,انسانی کمزوریوں کی جڑ,,,
2026-03-15 16:32:18,vi,Vietnamese,Computational Humanities,Tổ - bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán bán,,,
2026-03-15 16:32:18,xh,Xhosa,Computational Humanities,Ukululeka Kobuntu,,,
2026-03-15 16:32:18,zh,Chinese,Computational Humanities,计算人文,,,
2026-03-15 16:32:18,aa,Afar,Computational Humanities,,False,cisab seehadaytiino,True
2026-03-15 16:32:18,ab,Abkhaz,Computational Humanities,,False,Аҳасабратә гуманитартә ҵарақәа,True
2026-03-15 16:32:18,ae,Avestan,Computational Humanities,,True,,True
2026-03-15 16:32:18,ak,Akan,Computational Humanities,,False,Mfiridwuma mu Nnipa Ho Adesua,True
2026-03-15 16:32:18,am,Amharic,Computational Humanities,,False,የኮምፒውተር ሂውማኒቲስ,True
2026-03-15 16:32:18,an,Aragonese,Computational Humanities,,True,,True
2026-03-15 16:32:18,as,Assamese,Computational Humanities,,False,কম্পিউটেচনেল হিউমেনিটিজ,True
2026-03-15 16:32:18,av,Avaric,Computational Humanities,,False,ХӀисабалъул гуманитарияб гӀелму,True
2026-03-15 16:32:18,ay,Aymara,Computational Humanities,,False,Humanidades Computacionales uka tuqita yatxataña,True
2026-03-15 16:32:18,ba,Bashkir,Computational Humanities,,False,Иҫәпләү гуманитар фәндәре,True
2026-03-15 16:32:18,be,Belarusian,Computational Humanities,,False,Вылічальныя гуманітарныя навукі,True
2026-03-15 16:32:18,bh,Bihari,Computational Humanities,,False,कम्प्यूटेशनल मानविकी के बारे में बतावल गइल बा,True
2026-03-15 16:32:18,bm,Bambara,Computational Humanities,,False,Jateblaw Hadamadenw ka dɔnniyaw,True
2026-03-15 16:32:18,bn,Bengali,Computational Humanities,,False,গণনামূলক মানবিকতা,True
2026-03-15 16:32:18,bo,Tibetan,Computational Humanities,,False,རྩིས་རྒྱག་འགྲོ་བ་མིའི་རིག་པ།,True
2026-03-15 16:32:18,br,Breton,Computational Humanities,,False,Skiantoù mab-den urzhiataerezh,True
2026-03-15 16:32:18,bs,Bosnian,Computational Humanities,,False,Računarske humanističke nauke,True
2026-03-15 16:32:18,ce,Chechen,Computational Humanities,,False,ХӀоттаман гуманитаран Ӏилманаш,True
2026-03-15 16:32:18,ch,Chamorro,Computational Humanities,,False,Humanidåt Komputasionåt,True
2026-03-15 16:32:18,co,Corsican,Computational Humanities,,False,Umanità Computazionale,True
2026-03-15 16:32:18,cr,Cree,Computational Humanities,,True,,True
2026-03-15 16:32:18,cu,Old Church Slavonic,Computational Humanities,,True,,True
2026-03-15 16:32:18,cv,Chuvash,Computational Humanities,,False,Шутлав гуманитари,True
2026-03-15 16:32:18,dv,Divehi; Maldivian;,Computational Humanities,,False,ކޮމްޕިއުޓޭޝަނަލް ހިއުމަނިޓީސް އެވެ,True
2026-03-15 16:32:18,dz,Dzongkha,Computational Humanities,,False,རྩིས་འཁོར་མི་ཆོས་རིག་པ།,True
2026-03-15 16:32:18,en,English,Computational Humanities,,False,Computational Humanities,True
2026-03-15 16:32:18,fa,Persian,Computational Humanities,,False,علوم انسانی محاسباتی,True
2026-03-15 16:32:18,ff,Fula,Computational Humanities,,False,Neɗɗankaagal hiisawal,True
2026-03-15 16:32:18,fo,Faroese,Computational Humanities,,False,Telduhugvísindi,True
2026-03-15 16:32:18,fy,Western Frisian,Computational Humanities,,False,Kompjûtasjonele Humaniora,True
2026-03-15 16:32:18,gd,Scottish Gaelic,Computational Humanities,,False,Daonnachdan Àireamhachaidh,True
2026-03-15 16:32:18,gn,Guaraní,Computational Humanities,,False,Humanidades Computacionales rehegua,True
2026-03-15 16:32:18,gu,Gujarati,Computational Humanities,,False,ગણતરીત્મક માનવતા,True
2026-03-15 16:32:18,hr,Croatian,Computational Humanities,,False,Računalne humanističke znanosti,True
2026-03-15 16:32:18,hz,Herero,Computational Humanities,,True,,True
2026-03-15 16:32:18,ia,Interlingua,Computational Humanities,,True,,True
2026-03-15 16:32:18,ie,Interlingue,Computational Humanities,,True,,True
2026-03-15 16:32:18,ii,Nuosu,Computational Humanities,,True,,True
2026-03-15 16:32:18,ik,Inupiaq,Computational Humanities,,True,,True
2026-03-15 16:32:18,io,Ido,Computational Humanities,,True,,True
2026-03-15 16:32:18,iu,Inuktitut,Computational Humanities,,False,ᖃᕆᑕᐅᔭᓕᕆᓂᕐᒧᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,True
2026-03-15 16:32:18,ja,Japanese,Computational Humanities,,False,計算人文学,True
2026-03-15 16:32:18,jv,Javanese,Computational Humanities,,False,Humaniora Komputasi,True
2026-03-15 16:32:18,ka,Georgian,Computational Humanities,,False,გამოთვლითი ჰუმანიტარული მეცნიერებები,True
2026-03-15 16:32:18,ki,"Kikuyu, Gikuyu",Computational Humanities,,True,,True
2026-03-15 16:32:18,kk,Kazakh,Computational Humanities,,False,Есептеу гуманитарлық ғылымдары,True
2026-03-15 16:32:18,kl,Kalaallisut,Computational Humanities,,False,Komputatorimi Humaniora,True
2026-03-15 16:32:18,km,Khmer,Computational Humanities,,False,មនុស្សសាស្ត្រ​គណនា,True
2026-03-15 16:32:18,kn,Kannada,Computational Humanities,,False,ಕಂಪ್ಯೂಟೇಶನಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,True
2026-03-15 16:32:18,ko,Korean,Computational Humanities,,False,계산 인문학,True
2026-03-15 16:32:18,kr,Kanuri,Computational Humanities,,False,Ilmu adamganabe komfutabe,True
2026-03-15 16:32:18,ks,Kashmiri,Computational Humanities,,True,,True
2026-03-15 16:32:18,ku,Kurdish,Computational Humanities,,False,Mirovahiyên Hesabkerî,True
2026-03-15 16:32:18,kv,Komi,Computational Humanities,,False,Вычислительнӧй гуманитарнӧй наукаяс .,True
2026-03-15 16:32:18,kw,Cornish,Computational Humanities,,True,,True
2026-03-15 16:32:18,ky,"Kirghiz, Kyrgyz",Computational Humanities,,False,Эсептөөчү гуманитардык илимдер,True
2026-03-15 16:32:18,la,Latin,Computational Humanities,,False,Humanitates Computationales,True
2026-03-15 16:32:18,lb,Luxembourgish,Computational Humanities,,False,Berechnungsgeisteswëssenschaften,True
2026-03-15 16:32:18,li,Limburgish,Computational Humanities,,False,Rekenkundige geisteswetensjappe,True
2026-03-15 16:32:18,lo,Lao,Computational Humanities,,False,ມະນຸດສາດຄອມພິວເຕີ,True
2026-03-15 16:32:18,lt,Lithuanian,Computational Humanities,,False,Skaičiavimo humanitariniai mokslai,True
2026-03-15 16:32:18,lv,Latvian,Computational Humanities,,False,Skaitļošanas humanitārās zinātnes,True
2026-03-15 16:32:18,mi,Māori,Computational Humanities,,False,Ngā Tikanga Tātaitanga Tangata,True
2026-03-15 16:32:18,mn,Mongolian,Computational Humanities,,False,Тооцооллын хүмүүнлэг,True
2026-03-15 16:32:18,ms,Malay,Computational Humanities,,False,Kemanusiaan Komputasi,True
2026-03-15 16:32:18,my,Burmese,Computational Humanities,,False,တွက်ချက်မှုဆိုင်ရာ လူသားပညာ,True
2026-03-15 16:32:18,na,Nauru,Computational Humanities,,True,,True
2026-03-15 16:32:18,nb,Norwegian Bokmål,Computational Humanities,,False,Beregningsmessige humaniora,True
2026-03-15 16:32:18,nd,North Ndebele,Computational Humanities,,True,,True
2026-03-15 16:32:18,ne,Nepali,Computational Humanities,,False,कम्प्युटेसनल मानविकी,True
2026-03-15 16:32:18,nn,Norwegian Nynorsk,Computational Humanities,,True,,True
2026-03-15 16:32:18,no,Norwegian,Computational Humanities,,False,Beregningsmessige humaniora,True
2026-03-15 16:32:18,nr,South Ndebele,Computational Humanities,,False,I-Computational Humanities,True
2026-03-15 16:32:18,nv,"Navajo, Navaho",Computational Humanities,,True,,True
2026-03-15 16:32:18,oc,Occitan,Computational Humanities,,False,Umanitats Computacionalas,True
2026-03-15 16:32:18,oj,"Ojibwe, Ojibwa",Computational Humanities,,True,,True
2026-03-15 16:32:18,or,Oriya,Computational Humanities,,False,କମ୍ପ୍ୟୁଟେସନାଲ୍ ହ୍ୟୁମାନିଟିଜ୍,True
2026-03-15 16:32:18,os,"Ossetian, Ossetic",Computational Humanities,,False,Хыгъдон гуманитарон наукæтæ,True
2026-03-15 16:32:18,pa,"Panjabi, Punjabi",Computational Humanities,,False,ਕੰਪਿਊਟੇਸ਼ਨਲ ਹਿਊਮੈਨਿਟੀਜ਼,True
2026-03-15 16:32:18,pi,Pāli,Computational Humanities,,True,,True
2026-03-15 16:32:18,pl,Polish,Computational Humanities,,False,Humanistyka obliczeniowa,True
2026-03-15 16:32:18,ps,"Pashto, Pushto",Computational Humanities,,False,کمپیوټري بشري علوم,True
2026-03-15 16:32:18,pt,Portuguese,Computational Humanities,,False,Humanidades Computacionais,True
2026-03-15 16:32:18,qu,Quechua,Computational Humanities,,False,Humanidades Computacionales nisqamanta,True
2026-03-15 16:32:18,rm,Romansh,Computational Humanities,,True,,True
2026-03-15 16:32:18,sa,Sanskrit (Saṁskṛta),Computational Humanities,,False,कम्प्यूटेशनल मानविकी,True
2026-03-15 16:32:18,sc,Sardinian,Computational Humanities,,True,,True
2026-03-15 16:32:18,sd,Sindhi,Computational Humanities,,False,ڪمپيوٽيشنل هيومنٽيز,True
2026-03-15 16:32:18,se,Northern Sami,Computational Humanities,,False,Rehkenastinhumanisttalaš fágat,True
2026-03-15 16:32:18,sh,Serbo-Crotian,Computational Humanities,,False,Рачунарске хуманистичке науке,True
2026-03-15 16:32:18,si,"Sinhala, Sinhalese",Computational Humanities,,False,පරිගණක මානව ශාස්ත්‍ර,True
2026-03-15 16:32:18,sl,Slovene,Computational Humanities,,False,Računalniške humanistike,True
2026-03-15 16:32:18,so,Somali,Computational Humanities,,False,Bani&#39;aadamnimada Xisaabinta,True
2026-03-15 16:32:18,sr,Serbian,Computational Humanities,,False,Рачунарске хуманистичке науке,True
2026-03-15 16:32:18,su,Sundanese,Computational Humanities,,False,Humaniora Komputasi,True
2026-03-15 16:32:18,ta,Tamil,Computational Humanities,,False,கணக்கீட்டு மனிதநேயம்,True
2026-03-15 16:32:18,te,Telugu,Computational Humanities,,False,కంప్యుటేషనల్ హ్యుమానిటీస్,True
2026-03-15 16:32:18,tg,Tajik,Computational Humanities,,False,Илмҳои ҳисоббарорӣ,True
2026-03-15 16:32:18,th,Thai,Computational Humanities,,False,มนุษยศาสตร์เชิงคำนวณ,True
2026-03-15 16:32:18,tk,Turkmen,Computational Humanities,,False,Hasaplaýyş ynsanperwerlikleri,True
2026-03-15 16:32:18,tr,Turkish,Computational Humanities,,False,Hesaplamalı Beşeri Bilimler,True
2026-03-15 16:32:18,tt,Tatar,Computational Humanities,,False,Исәпләү гуманитар фәннәре,True
2026-03-15 16:32:18,ug,"Uighur, Uyghur",Computational Humanities,,False,ھېسابلاش ئىنسانىيەت پەنلىرى,True
2026-03-15 16:32:18,uz,Uzbek,Computational Humanities,,False,Hisoblash gumanitar fanlari,True
2026-03-15 16:32:18,ve,Venda,Computational Humanities,,False,Vhuthu ha Khomphyutha,True
2026-03-15 16:32:18,vo,Volapük,Computational Humanities,,True,,True
2026-03-15 16:32:18,wa,Walloon,Computational Humanities,,True,,True
2026-03-15 16:32:18,wo,Wolof,Computational Humanities,,False,Humanité ci ordinatër,True
2026-03-15 16:32:18,yi,Yiddish,Computational Humanities,,False,קאָמפּיוטיישאַנאַל הומאַניטיעס,True
2026-03-15 16:32:18,yo,Yoruba,Computational Humanities,,False,Ìmọ̀-ẹ̀dá Ènìyàn Oníṣirò,True
2026-03-15 16:32:18,za,"Zhuang, Chuang",Computational Humanities,,True,,True
2026-03-15 16:32:18,zu,Zulu,Computational Humanities,,False,I-Computational Humanities,True
