language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
bh,Humanities Data Science,,Bihari,,,,,,,,2025-05-31 21:15:56
or,Humanities Data Science,ମାନବିକି ତଥ୍ୟ ବିଜ୍ଞାନ,Oriya,171.0,1740739958.0,stop,gpt-4o-2024-08-06,128.0,299.0,"The translation ""ମାନବିକତା ତଥ୍ୟ ବିଜ୍ଞାନ"" directly refers to ""Humanities Data Science,"" but the term ""ମାନବିକତା"" often denotes ""humanity"" in a moral or philosophical sense, which may not fully convey the academic field. By adjusting ""ମାନବିକତା"" to ""ମାନବିକି,"" a term commonly used to denote ""humanities"" or ""liberal arts"" more accurately, the translation better reflects the academic discipline concerned with humanity subjects such as literature, history, and philosophy, combined with data science.",2025-05-31 21:15:56
nl,Humanities Data Science,Geesteswetenschappen Datawetenschap,Dutch,94.0,1740736367.0,stop,gpt-4o-2024-08-06,144.0,238.0,"The term ""Geesteswetenschappen Datawetenschap"" aligns with the most common suggestions and accurately conveys the meaning in Dutch. ""Geesteswetenschappen"" is the correct translation for ""Humanities,"" and ""Datawetenschap"" is a direct and widely accepted translation for ""Data Science."" Using this term maintains consistency with established Dutch terminology while effectively communicating the concept.",2025-05-31 21:15:56
nn,Humanities Data Science,Humanistisk Datavitenskap,Norwegian Nynorsk,123.0,1740739264.0,stop,gpt-4o-2024-08-06,116.0,239.0,"The term ""Humanities"" often translates to ""Humanistisk"" in Norwegian Nynorsk, which aligns with the academic field associated with the study of human culture. ""Datavitenskap"" is the direct translation of ""Data Science."" The word ""Humanitær"" more commonly refers to ""Humanitarian"" in English and does not fit the context of an academic discipline. Therefore, ""Humanistisk Datavitenskap"" is more accurate and contextually appropriate for describing the integration of humanities and data science.",2025-05-31 21:15:56
no,Humanities Data Science,Humanistisk datavitenskap,Norwegian,109.0,1740739286.0,stop,gpt-4o-2024-08-06,125.0,234.0,"The term ""Humanities Data Science"" combines the study of humanities with data science. ""Humanistisk"" aligns with the Norwegian term for ""humanities"", maintaining the recognition of the academic discipline. ""Datavitenskap"" is a direct translation for ""data science,"" reflecting computational methods. Thus, ""Humanistisk datavitenskap"" accurately conveys the interdisciplinary nature of applying data science to humanities, balancing both understanding and linguistic norms in Norwegian.",2025-05-31 21:15:56
nr,Humanities Data Science,ISayensi yeDatha yeZabantu,South Ndebele,120.0,1740739500.0,stop,gpt-4o-2024-08-06,119.0,239.0,"The translation aims to balance technical accuracy and linguistic accessibility in South Ndebele. ""ISayensi"" accurately reflects ""Science,"" ""yeDatha"" corresponds well to ""Data,"" and ""yeZabantu"" is a more culturally resonant option for ""Humanities"" as it emphasizes aspects relating to human experiences and cultural studies. This choice maintains the integrity and intended meaning of the original term within a framework that is linguistically appropriate for speakers of South Ndebele.",2025-05-31 21:15:56
nv,Humanities Data Science,ádahooníłígíí áłchíní bináhaji hágóó déyá,"Navajo, Navaho",171.0,1740738672.0,stop,gpt-4o-2024-08-06,126.0,297.0,"To translate 'Humanities Data Science' into Navajo, it is essential to break down the components: 'Humanities,' 'Data,' and 'Science.' 'Ádahooníłígíí' refers to 'knowledge, information, or data,' crucial for the concept of data science. 'Áłchíní' relates to 'culture' or 'community,' which forms part of the humanities context emphasizing human context and values. 'Bináhaji hágóó déyá' refers to 'the pursuit of knowledge or science.' By combining these concepts, the translation captures the essence of studying and utilizing humanistic data and methodologies in science.",2025-05-31 21:15:56
ny,Humanities Data Science,Sayansi ya Zidziwitso za Anthu,Chichewa; Chewa; Nyanja,150.0,1740735871.0,stop,gpt-4o-2024-08-06,148.0,298.0,"In translating ""Humanities Data Science"" into Chichewa, I considered both elements of the term: ""Humanities"" and ""Data Science"". ""Sayansi"" means ""Science"" and is used to convey the systematic study of a subject. ""Zidziwitso"" translates to ""Data"" or ""Information"", which aligns well with how data science deals with data. ""Za Anthu"" means ""of People"" or ""Humanities"", reflecting the focus on human-related subjects. This translation ensures clarity and relevance to the interdisciplinary nature of the field that combines scientific analysis with studying human culture and behavior.",2025-05-31 21:15:56
oc,Humanities Data Science,Sciéncia de las donadas umanisticas,Occitan,124.0,1740739523.0,stop,gpt-4o-2024-08-06,119.0,243.0,"The term 'Sciéncia de las donadas de las sciéncias umanas' is quite literal but can be simplified. 'Sciéncia de las donadas' accurately translates to 'Data Science'. 'Sciéncias umanas' specifically refers to 'human sciences', which can be broadened to 'umanisticas' for 'humanities' as a whole. This captures the broader application of humanities beyond strict scientific fields and aligns more closely with how 'Humanities Data Science' is understood in English.",2025-05-31 21:15:56
oj,Humanities Data Science,Aadizookewin Mazina’igan Endaso-Gikinedaaso,"Ojibwe, Ojibwa",163.0,1740739639.0,stop,gpt-4o-2024-08-06,122.0,285.0,"The translation 'Aadizookewin Mazina’igan Endaso-Gikinedaaso' captures the essence of 'Humanities Data Science' by combining terms that reflect cultural narratives, records, and methodologies of learning associated with data and analysis within the context of humanities. 'Aadizookewin' signifies storytelling or cultural narratives, which aligns with the humanities' focus on human culture. 'Mazina’igan' means records or writings, relating to data. 'Endaso-Gikinedaaso' signifies systematic ways of knowing or science. Together, these components effectively convey 'Humanities Data Science' in an Ojibwe context.",2025-05-31 21:15:56
om,Humanities Data Science,Saayinsii Odeeffannoo Namummaa,Oromo,106.0,1740739954.0,stop,gpt-4o-2024-08-06,148.0,254.0,"The term ""Humanities Data Science"" combines the study of data analysis with humanities, or human aspects. ""Odeeffannoo"" refers to data or information, and ""Namummaa"" captures the essence of humanity or human aspects. This translation maintains the core focus on data (""Odeeffannoo"") and the humanistic aspect (""Namummaa""), making it a concise and accurate representation for the Oromo language context.",2025-05-31 21:15:56
os,Humanities Data Science,Гуманитарон фæззæгтæ дауджытæ æмæ наукæ,"Ossetian, Ossetic",186.0,1740739989.0,stop,gpt-4o-2024-08-06,136.0,322.0,"The Google Translate suggestion ""Гуманитарон наукæты бæрæггæнæнты наукæ"" seems to include the concept of ""science"" twice, which may be redundant. The term ""фæззæгтæ"" is used here to mean ""humanities,"" aligning with the broader understanding of fields encompassing human culture, history, and literature. ""Дауджытæ"" conveys the idea of data, a pivotal element of data science. The word ""æмæ"" acts as a connector akin to ""and,"" linking the humanities aspect with data-centric scientific inquiry. The refined version aims to strike a balance between the conceptual domains of both humanities and data science in an Ossetian context.",2025-05-31 21:15:56
ku,Humanities Data Science,Zanistî Daneyên Mirovanî,Kurdish,130.0,1740738152.0,stop,gpt-4o-2024-08-06,134.0,264.0,"The term ""Humanities Data Science"" can be translated into Kurdish as ""Zanistî Daneyên Mirovanî."" This translation builds on the suggestions given by both the Google Translate API and the Ollama API but simplifies ""Zanistiya"" to ""Zanistî"" for conciseness and natural flow in Kurdish. ""Daneyên Mirovanî"" captures the concept of ""data of human-related disciplines,"" which aligns well with the interdisciplinary focus of data science applications in the humanities.",2025-05-31 21:15:56
pa,Humanities Data Science,ਮਨੁੱਖੀ ਵਿਗਿਆਨ ਡਾਟਾ ਵਿਗਿਆਨ,"Panjabi, Punjabi",150.0,1740740016.0,stop,gpt-4o-2024-08-06,124.0,274.0,"I chose ""ਮਨੁੱਖੀ ਵਿਗਿਆਨ ਡਾਟਾ ਵਿਗਿਆਨ"" as it better reflects the essence of ""Humanities Data Science"". ""ਮਨੁੱਖੀ"" is a direct translation of ""Humanities"" in the context of humanistic studies, rather than ""ਮਾਨਵਤਾ"", which tends to emphasize humanitarian aspects. The rest of the term, ""ਡਾਟਾ ਵਿਗਿਆਨ"", accurately represents ""Data Science"" by combining words that describe data and scientific study. This combination more precisely conveys the interdisciplinary nature of applying data science methods to humanities research.",2025-05-31 21:15:56
pi,Humanities Data Science,manussa-sippa-vijjā,Pāli,141.0,1740740175.0,stop,gpt-4o-2024-08-06,82.0,223.0,"In Pāli, 'manussa' translates to 'human,' reflecting the focus on human-centered subjects within the humanities. 'Sippa' refers to 'art' or 'craft,' which connects to the skillful aspect of data science and how it can be seen as the art of handling data. 'Vijjā' relates to 'science' or 'knowledge,' capturing the scientific and systematic approach. Combined, these terms aim to encapsulate the scope of 'Humanities Data Science' by highlighting its focus on human-centric, skillful, and scientific methods of understanding and processing data.",2025-05-31 21:15:56
pl,Humanities Data Science,Humanistyka cyfrowa,Polish,139.0,1740740266.0,stop,gpt-4o-2024-08-06,115.0,254.0,"The term ""Humanities Data Science"" refers to the interdisciplinary field that combines methods and tools from data science to analyze and interpret data related to the humanities. While the direct translation from Google Translate suggests ""Nauki humanistyczne Nauka o danych,"" this feels somewhat disjointed and literal. ""Humanistyka cyfrowa"" is a more commonly used term in Polish academic circles for ""Digital Humanities,"" closely related to ""Humanities Data Science,"" as it encompasses analyzing humanities subjects through digital and data-driven approaches, thereby conveying the integration of data science with humanities more fluently.",2025-05-31 21:15:56
ps,Humanities Data Science,د بشري علومو د معلوماتو ساینس,"Pashto, Pushto",147.0,1740740281.0,stop,gpt-4o-2024-08-06,124.0,271.0,"The translation ""د بشري علومو د معلوماتو ساینس"" directly reflects the components of the term ""Humanities Data Science."" ""بشري علوم"" translates to ""Humanities,"" which pertains to the academic disciplines that study aspects of human society and culture. ""د معلوماتو"" translates to ""of Data,"" referring to the data aspect. ""ساینس"" retains the translation for ""Science."" This translation maintains the integrity of the original term while ensuring it is understandable and accurate in the Pashto language. Since the term effectively communicates the concept without additional ambiguity, it does not require further modifications.",2025-05-31 21:15:56
pt,Humanities Data Science,Ciência de Dados Humanísticos,Portuguese,106.0,1740740306.0,stop,gpt-4o-2024-08-06,111.0,217.0,"The term ""Ciência de Dados em Humanidades"" literally translates to ""Data Science in Humanities,"" which is a direct but less idiomatic translation. By using ""Ciência de Dados Humanísticos,"" the word ""Humanísticos"" clearly indicates the human-centered focus of the field, which emphasizes applying data science methods to disciplines traditionally associated with the humanities. This refined translation aligns better with both academic and professional contexts in Portuguese-speaking environments.",2025-05-31 21:15:56
qu,Humanities Data Science,Runapachaq willakuy yachay,Quechua,150.0,1740740333.0,stop,gpt-4o-2024-08-06,144.0,294.0,"In Quechua, ""runa"" refers to people or humans, and ""pacha"" implies the context or domain, such as the cultural, social, or temporal world of humans. ""Willakuy"" translates to ""information"" or ""news,"" and ""yachay"" is ""knowledge"" or ""science."" By arranging the terms as ""Runapachaq willakuy yachay,"" the translation emphasizes the focus on the human domain and context within the study of data and knowledge, capturing the essence of ""Humanities Data Science"" as a field concerned with humanistic aspects and data-driven analysis.",2025-05-31 21:15:56
rm,Humanities Data Science,Scienza da Datas per las Scienzas umanas,Romansh,125.0,1740740376.0,stop,gpt-4o-2024-08-06,116.0,241.0,"The term 'Humanities Data Science' can be broken down into 'Data Science' and 'Humanities'. 'Scienza da Datas' accurately represents 'Data Science', as 'Scienza' means 'science' and 'Datas' is a direct translation of 'data'. For 'Humanities', 'las Scienzas umanas' reflects 'the human sciences', capturing the multidisciplinary nature of the humanities. This translation conveys the idea of using data science techniques in the study of human-oriented subjects.",2025-05-31 21:15:56
rn,Humanities Data Science,Ubuhinga bwo gusesengura amakuru y’ivy’ubumenyi n’ubuhinga,Kirundi,157.0,1740740512.0,stop,gpt-4o-2024-08-06,141.0,298.0,"The term 'Humanities Data Science' is a concept that combines the fields of humanities and data science. In Kirundi, 'Ubuhinga bwo gusesengura' refers to the ability or skill of processing/analyzing, 'amakuru' means data or information, and 'ivy’ubumenyi n’ubuhinga' combines 'ubumenyi' (knowledge/arts) and 'ubuhinga' (technology/science), capturing the essence of both humanities and data science. This translation more accurately conveys the integration of humanistic inquiry with data analysis, rather than solely focusing on human or life sciences.",2025-05-31 21:15:56
ro,Humanities Data Science,Știința datelor umaniste,"Romanian, Moldavan",141.0,1740740518.0,stop,gpt-4o-2024-08-06,139.0,280.0,"Am ales să folosesc termenul ""Știința datelor umaniste"" deoarece se aliniază mai bine cu sensul și conotațiile originale ale termenului ""Humanities Data Science"". Cuvântul ""umaniste"" face trimitere directă la domeniul umanistelor, subliniind aspectul umanistic al datelor. De asemenea, această formulare este deja recunoscută și ușor de înțeles în contextul academic și al științelor datelor din zona umanistică.",2025-05-31 21:15:56
ng,Humanities Data Science,Oondonga dha Aantu ti Kutya,Ndonga,136.0,1740739112.0,stop,gpt-4o-2024-08-06,137.0,273.0,"The term ""Humanities Data Science"" can be translated by considering the individual components of the phrase. ""Humanities"" pertains to studies related to human culture, which can be represented by ""Aantu"" (people or humans) and ""kudya"" (cultural matters or knowledge). ""Data Science"" involves the systematic analysis and synthesis of information. ""Oondonga"" refers to insights or investigations, which aligns with ""science,"" while ""ti kutya"" signifies systematic analysis or data processing. This translation keeps the meaning intact and is culturally contextualized.",2025-05-31 21:15:56
nd,Humanities Data Science,Ubuciko bokuhlaziya idatha yomuntu,North Ndebele,102.0,1740738931.0,stop,gpt-4o-2024-08-06,86.0,188.0,"In North Ndebele, ""ubuciko"" refers to the broader scope of arts and humanities. ""Bokuhlaziya"" translates to ""of analyzing,"" which is essential to the practice of data science. ""Idatha yomuntu"" translates to ""human data,"" encapsulating the idea of data science applied within the context of humanities, focusing on human-centered data analysis.",2025-05-31 21:15:56
na,Humanities Data Science,Naoero Pilu Esen Tikin Tawa,Nauru,157.0,1740738464.0,stop,gpt-4o-2024-08-06,117.0,274.0,"The translation 'Naoero Pilu Esen Tikin Tawa' represents an adaptation of existing Nauruan terms to closely match the essence of 'Humanities Data Science'. 'Naoero' is the term for Nauru and grounds the phrase in Nauruan context. 'Pilu Esen' translates to 'humanity', capturing the collective essence and cultural focus. 'Tikin Tawa' encompasses the idea of 'data science', with 'Tikin' meaning 'data', and 'Tawa' meaning 'study' or 'disciplinary exploration'. This structure mirrors the English term while respecting the nuances and linguistic tendencies of Nauruan language.",2025-05-31 21:15:56
my,Humanities Data Science,လူမှုရေး ဒေတာသိပ္ပံ,Burmese,146.0,1740735821.0,stop,gpt-4o-2024-08-06,116.0,262.0,"The suggested translation from Google Translate, ""လူသားပညာ ဒေတာသိပ္ပံ,"" combines ""လူသား"" (human) with ""ပညာ"" (knowledge or science), which might be interpreted narrowly. By using ""လူမှုရေး"" (social or humanities) instead, the translation aligns more closely with the academic field of the humanities. ""ဒေတာသိပ္ပံ"" accurately translates to ""data science."" Therefore, ""လူမှုရေး ဒေတာသိပ္ပံ"" is a refined and accurate representation of ""Humanities Data Science"" in Burmese.",2025-05-31 21:15:56
kw,Humanities Data Science,Dydhskans Datenow an Dhynyonydh,Cornish,104.0,1740735942.0,stop,gpt-4o-2024-08-06,82.0,186.0,"The translation breaks down as follows: 'Dydhskans' means 'science', 'Datenow' translates to 'data', and 'an Dhynyonydh' refers to 'of the humanities'. Each component aligns with the typical Cornish structure and semantics, combining technical and humanistic aspects in a way that is consistent with Cornish vocabulary and its morphological rules.",2025-05-31 21:15:56
ky,Humanities Data Science,Гуманитардык маалымат илими,"Kirghiz, Kyrgyz",124.0,1740738078.0,stop,gpt-4o-2024-08-06,153.0,277.0,"The Google Translate API's suggestion ""Гуманитардык маалымат илими"" accurately captures the essence of ""Humanities Data Science"". ""Гуманитардык"" refers to the humanities, encompassing the arts and human-centered studies. ""Маалымат"" means data or information, applying to data as used in data science. ""Илими"" translates directly to science or the study of, which is appropriate in the context of data science. This phrase effectively conveys the integration of humanities with data science in Kyrgyz.",2025-05-31 21:15:56
la,Humanities Data Science,Scientia Data Humanitatum,Latin,118.0,1740738194.0,stop,gpt-4o-2024-08-06,126.0,244.0,"The translation ""Scientia Data Humanitatum"" is chosen to reflect the interdisciplinary nature of Humanities Data Science. ""Scientia"" connotes knowledge or science, capturing the systematic study aspect. ""Data"" is retained as the modern term for data, acknowledging its contemporary usage and understanding. ""Humanitatum"" is the genitive plural form of ""humanitas,"" meaning ""of the humanities,"" emphasizing the domain focus. This phrase effectively conveys the integration of data science methodologies within humanities research.",2025-05-31 21:15:56
lb,Humanities Data Science,Geeschteswëssenschaften Datescience,Luxembourgish,101.0,1740738216.0,stop,gpt-4o-2024-08-06,110.0,211.0,"The term ""Humanities"" is often translated into Luxembourgish as ""Geeschteswëssenschaften,"" which captures the broad spectrum of disciplines within the humanities. The term ""Data Science"" is directly translated as ""Datescience,"" reflecting the scientific study and analysis of data. This translation seeks to maintain the integrity and specificity of the original term while adapting it to Luxembourgish language conventions.",2025-05-31 21:15:56
lg,Humanities Data Science,Sayansi y’Obubudamu n’Ebyuma by’Emikutu,Luganda,182.0,1740738220.0,stop,gpt-4o-2024-08-06,136.0,318.0,"The term ""Humanities Data Science"" encompasses both the scientific and humanistic aspects of analyzing data related to human culture, history, and society. The Google Translate suggestion ""Sayansi wa Data ey’eby’obuntubulamu"" attempts to maintain this structure by using ""Sayansi"" for ""Science"" and introducing ""ey’eby’obuntubulamu"" to imply the human aspect. However, a more refined translation could use ""Obubudamu"" for ""of Humanity"" to directly capture the humanistic focus and ""Ebyuma by’Emikutu"" to address data analysis as the technologies or mechanisms facilitating the exploration of human data. This captures the essence of Data Science as the tooling or methodologies driving insights into humanities disciplines.",2025-05-31 21:15:56
li,Humanities Data Science,Geesteswetensjappe-Datawetersjap,Limburgish,112.0,1740738230.0,stop,gpt-4o-2024-08-06,117.0,229.0,"In Limburgish, ""Geesteswetensjappe"" is a suitable translation for ""Humanities,"" as it encompasses the study of human culture, thought, and society. ""Datawetersjap"" effectively translates ""Data Science,"" maintaining the scientific and analytical concept of working with data. I chose to use a hyphen to combine both parts for clarity and to align with how compound terms are often constructed in Limburgish.",2025-05-31 21:15:56
ln,Humanities Data Science,Science ya ba Données na Makambo ma Ézali ya Moto,Lingala,160.0,1740738246.0,stop,gpt-4o-2024-08-06,132.0,292.0,"This translation aims to capture the essence of ""Humanities Data Science"" by integrating both the aspects of data (""Données"") and the human element (""Makambo ma Ézali ya Moto"") in the study of humanities. The phrase ""Science ya ba Données"" is retained for clarity, as ""données"" (data) is a key term in the original phrase. ""Makambo ma Ézali ya Moto"" tries to encompass the broader study of human-related subjects, aligning more closely with the interdisciplinary nature of humanities within data science. This refined translation considers both language structure and the context in which this term might be used in an academic setting.",2025-05-31 21:15:56
lo,Humanities Data Science,ວິທະຍາສາດຂໍ້ມູນມະນຸດສະຫມັດ,Lao,235.0,1740738258.0,stop,gpt-4o-2024-08-06,203.0,438.0,"The term ""ວິທະຍາສາດຂໍ້ມູນມະນຸດສະທໍາ"" is a direct translation provided by both Google Translate API and Ollama API, which captures the essence of Humanities Data Science. However, I have chosen to use ""ມະນຸດສະຫມັດ"" instead of ""ມະນຸດສະທໍາ"" to better highlight the aspect of human creativity and intelligence involved in the humanities. ສະຫມັດ means intelligence or capability, which ties closely with the interdisciplinary approach of using data science in the humanities.",2025-05-31 21:15:56
lt,Humanities Data Science,Humanistikos duomenų mokslas,Lithuanian,136.0,1740738288.0,stop,gpt-4o-2024-08-06,118.0,254.0,"While the Google Translate API suggests ""Humanitarinių mokslų duomenų mokslas,"" this term can be slightly refined for accuracy and conciseness. ""Humanistikos"" more directly aligns with ""Humanities,"" which involves a broader and academically recognized scope of study in areas like arts, literature, and philosophy, compared to ""Humanitarinių mokslų,"" which can imply a more general and less specific association with humanitarian studies. ""Duomenų mokslas"" accurately translates to ""Data Science,"" maintaining the technical component of the discipline.",2025-05-31 21:15:56
lu,Humanities Data Science,Ditambu dia Bantu dia Lomalula ya Sianse,Luba-Katanga,139.0,1740738306.0,stop,gpt-4o-2024-08-06,124.0,263.0,"The term ""Humanities Data Science"" involves the study and analysis of data from a humanities perspective. In Luba-Katanga, ""Ditambu dia Bantu"" translates to ""Data of people"" or ""Data about humanities,"" while ""Lomalula ya Sianse"" encompasses ""Science of computation"" or ""Data Science."" This translation combines ""Bantu"" (people or humanities) with ""Ditambu"" (data) and then aligns it with ""Lomalula ya Sianse,"" capturing the scientific and analytical methodologies applied in the study.",2025-05-31 21:15:56
lv,Humanities Data Science,Humanitāro zinātņu datu zinātne,Latvian,130.0,1740738333.0,stop,gpt-4o-2024-08-06,118.0,248.0,"The term 'Humanitāro zinātņu datu zinātne' is a direct and accurate translation of 'Humanities Data Science' into Latvian. 'Humanitāro zinātņu' translates to 'humanities,' recognizing the academic disciplines that study human culture and society. 'Datu zinātne' means 'data science,' reflecting the field focused on extracting insights from various data forms. This translation captures the essence of blending humanities with data analysis techniques, and it does not require further modification.",2025-05-31 21:15:56
mg,Humanities Data Science,Siansa angon-drakitra amin'ny fitondran-tena sy kolontsaina,Malagasy,139.0,1740738351.0,stop,gpt-4o-2024-08-06,128.0,267.0,"The term 'Humanities Data Science' refers to the intersection of data science with the study of human culture, behavior, and societies. The translation 'Siansa angon-drakitra amin'ny fitondran-tena sy kolontsaina' directly describes this relationship by combining 'Siansa angon-drakitra' (Data Science) with 'amin'ny fitondran-tena sy kolontsaina' (related to cultural studies and behaviors), which captures the essence of how data science is applied within the humanities.",2025-05-31 21:15:56
mh,Humanities Data Science,Jerbal in Ñan Eoñiñ,Marshallese,157.0,1740738411.0,stop,gpt-4o-2024-08-06,129.0,286.0,"The translation 'Jerbal in Ñan Eoñiñ' attempts to capture the essence of 'Humanities Data Science' by breaking it down into its core components. 'Jerbal' refers to 'work' or 'activity', akin to the systematic and investigative aspects of science, while 'Ñan Eoñiñ' conveys 'pertaining to human or humanity'. I opted for this modification to embody both the analytical aspect ('Jerbal') and the focus on human cultural studies ('Ñan Eoñiñ') that are integral to the field of Humanities Data Science. This choice seeks to align the translation more closely with the Marshallese linguistic and cultural context.",2025-05-31 21:15:56
mi,Humanities Data Science,Pūtaiao Raraunga Mātauranga Tangata,Māori,166.0,1740738402.0,stop,gpt-4o-2024-08-06,132.0,298.0,"The term 'Humanities Data Science' consists of three key concepts: 'Humanities', 'Data', and 'Science'. In Māori, 'Pūtaiao' is a commonly accepted term for 'Science' and 'Raraunga' is used for 'Data'. The concepts of 'Humanities' and 'Culture' often overlap, and 'Mātauranga' encompasses knowledge, culture, and wisdom, which aligns with the study of humanities. Adding 'Tangata' for 'Humanities' directly references human aspects, ensuring clarity. Therefore, combining these elements, 'Pūtaiao Raraunga Mātauranga Tangata' captures the interdisciplinary essence of this field.",2025-05-31 21:15:56
