language_code,language_name,term_source,claude_translated_term,claude_output_tokens,claude_created,claude_stop_reason,claude_model,claude_input_tokens,claude_total_tokens,claude_translation_rationale,claude_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_system_prompt,ollama_user_prompt,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,openai_system_prompt,openai_user_prompt,exclude_claude,claude_system_prompt,claude_user_prompt,coding_dh_date_x,coding_dh_date_y,family_name
xcr,Carian,Digital Humanities,Digital Humanities,97.0,2026-04-19T20:26:46.682196,end_turn,claude-sonnet-4-5-20250929,75.0,172.0,Carian is an ancient Anatolian language (c. 7th-1st century BCE) that is extinct and only partially deciphered from inscriptions. No native terminology exists for modern concepts like 'digital' or 'humanities.' The term must remain untranslated as there is no viable way to express this concept in Carian.,,,,2026-04-19 20:26:46,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Carian (ISO code: xcr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","Since there is no available information or standardization for the Carian language (ISO code: xcr), I will use my knowledge of ancient languages to create a hypothetical translation based on the available epigraphic and linguistic resources.

**Disclaimer:** This is an educated guess, not a proven fact. The Carian script was deciphered in 1912 by Edward Chiera, but its vocabulary and grammar are still not fully understood.

Assuming that the term ""Digital Humanities"" can be translated into Carian using a combination of loanwords from ancient Greek and local linguistic elements:

```json
{
    ""translated_term"": ""Δίχθονιον ἀνθρωπολόγον"",
    ""translation_rationale"": ""Combining 'δίδωμι' (to give) with 'θόνος' (place, seat) and 'ἄνθρωπος' (human), with the suffix '-λογία' indicating a study or science.""
}
```

Please note that this is a highly speculative translation and should not be considered as an authoritative interpretation. The Carian language remains one of the most enigmatic languages of the ancient world, and further research is needed to uncover its true meaning.",llama3.1,2026-04-20T01:26:38.859311Z,3295844000.0,73114500.0,74.0,311914125.0,243.0,2841752583.0,stop,Δίχθονιον ἀνθρωπολόγον,"Combining 'δίδωμι' (to give) with 'θόνος' (place, seat) and 'ἄνθρωπος' (human), with the suffix '-λογία' indicating a study or science.",[],,True,,,,,,,,,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Carian (ISO code: xcr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Carian (ISO code: xcr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,2026-04-19 16:39:12,Indo-European languages
za,"Zhuang, Chuang",Digital Humanities,Sujwz Yinzhvwnz,73.0,2026-04-19T16:39:21.981623,end_turn,claude-sonnet-4-5-20250929,80.0,153.0,"Combines 'Sujwz' (digital/numerical) and 'Yinzhvwnz' (humanities/liberal arts), following Zhuang language structure for technical academic terms",,,,2026-04-19 16:39:21,,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Zhuang, Chuang (ISO code: za). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""hóz kúv tijíw"", ""translation_rationale"": ""Combining elements from the Zhuang language's linguistic structure, 'digital' is translated as 'hóz', meaning 'to count' or 'number', 'kúv' represents a prefix indicating something related to measurement or data, and 'tijíw' means 'people' or 'humans'. This combination conveys the idea of counting or measuring human activities in a digital context.""}",llama3.1,2026-04-19T21:33:44.19751Z,1613983083.0,83180750.0,76.0,284980167.0,105.0,1217260840.0,stop,hóz kúv tijíw,"Combining elements from the Zhuang language's linguistic structure, 'digital' is translated as 'hóz', meaning 'to count' or 'number', 'kúv' represents a prefix indicating something related to measurement or data, and 'tijíw' means 'people' or 'humans'. This combination conveys the idea of counting or measuring human activities in a digital context.","[{'translated_term': 'hóz kúv tijíw', 'translation_rationale': ""Combining elements from the Zhuang language's linguistic structure, 'digital' is translated as 'hóz', meaning 'to count' or 'number', 'kúv' represents a prefix indicating something related to measurement or data, and 'tijíw' means 'people' or 'humans'. This combination conveys the idea of counting or measuring human activities in a digital context.""}]",hóz kúv tijíw,False,数字人文学,67.0,1776634545.0,stop,gpt-4o-2024-08-06,72.0,139.0,"The translation uses the term for 'digital' (数字) and adds it to 'humanities' (人文学) to convey the concept of integrating digital techniques with the study of human culture, which is commonly understood in this context.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Zhuang, Chuang (ISO code: za). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Zhuang, Chuang (ISO code: za). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Tai languages
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარული მეცნიერებეფი,136.0,2026-04-19T16:39:18.213309,end_turn,claude-sonnet-4-5-20250929,77.0,213.0,Megrelian uses Georgian script and borrows many scholarly terms from Georgian. 'ციფრული' (ts'ipruli) means 'digital' and 'ჰუმანიტარული მეცნიერებეფი' (humanitaruli mets'nierebеfi) means 'humanities/humanitarian sciences' with the Megrelian plural ending '-efi'.,,,,2026-04-19 16:39:18,,,True,,True,,True,,,,,,,,,,,,,,,,,False,ციფრული ჰუმანიტარია,67.0,1776634541.0,stop,gpt-4o-2024-08-06,71.0,138.0,"The term 'Digital Humanities' doesn't have a direct equivalent in Megrelian, so it is translated using phonetic transcription from the Georgian language, which is closely related and shares a similar cultural and academic context.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Megrelian (ISO code: xmf). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Megrelian (ISO code: xmf). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Caucasian languages
war,Waray / Samar-Leyte Visayan,Digital Humanities,Digitál nga Kaaram,87.0,2026-04-19T16:39:08.199099,end_turn,claude-sonnet-4-5-20250929,85.0,172.0,"In Waray, 'Digital' is borrowed as 'Digitál' (commonly used for technology terms), and 'Humanities' translates to 'Kaaram' (knowledge/learning related to human culture and society). This follows Waray linguistic patterns for academic terminology.",,,,2026-04-19 16:39:08,,Digital nga Katawhan,True,,True,,True,,,,,,,,,,,,,,,,,False,Mga Digital nga Humanidades,75.0,1776634539.0,stop,gpt-4o-2024-08-06,77.0,152.0,"The term 'Humanities' is translated to 'Humanidades,' which is a direct translation often used in Filipino languages, including Waray. 'Digital' remains the same due to its widespread use and lack of a direct equivalent in many Philippine languages.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Waray / Samar-Leyte Visayan (ISO code: war). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Waray / Samar-Leyte Visayan (ISO code: war). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Austronesian languages
ug,"Uighur, Uyghur",Digital Humanities,رەقەملىك ئىنسانىيەت ئىلىملىرى,130.0,2026-04-19T16:39:04.213554,end_turn,claude-sonnet-4-5-20250929,82.0,212.0,"This translates to 'Digital Humanities' in Uyghur using Arabic script. 'رەقەملىك' means 'digital', and 'ئىنسانىيەت ئىلىملىرى' means 'humanities' or 'human sciences', which is the standard academic term used in Uyghur for humanities disciplines.",,,,2026-04-19 16:39:04,,رەقەملىك ئىنسانىيەت,True,,False,رەقەملىك ئادىمىيەت,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Uighur, Uyghur (ISO code: ug). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Maddiy siyasi ilmiy"",
  ""translation_rationale"": ""Combining 'digital' (maddi) and 'humanities' (siyasi ilmiy)""
}",llama3.1,2026-04-19T21:33:13.929151Z,956718625.0,81251333.0,78.0,300426417.0,49.0,561355041.0,stop,Maddiy siyasi ilmiy,Combining 'digital' (maddi) and 'humanities' (siyasi ilmiy),[],,False,سانائەت ئەدەبىياتى,66.0,1776634537.0,stop,gpt-4o-2024-08-06,74.0,140.0,The term 'Digital Humanities' is translated by combining 'سانائەت' (digital) and 'ئەدەبىياتى' (humanities) to reflect the digital study of human culture and history.,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Uighur, Uyghur (ISO code: ug). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Uighur, Uyghur (ISO code: ug). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Altaic languages
to,Tonga,Digital Humanities,Fakatoukatea Fakaʻelekitōnika,78.0,2026-04-19T16:38:59.374814,end_turn,claude-sonnet-4-5-20250929,74.0,152.0,"Combines 'fakatoukatea' (humanities/knowledge) with 'fakaʻelekitōnika' (digital/electronic), following Tongan language patterns for compound academic terms.",,,,2026-04-19 16:38:59,,Ngaahi Ngaue Fakaetangata Fakakomipiuta,False,"Ngaahi Anga'itangata "" o e Fa'ahinga "" o e Tangatá",True,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Tonga (ISO code: to). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Fonua Fakakolo Founga"",
  ""translation_rationale"": ""Literally 'Humanities of the Digital', using Tongan words for 'digital' (faka-kolo), 'humanities' (fakakolo founga) or 'arts/humanities in a new/foreign context'""
}",llama3.1,2026-04-19T21:32:55.18516Z,1223474417.0,79343708.0,73.0,294972667.0,72.0,828851915.0,stop,Fonua Fakakolo Founga,"Literally 'Humanities of the Digital', using Tongan words for 'digital' (faka-kolo), 'humanities' (fakakolo founga) or 'arts/humanities in a new/foreign context'",[],,False,ʻIlo fakakomepūtā,66.0,1776634535.0,stop,gpt-4o-2024-08-06,68.0,134.0,"The translation combines 'ʻIlo', meaning 'knowledge', with 'fakakomepūtā', meaning 'related to computers' to reflect the interdisciplinary nature of studying humanities through digital means.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Tonga (ISO code: to). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Tonga (ISO code: to). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Austronesian languages
sl,Slovene,Digital Humanities,digitalna humanistika,70.0,2026-04-19T16:38:55.778150,end_turn,claude-sonnet-4-5-20250929,74.0,144.0,"Direct translation following standard Slovene academic terminology where 'digital' becomes 'digitalna' and 'humanities' translates to 'humanistika', the established term for humanities disciplines in Slovene academic discourse.",,,,2026-04-19 16:38:55,,Digitalna humanistika,True,,False,Digitalna humanistika,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Slovene (ISO code: sl). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Družboslovje v digitalnem obdobju"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Slovene, combining the two concepts""
}",llama3.1,2026-04-19T21:32:12.286054Z,916978000.0,78942375.0,73.0,300919042.0,45.0,524211996.0,stop,Družboslovje v digitalnem obdobju,"Literal translation of 'Digital Humanities' into Slovene, combining the two concepts",[],,False,Digitalne humanistike,86.0,1776634528.0,stop,gpt-4o-2024-08-06,69.0,155.0,"The term 'Digital Humanities' is translated to Slovene as 'Digitalne humanistike' because 'digitalne' means 'digital' and 'humanistike' is the plural form of 'humanistika', which refers to the humanities. This maintains the conceptual meaning in the context of using digital tools and methods to study the humanities.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Slovene (ISO code: sl). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Slovene (ISO code: sl). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
si,"Sinhala, Sinhalese",Digital Humanities,ඩිජිටල් මානව ශාස්ත්‍ර,125.0,2026-04-19T16:38:52.572520,end_turn,claude-sonnet-4-5-20250929,80.0,205.0,"Direct translation where 'ඩිජිටල්' (dijital) is the standard transliteration for 'Digital' and 'මානව ශාස්ත්‍ර' (mānava śāstra) means 'Humanities' (literally 'human sciences/studies'), commonly used in academic contexts in Sinhala.",,,,2026-04-19 16:38:52,,ඩිජිටල් මානව ශාස්ත්‍ර,True,,False,ඩිජිටල් මානව ශාස්ත්ර,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Sinhala, Sinhalese (ISO code: si). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
""translated_term"": "" දිගිතල් සාහිත්‍ය විද්‍යා "",
""translation_rationale"": ""Sinhala translation of 'Digital Humanities' combining the words for 'digital', 'humanities' and using appropriate grammatical suffixes to form a term that reflects its meaning.""
}",llama3.1,2026-04-19T21:32:03.034283Z,1539594958.0,78489292.0,77.0,284369667.0,96.0,1150956544.0,stop, දිගිතල් සාහිත්‍ය විද්‍යා ,"Sinhala translation of 'Digital Humanities' combining the words for 'digital', 'humanities' and using appropriate grammatical suffixes to form a term that reflects its meaning.",[],,False,ඩිජිටල් මානව ශාස්ත්‍ර,81.0,1776634524.0,stop,gpt-4o-2024-08-06,72.0,153.0,"The term 'Digital Humanities' is translated directly into Sinhala, capturing both 'digital' (ඩිජිටල්) and 'humanities' (මානව ශාස්ත්‍ර) to convey the interdisciplinary domain combining technology with the study of human culture.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Sinhala, Sinhalese (ISO code: si). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Sinhala, Sinhalese (ISO code: si). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
sh,Serbo-Crotian,Digital Humanities,Digitalna humanistika,69.0,2026-04-19T16:38:46.467388,end_turn,claude-sonnet-4-5-20250929,79.0,148.0,"This is the standard translation used in academic contexts across Serbo-Croatian speaking regions, where 'digitalna' means 'digital' and 'humanistika' refers to the humanities as an academic field.",,,,2026-04-19 16:38:46,,Дигиталне хуманистичке науке,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Serbo-Crotian (ISO code: sh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dijigitalne umetnosti"",
  ""translation_rationale"": ""Based on Serbian Cyrillic alphabet and adapting the term from English, considering common usage in Balkan countries.""
}",llama3.1,2026-04-19T21:31:52.574468Z,898872792.0,83887584.0,76.0,282121625.0,45.0,519187460.0,stop,Dijigitalne umetnosti,"Based on Serbian Cyrillic alphabet and adapting the term from English, considering common usage in Balkan countries.",[],,False,Digitalna humanistika,68.0,1776634522.0,stop,gpt-4o-2024-08-06,72.0,140.0,"The term 'Digital Humanities' is commonly translated into Serbo-Croatian as 'Digitalna humanistika,' where 'digitalna' means 'digital' and 'humanistika' corresponds to 'humanities' in the academic context.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Serbo-Crotian (ISO code: sh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Serbo-Crotian (ISO code: sh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
sa,Sanskrit (Saṁskṛta),Digital Humanities,आङ्गिकमानविकी,66.0,2026-04-19T16:38:42.804104,end_turn,claude-sonnet-4-5-20250929,82.0,148.0,"Compound of 'āṅgika' (digital/numerical) and 'mānavikī' (humanities), following Sanskrit compound formation rules for modern technical terms",,,,2026-04-19 16:38:42,,डिजिटल मानविकी,True,,True,,True,,,,,,,,,,,,,,,,,False,साङ्गणकमानविकी,74.0,1776634518.0,stop,gpt-4o-2024-08-06,75.0,149.0,The term 'Digital Humanities' combines the concepts of technology ('साङ्गणक' meaning 'computer') and humanistic study ('मानविकी' meaning 'humanities'). This translation reflects the integration of digital technology with the humanities disciplines.,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Sanskrit (Saṁskṛta) (ISO code: sa). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Sanskrit (Saṁskṛta) (ISO code: sa). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
