coding_dh_date,language_code,language_name,term_source,gt_translated_term,exclude_google_cloud_translate
2026-03-15 18:43:00,aa,Afar,Computational Humanities,cisab seehadaytiino,
2026-03-15 18:43:00,ab,Abkhaz,Computational Humanities,Аҳасабратә гуманитартә ҵарақәа,
2026-03-15 18:43:00,af,Afrikaans,Computational Humanities,Berekeningsgeesteswetenskappe,
2026-03-15 18:43:00,ak,Akan,Computational Humanities,Mfiridwuma mu Nnipa Ho Adesua,
2026-03-15 18:43:00,am,Amharic,Computational Humanities,የኮምፒውተር ሂውማኒቲስ,
2026-03-15 18:43:00,ar,Arabic,Computational Humanities,العلوم الإنسانية الحاسوبية,
2026-03-15 18:43:00,as,Assamese,Computational Humanities,কম্পিউটেচনেল হিউমেনিটিজ,
2026-03-15 18:43:00,av,Avaric,Computational Humanities,ХӀисабалъул гуманитарияб гӀелму,
2026-03-15 18:43:00,ay,Aymara,Computational Humanities,Humanidades Computacionales uka tuqita yatxataña,
2026-03-15 18:43:00,az,Azerbaijani,Computational Humanities,Hesablama Humanitar Elmləri,
2026-03-15 18:43:00,ba,Bashkir,Computational Humanities,Иҫәпләү гуманитар фәндәре,
2026-03-15 18:43:00,be,Belarusian,Computational Humanities,Вылічальныя гуманітарныя навукі,
2026-03-15 18:43:00,bg,Bulgarian,Computational Humanities,Компютърни хуманитарни науки,
2026-03-15 18:43:00,bh,Bihari,Computational Humanities,कम्प्यूटेशनल मानविकी के बारे में बतावल गइल बा,
2026-03-15 18:43:00,bm,Bambara,Computational Humanities,Jateblaw Hadamadenw ka dɔnniyaw,
2026-03-15 18:43:00,bn,Bengali,Computational Humanities,গণনামূলক মানবিকতা,
2026-03-15 18:43:00,bo,Tibetan,Computational Humanities,རྩིས་རྒྱག་འགྲོ་བ་མིའི་རིག་པ།,
2026-03-15 18:43:00,br,Breton,Computational Humanities,Skiantoù mab-den urzhiataerezh,
2026-03-15 18:43:00,bs,Bosnian,Computational Humanities,Računarske humanističke nauke,
2026-03-15 18:43:00,ca,Catalan; Valencian,Computational Humanities,Humanitats Computacionals,
2026-03-15 18:43:00,ce,Chechen,Computational Humanities,ХӀоттаман гуманитаран Ӏилманаш,
2026-03-15 18:43:00,ch,Chamorro,Computational Humanities,Humanidåt Komputasionåt,
2026-03-15 18:43:00,co,Corsican,Computational Humanities,Umanità Computazionale,
2026-03-15 18:43:00,cs,Czech,Computational Humanities,Výpočetní humanitní vědy,
2026-03-15 18:43:00,cv,Chuvash,Computational Humanities,Шутлав гуманитари,
2026-03-15 18:43:00,cy,Welsh,Computational Humanities,Dyniaethau Cyfrifiadurol,
2026-03-15 18:43:00,da,Danish,Computational Humanities,Beregningsmæssige humaniora,
2026-03-15 18:43:00,de,German,Computational Humanities,Computational Humanities,
2026-03-15 18:43:00,dv,Divehi; Maldivian;,Computational Humanities,ކޮމްޕިއުޓޭޝަނަލް ހިއުމަނިޓީސް އެވެ,
2026-03-15 18:43:00,dz,Dzongkha,Computational Humanities,རྩིས་འཁོར་མི་ཆོས་རིག་པ།,
2026-03-15 18:43:00,ee,Ewe,Computational Humanities,Akɔntabubu Ŋuti Amegbetɔŋutinunya,
2026-03-15 18:43:00,el,"Greek, Modern",Computational Humanities,Υπολογιστικές Ανθρωπιστικές Επιστήμες,
2026-03-15 18:43:00,en,English,Computational Humanities,Computational Humanities,
2026-03-15 18:43:00,eo,Esperanto,Computational Humanities,Komputilaj Homstudoj,
2026-03-15 18:43:00,es,Spanish; Castilian,Computational Humanities,Humanidades Computacionales,
2026-03-15 18:43:00,et,Estonian,Computational Humanities,Arvutuslikud humanitaarteadused,
