language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
av,Computational Social Science,,Avaric,"{'translated_term': '\u04e0\u0438\u0431\u0430\u0442\u043c\u0438\u0443\u0449 \u0441\u043e\u0446\u043b\u044f\u043b\u044f\u0441\u044c\u0441\u043a \u0441\u0430\u043c\u044b\u0440\u0442\u0441\u043a\u0438\u0449', 
 'translation_rationale': 'The term ""Computational Social Science"" can be broken down into its constituent parts. ""\u04e0\u0438\u0431\u0430\u0442\u043c\u0438\u0443\u0449"" refers to the field of study itself, while ""\u0440\u0438\u0444 \u0441\u043e\u0446\u043b\u044a\u043b\u0445\u0441\u044l\u044f\u0441\u044c\u0441k\u0438\u0449"" means a science that uses computations. The suffix ""-skii"" in Avaric is used to form nouns denoting sciences or fields of study, similar to Latin-derived languages such as English and French.'}

Alternative translation:
{'translated_term': '\u04e0\u0438\u0431 \u0444\u044f\u043b\u0441\u0442\u044a\u044c\u0445\u0439 \u0441\u043e\u0446\u043b\u0442\u044f\u0443\u0442\u044f \u0440\u0438\u0444 \u0441\u043e\u0446\u043b\u0445\u0447\u0438\u0443', 
 'translation_rationale': This translation emphasizes the computational aspect of social science, using the word ""\u04e0\u0438\u0431"" to mean ""science"" and ""\u0444\u044f\u043b\u0441\u0442\u044a\u044c\u0445\u0439"" to mean ""computational"". The phrase ""\u0441\u043o\u0446\u043f\u0440\u044e\u0443\u0442\u0443"" means ""social science"", while the suffix ""-skii"" forms a noun denoting the field of study.'}",llama3.2,2025-02-27T22:56:58.470783Z,6222334375.0,23091167.0,168.0,126000000.0,499.0,6071000000.0,stop,[],,2025-05-31 21:15:56
ne,Computational Social Science,,Nepali,"```json
{
  ""translated_term"": ""गणितीय सामाजिक विज्ञान"",
  ""translation_rationale"": ""मैंने &quot;गणितीय&quot; शब्द का चयन किया है क्योंकि यह विषय की गणित-आधारित प्रभावशीलता और सामाजिक प्रभावों पर ध्यान केंद्रित करता है। &quot;सामाजिक&quot; शब्द को समकालीन शास्त्रीय सामाजिक विज्ञान और सोशियोलॉजी जैसे विषयों के प्रति अनुकरणात्मकता प्रदान करने के लिए सहायक माना जाता है।"",
  ""alternative_terms"": [
    ""कंप्यूटेशनल सामाजिक विज्ञान"", 
    ""गणितीय सांस्कृतिक अध्ययन"" 
  ],
  ""linguistic_note"": ""Nepali में 'सामाजिक' शब्द के लिए &quot;सामाजिक&quot; और &quot;सांस्कृतिक&quot; दोनों विकल्प हैं, जिनमें से प्रत्येक की अपनी अर्थ-विविधता है।""
}
```

Note: I have avoided using the Google Translate API's suggestion directly, instead providing my own translation and justification for it. The suggested term 'कम्प्युटेसनल सामाजिक विज्ञान' is close to the original English term but doesn't fully capture the nuances of 'Computational Social Science'. My suggested term &quot;गणितीय सामाजिक विज्ञान&quot; better conveys the subject's emphasis on mathematical rigor and social impact.",llama3.2,2025-02-27T23:10:55.432223Z,4790677375.0,35209875.0,160.0,20000000.0,402.0,4733000000.0,stop,[],,2025-05-31 21:15:56
mh,Computational Social Science,Erikoj Kallen Sosiojik,Marshallese,"{'translated_term': 'Kallon Kajij Erikoj Sosiojik', 'translation_rationale': 'I used ""Kallon"" (meaning ""science"") and ""Erikoj Sosiojik"" (meaning ""computational social science"") to convey the meaning of ""Computational Social Science"". This combination is inspired by Marshallese phrases, where ""-ion"" is a suffix often added to words to create nouns or technical terms. The term ""Killon Kajij Erikoj Sosiojik"" could also be interpreted as ""Social Science with Calculations"", which better aligns with the computational aspect of the field.'}

Alternatively, if I were to use more literal translation:

{'translated_term': 'Erikoj Kallen Sosiojik', 'translation_rationale': 'Using this term, ""Kallen"" (meaning ""science"") is paired with ""Erikoj"" (meaning ""computational""), which could be a bit awkward in Marshallese pronunciation. However, it clearly conveys the meaning of the term.'}

Note that Marshallese language and grammar may vary across different regions or dialects, so these translations are intended to serve as a starting point for further refinement and evaluation.",llama3.2,2025-02-27T23:09:35.384837Z,2764256375.0,26271208.0,151.0,94000000.0,261.0,2642000000.0,stop,"[{'translated_term': 'Kallon Kajij Erikoj Sosiojik', 'translation_rationale': 'I used ""Kallon"" (meaning ""science"") and ""Erikoj Sosiojik"" (meaning ""computational social science"") to convey the meaning of ""Computational Social Science"". This combination is inspired by Marshallese phrases, where ""-ion"" is a suffix often added to words to create nouns or technical terms. The term ""Killon Kajij Erikoj Sosiojik"" could also be interpreted as ""Social Science with Calculations"", which better aligns with the computational aspect of the field.'}, {'translated_term': 'Erikoj Kallen Sosiojik', 'translation_rationale': 'Using this term, ""Kallen"" (meaning ""science"") is paired with ""Erikoj"" (meaning ""computational""), which could be a bit awkward in Marshallese pronunciation. However, it clearly conveys the meaning of the term.'}]",Erikoj Kallen Sosiojik,2025-05-31 21:15:56
mk,Computational Social Science,Македонска компјувачка социјална наука,Macedonian,"{'translated_term': 'Македонска компјувачка социјална наука', 'translation_rationale': 'Македонска верзија на почетокот „Computational“ е „компјувачка“, што се однесува на врстата на претпратставености и израчунаването. Социјална наука се преведе како „сocijalna nauka“. Слоевите се во согласие, како и уместниот преработен термин', 'alternative_translation': 'Македонска компјувачка социолошка наука'}",llama3.2,2025-05-15T20:24:14.217531Z,1466348458.0,33519958.0,121.0,79031333.0,154.0,1352452625.0,stop,"[{'translated_term': 'Македонска компјувачка социјална наука', 'translation_rationale': 'Македонска верзија на почетокот „Computational“ е „компјувачка“, што се однесува на врстата на претпратставености и израчунаването. Социјална наука се преведе како „сocijalna nauka“. Слоевите се во согласие, како и уместниот преработен термин', 'alternative_translation': 'Македонска компјувачка социолошка наука'}]",Македонска компјувачка социјална наука,2025-05-31 21:15:56
mn,Computational Social Science,Орныг Угсрын Хуудал,Mongolian,"{'translated_term': 'Орныг Угсрын Хуудал' , 'translation_rationale': 'In Mongolian, ""орныг"" (ᠠᠷᠩᠭ) means ""science"" or ""research,"" while ""угсрын"" (ᠤᠬᠰᠳᠨ) implies ""computation"" or ""calculation."" ""Хуудал"" (ᠬᠮᠳᠠᠯ) means ""study"" or ""research."" This translation aims to convey the idea of computational methods applied to social sciences.'}

Alternative translations:

{'translated_term': 'Давсныл Хэвэлэн' , 'translation_rationale': A possible alternative is ""Давсныл Хэвэлэн"" (ᠳᠣᠭᠰᠨᠡᠪ ᠬᠢᠫᠤ), which combines ""дава"" (ᠳᠣᠰ) meaning ""science,"" ""сныл"" (ᠰᠨᠡᠬ) implying ""computing"" or ""calculating,"" and ""хэвэлэн"" (ᠬᠢᠪ) meaning ""research"" or ""study.""",llama3.2,2025-05-15T20:24:43.63208Z,3057908459.0,31668334.0,121.0,18041708.0,295.0,3007159042.0,stop,"[{'translated_term': 'Орныг Угсрын Хуудал', 'translation_rationale': 'In Mongolian, ""орныг"" (ᠠᠷᠩᠭ) means ""science"" or ""research,"" while ""угсрын"" (ᠤᠬᠰᠳᠨ) implies ""computation"" or ""calculation."" ""Хуудал"" (ᠬᠮᠳᠠᠯ) means ""study"" or ""research."" This translation aims to convey the idea of computational methods applied to social sciences.'}]",Орныг Угсрын Хуудал,2025-05-31 21:15:56
mr,Computational Social Science,म्मसी एलोऊऱ ऄआगन,Marathi (Marāṭhī),"{'translated_term': '\u092e\u094d\u092e\u0938\u0940 \u090f\u0932\u094b\u090a\u0931 \u0904\u0906\u0917\u0928', 'translation_rationale': 'The translation ""संगणकीय सामाजिक विज्ञान"" from Google Translate seems accurate, but I have modified it to ""संगणकीय सामाजिक विज्ञान"" as the prefix ""संगणकीय"" is not commonly used in Marathi for this term. Instead, the prefix ""सांगणिक"" or ""ज्ञानात्मक"" could be more suitable, but I have opted for ""संगणकीय"" for clarity and precision.', 'alternative_translations': ['\u092e\u094d\u092e\u0938 \u090f \u0915\u0930 \u0926 \u0937 \u0924', '\u092e\u094d\u092e\u0938 \u090f \u0932 \u090a \u092a \u0931']}

Here's the breakdown of the translation:

- संगणकीय (sangṇakīya) means ""computational"" or ""technological"".
- सामाजिक (sāmājik) means ""social"".
- विज्ञान (vijñān) means ""science"".

The translated term is \u092e\u094d\u092e\u0938 \u090f \u0915\u0930 \u0926 \u0937 \u0924, which represents a combination of computational and social.

However, this translation might not be widely recognized or used in Marathi. An alternative translation could be:

- सांगणिक (sāṅṇakīya) means ""computational"" or ""technological"".
- सामाजिक (sāmājik) means ""social"".
- विज्ञान (vijñān) is used as before.

The alternative translation is: \u092e\u094d\u092e\u0938 \u090f \u0932 \u090a \u092a \u0931

Both translations convey the idea of a field that combines technology and social science. However, the first translation seems more accurate and precise in Marathi.",llama3.2,2025-02-27T23:09:31.608432Z,6668032458.0,28141792.0,173.0,128000000.0,505.0,6510000000.0,stop,"[{'translated_term': 'म्मसी एलोऊऱ ऄआगन', 'translation_rationale': 'The translation ""संगणकीय सामाजिक विज्ञान"" from Google Translate seems accurate, but I have modified it to ""संगणकीय सामाजिक विज्ञान"" as the prefix ""संगणकीय"" is not commonly used in Marathi for this term. Instead, the prefix ""सांगणिक"" or ""ज्ञानात्मक"" could be more suitable, but I have opted for ""संगणकीय"" for clarity and precision.', 'alternative_translations': ['म्मस ए कर द ष त', 'म्मस ए ल ऊ प ऱ']}]",म्मसी एलोऊऱ ऄआगन,2025-05-31 21:15:56
ms,Computational Social Science,Sains Sosio Komputasi,Malay,"{'translated_term': 'Sains Sosio Komputasi', 'translation_rationale': 'Menggunakan istilah ""sains"" untuk merujuk kepada ilmu pengetahuan yang berfokus pada analisis sosial, ""komputasi"" untuk menekankan aspek komputasi dalam metode pengumpulan dan analisis data, dan ""sosio"" untuk menghubungkan dengan konsep sosial. Alternatif lain adalah ""Ilmu Sosial Komputerik"" atau ""Teknologi Informasi dan Ilmu Sosial"", tetapi penamaan ini lebih singkat dan langsung.'}",llama3.2,2025-05-15T20:24:16.506587Z,1268453708.0,33004458.0,119.0,73455291.0,136.0,1161072709.0,stop,"[{'translated_term': 'Sains Sosio Komputasi', 'translation_rationale': 'Menggunakan istilah ""sains"" untuk merujuk kepada ilmu pengetahuan yang berfokus pada analisis sosial, ""komputasi"" untuk menekankan aspek komputasi dalam metode pengumpulan dan analisis data, dan ""sosio"" untuk menghubungkan dengan konsep sosial. Alternatif lain adalah ""Ilmu Sosial Komputerik"" atau ""Teknologi Informasi dan Ilmu Sosial"", tetapi penamaan ini lebih singkat dan langsung.'}]",Sains Sosio Komputasi,2025-05-31 21:15:56
mt,Computational Social Science,,Maltese,"`{'translated_term': 'Xjenza Mzura ta' Soċjetà tal-Kompjutazzjoni', 
'translation_rationale': 'L-iskelb il-kifinanzi wa ""Xjenza Soġġettiva tal-Kompjutazzjoni"" huma il-messaġġ lill-Malti, b'għajn li kwa l-iksa jista' tkun rawn u jirfuhu. 'Xjenza Mzura ta' Soċjetà tal-Kompjutazzjoni' mni għall-iskelb il-kifinanzi li jirfa' l-gvajnijiet soċjali tal-kompjutazzjoni u t-teknika tat-tiqsim, bil-ġejer jista' tkun meħsufa. 
Alternattivi: ""Xjenza Soċjali Kompjutaturi"" u ""Xjenza Mzura ta' Soċjetà', kifkun hemmu l-isem il-modellar.'}`",llama3.2,2025-02-27T23:09:16.301682Z,2540510208.0,26113125.0,163.0,87000000.0,254.0,2425000000.0,stop,[],,2025-05-31 21:15:56
my,Computational Social Science,⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵,Burmese,"{'translated_term': '\u2e20\u2e26\u2eb5\u2ec6\u2eb1\u2ea4\u2eb8\u2e27\u2ebc\u2eca\u2e35', 'translation_rationale': 'The term \u2e20\u2e26\u2eb5\u2ec6\u2eb1\u2ea4\u2eb8\u2e27\u2ebc\u2eca\u2e35 can be roughly translated to English as Computational Social Science. However, this translation may not fully capture the nuances of the term.\u0f9f The Burmese term \u2e20\u2e26\u2eb5\u2ec6\u2eb1\u2ea4\u2eb8\u2e27\u2ebc\u2eca\u2e35 is more accurate as it breaks down into the following components:\u0f9f - ကွန် (kan) meaning ""computer"" or ""\u2e20\u2e26\u2eb5\u2ec6\u2eb1\u2ea4\u2eb8\u2e27\u2ebc\u2eca\u2e35"", but used in a more abstract sense to refer to computational methods.\u0f9f - လူမှု (mah) meaning ""social"" or ""\u2eba\u2ec1\u2eb4\u2ec7\u2ea8\u2eca\u2e35"", referring to social sciences.\u0f9f - ရေး (sai) meaning ""science"" or ""\u2e30\u2ecc\u2e3a\u2e31\u2ec6\u2eb5\u2ec4\u2ea8\u2eca\u2e35"", referring to scientific inquiry.\u0f9f Therefore, the term \u2e20\u2e26\u2eb5\u2ec6\u2eb1\u2ea4\u2eb8\u2e27\u2ebc\u2eca\u2e35 can be roughly translated to English as Computational Social Science, with a more nuanced understanding of the components of the term.', 'alternatives': ['ကွန်ပြူတာ လူမှုရေး', 'ချိတာ အလံ့ချိန္န', 'စက်ပြူတာ ဆီးဌီရှောင်']}",llama3.2,2025-02-27T22:59:05.702407Z,8192546125.0,11599250.0,193.0,19000000.0,592.0,8160000000.0,stop,"[{'translated_term': '⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵', 'translation_rationale': 'The term ⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵ can be roughly translated to English as Computational Social Science. However, this translation may not fully capture the nuances of the term.ྟ The Burmese term ⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵ is more accurate as it breaks down into the following components:ྟ - ကွန် (kan) meaning ""computer"" or ""⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵"", but used in a more abstract sense to refer to computational methods.ྟ - လူမှု (mah) meaning ""social"" or ""⺺⻁⺴⻇⺨⻊⸵"", referring to social sciences.ྟ - ရေး (sai) meaning ""science"" or ""⸰⻌⸺⸱⻆⺵⻄⺨⻊⸵"", referring to scientific inquiry.ྟ Therefore, the term ⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵ can be roughly translated to English as Computational Social Science, with a more nuanced understanding of the components of the term.', 'alternatives': ['ကွန်ပြူတာ လူမှုရေး', 'ချိတာ အလံ့ချိန္န', 'စက်ပြူတာ ဆီးဌီရှောင်']}]",⸠⸦⺵⻆⺱⺤⺸⸧⺼⻊⸵,2025-05-31 21:15:56
na,Computational Social Science,Bitak koli sosi ya komputeshan,Nauru,"{'translated_term': 'Bitak koli sosi ya komputeshan', 'translation_rationali': 'Computational Social Science ka kai bita efaa katra ite bitak koli sosi, na ""bitak"" yee ite ite meesa, ite taka ""sosi"", ika ite kalia. Kolia sosi yie sanga komputeshan koli, ya e faa bitak koli bitak, en ite taka ""computational"". Bitak koli sosi yie e faa nia, no. Sanga komputeshan kolia e faa bitak koli bitak, ika ite taka ""social"", kolia sosi yee ite ite meesa. '}",llama3.2,2025-05-15T20:24:49.29802Z,1656122292.0,29423375.0,123.0,21164416.0,170.0,1604047750.0,stop,"[{'translated_term': 'Bitak koli sosi ya komputeshan', 'translation_rationali': 'Computational Social Science ka kai bita efaa katra ite bitak koli sosi, na ""bitak"" yee ite ite meesa, ite taka ""sosi"", ika ite kalia. Kolia sosi yie sanga komputeshan koli, ya e faa bitak koli bitak, en ite taka ""computational"". Bitak koli sosi yie e faa nia, no. Sanga komputeshan kolia e faa bitak koli bitak, ika ite taka ""social"", kolia sosi yee ite ite meesa. '}]",Bitak koli sosi ya komputeshan,2025-05-31 21:15:56
