language,language_name,term_source,term,translated_term
ab,Abkhaz,Humanities,,
aa,Afar,Humanities,,
af,Afrikaans,Humanities,,Geesteswetenskappe
ak,Akan,Humanities,,Nnipa ho adesua
sq,Albanian,Humanities,,shkencat humane
am,Amharic,Humanities,,ሰብአዊነት
ar,Arabic,Humanities,,العلوم الإنسانية
an,Aragonese,Humanities,,
hy,Armenian,Humanities,,Հումանիտար գիտություններ
as,Assamese,Humanities,,মানৱীয় বিজ্ঞান
av,Avaric,Humanities,,
ae,Avestan,Humanities,,
ay,Aymara,Humanities,,Jaqinakan yatxatatanakapa
az,Azerbaijani,Humanities,,Humanitar elmlər
bm,Bambara,Humanities,,Hadamadenw ka dɔnniyaw
ba,Bashkir,Humanities,,
eu,Basque,Humanities,,Humanitateak
be,Belarusian,Humanities,,Гуманітарныя навукі
bn,Bengali,Humanities,,মানবিক
bh,Bihari,Humanities,,मानविकी के बारे में बतावल गइल बा
bi,Bislama,Humanities,,
bs,Bosnian,Humanities,,Humanističke nauke
br,Breton,Humanities,,
bg,Bulgarian,Humanities,,Хуманитарни науки
my,Burmese,Humanities,,လူသားပညာ
ca,Catalan; Valencian,Humanities,,Humanitats
ch,Chamorro,Humanities,,
ce,Chechen,Humanities,,
ny,Chichewa; Chewa; Nyanja,Humanities,,Anthu
zh,Chinese,Humanities,,人文学科
cv,Chuvash,Humanities,,
kw,Cornish,Humanities,,
co,Corsican,Humanities,,Umanità
cr,Cree,Humanities,,
hr,Croatian,Humanities,,Humanističke znanosti
cs,Czech,Humanities,,Humanitní vědy
da,Danish,Humanities,,Humaniora
dv,Divehi; Maldivian;,Humanities,,ހިއުމަނިޓީސް އެވެ
nl,Dutch,Humanities,,Geesteswetenschappen
dz,Dzongkha,Humanities,,
en,English,Humanities,,Humanities
eo,Esperanto,Humanities,,Homaroj
et,Estonian,Humanities,,Humanitaarteadused
ee,Ewe,Humanities,,Amegbetɔŋutinunya
fo,Faroese,Humanities,,
fj,Fijian,Humanities,,
fi,Finnish,Humanities,,Humanistiset tieteet
fr,French,Humanities,,Sciences humaines
ff,Fula,Humanities,,
gl,Galician,Humanities,,Humanidades
ka,Georgian,Humanities,,ჰუმანიტარული მეცნიერებები
de,German,Humanities,,Geisteswissenschaften
el,"Greek, Modern",Humanities,,Κλασσικές μελέτες
gn,Guaraní,Humanities,,Humanidades rehegua
gu,Gujarati,Humanities,,માનવતા
ht,Haitian,Humanities,,Syans imanitè
ha,Hausa,Humanities,,Dan Adam
he,Hebrew (modern),Humanities,,מַדָעֵי הָרוּחַ
hz,Herero,Humanities,,
hi,Hindi,Humanities,,मानविकी
ho,Hiri Motu,Humanities,,
hu,Hungarian,Humanities,,Bölcsészettudományok
ia,Interlingua,Humanities,,
id,Indonesian,Humanities,,Sastra
ie,Interlingue,Humanities,,
ga,Irish,Humanities,,Daonnachtaí
ig,Igbo,Humanities,,Ụmụ mmadụ
ik,Inupiaq,Humanities,,
