language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
co,Humanities Data Science,,Corsican,"{'translated_term': 'Sientifiche di dati umanistiche', 
'translation_rationale': 'I used the word ""sientifiche"" instead of ""scientifiche"" to give it a more Corsican tone, as in Corsican linguistics, the suffix ""-icke"" is often used to form nouns indicating a field or discipline. This change maintains the connection to ""scienza"", meaning science, while adapting to the local grammatical structure. I also kept 'umanistiche' to preserve its original meaning in the context of Humanities Data Science.'}",llama3.2,2025-02-27T23:24:30.028318Z,1176247125.0,33136541.0,153.0,94000000.0,118.0,1047000000.0,stop,[],,2025-05-31 21:15:56
ne,Humanities Data Science,,Nepali,"{'translated_term': 'मानविकी डेटा विज्ञान' या 'निवेशित व्यक्ति से जुड़ी गणना विज्ञान', 'translation_rationale': 'हumaनिटीज़ डैटा साइंस को नेपाली में परिभाषित करने के लिए, हम ""मानविकी"" और ""डेटा विज्ञान"" दोनों शब्दों का उपयोग कर सकते हैं, लेकिन 'निवेशित व्यक्ति से जुड़ी गणना' पूर्णतावादी शब्द है जो इस क्षेत्र के सिद्धांतों और परिप्रेक्ष्यों को दर्शाता है। इसके अलावा, 'डेटा विज्ञान' भी एक व्यापक शब्द है जो विभिन्न शैक्षिक और पेशेवर क्षेत्रों में उपयोग किया जाता है, इसलिए यह स्पष्टीकरण देने के लिए इसका संकेत 'मानविकी डेटा विज्ञान' दिया गया था।', 'alternative_translations': ['मानविकी और गणितीय सिद्धांत', 'शैक्षिक अनुसंधान और डेटा विज्ञान']}

Note: The alternative translations are provided to show the nuances of translation and to give options for different contexts or interpretations.",llama3.2,2025-02-27T23:34:02.837387Z,4107093583.0,27244166.0,156.0,92000000.0,333.0,3985000000.0,stop,[],,2025-05-31 21:15:56
mk,Humanities Data Science,Наука за податоци за хуманските науки,Macedonian,"{'translated_term': 'Наука за податоци за хуманските науки', 'translation_rationale': 'The term ""Humanities Data Science"" is a blend of Western and Eastern academic traditions, so I chose to preserve the word order and terminology from both spheres. The Google Translate suggestion already suggests a good direction, but I added the suffix ""-а"" for grammatical consistency in Macedonian. A more poetic option could be ""Морфологија на податоци за хуманистичките науки"", which emphasizes the morphological aspects of data science in relation to humanities sciences.'}",llama3.2,2025-02-27T23:32:11.623329Z,1447918542.0,28345917.0,159.0,105000000.0,127.0,1313000000.0,stop,"[{'translated_term': 'Наука за податоци за хуманските науки', 'translation_rationale': 'The term ""Humanities Data Science"" is a blend of Western and Eastern academic traditions, so I chose to preserve the word order and terminology from both spheres. The Google Translate suggestion already suggests a good direction, but I added the suffix ""-а"" for grammatical consistency in Macedonian. A more poetic option could be ""Морфологија на податоци за хуманистичките науки"", which emphasizes the morphological aspects of data science in relation to humanities sciences.'}]",Наука за податоци за хуманските науки,2025-05-31 21:15:56
ml,Humanities Data Science,ൎശ ൺലവഹ ഷ഼ ഻ഭഘയ,Malayalam,"{'translated_term': '\u0d4e\u0d36 \u0d7a\u0d32\u0d35\u0d39 \u0d37\u0d3c \u0d3b\u0d2d\u0d18\u0d2f', 'translation_rationale': 'The term &quot;Humanities Data Science&quot; can be translated to Malayalam as &quot;\u0d4e\u0d36 \u0d7a\u0d32\u0d35\u0d39 \u0d37\u0d3c \u0d3b\u0d2d\u0d18\u0d2f&quot; by breaking down the word into its constituent parts. &quot;\u0d4e\u0d36&quot; represents the word for Human or Person, which is commonly used in Malayalam to refer to individuals or groups of people involved in various fields such as literature, history, philosophy, etc. &quot;\u0d7a\u0d32\u0d35\u0d39&quot; can be translated as Science or Knowledge. This combination of the two terms represents the core idea of Humanities Data Science, which is the application of scientific methods and data analysis techniques to humanities subjects like literature, history, philosophy, etc. However, alternative translations like \u0d4e\u0d36\u0d2b\u0d31\u0d38\u0d3a \u0d2f\u0d37\u0d3c\u0d2f (\u0d4e\u0d36 \u0d2b \u0d31\u0d38\u0d3a \u0d2f) which translates to &quot;Person and Knowledge&quot;, could also be considered. ', 'alternative_translations': ['\u0d4e\u0d36\u0d2b\u0d31\u0d38\u0d3a \u0d2f\u0d37\u0d3c\u0d2f', '\u0d4e\u0d36\u0d2e\u0d33\u0d32\u0d30\u0d37\u0d3c\u0d2f']}",llama3.2,2025-05-15T20:36:27.86285Z,5010171166.0,34488750.0,121.0,73807709.0,483.0,4900676291.0,stop,"[{'translated_term': 'ൎശ ൺലവഹ ഷ഼ ഻ഭഘയ', 'translation_rationale': 'The term &quot;Humanities Data Science&quot; can be translated to Malayalam as &quot;ൎശ ൺലവഹ ഷ഼ ഻ഭഘയ&quot; by breaking down the word into its constituent parts. &quot;ൎശ&quot; represents the word for Human or Person, which is commonly used in Malayalam to refer to individuals or groups of people involved in various fields such as literature, history, philosophy, etc. &quot;ൺലവഹ&quot; can be translated as Science or Knowledge. This combination of the two terms represents the core idea of Humanities Data Science, which is the application of scientific methods and data analysis techniques to humanities subjects like literature, history, philosophy, etc. However, alternative translations like ൎശഫറസഺ യഷ഼യ (ൎശ ഫ റസഺ യ) which translates to &quot;Person and Knowledge&quot;, could also be considered. ', 'alternative_translations': ['ൎശഫറസഺ യഷ഼യ', 'ൎശമളലരഷ഼യ']}]",ൎശ ൺലവഹ ഷ഼ ഻ഭഘയ,2025-05-31 21:15:56
mn,Humanities Data Science,Алы кчінулялс теебюшния медаклялс тисуочня,Mongolian,"{'translated_term': '\u0410\u043b\u044b \u043a\u0447\u0456\u043d\u0443\u043b\u044f\u043b\u0441 \u0442\u0435\u0435\u0431\u044e\u0448\u043d\u0438\u044f \u043c\u0435\u0434\u0430\u043a\u043b\u044f\u043b\u0441 \u0442\u0438\u0441\u0443\u043e\u0447\u043d\u044f', 'translation_rationale': 'I took inspiration from the Google Translate API suggestion, but refined it to better fit the term. I replaced &quot;мэдээллийн&quot; with &quot;\u0442\u0435\u0435\u0431\u044e\u0448\u043d\u0438\u044f\u043b\u0441&quot;, which means &quot;scientific&quot; or &quot;research-oriented&quot;. I also replaced &quot;мэдээллийн&quot; with &quot;\u0442\u0435\u0435\u0431\u044e\u0448\u043d\u0438\u044f\u043b\u0441&quot;, to make the term more formal and academic. This translation emphasizes the interdisciplinary nature of Humanities Data Science, combining humanistic studies with scientific methods.'}

Note: In Mongolian, the ISO code is `mn`, but when translating into the language itself, I used the Unicode characters for better readability.",llama3.2,2025-02-27T23:32:55.30243Z,4156998875.0,27729125.0,179.0,20000000.0,334.0,4108000000.0,stop,"[{'translated_term': 'Алы кчінулялс теебюшния медаклялс тисуочня', 'translation_rationale': 'I took inspiration from the Google Translate API suggestion, but refined it to better fit the term. I replaced &quot;мэдээллийн&quot; with &quot;теебюшниялс&quot;, which means &quot;scientific&quot; or &quot;research-oriented&quot;. I also replaced &quot;мэдээллийн&quot; with &quot;теебюшниялс&quot;, to make the term more formal and academic. This translation emphasizes the interdisciplinary nature of Humanities Data Science, combining humanistic studies with scientific methods.'}]",Алы кчінулялс теебюшния медаклялс тисуочня,2025-05-31 21:15:56
mr,Humanities Data Science,,Marathi (Marāṭhī),"{'translated_term': 'मानव्यशास्त्र डेटा विज्ञान' (Manavyasatra Data Vaigyan), 
 'translation_rationale': 'The term ""Humanities Data Science"" has been directly translated into Marathi. The word ""manavyasatra"" (मानव्यशास्त्र) combines the elements of ""manav"" (मनव) meaning human and ""yasatra"" (यशस्त्र) meaning study or science, capturing the essence of the term. The word ""data vaigyan"" (डेटा विज्ञान) directly translates to data science.', 
 'alternative_translations': ['अनुसंधान सिद्धांत' (Anusandhan Siddhant), a more literal translation emphasizing research principles, but not as directly conveying the term's meaning.]}",llama3.2,2025-02-27T23:32:39.468345Z,1951121791.0,23873916.0,174.0,121000000.0,178.0,1805000000.0,stop,[],,2025-05-31 21:15:56
ms,Humanities Data Science,Sains Data Kemanusiaan,Malay,"{'translated_term': 'Sains Data Kemanusiaan', 'translation_rationale': 'The suggested translation ""Sains Data Kemanusiaan"" is a direct adaptation of the English term ""Humanities Data Science"", incorporating the Malay prefix ""Kemanusiaan"", which means ""humanity"" or ""relating to humans"". This prefix is commonly used in Malay to denote human-centered or socially oriented fields. The word ""Sains"" translates to ""science"" in English, and ""Data"" is a straightforward translation of the term ""Data Science"". The resulting phrase accurately conveys the core concept of the field while being mindful of linguistic and cultural nuances in Malay.'}",llama3.2,2025-02-27T23:32:21.101623Z,1299475166.0,28036916.0,151.0,20000000.0,141.0,1250000000.0,stop,"[{'translated_term': 'Sains Data Kemanusiaan', 'translation_rationale': 'The suggested translation ""Sains Data Kemanusiaan"" is a direct adaptation of the English term ""Humanities Data Science"", incorporating the Malay prefix ""Kemanusiaan"", which means ""humanity"" or ""relating to humans"". This prefix is commonly used in Malay to denote human-centered or socially oriented fields. The word ""Sains"" translates to ""science"" in English, and ""Data"" is a straightforward translation of the term ""Data Science"". The resulting phrase accurately conveys the core concept of the field while being mindful of linguistic and cultural nuances in Malay.'}]",Sains Data Kemanusiaan,2025-05-31 21:15:56
mt,Humanities Data Science,,Maltese,"{'translated_term': 'Xjenza tad-Dejta dwar l-Umanitajiet', 
 'translation_rationale': 'I used the suggested term from Google Translate, but upon reevaluation, I believe it accurately captures the essence of Humanities Data Science. However, to make it more nuanced, we can consider an alternative translation: ""Xjenza tad-Dejta dwar l-Arti u l-Hofra"". This modification emphasizes the connection between data-driven inquiry and humanistic disciplines like art and humanities.'}

Note that 'tad-Dejta' roughly translates to 'Humanities', but in Maltese, it's more commonly used as a noun to refer specifically to Humanities. Therefore, I opted for the first translation suggestion from Google Translate, which seems to be an accurate representation of the term 'Humanities Data Science'. However, I also included an alternative translation that incorporates 'Arti u l-Hofra', which further emphasizes the interdisciplinary nature of this field.",llama3.2,2025-02-27T23:32:31.523781Z,2146641458.0,27588917.0,162.0,97000000.0,204.0,2020000000.0,stop,[],,2025-05-31 21:15:56
na,Humanities Data Science,Botenik Anekstiks Siensitik,Nauru,"{'translated_term': 'Botenik Anekstiks Siensitik', 'translation_rationale': 'The terms ""Botenik"" and ""Anekstiks"" are adapted from Nauruan words that roughly translate to ""science"" or ""research"". The term ""Siensitik"" is derived from the English word ""data science"", with a suffix (-tik) commonly used in Nauruan to form nouns. Alternative translation: \'Nautik Anekstiks Siensitik\', using \'nautik\' instead of \'botenik\'. However, this might make the term sound less scientific or more akin to navigation.', 'alternatives': ['Botenik Anekstiks Siensitik', 'Nautik Anekstiks Siensitik']}",llama3.2,2025-02-27T23:33:10.528659Z,1644282750.0,27355667.0,123.0,20000000.0,166.0,1594000000.0,stop,"[{'translated_term': 'Botenik Anekstiks Siensitik', 'translation_rationale': 'The terms ""Botenik"" and ""Anekstiks"" are adapted from Nauruan words that roughly translate to ""science"" or ""research"". The term ""Siensitik"" is derived from the English word ""data science"", with a suffix (-tik) commonly used in Nauruan to form nouns. Alternative translation: \'Nautik Anekstiks Siensitik\', using \'nautik\' instead of \'botenik\'. However, this might make the term sound less scientific or more akin to navigation.', 'alternatives': ['Botenik Anekstiks Siensitik', 'Nautik Anekstiks Siensitik']}]",Botenik Anekstiks Siensitik,2025-05-31 21:15:56
nb,Humanities Data Science,Humanitær datavitenskap og -teknologi,Norwegian Bokmål,"{'translated_term': 'Humanitær datavitenskap og -teknologi', 
 'translation_rationale': 'Jeg har valgt å bruke en mer bred definisjon av ""Humanities Data Science"" med ""og -teknologi"" tilføyd for å inkludere det teknologiske aspekten, selv om ordet ""vitenskap"" ofte kun associeres med naturforskning. Alternativt kan man også bruke ""humanitær datavitenskap"" som i Google Translate\'s forslag, men denne definisjonen ser ut til å være mer begrenset på seg selv.'}",llama3.2,2025-02-27T23:33:42.842808Z,1247913459.0,29347125.0,158.0,26000000.0,140.0,1191000000.0,stop,[],,2025-05-31 21:15:56
