language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
bm,Computational Social Science,,Bambara,,,,,,,,2025-05-31 21:15:56
or,Computational Social Science,ଅନୁକଳନ ସାମାଜିକ ବିଜ୍ଞାନ,Oriya,194.0,1740731316.0,stop,gpt-4o-2024-08-06,131.0,325.0,"The term ""Computational Social Science"" combines the concepts of computing and social sciences. The suggested translation from Google Translate API ""ଗଣନାମୂଳକ ସାମାଜିକ ବିଜ୍ଞାନ"" focuses heavily on the computation aspect with ""ଗଣନାମୂଳକ"" (computation-oriented). However, ""ଅନୁକଳନ"" better represents the integration aspect of computing in analyzing social phenomena, making it a more fitting translation for capturing the interdisciplinary nature of the field. Thus, ""ଅନୁକଳନ ସାମାଜିକ ବିଜ୍ଞାନ"" serves as a balanced translation that aligns with both the technical and social aspects of the field.",2025-05-31 21:15:56
nl,Computational Social Science,Computationele Sociale Wetenschap,Dutch,114.0,1740721761.0,stop,gpt-4o-2024-08-06,124.0,238.0,"The translation ""Computationele Sociale Wetenschap"" maintains the structure and meaning of the original term ""Computational Social Science"" while adapting it to fit Dutch linguistic norms. The word ""Computationele"" is a direct adaptation of ""Computational,"" and the phrase aligns with Dutch usage where scientific disciplines often retain their English form, especially in academic contexts. ""Sociale Wetenschap"" is a direct translation of ""Social Science"" and conveys the same concept in Dutch.",2025-05-31 21:15:56
nn,Computational Social Science,Reknemedhald i samfunnsvitskap,Norwegian Nynorsk,116.0,1740730561.0,stop,gpt-4o-2024-08-06,116.0,232.0,"The term ""Computational Social Science"" is translated to ""Reknemedhald i samfunnsvitskap"" in Norwegian Nynorsk. ""Reknemedhald"" reflects the computational or quantitative aspect, while ""samfunnsvitskap"" directly translates to ""social science"". The translation aims to capture the essence of the integration of computational methods in studying social sciences, with a focus on maintaining the linguistic structure and style of Norwegian Nynorsk.",2025-05-31 21:15:56
no,Computational Social Science,Computasjonell samfunnsvitenskap,Norwegian,111.0,1740730634.0,stop,gpt-4o-2024-08-06,114.0,225.0,"The term ""Computational Social Science"" can be translated to Norwegian as ""Computasjonell samfunnsvitenskap."" This translation uses ""computasjonell"" to more accurately reflect the term ""computational,"" as it is commonly used in academic contexts in Norway to describe the application of computational methods. ""Samfunnsvitenskap"" accurately translates to ""social science,"" capturing the essence of the field which combines computing with social science methodologies.",2025-05-31 21:15:56
nr,Computational Social Science,Isayensi Yezombusazwe Yekhompyutha,South Ndebele,166.0,1740730863.0,stop,gpt-4o-2024-08-06,123.0,289.0,"The term is translated to 'Isayensi Yezombusazwe Yekhompyutha' to accurately reflect both 'Social Science' and 'Computational'. 'Isayensi' refers to 'Science', 'Yezombusazwe' relates to 'Social', incorporating an understanding of society, and 'Yekhompyutha' stands for 'Computational', involving the use of computer technologies. While 'Isayensi yezenhlalakahle yekhomphyutha' suggested by the Google Translate API is quite close, switching 'yezenhlalakahle' to 'Yezombusazwe' might more specifically denote 'social or societal matters' in this context.",2025-05-31 21:15:56
nv,Computational Social Science,Áłts’íís Áłhéheeʼ Bił Naalkaah,"Navajo, Navaho",164.0,1740724024.0,stop,gpt-4o-2024-08-06,124.0,288.0,"The term ""Computational Social Science"" refers to an interdisciplinary field that utilizes computational methods to understand social phenomena. In Navajo, ""Áłts’íís Áłhéheeʼ Bił Naalkaah"" can be broken down as follows: ""Áłts’íís"" means ""think"" or ""calculate,"" which reflects the computational aspect; ""Áłhéheeʼ"" refers to the idea of ""community"" or ""social,"" relating to social science; and ""Bił Naalkaah"" means something similar to ""study"" or ""research."" Together, this translation captures the essence of using computational techniques to study social systems and patterns.",2025-05-31 21:15:56
ny,Computational Social Science,Sayansi ya Kaukadaulo wa Maganizo a Anthu,Chichewa; Chewa; Nyanja,134.0,1740721237.0,stop,gpt-4o-2024-08-06,147.0,281.0,"I translated 'Computational Social Science' as 'Sayansi ya Kaukadaulo wa Maganizo a Anthu' to reflect a more accurate rendering in Chichewa. 'Sayansi' means 'Science', 'Kaukadaulo' captures the essence of 'Computational' by suggesting the use of technology or advanced techniques, and 'Maganizo a Anthu' translates to 'Social Science', emphasizing the study of human thoughts and interactions. This term better captures both the technological and social dimensions of the field.",2025-05-31 21:15:56
oc,Computational Social Science,Sciéncias socialas computacionalas,Occitan,139.0,1740730880.0,stop,gpt-4o-2024-08-06,131.0,270.0,"The term 'Computational Social Science' can be effectively translated as 'Sciéncias socialas computacionalas' in Occitan. This translation is consistent with both Google Translate API's and Ollama API's suggestions. The word 'sciéncias' accurately corresponds to 'sciences,' 'socialas' to 'social,' and 'computacionalas' to 'computational' in meaning and structure. Occitan, like other Romance languages, often uses equivalent structures and cognates derived from Latin. Therefore, this translation maintains the original meaning and clarity without needing further modification.",2025-05-31 21:15:56
oj,Computational Social Science,Mizhishkamik Wewebigan Izhichigaywin,"Ojibwe, Ojibwa",146.0,1740731046.0,stop,gpt-4o-2024-08-06,121.0,267.0,"The term ""Computational Social Science"" involves both computation and social science aspects. In Ojibwe, ""Mizhishkamik"" relates to the concept of computers or computation, and ""Wewebigan"" can be associated with scripts or systematic arrangements, which relates to programming and computational methods. ""Izhichigaywin"" encompasses the idea of activities or the application thereof, indicative of ""science"" as a collective pursuit of knowledge. Therefore, ""Mizhishkamik Wewebigan Izhichigaywin"" effectively conveys the combination of computational techniques applied to the social sciences.",2025-05-31 21:15:56
om,Computational Social Science,Saayinsii Hawaasummaa Qorannoo Komputeraa,Oromo,135.0,1740731289.0,stop,gpt-4o-2024-08-06,142.0,277.0,"The translation aims to capture the essence of Computational Social Science by combining the concepts of social science (""Saayinsii Hawaasummaa"") with computational methods (""Qorannoo Komputeraa""), reflecting the interdisciplinary nature of the field. The term ""Shallaggii"" in ""Saayinsii Hawaasummaa Shallaggii"" suggests calculation or computation, but using ""Qorannoo Komputeraa"" explicitly emphasizes the computational research and analysis aspect, providing clarity on the use of computer-based techniques in social science research.",2025-05-31 21:15:56
os,Computational Social Science,Компьютерон социалон æхсæнадон наукæ,"Ossetian, Ossetic",117.0,1740731333.0,stop,gpt-4o-2024-08-06,128.0,245.0,"The suggested translation ""Компьютерон æхсæнадон наукæ"" captures the term ""Computational Science,"" but it lacks a specific reference to the social aspect. By adding ""социалон,"" which means ""social"" in Ossetian, the translation explicitly conveys the study of social phenomena through computational methods. This ensures both the technological and social components are accurately represented, aligning well with the multidisciplinary nature of Computational Social Science.",2025-05-31 21:15:56
rw,Computational Social Science,Ubumenyi bw’imibare bukoreshwa mu mibanire y’abantu,Kinyarwanda,129.0,1740723485.0,stop,gpt-4o-2024-08-06,149.0,278.0,"The term ""Computational Social Science"" involves the use of computational methods and data analysis to study social phenomena. ""Ubumenyi bw’imibare"" captures the essence of computational or quantitative analysis, while ""bukoreshwa mu mibanire y’abantu"" refers to its application in the field of social sciences or human relationships. This translation attempts to maintain the balance between the computational and social science aspects of the term, ensuring clarity and relevance for Kinyarwanda speakers.",2025-05-31 21:15:56
pa,Computational Social Science,ਕੰਪਿਊਟੇਸ਼ਨਲ ਸਮਾਜਿਕ ਵਿਗਿਆਨ,"Panjabi, Punjabi",175.0,1740731350.0,stop,gpt-4o-2024-08-06,149.0,324.0,"The term ""ਕੰਪਿਊਟੇਸ਼ਨਲ ਸੋਸ਼ਲ ਸਾਇੰਸ"" most directly translates back to ""Computational Social Science,"" using transliteration for ""Computational"" and borrowing ""ਸੋਸ਼ਲ ਸਾਇੰਸ"" from English terms. However, ""ਸਮਾਜਿਕ"" means ""social,"" and ""ਵਿਗਿਆਨ"" means ""science"" in Punjabi, making ""ਕੰਪਿਊਟੇਸ਼ਨਲ ਸਮਾਜਿਕ ਵਿਗਿਆਨ"" a more accurate translation that truly integrates into the Punjabi language without unnecessarily borrowing from English when equivalent Punjabi terms are available. This also aligns well with the broader trend in Punjabi linguistics to use native terms where possible.",2025-05-31 21:15:56
