language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
zh-min-nan,,Minnan,Digital Humanities,,2026-04-07 01:40:35,True,,True,,True,,False,"{
  ""translated_term"": ""\(\mathbb{E}\)\(\mathbb{H}\)\(\mathbb{R}\)"",
  ""translation_rationale"": ""Digital Humanities literally translated to Minnan (also known as Hokkien)""
}",llama3.1,2026-04-07T00:40:35.487905Z,974764334.0,83392250.0,76.0,282339750.0,52.0,594108997.0,stop,\(\mathbb{E}\)\(\mathbb{H}\)\(\mathbb{R}\),Digital Humanities literally translated to Minnan (also known as Hokkien),[],
xmf,,Megrelian,Digital Humanities,,2026-04-07 01:40:32,True,,True,,True,,False,"{""translated_term"": ""დიჯიტალური ხელოვნება"", ""translation_rationale"": ""Calque of the English term, using Georgian as a source language due to linguistic affinity""}",llama3.1,2026-04-07T00:40:32.493135Z,1187867750.0,86123042.0,75.0,280057042.0,70.0,801650500.0,stop,დიჯიტალური ხელოვნება,"Calque of the English term, using Georgian as a source language due to linguistic affinity","[{'translated_term': 'დიჯიტალური ხელოვნება', 'translation_rationale': 'Calque of the English term, using Georgian as a source language due to linguistic affinity'}]",დიჯიტალური ხელოვნება
tum,,Tumbuka,Digital Humanities,,2026-04-07 01:40:29,False,Ŵanthu ŵa pa intaneti,True,,True,,False,"{""translated_term"": ""Mavuto ya Njira za Digitali"", ""translation_rationale"": ""Combining the Tumbuka words 'mavuto' (meaning 'things' or 'matter') with 'njira za digitali', which uses the English loanword 'digitali' to convey the concept of digital humanities.""}",llama3.1,2026-04-07T00:40:29.28571Z,1185338000.0,85462000.0,74.0,277440083.0,70.0,803176710.0,stop,Mavuto ya Njira za Digitali,"Combining the Tumbuka words 'mavuto' (meaning 'things' or 'matter') with 'njira za digitali', which uses the English loanword 'digitali' to convey the concept of digital humanities.","[{'translated_term': 'Mavuto ya Njira za Digitali', 'translation_rationale': ""Combining the Tumbuka words 'mavuto' (meaning 'things' or 'matter') with 'njira za digitali', which uses the English loanword 'digitali' to convey the concept of digital humanities.""}]",Mavuto ya Njira za Digitali
lzz,,Laz,Digital Humanities,,2026-04-07 01:40:26,True,,True,,True,,False,"{""translated_term"": ""Dijital İnsani Bilimler"", ""translation_rationale"": ""A combination of the Turkish words for digital (dijital) and humanities (insani bilimler), reflecting the field's application in humanistic research.""}",llama3.1,2026-04-07T00:40:26.082929Z,977403416.0,80984833.0,73.0,277507500.0,53.0,602816663.0,stop,Dijital İnsani Bilimler,"A combination of the Turkish words for digital (dijital) and humanities (insani bilimler), reflecting the field's application in humanistic research.","[{'translated_term': 'Dijital İnsani Bilimler', 'translation_rationale': ""A combination of the Turkish words for digital (dijital) and humanities (insani bilimler), reflecting the field's application in humanistic research.""}]",Dijital İnsani Bilimler
lan,,Lango,Digital Humanities,,2026-04-07 01:40:23,True,,True,,True,,False,"{""translated_term"": ""Gatuzi Saida Digitale"", ""translation_rationale"": ""Combining 'gatu' (digital) and 'zizi' (humanities/arts), with 'saida' indicating the new or digital aspect. This is a simplified translation that aims to convey the concept of Digital Humanities in the Lango language.""}",llama3.1,2026-04-07T00:40:23.085107Z,1224483541.0,84678208.0,73.0,282831000.0,73.0,836832331.0,stop,Gatuzi Saida Digitale,"Combining 'gatu' (digital) and 'zizi' (humanities/arts), with 'saida' indicating the new or digital aspect. This is a simplified translation that aims to convey the concept of Digital Humanities in the Lango language.","[{'translated_term': 'Gatuzi Saida Digitale', 'translation_rationale': ""Combining 'gatu' (digital) and 'zizi' (humanities/arts), with 'saida' indicating the new or digital aspect. This is a simplified translation that aims to convey the concept of Digital Humanities in the Lango language.""}]",Gatuzi Saida Digitale
gbm,,Garhwali,Digital Humanities,,2026-04-07 01:40:19,True,,True,,True,,False,"{""translated_term"": ""डिजिटल मानवविज्ञान"", ""translation_rationale"": ""Borrowed from Hindi, using the same term as used in other Indian languages for Digital Humanities.""}",llama3.1,2026-04-07T00:40:19.840226Z,883481959.0,83095292.0,75.0,281676833.0,44.0,503944666.0,stop,डिजिटल मानवविज्ञान,"Borrowed from Hindi, using the same term as used in other Indian languages for Digital Humanities.","[{'translated_term': 'डिजिटल मानवविज्ञान', 'translation_rationale': 'Borrowed from Hindi, using the same term as used in other Indian languages for Digital Humanities.'}]",डिजिटल मानवविज्ञान
chy,,Cheyenne,Digital Humanities,,2026-04-07 01:40:16,True,,True,,True,,False,"{""translated_term"": ""Wuʉšini makhé"" , ""translation_rationale"": ""Wuʉšini means 'new' and makhé means 'knowledge' or 'science'; together they convey the idea of new knowledge or a new way of understanding, which is at the core of Digital Humanities""}",llama3.1,2026-04-07T00:40:16.936898Z,1170874416.0,86529916.0,74.0,276908375.0,69.0,788447171.0,stop,Wuʉšini makhé,"Wuʉšini means 'new' and makhé means 'knowledge' or 'science'; together they convey the idea of new knowledge or a new way of understanding, which is at the core of Digital Humanities","[{'translated_term': 'Wuʉšini makhé', 'translation_rationale': ""Wuʉšini means 'new' and makhé means 'knowledge' or 'science'; together they convey the idea of new knowledge or a new way of understanding, which is at the core of Digital Humanities""}]",Wuʉšini makhé
chr,,Cherokee,Digital Humanities,,2026-04-07 01:40:13,True,,True,,True,,False,"{""translated_term"": ""Siyi a yiya oki odiyi"", ""translation_rationale"": ""Combining 'siyi' (digital) and 'a yiya oki odiyi' (humanities or learned arts), adhering to the language's grammatical structure and vocabulary.""}",llama3.1,2026-04-07T00:40:13.748649Z,1101877083.0,82927416.0,72.0,281796000.0,63.0,718462586.0,stop,Siyi a yiya oki odiyi,"Combining 'siyi' (digital) and 'a yiya oki odiyi' (humanities or learned arts), adhering to the language's grammatical structure and vocabulary.","[{'translated_term': 'Siyi a yiya oki odiyi', 'translation_rationale': ""Combining 'siyi' (digital) and 'a yiya oki odiyi' (humanities or learned arts), adhering to the language's grammatical structure and vocabulary.""}]",Siyi a yiya oki odiyi
arc,,Aramaic,Digital Humanities,,2026-04-07 01:40:10,True,,True,,True,,False,"{""translated_term"": "" "", ""translation_rationale"": ""Aramaic equivalent of 'Digital Humanities', using the ISO 639-1 code 'arc'.""}",llama3.1,2026-04-07T00:40:10.624374Z,2054227416.0,1302103000.0,74.0,344757875.0,35.0,396381875.0,stop, ,"Aramaic equivalent of 'Digital Humanities', using the ISO 639-1 code 'arc'.","[{'translated_term': ' ', 'translation_rationale': ""Aramaic equivalent of 'Digital Humanities', using the ISO 639-1 code 'arc'.""}]", 
zh-yue,,Cantonese,Digital Humanities,,2026-04-07 01:04:49,False,數碼人文,False,,False,,False,"{
  ""translated_term"": ""\ud598\u5e38\u4fca\u7ed9"",
  ""translation_rationale"": ""Cantonese translation of 'Digital Humanities'""
}",llama3.1,2026-04-07T00:04:49.989473Z,907235500.0,84602083.0,75.0,341919375.0,40.0,467970749.0,stop,햘常俊给,Cantonese translation of 'Digital Humanities',[],
zh-tw,,Traditional Chinese,Digital Humanities,,2026-04-07 01:04:47,False,數位人文,False,,False,數位人文,False,"{
  ""translated_term"": ""\u56FD\u6D77\u5173\u5B66"",
  ""translation_rationale"": ""Combining \u56FD (digital) and \u5173\u5B66 (humanities)""
}",llama3.1,2026-04-07T00:04:47.062457Z,1079729625.0,77677833.0,74.0,348697667.0,53.0,637256626.0,stop,国海关学,Combining 国 (digital) and 关学 (humanities),[],
