language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
bn,Digital Cultural Heritage,,Bengali,,,,,,,,2025-05-31 21:15:56
om,Digital Cultural Heritage,Hambaa Aadaa Dijitaalaa,Oromo,139.0,1740711429.0,stop,gpt-4o-2024-08-06,133.0,272.0,"The term 'Hambaa Aadaa Dijitaalaa' effectively captures the concept of 'Digital Cultural Heritage' in Oromo. 'Hambaa' refers to 'heritage' and 'Aadaa' means 'cultural,' while 'Dijitaalaa' clearly represents 'digital,' which is a widely recognized loanword in many languages including Oromo. This translation maintains the integrity of the original English term while making it accessible and understandable to Oromo speakers. The term's use of relevant and established words in Oromo ensures clarity and precision in conveying the concept of preserving and accessing cultural heritage through digital means.",2025-05-31 21:15:56
nd,Digital Cultural Heritage,Ifa Lamasiko Elidijithali,North Ndebele,145.0,1740710482.0,stop,gpt-4o-2024-08-06,116.0,261.0,"In North Ndebele, 'Ifa' refers to 'heritage' or 'something inherited,' 'Lamasiko' translates to 'of culture,' and 'Elidijithali' means 'digital.' This translation aims to capture the essence of heritage in a digital format, reflecting the preservation and transmission of cultural knowledge in the digital age. The suggested term 'Ndiniwa dzakunyamwe' does not accurately convey the meaning of 'Digital Cultural Heritage' in North Ndebele, so I have chosen to reconstruct the term with more precise components that align with the concept's intent.",2025-05-31 21:15:56
ne,Digital Cultural Heritage,डिजिटल सांस्कृतिक विरासत,Nepali,138.0,1740710522.0,stop,gpt-4o-2024-08-06,113.0,251.0,"The phrase ""डिजिटल सांस्कृतिक सम्पदा"" is a direct translation provided by machine translation tools, which accurately conveys the meaning. However, I chose to refine it slightly to ""डिजिटल सांस्कृतिक विरासत"" as the term ""विरासत"" is often used interchangeably with ""सम्पदा"" in Nepali and brings nuances of both inheritance and heritage, capturing the essence of cultural heritage passed down through generations, which is preserved in a digital form. This phrasing is also less literal and captures broader cultural connotations familiar in Nepali discourse.",2025-05-31 21:15:56
nl,Digital Cultural Heritage,Digitaal Cultureel Erfgoed,Dutch,136.0,1740707962.0,stop,gpt-4o-2024-08-06,125.0,261.0,"The term ""Digitaal Cultureel Erfgoed"" is the most precise and widely accepted translation in Dutch for ""Digital Cultural Heritage"". The adjective ""Digitaal"" accurately translates to ""Digital"", while ""Cultureel Erfgoed"" directly translates to ""Cultural Heritage"". This combination effectively conveys the concept of heritage that is preserved or accessible in digital form. The alternative suggestion ""Digital Cultureel Erfgoed"" is incorrect as ""Digital"" is an English word and should be translated to ""Digitaal"" in Dutch. Thus, the suggested term correctly captures the intended meaning without linguistic inaccuracies.",2025-05-31 21:15:56
nn,Digital Cultural Heritage,digital kulturarv,Norwegian Nynorsk,104.0,1740710600.0,stop,gpt-4o-2024-08-06,85.0,189.0,"The term ""Digital Cultural Heritage"" is translated into Norwegian Nynorsk as ""digital kulturarv."" ""Digital"" is a direct translation and maintains the same meaning in Norwegian. ""Kulturarv"" is a compound word where ""kultur"" means ""culture"" and ""arv"" means ""heritage."" This translation effectively communicates the concept of cultural heritage that is preserved, accessed, or interpreted through digital means.",2025-05-31 21:15:56
no,Digital Cultural Heritage,Digital kulturarv,Norwegian,155.0,1740710749.0,stop,gpt-4o-2024-08-06,122.0,277.0,"The term ""Digital kulturarv"" accurately represents the concept of ""Digital Cultural Heritage"" in Norwegian. ""Digital"" is directly translated and widely used in Norwegian in the same context as in English. ""Kulturarv"" is a compound word formed by ""kultur"" (culture) and ""arv"" (heritage), which directly corresponds to ""cultural heritage."" The Google Translate API’s suggestion aligns well with established usage in academic and professional circles. The suggestion ""Digitalt kulurstøtt"" by the Ollama API contains a typographical error (""kulurstøtt"" is not a recognized word in Norwegian), so it is not appropriate in this context.",2025-05-31 21:15:56
nv,Digital Cultural Heritage,Bíínánii Naaltsoosgo Bééhózin dóó Naaltsoos Diné Éí Na’alkid,"Navajo, Navaho",161.0,1740710090.0,stop,gpt-4o-2024-08-06,125.0,286.0,"In Navajo, expressing complex concepts often involves breaking down the idea into understandable components. ""Bíínánii"" refers to something that is digitized or electronic; ""Naaltsoosgo"" means related to books or written documents, which can imply recorded knowledge; ""Bééhózin"" denotes cultural knowledge or understanding; and ""Naaltsoos Diné Éí Na’alkid"" refers to the heritage or legacy of the people. This translation aims to capture the essence of ""Digital Cultural Heritage"" by combining aspects of digital recording and the preservation of cultural heritage.",2025-05-31 21:15:56
ny,Digital Cultural Heritage,Chikhalidwe Chamtundu wa Kudijito,Chichewa; Chewa; Nyanja,128.0,1740707508.0,stop,gpt-4o-2024-08-06,156.0,284.0,"I chose 'Chikhalidwe Chamtundu wa Kudijito' as the translation for 'Digital Cultural Heritage' in Chichewa because 'Chikhalidwe' means culture, 'Chamtundu' suggests heritage or something of significance to a people or community, and 'Kudijito' is an adaptation of 'digital' that captures the idea of technology-related attributes. This translation emphasizes the preservation and accessibility aspect of cultural heritage in digital form, which aligns with the concept of Digital Cultural Heritage.",2025-05-31 21:15:56
oc,Digital Cultural Heritage,Patrimòni Cultural Numeric,Occitan,121.0,1740710990.0,stop,gpt-4o-2024-08-06,111.0,232.0,"The translation ""Patrimòni Cultural Numeric"" directly reflects the meaning of ""Digital Cultural Heritage"" in English. ""Patrimòni"" refers to heritage, encompassing the inherited cultural values and traditions. ""Cultural"" translates naturally to ""Cultural,"" maintaining the connection to cultural practices and artifacts. Finally, ""Numeric"" accurately corresponds to ""Digital,"" reflecting the technological aspect of preserving cultural artifacts in a digital format. The terms align well with both linguistic accuracy and the established usage in related contexts.",2025-05-31 21:15:56
