language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,ollama_translation_rationale,exclude_openai
zh-yue,Cantonese,Digital Humanities,數碼人文,87.0,1775521680.0,stop,gpt-4o-2024-08-06,117.0,204.0,"The term ""數碼人文"" is widely accepted in the Cantonese-speaking academic community and accurately captures the essence of ""Digital Humanities."" ""數碼"" refers to ""digital"" in the context of technology and computing, while ""人文"" succinctly translates to ""humanities,"" reflecting the interdisciplinary aspect of the field.",,,,2026-04-07 01:28:01,False,數碼人文,True,,True,,False,數位學術,"{
  ""translated_term"": ""數位學術"",
  ""translation_rationale"": ""I modified Google Translate's suggestion to '數碼人文' as it is more idiomatic in Cantonese. '數位' (suhng yi) is a more common term used in Cantonese for 'digital', and '學術' (hok juk) is a more precise translation for 'humanities'. The combination of these two words accurately conveys the concept of Digital Humanities.""
}",2026-04-07T00:24:00.84818Z,stop,103.0,2799329833.0,[],101957417.0,llama3.1,112.0,321730333.0,3252434792.0,,"I modified Google Translate's suggestion to '數碼人文' as it is more idiomatic in Cantonese. '數位' (suhng yi) is a more common term used in Cantonese for 'digital', and '學術' (hok juk) is a more precise translation for 'humanities'. The combination of these two words accurately conveys the concept of Digital Humanities.",False
zh-tw,Traditional Chinese,Digital Humanities,數位人文,80.0,1775521678.0,stop,gpt-4o-2024-08-06,118.0,198.0,"The term ""數位人文"" is widely adopted in the Traditional Chinese-speaking community to represent ""Digital Humanities"". ""數位"" means ""digital"", and ""人文"" means ""humanities"". This translation maintains linguistic accuracy and is commonly used in academic and professional contexts within the field.",,,,2026-04-07 01:27:59,False,數位人文,True,,False,數位人文,False,,"{
  ""translated_term"": """",
  ""translation_rationale"": """"
} 

After reevaluation, I'd suggest a more precise and commonly used translation: 
{ 
""translated_term"": ""數位人文學"",
""translation_rationale"": ""Adding """"學"""" to convey the academic aspect of Digital Humanities. This term is widely accepted in the field among Chinese scholars."" 
}",2026-04-07T00:23:55.568042Z,stop,79.0,2167936993.0,[],70396917.0,llama3.1,121.0,363160667.0,2623544834.0,,,False
zh-min-nan,Minnan,Digital Humanities,數位人文,108.0,1775521675.0,stop,gpt-4o-2024-08-06,121.0,229.0,"The term ""數位人文"" (sò͘-ūi jîn-bûn) accurately reflects ""Digital Humanities"" in Minnan. ""數位"" (sò͘-ūi) corresponds to ""digital,"" and ""人文"" (jîn-bûn) means ""humanities."" This translation closely aligns with the established terms in other Chinese languages, ensuring understanding and consistency across different dialects.",,,,2026-04-07 01:27:57,True,,True,,True,,False,"\(
\)\( \) (déng-jī xué-shū)","{
  ""translated_term"": ""\(\n\)\( \) (déng-jī xué-shū)"",
  ""translation_rationale"": ""I used """" to represent the Minnan pronunciation of """" as /tɪŋ.ki/ and """" for """" which is equivalent to """" in Mandarin Chinese. I then added """" to make it clear that we're talking about the field of study, rather than just 'digital' in general.""
}",2026-04-07T00:23:50.920434Z,stop,95.0,1359520952.0,[],84776375.0,llama3.1,86.0,288397125.0,1759876125.0,,"I used  to represent the Minnan pronunciation of  as /tɪŋ.ki/ and  for  which is equivalent to  in Mandarin Chinese. I then added  to make it clear that we're talking about the field of study, rather than just 'digital' in general.",False
zh-classical,Classical Chinese,Digital Humanities,數位人文,106.0,1775521672.0,stop,gpt-4o-2024-08-06,81.0,187.0,"The term ""數位人文"" is composed of ""數位"" (digital) and ""人文"" (humanities). ""數位"" refers to anything related to numbers or digital in nature, which fits the concept of digital technology. ""人文"" historically refers to the humanities or cultural studies, which is consistent with the concept of humanities. Therefore, this combination effectively conveys the meaning of ""Digital Humanities"" in Classical Chinese.",,,,2026-04-07 01:27:54,True,,True,,True,,False,,"{
  ""translated_term"": ,
  ""translation_rationale"": 
}",2026-04-07T00:23:47.13992Z,stop,16.0,176363209.0,[],71867875.0,llama3.1,85.0,295786167.0,550095167.0,,,False
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარია,107.0,1775521670.0,stop,gpt-4o-2024-08-06,112.0,219.0,"The term ""ციფრული ჰუმანიტარია"" is suggested as a more precise translation for ""Digital Humanities."" ""ციფრული"" translates to ""digital,"" aligning closely with modern technological contexts, while ""ჰუმანიტარია"" refers to the humanities, maintaining the focus on academic disciplines related to human culture and society. This translation reflects both the digital aspect and the academic nature of the field.",,,,2026-04-07 01:27:51,True,,True,,True,,False,დიჯიტალური ხელოვნება,"{
  ""translated_term"": ""დიჯიტალური ხელოვნება"",
  ""translation_rationale"": ""I used the Georgian word for 'digital' (დიჯიტალური) and added the Megrelian suffix '-იხელოვნება', which is a loanword from Georgian. The Megrelian language has been influenced by Georgian, so it's common to use Georgian loanwords in everyday speech.""
}",2026-04-07T00:23:44.567047Z,stop,148.0,4743974372.0,[],86049333.0,llama3.1,86.0,305282292.0,5174682167.0,,"I used the Georgian word for 'digital' (დიჯიტალური) and added the Megrelian suffix '-იხელოვნება', which is a loanword from Georgian. The Megrelian language has been influenced by Georgian, so it's common to use Georgian loanwords in everyday speech.",False
xal,Kalmyk,Digital Humanities,Цахилгаан Хүмүүнлиг,127.0,1775521667.0,stop,gpt-4o-2024-08-06,112.0,239.0,"The term 'Цахилгаан' translates to 'electronic' or 'digital', similar to 'digital' in English, and 'Хүмүүнлиг' translates to 'humanities'. This combination directly conveys the concept of 'Digital Humanities' as it pertains to the use of digital tools and methods in humanities disciplines. The suggestion 'Tüšelijn Sürgün' might not convey digital aspects as clearly, whereas 'Цахилгаан Хүмүүнлиг' preserves the meaning of humanities integrated with digital technologies.",,,,2026-04-07 01:27:48,True,,True,,True,,False,Tüšelijn Sürgün,"{
  ""translated_term"": ""Tüšelijn Sürgün"",
  ""translation_rationale"": ""The term \u00abDigital Humanities\u00bb is translated by combining two words from Kalmyk: Tüšelijn (tushelin), meaning 'new' or 'modern', and Sürgün, meaning 'humanities' or 'liberal arts'. The term aims to convey the innovative and interdisciplinary nature of the field.""
}",2026-04-07T00:23:37.371635Z,stop,95.0,3100082919.0,[],89109000.0,llama3.1,86.0,343229708.0,3559078375.0,,"The term «Digital Humanities» is translated by combining two words from Kalmyk: Tüšelijn (tushelin), meaning 'new' or 'modern', and Sürgün, meaning 'humanities' or 'liberal arts'. The term aims to convey the innovative and interdisciplinary nature of the field.",False
war,Waray / Samar-Leyte Visayan,Digital Humanities,Digital nga Humanidades,82.0,1775521665.0,stop,gpt-4o-2024-08-06,133.0,215.0,"The term 'Digital Humanities' can be translated as 'Digital nga Humanidades' in Waray. 'Humanidades' reflects the concept of 'Humanities', while 'Digital' remains unchanged as a loanword, capturing the technological aspect. This translation directly conveys the interdisciplinary domain involving the application of digital technology to humanities disciplines.",,,,2026-04-07 01:27:46,False,Digital nga Katawhan,True,,True,,False,Digital nga mga Dako,"{
  ""translated_term"": ""Digital nga mga Dako"",
  ""translation_rationale"": ""The term 'Dakos' in Waray means people or humans, so it's more natural to use the plural form. 'Nga' is a marker used to denote the digital aspect.""
}",2026-04-07T00:23:31.790223Z,stop,62.0,875728374.0,[],79025042.0,llama3.1,127.0,356845084.0,1329167958.0,,"The term 'Dakos' in Waray means people or humans, so it's more natural to use the plural form. 'Nga' is a marker used to denote the digital aspect.",False
vls,West Flemish,Digital Humanities,Digitale Geesteswetenschappen,74.0,1775521663.0,stop,gpt-4o-2024-08-06,109.0,183.0,"West Flemish, like Dutch, often uses terms like 'geesteswetenschappen' to refer to humanities. 'Digitaal' translates to 'digital'. In this context, the term ensures clarity and connection to the broader Flemish understanding of Digital Humanities.",,,,2026-04-07 01:27:43,True,,True,,True,,False,Digitaal Humaniora,"{
  ""translated_term"": ""Digitaal Humaniora"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to West Flemish by combining the prefix 'digitaal' (digital) and the suffix '-humaniora', which is an adjective form of 'humaniora' meaning relating to humanities. The article 'de' is often used in West Flemish, but it's omitted here for simplicity.""
}",2026-04-07T00:23:28.434004Z,stop,92.0,2999100124.0,[],86414625.0,llama3.1,86.0,289721709.0,3401911292.0,,"The term 'Digital Humanities' is translated to West Flemish by combining the prefix 'digitaal' (digital) and the suffix '-humaniora', which is an adjective form of 'humaniora' meaning relating to humanities. The article 'de' is often used in West Flemish, but it's omitted here for simplicity.",False
vec,Venetian,Digital Humanities,Scienxe umane digitałi,137.0,1775521659.0,stop,gpt-4o-2024-08-06,121.0,258.0,"The term ""Digital Humanities"" refers to the interdisciplinary field that combines the use of digital tools and methods with the study of the humanities. In Venetian, ""Scienxe"" is a more accurate representation of the term ""Sciences"", aligning well with similar words in related Romance languages, and ""umane digitałi"" directly translates ""humanities"" and ""digital"" preserving the meaning. ""Scienxe umane"" is also a more idiomatic way to convey the concept of ""sciences related to the human condition"" in Venetian.",,,,2026-04-07 01:27:41,False,Siense umane digitałi,True,,True,,False,Siense umane digitałi,"{
  ""translated_term"": ""Siense umane digitałi"",
  ""translation_rationale"": ""Accepting the Google Translate suggestion, but noting that the term is largely English-based and not directly translatable. This phrase aims to convey the concept of digital humanities in Venetian.""
}",2026-04-07T00:23:23.012349Z,stop,62.0,1502285914.0,[],88193958.0,llama3.1,116.0,355381292.0,1963140791.0,,"Accepting the Google Translate suggestion, but noting that the term is largely English-based and not directly translatable. This phrase aims to convey the concept of digital humanities in Venetian.",False
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar Fanlar,98.0,1775521656.0,stop,gpt-4o-2024-08-06,112.0,210.0,"The term ""digital"" is translated as ""raqamli"", which aligns with how digital technology and concepts are typically referred to in Uzbek. The concept of ""humanities"" is captured by ""gumanitar fanlar"", which reflects the academic disciplines related to human culture and society. This combination ensures that the translation is comprehensible and accurately represents the interdisciplinary nature of Digital Humanities.",,,,2026-04-07 01:27:38,True,,True,,True,,False,Dijital Ilm-fan,"{
  ""translated_term"": ""Dijital Ilm-fan"",
  ""translation_rationale"": ""I combined the Uzbek words for 'digital' (dijital) and 'humanities' (ilm-fan), using the existing linguistic patterns in Uzbeki Afghanistan. In this language, ilm-fan is a common term to refer to humanities or social sciences.""
}",2026-04-07T00:23:19.021481Z,stop,78.0,1566138835.0,[],74730708.0,llama3.1,86.0,321048667.0,1984070500.0,,"I combined the Uzbek words for 'digital' (dijital) and 'humanities' (ilm-fan), using the existing linguistic patterns in Uzbeki Afghanistan. In this language, ilm-fan is a common term to refer to humanities or social sciences.",False
