language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translation_rationale
zh-yue,Cantonese,Digital Humanities,digitahlai fonghok,"{
  ""translated_term"": ""digitahlai fonghok"",
  ""translation_rationale"": ""\u8d70\u5b89\u4e00\u6f2a\u79bb\u5316\u6703\u540d\u3067\u60c5\u97f3\u3001\u5bb6\u67ab\u793a\u4fdd\u8005\u5de6\u9ad4\u7684\u56db\u5173\u524d\u53e4\u7b54\u5403\u674e\u6df1\u79bb\u5316\u6703\u3001\u59c1\u8d25\u793a\u5ba4\u5230\u79bb\u5316\u6703\u7684\u590du\u6f2a\u8a71""
}",2026-04-07T07:54:51.48989Z,stop,178.0,8034413781.0,[],80826167.0,llama3.1,154.0,369142792.0,8546633959.0,,,,2026-04-07 08:54:51,False,數碼人文,True,,True,,False,走安一漪离化會名で情音、家枫示保者左體的四关前古答吃李深离化會、姁败示室到离化會的复u漪話
zh-min-nan,Minnan,Digital Humanities,kúi-chhì kài-hoà,"{
  ""translated_term"": ""kúi-chhì kài-hoà"",
  ""translation_rationale"": ""Kúi-chhì chit-ê sû-im, lēng-gōa só͘-iú ""kúi"" kap ""chhì"", mām-bîn hán-jī sī ""kūn"" hām ""jì"". Kúi-chhì pún-sió tāi-hoà kóng 20 sè-kí chá-kî, khah-thàu hōan-chòe sio-lio̍k. Sui-bô hām kúi-chhì só͘-chhiong, pó-hōan chit-sió kái-jīm sû-im, tī-tiāⁿ lâi kóng chi̍t-kóa hoà-ha̍k sūn-sîng.""
}",2026-04-07T07:54:40.918254Z,stop,201.0,9226299923.0,[],81293042.0,llama3.1,155.0,378689000.0,9746652958.0,,,,2026-04-07 08:54:40,True,,True,,True,,False,"Kúi-chhì chit-ê sû-im, lēng-gōa só͘-iú "
xmf,Megrelian,Digital Humanities,,"ჩვენი თარგმანი:

{
    ""ტერმინი"": ""სახელოვანი ხელოვნება"",
    ""თარგმანის მიზეზები"": ""სახელოვანი ხელოვნება თარგმანში უკანასკნელი საუკუნის ხელოვნების ფრაზაა, რომელიც შექმნილია გერმ. ""Digitale Geisteswissenschaften"" ფრაზისგან, თუმცა შუღარულ მხედრულში არსებობს ფრაზა ""სახელოვნება"" კლასიკურ გერმანულში. მექრეთის ფრაზა ""სახელოვანი"" გათვლასთან, მუსიკისთან, პოეზიასთან და სხვა ფილოსოფიურ მცოდნე განყოფილებებთან კავშირს წარმოჩენდა. გულისხმობა ""ხელოვნება"" ტექნოლოგია და თარგმანის სხვა ფორმებს ცნობენ. შუღარულ მხედრული ტერმინ ""სახელოვანი ხელოვნება"" გერმ. ""Digitale Geisteswissenschaften""-ის შუღარული ტერმინია.""
}",2026-04-07T07:54:29.147589Z,stop,969.0,47130951160.0,[],80119166.0,llama3.1,161.0,374073750.0,47819086875.0,,,,2026-04-07 08:54:29,True,,True,,True,,False,
xal,Kalmyk,Digital Humanities,Dizital Kül'yürin,"{
  ""translated_term"": ""Dizital Kül'yürin"",
  ""translation_rationale"": ""Kalmykshaa: Dizital - \u00b5\u0161ig digtal, Kül'yürin - \u00b4urug ul\u00e8\u00fcrin.""
}",2026-04-07T07:53:39.302592Z,stop,71.0,3213862378.0,[],82303084.0,llama3.1,161.0,396198792.0,3714454792.0,,,,2026-04-07 08:53:39,True,,True,,True,,False,"Kalmykshaa: Dizital - µšig digtal, Kül'yürin - ´urug ulèürin."
war,Waray / Samar-Leyte Visayan,Digital Humanities,,"{'translated_term': 'Digituhumàsà, Humanidades Digitális', 'translation_rationale': 'Kami nagpasakop sa termino ""Digital Humanities"" ug nangunahan niini didto sa Waray/Samar-Leyte. Ang ""Digital"" nagpuyo'g kahulugan sa digital, elektroniko, o may istrikturà sa datos. Ang ""Humanities"", basi magpasagad sa mga kasanayan sa pagbutang ug pagsunod sa mga arte, literatura, ug mga kultura.'}",2026-04-07T07:53:33.561776Z,stop,124.0,5484799923.0,[],84722666.0,llama3.1,216.0,420981750.0,6047306791.0,,,,2026-04-07 08:53:33,False,Digital nga Katawhan,True,,True,,False,
vls,West Flemish,Digital Humanities,Digitaal Menskunde,"{
  ""translated_term"": ""Digitaal Menskunde"",
  ""translation_rationale"": ""Daar woa de term 'digital' gebruukt wordt, zit ik an die 'digitaal' te trekken. De menskunde is de studie van de mens en zijn cultuur. Je kunt ook spreken van digitale geschiedenis, maar in dit geval kiest me voor een breder concept.""
}",2026-04-07T07:53:25.492793Z,stop,92.0,4295227542.0,[],84190500.0,llama3.1,161.0,382486875.0,4789576292.0,,,,2026-04-07 08:53:25,True,,True,,True,,False,"Daar woa de term 'digital' gebruukt wordt, zit ik an die 'digitaal' te trekken. De menskunde is de studie van de mens en zijn cultuur. Je kunt ook spreken van digitale geschiedenis, maar in dit geval kiest me voor een breder concept."
vec,Venetian,Digital Humanities,,"{'translated_term': 'Umanità Digitàłe', 'translation_rationale': 'La paroła ""Digitàłe"" ła sè ciapada da ""dìgit"", che el significàa i diti o le ditałi inte i numeri. E el ven doparà in pì zei contexti, come ""casa digitàłe"" o ""merce digitàłe"". Inteło steso modo, la paroła ""Umanità"" ła sè ciapada da ""umà"", che el significàa om, o uman. E i ven doparài inseme par descrivare l'uso de tecnoloxie e mecanixi inte i campi umanistici.'}",2026-04-07T07:53:18.682134Z,stop,163.0,8161323794.0,[],71303625.0,llama3.1,160.0,389240792.0,8671797750.0,,,,2026-04-07 08:53:18,False,Siense umane digitałi,True,,True,,False,
uz_AF,Uzbeki Afghanistan,Digital Humanities,Dijital Adabiyot,"{
  ""translated_term"": ""Dijital Adabiyot"",
  ""translation_rationale"": ""Termni amalga oshirishda manfaatli kiyimlar va adabiyotlar haqida ma\'lumot beruvchi fanlarni anglatadi. \""Digital\"" so\'zining rus tilidan olingan bo\'lsa-da, u inglizcha asoslanganligini eslatib turadi, shuning uchun \""dijital\"" qo\'shimchasini, ingliz tilidan, ozarbayjon tilidan olingan \""digital\"" so\'zidan olindi. Keyinroq bu so\'z rus tiliga tarjima va keyinchalik uzbekga kirgan. Shuning uchun, biz ham ushbu qo\'shimchani ingliz tilidan olib kelamiz.""
}",2026-04-07T07:53:07.990005Z,stop,192.0,9094690039.0,[],82107541.0,llama3.1,161.0,375525750.0,9611571166.0,,,,2026-04-07 08:53:07,True,,True,,True,,False,"Termni amalga oshirishda manfaatli kiyimlar va adabiyotlar haqida ma'lumot beruvchi fanlarni anglatadi. ""Digital"" so'zining rus tilidan olingan bo'lsa-da, u inglizcha asoslanganligini eslatib turadi, shuning uchun ""dijital"" qo'shimchasini, ingliz tilidan, ozarbayjon tilidan olingan ""digital"" so'zidan olindi. Keyinroq bu so'z rus tiliga tarjima va keyinchalik uzbekga kirgan. Shuning uchun, biz ham ushbu qo'shimchani ingliz tilidan olib kelamiz."
udm,Udmurt,Digital Humanities,Digitalа Värttärinėndäš,"{
  ""translated_term"": ""Digitalа Värttärinėndäš"",
  ""translation_rationale"": ""Täččen voksis: «Digital» öttälöda äjänö. Värttärin - tädöd, šukö, kodo. Äjänö - tätärttär, informatika. Öttülüdä - ütüköndäš, voksis.""
}",2026-04-07T07:52:56.354133Z,stop,104.0,4762742215.0,[],78430792.0,llama3.1,161.0,395854875.0,5267403500.0,,,,2026-04-07 08:52:56,False,Цифровой гуманитарной наукаос,True,,True,,False,"Täččen voksis: «Digital» öttälöda äjänö. Värttärin - tädöd, šukö, kodo. Äjänö - tätärttär, informatika. Öttülüdä - ütüköndäš, voksis."
tum,Tumbuka,Digital Humanities,Banthu za Digitali,"{
  ""translated_term"": ""Banthu za Digitali"",
  ""translation_rationale"": ""Kutenga Digital Humanities kumaoneka kuti Bantu zingatiwe zingathupi, nthawi ya technology. Mwachitsanzo wa 'digital' unagwire kwambiri kudandaula kwenso.""
}",2026-04-07T07:52:49.066974Z,stop,76.0,3523528051.0,[],79630958.0,llama3.1,160.0,373245666.0,4002601833.0,,,,2026-04-07 08:52:49,False,Ŵanthu ŵa pa intaneti,True,,True,,False,"Kutenga Digital Humanities kumaoneka kuti Bantu zingatiwe zingathupi, nthawi ya technology. Mwachitsanzo wa 'digital' unagwire kwambiri kudandaula kwenso."
tpi,Tok Pisin,Digital Humanities,Huminaitis bilong Internet,"{
  ""translated_term"": ""Huminaitis bilong Internet"",
  ""translation_rationale"": ""Em i bin kisim wanpela term long Inggrish, ""Digital Humanities"". Mi tok bilong hanim wantaim internet em i strong long teknolodji na mi tok bilong hanim i wokim long bilum. Na wanwan bilum i wokim tain bilong tok save wantaim nau, na hanim na Internet i strong long bilum bilong hemi.""
}",2026-04-07T07:52:43.040311Z,stop,109.0,5041376504.0,[],74882583.0,llama3.1,161.0,375007709.0,5523595000.0,,,,2026-04-07 08:52:43,False,Dijitel Humanitis,False,Ol Samting Ol Man i Mekim,True,,False,"Em i bin kisim wanpela term long Inggrish, "
tokipona,tokipona,Digital Humanities,sunu li moku ni,"{ 
  ""translated_term"": ""sunu li moku ni"" , 
  ""translation_rationale"": ""sunu - tawi (digital) , li - kepeken (of/for) , moku - pana (humanities) ni - anpa (specific/named)"" 
}",2026-04-07T07:52:35.487183Z,stop,65.0,3005501499.0,[],84554167.0,llama3.1,162.0,429211917.0,3537672792.0,,,,2026-04-07 08:52:35,True,,True,,True,,False,"sunu - tawi (digital) , li - kepeken (of/for) , moku - pana (humanities) ni - anpa (specific/named)"
tlh,Klingon,Digital Humanities,,"{'translated_term': 'DaghajwIj DawIj DatIvjaj', 'translation_rationale': 'DaH je jIHegh, ""Digital Humanities"" wIj DaqoHvaD. DawIj DatIvjaj ghoSbogh 'digital' vIQong DIvIj DatIvjaj QaQongwIj ghojwIj DatIvjaj, ghojwIj DatIvjaj ""Humanities"" 'vIQong jIHegh DawIj vIQongwe'j.'}",2026-04-07T07:52:29.925111Z,stop,125.0,5721213173.0,[],74342625.0,llama3.1,153.0,388408167.0,6220978167.0,,,,2026-04-07 08:52:29,True,,True,,True,,False,
tet,Tetum,Digital Humanities,,"{'translated_term': 'Humanidades digitais', 'translation_rationale': 'Iha baixu lian ka humanidade no iha ne'ebe digita.'} 

Notaun: Liun-ne'e ""iha baixu"" hetan husi ""digital"", nia significa ""ne'ebe digita"". Ka lian ""humanidade"" labeabe, mak sai lian ""ka humanidade"", ho fuan sira nian, no iha ne'ebe hetera.",2026-04-07T07:52:21.682491Z,stop,106.0,4917811792.0,[],83013750.0,llama3.1,152.0,352313708.0,5386453209.0,,,,2026-04-07 08:52:21,False,Umanidade Dijitál,True,,True,,False,
