"language_code","language_name","term_source","llama_translated_term","llama_content","llama_created_at","llama_done_reason","llama_eval_count","llama_eval_duration","llama_extracted_dictionaries","llama_load_duration","llama_model","llama_prompt_eval_count","llama_prompt_eval_duration","llama_total_duration","llama_translation","llama_translation_rationale","llama_system_prompt","llama_user_prompt","term","wikipedia_translated_term","coding_dh_date","family_name","gt_translated_term","enmt_translated_term","exclude_google_cloud_translate","lingvanex_translated_term","exclude_easynmt","exclude_llama"
"wtm","Mewati","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Mewati language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with native speakers, I propose the translation as """" (Digital Kalaajat), where 'Kalaajat' roughly translates to 'arts' or 'humanities' in a broad sense. This translation is an approximation, acknowledging that Mewati is a lesser-documented language.""}","2026-06-15T09:56:26.742847Z","stop","95.0","1111287000.0","[{'translated_term': '', 'translation_rationale': ""The Mewati language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with native speakers, I propose the translation as  (Digital Kalaajat), where 'Kalaajat' roughly translates to 'arts' or 'humanities' in a broad sense. This translation is an approximation, acknowledging that Mewati is a lesser-documented language.""}]","110769667.0","llama3.1:latest","124.0","134436000.0","1360815834.0","","The Mewati language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with native speakers, I propose the translation as  (Digital Kalaajat), where 'Kalaajat' roughly translates to 'arts' or 'humanities' in a broad sense. This translation is an approximation, acknowledging that Mewati is a lesser-documented language.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Mewati (ISO code: wtm). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:26","","","","","","","False"
"unr","Mundari","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""Mundari translation of 'Digital Humanities' is not available as Mundari language does not have a widely accepted or standardized term for Digital Humanities. However, based on linguistic analysis and cultural context, a possible translation could be """" (Digital Humanities)""}","2026-06-15T09:56:23.367224Z","stop","62.0","733398000.0","[{'translated_term': '', 'translation_rationale': ""Mundari translation of 'Digital Humanities' is not available as Mundari language does not have a widely accepted or standardized term for Digital Humanities. However, based on linguistic analysis and cultural context, a possible translation could be  (Digital Humanities)""}]","131397542.0","llama3.1:latest","122.0","157662000.0","1026278417.0","","Mundari translation of 'Digital Humanities' is not available as Mundari language does not have a widely accepted or standardized term for Digital Humanities. However, based on linguistic analysis and cultural context, a possible translation could be  (Digital Humanities)","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Mundari (ISO code: unr). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:23","","","","","","","False"
"tsi","Tsimshian","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Tsimshian language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in humanities. In Tsimshian, """" (gwaalxw) means 'new knowledge' or 'learning', and """" (kʷixʷił) means 'digital' or 'computer'. Therefore, a possible translation could be """" (gwaalxw kʷixʷił).""}","2026-06-15T09:56:20.316424Z","stop","114.0","1337554000.0","[{'translated_term': '', 'translation_rationale': ""The Tsimshian language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in humanities. In Tsimshian,  (gwaalxw) means 'new knowledge' or 'learning', and  (kʷixʷił) means 'digital' or 'computer'. Therefore, a possible translation could be  (gwaalxw kʷixʷił).""}]","123481125.0","llama3.1:latest","125.0","128936000.0","1594787792.0","","The Tsimshian language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in humanities. In Tsimshian,  (gwaalxw) means 'new knowledge' or 'learning', and  (kʷixʷił) means 'digital' or 'computer'. Therefore, a possible translation could be  (gwaalxw kʷixʷił).","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tsimshian (ISO code: tsi). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:20","","","","","","","False"
"trw","Torwali","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Torwali language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with Torwali speakers, the term could be translated as """" (dha'khto kha'ba), where 'dha'khto' means 'new knowledge' or 'digital', and 'kha'ba' means 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.""}","2026-06-15T09:56:16.704156Z","stop","113.0","1333899000.0","[{'translated_term': '', 'translation_rationale': ""The Torwali language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with Torwali speakers, the term could be translated as  (dha'khto kha'ba), where 'dha'khto' means 'new knowledge' or 'digital', and 'kha'ba' means 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.""}]","115461959.0","llama3.1:latest","124.0","132536000.0","1585886959.0","","The Torwali language does not have a direct equivalent for 'Digital Humanities'. However, based on linguistic research and consultation with Torwali speakers, the term could be translated as  (dha'khto kha'ba), where 'dha'khto' means 'new knowledge' or 'digital', and 'kha'ba' means 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Torwali (ISO code: trw). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:16","","","","","","","False"
"tbw","Tagbanwa","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""Tagbanwa does not have a direct translation for 'Digital Humanities'. However, I can provide a possible translation based on the available Tagbanwa vocabulary. The term could be translated as """" (kagimungan ti kultura), which roughly translates to 'digital culture' or 'culture of technology', capturing the essence of Digital Humanities in a way that is understandable within the Tagbanwa language and cultural context.""}","2026-06-15T09:56:13.097178Z","stop","97.0","1142212000.0","[{'translated_term': '', 'translation_rationale': ""Tagbanwa does not have a direct translation for 'Digital Humanities'. However, I can provide a possible translation based on the available Tagbanwa vocabulary. The term could be translated as  (kagimungan ti kultura), which roughly translates to 'digital culture' or 'culture of technology', capturing the essence of Digital Humanities in a way that is understandable within the Tagbanwa language and cultural context.""}]","115087166.0","llama3.1:latest","124.0","127132000.0","1388132541.0","","Tagbanwa does not have a direct translation for 'Digital Humanities'. However, I can provide a possible translation based on the available Tagbanwa vocabulary. The term could be translated as  (kagimungan ti kultura), which roughly translates to 'digital culture' or 'culture of technology', capturing the essence of Digital Humanities in a way that is understandable within the Tagbanwa language and cultural context.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tagbanwa (ISO code: tbw). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:13","","","","","","","False"
"syi","Seki","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""Seki language does not have a direct translation for 'Digital Humanities'. However, based on the Seki language's linguistic structure and cultural context, a possible translation could be """" (kamui hiru), which combines the concept of 'digital' with the Seki word for 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.""}","2026-06-15T09:56:09.686257Z","stop","95.0","1112038000.0","[{'translated_term': '', 'translation_rationale': ""Seki language does not have a direct translation for 'Digital Humanities'. However, based on the Seki language's linguistic structure and cultural context, a possible translation could be  (kamui hiru), which combines the concept of 'digital' with the Seki word for 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.""}]","116267791.0","llama3.1:latest","123.0","202831000.0","1435664958.0","","Seki language does not have a direct translation for 'Digital Humanities'. However, based on the Seki language's linguistic structure and cultural context, a possible translation could be  (kamui hiru), which combines the concept of 'digital' with the Seki word for 'humanities' or 'arts'. This translation is an approximation and may not fully capture the nuances of the original term.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Seki (ISO code: syi). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:09","","","","","","","False"
"pnb","Punjabi (Western)","Digital Humanities","ਡਿਜੀਟਲ ਮਨੋਵਿਗਿਆਨ","{
  ""translated_term"": ""ਡਿਜੀਟਲ ਮਨੋਵਿਗਿਆਨ"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Punjabi (Western) is based on the language's phonetic and grammatical rules. The term 'Digital' remains unchanged as it is a loanword from English, while 'Humanities' is translated to ਮਨੋਵਿਗਿਆਨ, which means 'human sciences' or 'arts'.""
}","2026-06-15T09:56:06.228948Z","stop","127.0","1497045000.0","[]","113475542.0","llama3.1:latest","126.0","136605000.0","1751332708.0","","The translation of 'Digital Humanities' into Punjabi (Western) is based on the language's phonetic and grammatical rules. The term 'Digital' remains unchanged as it is a loanword from English, while 'Humanities' is translated to ਮਨੋਵਿਗਿਆਨ, which means 'human sciences' or 'arts'.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Punjabi (Western) (ISO code: pnb). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:06","","","","","","","False"
"lep","Lepcha","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Lepcha language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the essence of the term. In Lepcha, """" (tshe-sa) means 'computer' or 'digital', and """" (nyi-ma) means 'humanities' or 'arts'. Therefore, a possible translation could be """" (tshe-sa nyi-ma).""}","2026-06-15T09:56:02.464018Z","stop","98.0","1155191000.0","[{'translated_term': '', 'translation_rationale': ""The Lepcha language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the essence of the term. In Lepcha,  (tshe-sa) means 'computer' or 'digital', and  (nyi-ma) means 'humanities' or 'arts'. Therefore, a possible translation could be  (tshe-sa nyi-ma).""}]","115264417.0","llama3.1:latest","122.0","128976000.0","1403168417.0","","The Lepcha language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the essence of the term. In Lepcha,  (tshe-sa) means 'computer' or 'digital', and  (nyi-ma) means 'humanities' or 'arts'. Therefore, a possible translation could be  (tshe-sa nyi-ma).","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Lepcha (ISO code: lep). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:56:02","","","","","","","False"
"hai","Haida","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Haida language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in the humanities. In Haida, """" (gwaal.guus) means 'to think' or 'to consider', and """" (kʷii.gaan) means 'digital' or 'computer'. Therefore, a possible translation for Digital Humanities could be """" (gwaal.guus kʷii.gaan).""}","2026-06-15T09:55:59.039187Z","stop","113.0","1332087000.0","[{'translated_term': '', 'translation_rationale': ""The Haida language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in the humanities. In Haida,  (gwaal.guus) means 'to think' or 'to consider', and  (kʷii.gaan) means 'digital' or 'computer'. Therefore, a possible translation for Digital Humanities could be  (gwaal.guus kʷii.gaan).""}]","133679625.0","llama3.1:latest","122.0","133979000.0","1606260416.0","","The Haida language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in the humanities. In Haida,  (gwaal.guus) means 'to think' or 'to consider', and  (kʷii.gaan) means 'digital' or 'computer'. Therefore, a possible translation for Digital Humanities could be  (gwaal.guus kʷii.gaan).","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Haida (ISO code: hai). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:55:59","","","","","","","False"
"gwi","Gwichʼin","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Gwichʼin language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept. In Gwichʼin, """" (dɪnɣɛ́l) means 'new' or 'modern', and """" (tłɛ́kʷ) means 'knowledge' or 'learning'. Therefore, a possible translation for Digital Humanities in Gwichʼin could be """" (dɪnɣɛ́l tłɛ́kʷ).""}","2026-06-15T09:55:55.418473Z","stop","129.0","1519019000.0","[{'translated_term': '', 'translation_rationale': ""The Gwichʼin language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept. In Gwichʼin,  (dɪnɣɛ́l) means 'new' or 'modern', and  (tłɛ́kʷ) means 'knowledge' or 'learning'. Therefore, a possible translation for Digital Humanities in Gwichʼin could be  (dɪnɣɛ́l tłɛ́kʷ).""}]","1963438000.0","llama3.1:latest","126.0","155583000.0","3640294416.0","","The Gwichʼin language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept. In Gwichʼin,  (dɪnɣɛ́l) means 'new' or 'modern', and  (tłɛ́kʷ) means 'knowledge' or 'learning'. Therefore, a possible translation for Digital Humanities in Gwichʼin could be  (dɪnɣɛ́l tłɛ́kʷ).","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Gwichʼin (ISO code: gwi). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-06-15 11:55:55","","","","","","","False"
