coding_dh_date,language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,exclude_google_cloud_translate_x,gt_translated_term_x,exclude_easynmt,enmt_translated_term,exclude_google_cloud_translate_y,gt_translated_term_y,exclude_ollama,ollama_translation_rationale
2026-03-15 18:50:53,te,Telugu,Computational Humanities,గಣనೀయ మಾನವ ಶಾಸ್ತ್ರ,"{
""translated_term"": ""గಣనೀయ మಾನವ ಶಾಸ್ತ್ರ"",
""translation_rationale"": ""Computational + Humanities""
}",2026-03-15T23:50:53.232342Z,stop,52.0,606873245.0,[],2804100084.0,llama3.1,69.0,308204708.0,3727563584.0,,False,కంప్యుటేషనల్ హ్యుమానిటీస్,True,,False,కంప్యుటేషనల్ హ్యుమానిటీస్,False,Computational + Humanities
2026-03-15 18:50:53,aa,Afar,Computational Humanities,,,,,,,,,,,,,,False,cisab seehadaytiino,True,,False,cisab seehadaytiino,True,
2026-03-15 18:50:53,ab,Abkhaz,Computational Humanities,,,,,,,,,,,,,,False,Аҳасабратә гуманитартә ҵарақәа,True,,False,Аҳасабратә гуманитартә ҵарақәа,True,
2026-03-15 18:50:53,ae,Avestan,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,af,Afrikaans,Computational Humanities,,,,,,,,,,,,,,False,Berekeningsgeesteswetenskappe,False,Verdraagtingsmense,,,True,
2026-03-15 18:50:53,ak,Akan,Computational Humanities,,,,,,,,,,,,,,False,Mfiridwuma mu Nnipa Ho Adesua,True,,False,Mfiridwuma mu Nnipa Ho Adesua,True,
2026-03-15 18:50:53,am,Amharic,Computational Humanities,,,,,,,,,,,,,,False,የኮምፒውተር ሂውማኒቲስ,True,,False,የኮምፒውተር ሂውማኒቲስ,True,
2026-03-15 18:50:53,an,Aragonese,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ar,Arabic,Computational Humanities,,,,,,,,,,,,,,False,العلوم الإنسانية الحاسوبية,False,الدراسات الإنسانية الحسابية,,,True,
2026-03-15 18:50:53,as,Assamese,Computational Humanities,,,,,,,,,,,,,,False,কম্পিউটেচনেল হিউমেনিটিজ,True,,False,কম্পিউটেচনেল হিউমেনিটিজ,True,
2026-03-15 18:50:53,av,Avaric,Computational Humanities,,,,,,,,,,,,,,False,ХӀисабалъул гуманитарияб гӀелму,True,,False,ХӀисабалъул гуманитарияб гӀелму,True,
2026-03-15 18:50:53,ay,Aymara,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionales uka tuqita yatxataña,True,,False,Humanidades Computacionales uka tuqita yatxataña,True,
2026-03-15 18:50:53,az,Azerbaijani,Computational Humanities,,,,,,,,,,,,,,False,Hesablama Humanitar Elmləri,False,İnsaniyyəti,,,True,
2026-03-15 18:50:53,ba,Bashkir,Computational Humanities,,,,,,,,,,,,,,False,Иҫәпләү гуманитар фәндәре,True,,False,Иҫәпләү гуманитар фәндәре,True,
2026-03-15 18:50:53,be,Belarusian,Computational Humanities,,,,,,,,,,,,,,False,Вылічальныя гуманітарныя навукі,True,,False,Вылічальныя гуманітарныя навукі,True,
2026-03-15 18:50:53,bg,Bulgarian,Computational Humanities,,,,,,,,,,,,,,False,Компютърни хуманитарни науки,False,(Код на ражданията),,,True,
2026-03-15 18:50:53,bh,Bihari,Computational Humanities,,,,,,,,,,,,,,False,कम्प्यूटेशनल मानविकी के बारे में बतावल गइल बा,True,,False,कम्प्यूटेशनल मानविकी के बारे में बतावल गइल बा,True,
2026-03-15 18:50:53,bi,Bislama,Computational Humanities,,,,,,,,,,,,,,True,,False,Ol Trabol We Ol Man Oli Stap Kasem,,,True,
2026-03-15 18:50:53,bm,Bambara,Computational Humanities,,,,,,,,,,,,,,False,Jateblaw Hadamadenw ka dɔnniyaw,True,,False,Jateblaw Hadamadenw ka dɔnniyaw,True,
2026-03-15 18:50:53,bn,Bengali,Computational Humanities,,,,,,,,,,,,,,False,গণনামূলক মানবিকতা,True,,False,গণনামূলক মানবিকতা,True,
2026-03-15 18:50:53,bo,Tibetan,Computational Humanities,,,,,,,,,,,,,,False,རྩིས་རྒྱག་འགྲོ་བ་མིའི་རིག་པ།,True,,False,རྩིས་རྒྱག་འགྲོ་བ་མིའི་རིག་པ།,True,
2026-03-15 18:50:53,br,Breton,Computational Humanities,,,,,,,,,,,,,,False,Skiantoù mab-den urzhiataerezh,True,,False,Skiantoù mab-den urzhiataerezh,True,
2026-03-15 18:50:53,bs,Bosnian,Computational Humanities,,,,,,,,,,,,,,False,Računarske humanističke nauke,True,,False,Računarske humanističke nauke,True,
2026-03-15 18:50:53,ca,Catalan; Valencian,Computational Humanities,,,,,,,,,,,,,,False,Humanitats Computacionals,False,Classificacions humanes,,,True,
2026-03-15 18:50:53,ce,Chechen,Computational Humanities,,,,,,,,,,,,,,False,ХӀоттаман гуманитаран Ӏилманаш,True,,False,ХӀоттаман гуманитаран Ӏилманаш,True,
2026-03-15 18:50:53,ch,Chamorro,Computational Humanities,,,,,,,,,,,,,,False,Humanidåt Komputasionåt,True,,False,Humanidåt Komputasionåt,True,
2026-03-15 18:50:53,co,Corsican,Computational Humanities,,,,,,,,,,,,,,False,Umanità Computazionale,True,,False,Umanità Computazionale,True,
2026-03-15 18:50:53,cr,Cree,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,cs,Czech,Computational Humanities,,,,,,,,,,,,,,False,Výpočetní humanitní vědy,False,Výpočetní humanitní vědy,,,True,
2026-03-15 18:50:53,cu,Old Church Slavonic,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,cv,Chuvash,Computational Humanities,,,,,,,,,,,,,,False,Шутлав гуманитари,True,,False,Шутлав гуманитари,True,
