coding_dh_date,language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,exclude_google_cloud_translate_x,gt_translated_term_x,exclude_easynmt,enmt_translated_term,exclude_google_cloud_translate_y,gt_translated_term_y,exclude_ollama,first_ollama_translated_term,first_ollama_content,first_ollama_created_at,first_ollama_done_reason,first_ollama_eval_count,first_ollama_eval_duration,first_ollama_extracted_dictionaries,first_ollama_load_duration,first_ollama_model,first_ollama_prompt_eval_count,first_ollama_prompt_eval_duration,first_ollama_total_duration,first_ollama_translation,first_ollama_translation_rationale,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_output_tokens,claude_created,claude_stop_reason,claude_model,claude_input_tokens,claude_total_tokens,claude_translation_rationale,claude_translation,exclude_ollama_second_pass,ollama_translation_rationale
2026-04-16 19:50:57,ee,Ewe,Computational Humanities,Edzordomevi ɛkpɔ kɔme wɔ,"{
""translated_term"": ""Edzordomevi ɛkpɔ kɔme wɔ"",
""translation_rationale"": ""In Ewe, 'Edzordomevi' means 'humanities' or 'arts'. I added 'ɛkpɔ kɔme wɔ', which means 'computational' or 'computer-based', to create a term that accurately reflects the concept of Computational Humanities in Ewe.""
}",2026-03-16T15:58:47.000446Z,stop,96.0,1131965371.0,[],3550723083.0,llama3.1,145.0,607806208.0,5305888375.0,,False,Akɔntabubu Ŋuti Amegbetɔŋutinunya,False,Nu Siwo Amegbetɔwo Wɔ Le Aɖaŋu Me,,,True,,,,,,,,,,,,,,,False,Edzordomevi aʋadlawo,111.0,1773621436.0,stop,gpt-4o-2024-08-06,65.0,176.0,"The term 'Computational Humanities' reflects the integration of computational methods in humanities studies. In Ewe, 'Edzordomevi' conveys the sense of computation or calculation, while 'aʋadlawo' means humanities, being derived from 'aʋadla' (literature/study of human culture) with 'wó' as a plural marker indicating the study areas within the humanities field.",,False,,,,,,,,,,False,"In Ewe, 'Edzordomevi' means 'humanities' or 'arts'. I added 'ɛkpɔ kɔme wɔ', which means 'computational' or 'computer-based', to create a term that accurately reflects the concept of Computational Humanities in Ewe."
2026-04-16 19:50:57,kg,Kongo,Computational Humanities,Mihuindala ya Kintwadi,"{
""translated_term"": ""Mihuindala ya Kintwadi"",
""translation_rationale"": ""I modified the existing suggestions by combining the concepts of 'Mihuindala' (humanities) and 'Kintwadi' (computational or numerical), which is a more literal and idiomatic translation. 'Mihuindala' is the Kongo term for 'humanities' or 'arts', and 'Kintwadi' is a loanword from Kimbundu, meaning 'number' or 'calculation', but it can also imply 'digital' or 'computational' in a more abstract sense. I also avoided using 'Dibanza ya Bantu' as it is too generic and doesn't specifically convey the concept of computational humanities.""
}",2026-03-16T15:58:58.903885Z,stop,160.0,1878784200.0,[],61566250.0,llama3.1,133.0,414014208.0,2376458125.0,,False,Mambu ya kimuntu ya ordinatere,False,Dibanza ya Bantu,,,True,,,,,,,,,,,,,,,False,Kintwadi ya Mihuindadala miyintu,71.0,1773621526.0,stop,gpt-4o-2024-08-06,65.0,136.0,"This translation attempts to represent the concept of computational (kintwadi) studies related to humanities (mihuindadala miyintu), emphasizing the scholarly study ('mihuindadala') of human culture ('miyintu').",,False,,,,,,,,,,False,"I modified the existing suggestions by combining the concepts of 'Mihuindala' (humanities) and 'Kintwadi' (computational or numerical), which is a more literal and idiomatic translation. 'Mihuindala' is the Kongo term for 'humanities' or 'arts', and 'Kintwadi' is a loanword from Kimbundu, meaning 'number' or 'calculation', but it can also imply 'digital' or 'computational' in a more abstract sense. I also avoided using 'Dibanza ya Bantu' as it is too generic and doesn't specifically convey the concept of computational humanities."
2026-04-16 19:50:57,mr,Marathi (Marāṭhī),Computational Humanities,संगणकीय मानवशास्त्र,"{
  ""translated_term"": ""संगणकीय मानवशास्त्र"",
  ""translation_rationale"": ""I've combined 'संगणकीय' (computational) from existing Marathi terms like 'संगणकीय शास्त्र' and 'मानवशास्त्र' (humanities) from the existing term 'सामाजिक मानवशास्त्र' (social humanities). This provides a clear and direct translation of the term 'Computational Humanities'.""
}",2026-03-16T15:59:11.020667Z,stop,108.0,1265007464.0,[],81650708.0,llama3.1,150.0,461295709.0,1823642208.0,,False,संगणकीय मानव्यशास्त्र,False,नैसर्गिक विपत्ती,,,True,,,,,,,,,,,,,,,False,संगणकीय मानव्यशास्त्र,93.0,1773621568.0,stop,gpt-4o-2024-08-06,70.0,163.0,"The term 'Computational' translates to 'संगणकीय' which relates to computers or computation, and 'Humanities' translates to 'मानव्यशास्त्र', which refers to the study of human culture and society. Together, they form a term that reflects the interdisciplinary field that applies computational methods to the study of humanities.",,False,,,,,,,,,,False,I've combined 'संगणकीय' (computational) from existing Marathi terms like 'संगणकीय शास्त्र' and 'मानवशास्त्र' (humanities) from the existing term 'सामाजिक मानवशास्त्र' (social humanities). This provides a clear and direct translation of the term 'Computational Humanities'.
2026-04-16 19:50:57,nb,Norwegian Bokmål,Computational Humanities,Beregningsorienterte humaniora,"{
  ""translated_term"": ""Beregningsorienterte humaniora"",
  ""translation_rationale"": ""Translation is direct and accurate. The term 'Computational Humanities' is a compound noun where 'Computational' refers to the use of computers and 'Humanities' refers to the study of the human condition. The Norwegian translation retains this structure, replacing 'Computational' with 'beregningsorienterte', which literally means 'oriented towards computation'.""
}",2026-03-16T15:59:21.82264Z,stop,97.0,1135421038.0,[],76511875.0,llama3.1,122.0,430619917.0,1656146708.0,,False,Beregningsmessige humaniora,True,,False,Beregningsmessige humaniora,True,,,,,,,,,,,,,,,False,Beregningsorienterte humaniora,89.0,1773621578.0,stop,gpt-4o-2024-08-06,66.0,155.0,"The term 'Beregningsorienterte humaniora' combines 'beregningsorienterte', meaning computational or oriented towards computation, with 'humaniora', which refers to the humanities. This accurately reflects the interdisciplinary nature implied by 'Computational Humanities', focusing on the integration of computational methods into the study of humanistic disciplines.",,False,,,,,,,,,,False,"Translation is direct and accurate. The term 'Computational Humanities' is a compound noun where 'Computational' refers to the use of computers and 'Humanities' refers to the study of the human condition. The Norwegian translation retains this structure, replacing 'Computational' with 'beregningsorienterte', which literally means 'oriented towards computation'."
2026-04-16 19:50:57,te,Telugu,Computational Humanities,గణిత మానవికాలు,"{
  ""translated_term"": ""గణిత మానవికాలు"",
  ""translation_rationale"": ""I modified the existing suggestion by replacing 'సంవికాసాత్మక' (which means 'evolutionary' or 'developing') with 'గణిత' (which means 'computational' or 'mathematical'), to better match the English term 'Computational Humanities'.""
}",2026-03-16T15:59:33.123259Z,stop,125.0,1456372170.0,[],72342000.0,llama3.1,149.0,456596541.0,2002150375.0,,False,కంప్యుటేషనల్ హ్యుమానిటీస్,True,,False,కంప్యుటేషనల్ హ్యుమానిటీస్,False,గಣనೀయ మಾನವ ಶಾಸ್ತ್ರ,"{
""translated_term"": ""గಣనೀయ మಾನವ ಶಾಸ್ತ್ರ"",
""translation_rationale"": ""Computational + Humanities""
}",2026-03-15T23:50:53.232342Z,stop,52.0,606873245.0,[],2804100084.0,llama3.1,69.0,308204708.0,3727563584.0,,Computational + Humanities,False,సంవికాసాత్మక మానవికాలు,78.0,1773621675.0,stop,gpt-4o-2024-08-06,64.0,142.0,"The term 'సంవికాసాత్మక' translates to 'computational', indicating something related to computations or calculations. 'మానవికాలు' translates to 'humanities', addressing the academic discipline that studies aspects of human society and culture.",,False,,,,,,,,,,False,"I modified the existing suggestion by replacing 'సంవికాసాత్మక' (which means 'evolutionary' or 'developing') with 'గణిత' (which means 'computational' or 'mathematical'), to better match the English term 'Computational Humanities'."
2026-04-16 19:50:57,aa,Afar,Computational Humanities,,,,,,,,,,,,,,False,cisab seehadaytiino,True,,False,cisab seehadaytiino,True,,,,,,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,,,True,
2026-04-16 19:50:57,ab,Abkhaz,Computational Humanities,,,,,,,,,,,,,,False,Аҳасабратә гуманитартә ҵарақәа,True,,False,Аҳасабратә гуманитартә ҵарақәа,True,,,,,,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,,,True,
2026-04-16 19:50:57,ae,Avestan,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,,,,,,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,,,True,
2026-04-16 19:50:57,af,Afrikaans,Computational Humanities,,,,,,,,,,,,,,False,Berekeningsgeesteswetenskappe,False,Verdraagtingsmense,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,,,True,
2026-04-16 19:50:57,ak,Akan,Computational Humanities,,,,,,,,,,,,,,False,Mfiridwuma mu Nnipa Ho Adesua,True,,False,Mfiridwuma mu Nnipa Ho Adesua,True,,,,,,,,,,,,,,,False,Ahumasɛmfoɔ Nhyehyɛɛ Nhyehyɛɛdeɛ,81.0,1773621353.0,stop,gpt-4o-2024-08-06,64.0,145.0,"The term 'Computational Humanities' refers to the use of computational methods in the study of human culture, which in Akan can be expressed as the systematic arrangement ('Nhyehyɛɛ') of cultural or humanistic activities ('Ahumasɛmfoɔ').",,False,,,,,,,,,,True,
