language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translation_rationale
zh-yue,Cantonese,Digital Humanities,dai jing wén fó gung,"{
  ""translated_term"": ""dai jing wén fó gung"",
  ""translation_rationale"": ""The term \'Digital Humanities\' is translated into Cantonese as \'dai jing wén fó gung\'. 
    * \'Dai jing\' ( ) means \'digital\', derived from the Chinese characters for digital ().
    * \'Wén fó\' ( ) literally means \'humanist study\', with \'wén\'' ( ) referring to literature and \'fó\'' ( ) meaning humanities.
    * \'Gung\' ( ) is a suffix indicating a field of study or academic discipline. 
    The term is constructed to convey the essence of Digital Humanities as a fusion of digital technology and humanist inquiry, while adhering to Cantonese linguistic and cultural conventions.""
}",2026-04-07T01:29:05.602785Z,stop,171.0,5500609297.0,[],83423833.0,llama3.1,133.0,365728500.0,5998259041.0,,,,2026-04-07 02:29:05,False,數碼人文,True,,True,,False,"The term \'Digital Humanities\' is translated into Cantonese as \'dai jing wén fó gung\'. 
    * \'Dai jing\' ( ) means \'digital\', derived from the Chinese characters for digital ().
    * \'Wén fó\' ( ) literally means \'humanist study\', with \'wén\'' ( ) referring to literature and \'fó\'' ( ) meaning humanities.
    * \'Gung\' ( ) is a suffix indicating a field of study or academic discipline. 
    The term is constructed to convey the essence of Digital Humanities as a fusion of digital technology and humanist inquiry, while adhering to Cantonese linguistic and cultural conventions."
zh-tw,Traditional Chinese,Digital Humanities,,"{
""translated_term"": ,
""translation_rationale"": ""
 (Shū Dì Zhī Shù) shì zhōu jiàn le yī zhǒng xīn de kè lǐ shēng wén huà, yóu yú chū xiàn zài dào mò kuài de xīn de xiàng fāng shí zuò wéi, zì jǐ xiǎng biǎo xiàn le gōng kě zhǔn zhuān dào jiě miàn rén wén huà yǔ shù huà de guān xiè, tǎo lùn le rén wén huà de shí huó yǐ jīng shēng chéng le de qū zhōu. 
Dà jiā fāng biàn xún zài Zhōng Wén jiào yuán dào shàng fǎn yì (Digital Humanities) le nèi, zhǔn bù de pīn cí zuò wéi Dàmǐ Qū Zhōu Jiào Yuán.
""
}",2026-04-07T01:28:57.573227Z,stop,247.0,8275166962.0,[],82077959.0,llama3.1,132.0,367249584.0,8792285459.0,,,,2026-04-07 02:28:57,False,數位人文,True,,False,數位人文,False,
zh-min-nan,Minnan,Digital Humanities,Chhiú-khì-tô͘-kài,"{
  ""translated_term"": ""Chhiú-khì-tô͘-kài"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Minnan as Chhiú-khì-tô͘-kài, which closely follows the original term's structure. 
  - 'Chhiú' (, digital) is derived from the Minnan pronunciation of """" (zhī dàng), meaning 'digital' or 'electronic'. This adaptation ensures scholarly accuracy.
  - 'Khì' (, humanities) corresponds to the original term and has been adopted in various Chinese dialects, including Minnan. 
  - 'Tô͘-kài' (, studies) combines the idea of 'tô͘' (study, research) with '-kài' (field or discipline), conveying the concept of a specific field of study.
  The translation aims to balance cultural equivalence and academic conventions in Minnan, while also ensuring that it accurately conveys the original meaning.""
}",2026-04-07T01:28:46.750196Z,stop,213.0,7005966911.0,[],79875292.0,llama3.1,134.0,382027417.0,7526899959.0,,,,2026-04-07 02:28:46,True,,True,,True,,False,"I translated 'Digital Humanities' into Minnan as Chhiú-khì-tô͘-kài, which closely follows the original term's structure. 
  - 'Chhiú' (, digital) is derived from the Minnan pronunciation of "
xmf,Megrelian,Digital Humanities,საინფორმაციო ხელოვნება,"{
  ""translated_term"": ""საინფორმაციო ხელოვნება"",
  ""translation_rationale"": ""To translate 'Digital Humanities' into Megrelian, I considered the following factors:

1. Scholarly accuracy: The term 'საინფორმაციო' is a direct borrowing from Russian 'информационный', which means 'informational'. This is fitting for Digital Humanities, as it encompasses the intersection of information technology and humanities.

2. Cultural equivalence: Megrelian is an East Georgian Kartvelian language with its own distinct culture and linguistic features. The term 'ხელოვნება' (khelovneba) corresponds to the concept of 'art' or 'humanities', which aligns with the Western notion of Humanities.

3. Academic conventions in Megrelian: Given the influence of Russian and Georgian on Megrelian, particularly in academic contexts, I employed a combination of loanwords and native vocabulary to create an equivalent term that maintains the original meaning and connotation.
""
}",2026-04-07T01:28:37.206415Z,stop,276.0,10389894500.0,[],80505792.0,llama3.1,135.0,397336083.0,10945209167.0,,,,2026-04-07 02:28:37,True,,True,,True,,False,"To translate 'Digital Humanities' into Megrelian, I considered the following factors:

1. Scholarly accuracy: The term 'საინფორმაციო' is a direct borrowing from Russian 'информационный', which means 'informational'. This is fitting for Digital Humanities, as it encompasses the intersection of information technology and humanities.

2. Cultural equivalence: Megrelian is an East Georgian Kartvelian language with its own distinct culture and linguistic features. The term 'ხელოვნება' (khelovneba) corresponds to the concept of 'art' or 'humanities', which aligns with the Western notion of Humanities.

3. Academic conventions in Megrelian: Given the influence of Russian and Georgian on Megrelian, particularly in academic contexts, I employed a combination of loanwords and native vocabulary to create an equivalent term that maintains the original meaning and connotation.
"
xal,Kalmyk,Digital Humanities,Ишлэм хүреш,"{
  ""translated_term"": ""Ишлэм хүреш"",
  ""translation_rationale"": ""The term \""Digital Humanities\"" is translated as \""Ишлэм хүреш\"", where:
  - \""Ишлэм\"" (ishl'em) comes from the Mongolian root \""ish\"" meaning 'new' or 'digital', and the suffix \""-l'em\"" indicating a process or action, equivalent to the English term \""digitally\"";
  - \""хүреш\"" (khu'resh) is derived from the Kalmyk word for 'humanity' or 'culture', similar in meaning to the Latin-derived English term \""humanities\"".
  In this combination, \""Ишлэм хүреш\"" conveys the idea of a new, digital approach to studying and understanding human culture, making it an accurate and culturally equivalent translation of the term \""Digital Humanities\"".""
}",2026-04-07T01:28:24.235628Z,stop,197.0,8659080034.0,[],81435500.0,llama3.1,135.0,387755792.0,9187030709.0,,,,2026-04-07 02:28:24,True,,True,,True,,False,"The term ""Digital Humanities"" is translated as ""Ишлэм хүреш"", where:
  - ""Ишлэм"" (ishl'em) comes from the Mongolian root ""ish"" meaning 'new' or 'digital', and the suffix ""-l'em"" indicating a process or action, equivalent to the English term ""digitally"";
  - ""хүреш"" (khu'resh) is derived from the Kalmyk word for 'humanity' or 'culture', similar in meaning to the Latin-derived English term ""humanities"".
  In this combination, ""Ишлэм хүреш"" conveys the idea of a new, digital approach to studying and understanding human culture, making it an accurate and culturally equivalent translation of the term ""Digital Humanities""."
war,Waray / Samar-Leyte Visayan,Digital Humanities,Mga Dakit sa Digital,"{
  ""translated_term"": ""Mga Dakit sa Digital"",
  ""translation_rationale"": 
    ""In translating the term 'Digital Humanities' into Waray / Samar-Leyte Visayan, I considered scholarly accuracy by ensuring that the translation conveys the essence of the discipline. The prefix 'Digital' is translated as 'Dakit', which means digital or electronic in the local language, to emphasize the field's focus on technology and digital methods.

    The second part, 'Humanities', is translated as 'Mga Dakit', a direct adaptation of the English term, but with a cultural twist. In Waray / Samar-Leyte Visayan, 'dakit' can also mean a way or method of doing something, which aligns with the humanities' focus on critical thinking and humanistic inquiry.

    To ensure cultural equivalence, I chose words that are commonly used in academic settings and resonate with local values. The translation 'Mga Dakit sa Digital' reflects the Waray / Samar-Leyte Visayan affinity for using inclusive pronouns and grammatical structures to convey a sense of community and shared knowledge.

    In terms of academic conventions, I adhered to the standard Waray / Samar-Leyte Visayan grammar rules and vocabulary usage to ensure that the translation is easily understandable by local scholars and students. The translation also maintains the original's technical nuance, making it suitable for academic purposes.""
}",2026-04-07T01:28:13.022723Z,stop,291.0,13269513665.0,[],81524542.0,llama3.1,155.0,421155000.0,13856047417.0,,,,2026-04-07 02:28:13,False,Digital nga Katawhan,True,,True,,False,"In translating the term 'Digital Humanities' into Waray / Samar-Leyte Visayan, I considered scholarly accuracy by ensuring that the translation conveys the essence of the discipline. The prefix 'Digital' is translated as 'Dakit', which means digital or electronic in the local language, to emphasize the field's focus on technology and digital methods.

    The second part, 'Humanities', is translated as 'Mga Dakit', a direct adaptation of the English term, but with a cultural twist. In Waray / Samar-Leyte Visayan, 'dakit' can also mean a way or method of doing something, which aligns with the humanities' focus on critical thinking and humanistic inquiry.

    To ensure cultural equivalence, I chose words that are commonly used in academic settings and resonate with local values. The translation 'Mga Dakit sa Digital' reflects the Waray / Samar-Leyte Visayan affinity for using inclusive pronouns and grammatical structures to convey a sense of community and shared knowledge.

    In terms of academic conventions, I adhered to the standard Waray / Samar-Leyte Visayan grammar rules and vocabulary usage to ensure that the translation is easily understandable by local scholars and students. The translation also maintains the original's technical nuance, making it suitable for academic purposes."
vls,West Flemish,Digital Humanities,Digitaal Humaniora,"{
  ""translated_term"": ""Digitaal Humaniora"",
  ""translation_rationale"": ""I translated the term 'Digital Humanities' into West Flemish as 'Digitaal Humaniora'. I considered scholarly accuracy by following standard academic conventions in Dutch, which is closely related to West Flemish. The prefix 'digitaal' was used to convey the digital aspect of the field, and 'humaniora' was retained from Latin to maintain equivalence with the original term's roots. This translation ensures that the West Flemish version accurately conveys the intersection of technology and humanities.""
}",2026-04-07T01:27:57.140411Z,stop,122.0,5197799460.0,[],82130709.0,llama3.1,135.0,377459041.0,5692563250.0,,,,2026-04-07 02:27:57,True,,True,,True,,False,"I translated the term 'Digital Humanities' into West Flemish as 'Digitaal Humaniora'. I considered scholarly accuracy by following standard academic conventions in Dutch, which is closely related to West Flemish. The prefix 'digitaal' was used to convey the digital aspect of the field, and 'humaniora' was retained from Latin to maintain equivalence with the original term's roots. This translation ensures that the West Flemish version accurately conveys the intersection of technology and humanities."
vec,Venetian,Digital Humanities,Umanità Digitale,"{
  ""translated_term"": ""Umanità Digitale"",
  ""translation_rationale"": ""The term 'Umanità Digitale' is a direct and accurate translation of the English phrase 'Digital Humanities'. In Venetian, 'umanità' means humanities or humanistic studies, while 'digitale' refers to digital technologies. This choice reflects scholarly accuracy and cultural equivalence, as it preserves the original meaning and connotation of the term in both languages.
  To ensure academic conventions are followed, I have chosen a term that is consistent with established terminology used in Venetian language publications and scholarly discussions related to Digital Humanities.
  The translation 'Umanità Digitale' also reflects the cultural context of the Venetian language, which has a rich tradition of literary and humanistic studies dating back to the Renaissance."" 
}",2026-04-07T01:27:49.421146Z,stop,170.0,7443471000.0,[],78904708.0,llama3.1,134.0,356000500.0,7930144250.0,,,,2026-04-07 02:27:49,False,Siense umane digitałi,True,,True,,False,"The term 'Umanità Digitale' is a direct and accurate translation of the English phrase 'Digital Humanities'. In Venetian, 'umanità' means humanities or humanistic studies, while 'digitale' refers to digital technologies. This choice reflects scholarly accuracy and cultural equivalence, as it preserves the original meaning and connotation of the term in both languages.
  To ensure academic conventions are followed, I have chosen a term that is consistent with established terminology used in Venetian language publications and scholarly discussions related to Digital Humanities.
  The translation 'Umanità Digitale' also reflects the cultural context of the Venetian language, which has a rich tradition of literary and humanistic studies dating back to the Renaissance."
uz_AF,Uzbeki Afghanistan,Digital Humanities,Elektronik Ilm va San'at,"{
  ""translated_term"": ""Elektronik Ilm va San'at"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Uzbeki Afghanistan as \""Elektronik Ilm va San'at\"". 
  This choice is guided by the following considerations:
1. Scholarly accuracy: I used a direct and accurate translation of each word in the term, maintaining its original meaning.
2. Cultural equivalence: The term 'Digital Humanities' encompasses both digital technologies and humanistic studies. In Uzbeki Afghanistan, \""Elektronik\"" (electronic) is commonly used to describe digital technology, while \""Ilm va San'at\"" (knowledge and art) captures the essence of humanities disciplines. This combination conveys the intended meaning.
3. Academic conventions in Uzbeki Afghanistan: In academic contexts, Uzbeki Afghanistan uses Latin script for many technical terms, especially those related to modern concepts like 'digital'. However, it's also common to see Uzbeki words adapted into Latin script or used alongside native script. Given this flexibility, I opted for a combination of Latin and native script to convey the term accurately.""
}",2026-04-07T01:27:39.462267Z,stop,234.0,10983238370.0,[],84766500.0,llama3.1,135.0,373119125.0,11510989875.0,,,,2026-04-07 02:27:39,True,,True,,True,,False,"I translated 'Digital Humanities' into Uzbeki Afghanistan as ""Elektronik Ilm va San'at"". 
  This choice is guided by the following considerations:
1. Scholarly accuracy: I used a direct and accurate translation of each word in the term, maintaining its original meaning.
2. Cultural equivalence: The term 'Digital Humanities' encompasses both digital technologies and humanistic studies. In Uzbeki Afghanistan, ""Elektronik"" (electronic) is commonly used to describe digital technology, while ""Ilm va San'at"" (knowledge and art) captures the essence of humanities disciplines. This combination conveys the intended meaning.
3. Academic conventions in Uzbeki Afghanistan: In academic contexts, Uzbeki Afghanistan uses Latin script for many technical terms, especially those related to modern concepts like 'digital'. However, it's also common to see Uzbeki words adapted into Latin script or used alongside native script. Given this flexibility, I opted for a combination of Latin and native script to convey the term accurately."
udm,Udmurt,Digital Humanities,Digital'läjim härtsevändä,"{
  ""translated_term"": ""Digital'läjim härtsevändä"",
  ""translation_rationale"": 
    ""I have translated the term 'Digital Humanities' into Udmurt by breaking it down into its constituent parts. 'Digital' is rendered as 'läjim', which conveys the idea of digital technology in a way that is both familiar and equivalent to modern usage. The concept of 'humanities' is adapted into Udmurt as 'härtsevändä', drawing on roots associated with human knowledge, culture, and intellectual pursuits. This combination effectively communicates the essence of Digital Humanities in a culturally sensitive manner.""
}",2026-04-07T01:27:25.928336Z,stop,136.0,4153707749.0,[],75939458.0,llama3.1,135.0,383031292.0,4659776500.0,,,,2026-04-07 02:27:25,False,Цифровой гуманитарной наукаос,True,,True,,False,"I have translated the term 'Digital Humanities' into Udmurt by breaking it down into its constituent parts. 'Digital' is rendered as 'läjim', which conveys the idea of digital technology in a way that is both familiar and equivalent to modern usage. The concept of 'humanities' is adapted into Udmurt as 'härtsevändä', drawing on roots associated with human knowledge, culture, and intellectual pursuits. This combination effectively communicates the essence of Digital Humanities in a culturally sensitive manner."
