language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
aa,Humanities Data Science,Sehdaytiino oytih misso,Afar,2025-05-31 21:15:56,,
pa,Humanities Data Science,ਮਾਨਵਤਾ ਡੇਟਾ ਵਿਗਿਆਨ,"Panjabi, Punjabi",2025-05-31 21:15:56,,
sa,Humanities Data Science,मानविकी आँकड़ा विज्ञान,Sanskrit (Saṁskṛta),2025-05-31 21:15:56,,
nr,Humanities Data Science,Isayensi yedatha yezobuntu,South Ndebele,2025-05-31 21:15:56,,
nv,Humanities Data Science,,"Navajo, Navaho",2025-05-31 21:15:56,,
ny,Humanities Data Science,Humanities Data Science,Chichewa; Chewa; Nyanja,2025-05-31 21:15:56,,
oc,Humanities Data Science,Sciéncia de las donadas de las sciéncias umanas,Occitan,2025-05-31 21:15:56,,
oj,Humanities Data Science,,"Ojibwe, Ojibwa",2025-05-31 21:15:56,,
om,Humanities Data Science,Saayinsii Daataa Saayinsii Namoomaa,Oromo,2025-05-31 21:15:56,,
or,Humanities Data Science,ମାନବିକତା ତଥ୍ୟ ବିଜ୍ଞାନ,Oriya,2025-05-31 21:15:56,,
os,Humanities Data Science,Гуманитарон наукæты бæрæггæнæнты наукæ,"Ossetian, Ossetic",2025-05-31 21:15:56,,
pl,Humanities Data Science,Nauki humanistyczne Nauka o danych,Polish,2025-05-31 21:15:56,,
pi,Humanities Data Science,,Pāli,2025-05-31 21:15:56,,
lg,Humanities Data Science,Sayansi wa Data ey’eby’obuntubulamu,Luganda,2025-05-31 21:15:56,,
ps,Humanities Data Science,د بشري علومو د معلوماتو ساینس,"Pashto, Pushto",2025-05-31 21:15:56,,
pt,Humanities Data Science,Ciência de Dados em Humanidades,Portuguese,2025-05-31 21:15:56,,
qu,Humanities Data Science,Runa yachaykunamanta Willakuy yachay,Quechua,2025-05-31 21:15:56,,
rm,Humanities Data Science,,Romansh,2025-05-31 21:15:56,,
rn,Humanities Data Science,Ubuhinga bw&#39;amakuru y&#39;abantu,Kirundi,2025-05-31 21:15:56,,
ro,Humanities Data Science,Știința datelor umaniste,"Romanian, Moldavan",2025-05-31 21:15:56,,
ru,Humanities Data Science,Гуманитарные науки Наука о данных,Russian,2025-05-31 21:15:56,,
rw,Humanities Data Science,Ubumenyamuntu Ubumenyi,Kinyarwanda,2025-05-31 21:15:56,,
no,Humanities Data Science,Humanistisk datavitenskap,Norwegian,2025-05-31 21:15:56,,
nn,Humanities Data Science,,Norwegian Nynorsk,2025-05-31 21:15:56,,
nl,Humanities Data Science,Geesteswetenschappen Datawetenschap,Dutch,2025-05-31 21:15:56,,
ne,Humanities Data Science,मानविकी डेटा विज्ञान,Nepali,2025-05-31 21:15:56,,
ng,Humanities Data Science,,Ndonga,2025-05-31 21:15:56,,
ln,Humanities Data Science,Sciences humaines Science ya ba données,Lingala,2025-05-31 21:15:56,,
lo,Humanities Data Science,ວິທະຍາສາດຂໍ້ມູນມະນຸດສະທໍາ,Lao,2025-05-31 21:15:56,,
lt,Humanities Data Science,Humanitarinių mokslų duomenų mokslas,Lithuanian,2025-05-31 21:15:56,,
lu,Humanities Data Science,,Luba-Katanga,2025-05-31 21:15:56,,
lv,Humanities Data Science,Humanitāro zinātņu datu zinātne,Latvian,2025-05-31 21:15:56,,
mg,Humanities Data Science,Humanities Data Science,Malagasy,2025-05-31 21:15:56,,
mh,Humanities Data Science,Humanities Data Science,Marshallese,2025-05-31 21:15:56,,
mi,Humanities Data Science,Pūtaiao Raraunga Tangata,Māori,2025-05-31 21:15:56,,
ml,Humanities Data Science,ഹ്യുമാനിറ്റീസ് ഡാറ്റ സയൻസ്,Malayalam,2025-05-31 21:15:56,,
li,Humanities Data Science,Geesteswetensjappe Dataweitesjap,Limburgish,2025-05-31 21:15:56,,
mn,Humanities Data Science,Хүмүүнлэгийн ухааны мэдээллийн шинжлэх ухаан,Mongolian,2025-05-31 21:15:56,,
mr,Humanities Data Science,मानव्यशास्त्र डेटा विज्ञान,Marathi (Marāṭhī),2025-05-31 21:15:56,,
ms,Humanities Data Science,Sains Data Kemanusiaan,Malay,2025-05-31 21:15:56,,
mt,Humanities Data Science,Xjenza tad-Dejta dwar l-Umanitajiet,Maltese,2025-05-31 21:15:56,,
my,Humanities Data Science,လူသားပညာ ဒေတာသိပ္ပံ,Burmese,2025-05-31 21:15:56,,
na,Humanities Data Science,,Nauru,2025-05-31 21:15:56,,
nb,Humanities Data Science,Humanistisk datavitenskap,Norwegian Bokmål,2025-05-31 21:15:56,,
nd,Humanities Data Science,,North Ndebele,2025-05-31 21:15:56,,
sc,Humanities Data Science,,Sardinian,2025-05-31 21:15:56,,
sd,Humanities Data Science,هيومنٽيز ڊيٽا سائنس,Sindhi,2025-05-31 21:15:56,,
se,Humanities Data Science,Humanisttalaš diehtodieđa,Northern Sami,2025-05-31 21:15:56,,
tn,Humanities Data Science,Saense ya Tshedimosetso ya Botho,Tswana,2025-05-31 21:15:56,,
tr,Humanities Data Science,Beşeri Bilimler Veri Bilimi,Turkish,2025-05-31 21:15:56,,
ts,Humanities Data Science,Sayense ya Data ya Vutivi bya Vanhu,Tsonga,2025-05-31 21:15:56,,
tt,Humanities Data Science,Гуманитар мәгълүматлар,Tatar,2025-05-31 21:15:56,,
tw,Humanities Data Science,Nnipa ho nimdeɛ Data Nyansahu,Twi,2025-05-31 21:15:56,,
ty,Humanities Data Science,Te mau haamaramaramaraa no ni&#39;a i te taata,Tahitian,2025-05-31 21:15:56,,
