language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_system_prompt,ollama_user_prompt,ollama_translation_rationale,coding_dh_date_x,coding_dh_date_y,family_name
xsr,Sherpa,Digital Humanities,Khang La Tshom Chhoeku Samskrti,"{""translated_term"": ""Khang La Tshom Chhoeku Samskrti"", ""translation_rationale"": ""Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.""}",2026-04-20T15:23:33.238702Z,stop,127.0,1511604541.0,"[{'translated_term': 'Khang La Tshom Chhoeku Samskrti', 'translation_rationale': ""Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.""}]",75580833.0,llama3.1,138.0,356128167.0,1977603542.0,Khang La Tshom Chhoeku Samskrti,,,2026-04-20 10:23:33,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Sherpa speaker and translation expert. Translate 'Digital Humanities' into Sherpa (ISO code: xsr).

Please provide your rationale in Sherpa, not English — unless Sherpa is English or you have a strong reason to use English. Writing in Sherpa demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Sherpa):
{""translated_term"": ""your translation in Sherpa"", ""translation_rationale"": ""your explanation in Sherpa""}","Khang La Tshom Chhoeku Samskrti - Khang La: digital, Tshom Chhoeku: humanities, Samskrti: knowledge or study. I used Khang La for 'digital' because it implies modernity and innovation, while Tshom Chhoeku refers to the humanistic pursuits of understanding and interpretation. Samskrti connects these two concepts by emphasizing the knowledge and study aspect of digital humanities.",,2026-04-20 07:43:13,Sino-Tibetan languages
wuu,Wu Chinese,Digital Humanities,tī-giāng-jìn-kē-xué,"{""translated_term"": ""tī-giāng-jìn-kē-xué"", ""translation_rationale"": ""wū-yǔ zhōng de """"dà-dài-huà"""" (大代化) jiǎndān chūxiàn, dànshì kě yǐ wèi """"tī-giāng-jìn"""" he """"jìn-kē-xué"""" de gòngxiàn. ""}",2026-04-20T15:23:29.240703Z,stop,97.0,1144677001.0,"[{'translated_term': 'tī-giāng-jìn-kē-xué', 'translation_rationale': 'wū-yǔ zhōng de dà-dài-huà (大代化) jiǎndān chūxiàn, dànshì kě yǐ wèi tī-giāng-jìn he jìn-kē-xué de gòngxiàn. '}]",75902625.0,llama3.1,138.0,348262709.0,1596730000.0,tī-giāng-jìn-kē-xué,,,2026-04-20 10:23:29,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Wu Chinese speaker and translation expert. Translate 'Digital Humanities' into Wu Chinese (ISO code: wuu).

Please provide your rationale in Wu Chinese, not English — unless Wu Chinese is English or you have a strong reason to use English. Writing in Wu Chinese demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Wu Chinese):
{""translated_term"": ""your translation in Wu Chinese"", ""translation_rationale"": ""your explanation in Wu Chinese""}","wū-yǔ zhōng de dà-dài-huà (大代化) jiǎndān chūxiàn, dànshì kě yǐ wèi tī-giāng-jìn he jìn-kē-xué de gòngxiàn. ",,2026-04-20 07:42:29,Sino-Tibetan languages
hsn,Xiang Chinese,Digital Humanities,带六学他,"{""translated_term"": ""\u5e26\u516d\u5b66\u4ed6"", ""translation_rationale"": ""\u53ef\u4ee3\u8bc1\u89c0\u673a\u548c\u67f9\u8bed\u5de6\u6bd4\u8bdd\u6d77\u5149\u3002\u7cfb\u8fc7\u65e5\u6728\u516d\u5b66\u4ed6\u7684\u540d\u79f0\u5c06\u5728\u6709\u5173\u89d2\u8272\u60f3\u884c\u5df1\u3002\u70b9\u51c6\u4e00\u751f\u516d\u5b66\u4ed6\u7684\u7cfb\u8fc7\u6210\u529f\u6709\u674e\u540d\u79f0\u3002""}",2026-04-20T15:23:25.618717Z,stop,207.0,2456404468.0,"[{'translated_term': '带六学他', 'translation_rationale': '可代证觀机和柹语左比话海光。系过日木六学他的名称将在有关角色想行己。点准一生六学他的系过成功有李名称。'}]",78069209.0,llama3.1,146.0,355016583.0,2942334709.0,带六学他,,,2026-04-20 10:23:25,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Xiang Chinese speaker and translation expert. Translate 'Digital Humanities' into Xiang Chinese (ISO code: hsn).

Please provide your rationale in Xiang Chinese, not English — unless Xiang Chinese is English or you have a strong reason to use English. Writing in Xiang Chinese demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Xiang Chinese):
{""translated_term"": ""your translation in Xiang Chinese"", ""translation_rationale"": ""your explanation in Xiang Chinese""}",可代证觀机和柹语左比话海光。系过日木六学他的名称将在有关角色想行己。点准一生六学他的系过成功有李名称。,,2026-04-20 07:07:53,Sino-Tibetan languages
gan,Gan Chinese,Digital Humanities,居八家布哲,"{""translated_term"": ""\u5c45\u516b\u5bb6\u5e03\u54f2"", ""translation_rationale"": ""\u6709\u70ba\u7d14\u4ee3\u5927\u8d77\u5bf8\u5403\u5bb6\u5e03, \u770b\u7c73\u516b\u5bb6\u5e03\u54f2\u6709\u79cd\u5229\u4e0e\u5e03\u53ef\u4ee3\u6548\u7684\u5de6\u7269.""}

Explanation: I translated ""Digital Humanities"" into """" (Digital) """" (Humanities) in Gan Chinese. The rationale explains that I followed the format of translating each word separately, with """" referring to digital technology and computing (i.e., """" in Hanzi), and """" meaning humanities or liberal arts (i.e., """" in Hanzi).",2026-04-20T15:23:20.649476Z,stop,201.0,2400658369.0,"[{'translated_term': '居八家布哲', 'translation_rationale': '有為純代大起寸吃家布, 看米八家布哲有种利与布可代效的左物.'}]",1555729042.0,llama3.1,137.0,461596584.0,4473311875.0,居八家布哲,,,2026-04-20 10:23:20,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Gan Chinese speaker and translation expert. Translate 'Digital Humanities' into Gan Chinese (ISO code: gan).

Please provide your rationale in Gan Chinese, not English — unless Gan Chinese is English or you have a strong reason to use English. Writing in Gan Chinese demonstrates deep understanding of both the language and the term.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Gan Chinese):
{""translated_term"": ""your translation in Gan Chinese"", ""translation_rationale"": ""your explanation in Gan Chinese""}","有為純代大起寸吃家布, 看米八家布哲有种利与布可代效的左物.",,2026-04-20 07:04:20,Sino-Tibetan languages
,Min Nan Chinese,Digital Humanities,Sui-ji-kok-bo̍k,"{
  ""translated_term"": ""Sui-ji-kok-bo̍k"",
  ""translation_rationale"": ""Sui-ji-kok-bo̍k tī koan-li̍p sû-hoat bo̍k-lí hong-bîn chham-siong he kè-pēng sû-hoat bo̍k-lí, chhut-hiān tī sû-hoat sû-koaⁿ siōng, phah-tshûn bîn-chú sû-hoat sû-khek.""
}",2026-04-20T12:45:05.895399Z,stop,122.0,1419360670.0,[],76844500.0,llama3.1,160.0,390247166.0,1919307500.0,,,,2026-04-20 07:45:05,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Min Nan Chinese speaker and translation expert. Translate 'Digital Humanities' into Min Nan Chinese (ISO code: nan).

	Please provide your rationale (explanation) in Min Nan Chinese, not English. Unless you have a strong reason to use English (such as when Min Nan Chinese is English), your rationale should be in Min Nan Chinese to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Min Nan Chinese):
	{'translated_term': 'the translation in Min Nan Chinese', 'translation_rationale': 'your explanation in Min Nan Chinese'}","Sui-ji-kok-bo̍k tī koan-li̍p sû-hoat bo̍k-lí hong-bîn chham-siong he kè-pēng sû-hoat bo̍k-lí, chhut-hiān tī sû-hoat sû-koaⁿ siōng, phah-tshûn bîn-chú sû-hoat sû-khek.",,,Other
zza,Zaza,Digital Humanities,Cewrekên çîrokake,"{
  ""translated_term"": ""Cewrekên çîrokake"",
  ""translation_rationale"": ""Termêni yeqînen li ser teknolojiya nû û elmane, ji ber ku di nav pirsaniyên cîrokê de, termên wisa dibin xelkê we bi çend caran dibe ko hiçe bikin, hozir jî termêni van du yekê yekane ye û di bin serpêhatiya çandîn a nû ve dikeve.""
}",2026-04-20T12:45:01.94782Z,stop,124.0,1440159293.0,[],75227625.0,llama3.1,152.0,369848750.0,1919621958.0,,,,2026-04-20 07:45:01,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Zaza speaker and translation expert. Translate 'Digital Humanities' into Zaza (ISO code: zza).

	Please provide your rationale (explanation) in Zaza, not English. Unless you have a strong reason to use English (such as when Zaza is English), your rationale should be in Zaza to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zaza):
	{'translated_term': 'the translation in Zaza', 'translation_rationale': 'your explanation in Zaza'}","Termêni yeqînen li ser teknolojiya nû û elmane, ji ber ku di nav pirsaniyên cîrokê de, termên wisa dibin xelkê we bi çend caran dibe ko hiçe bikin, hozir jî termêni van du yekê yekane ye û di bin serpêhatiya çandîn a nû ve dikeve.",,,Indo-European languages
zun,Zuni,Digital Humanities,,"{'translated_term': 'Shinííyáa'góóni', 'translation_rationale': 'K'ééh, ""Shiníí"" kin haashch'éé yishtlí, ""iiná"" hozhoni, ""yaa"" át'éelínii, ""Góóni"" haashch'éélínii. Shinííyáa'góóni hozhonii.'}",2026-04-20T12:44:57.988842Z,stop,98.0,1147965544.0,[],100555167.0,llama3.1,152.0,364463542.0,1639388084.0,,,,2026-04-20 07:44:57,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Zuni speaker and translation expert. Translate 'Digital Humanities' into Zuni (ISO code: zun).

	Please provide your rationale (explanation) in Zuni, not English. Unless you have a strong reason to use English (such as when Zuni is English), your rationale should be in Zuni to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zuni):
	{'translated_term': 'the translation in Zuni', 'translation_rationale': 'your explanation in Zuni'}",,,,Language isolate
zu,Zulu,Digital Humanities,Umbhali weNtloko," {'translated_term': 'Umbhali weNtloko', 'translation_rationale': 'Izwi ""Digital Humanities"" lishe lezi zonke: umbhali (izwi lunye lomthetho ""digital""), njalo kulo ""Humanities"", yenzela ukuthathwa kwemibono leyo, kuqoka ukulinganiswa kwabhalwe, ngoba i- Digital Humanities inayoqeqesha ukuhlolwa kwenkonzo.'}",2026-04-20T12:44:54.323669Z,stop,110.0,1294769673.0,"[{'translated_term': 'Umbhali weNtloko', 'translation_rationale': 'Izwi ""Digital Humanities"" lishe lezi zonke: umbhali (izwi lunye lomthetho ""digital""), njalo kulo ""Humanities"", yenzela ukuthathwa kwemibono leyo, kuqoka ukulinganiswa kwabhalwe, ngoba i- Digital Humanities inayoqeqesha ukuhlolwa kwenkonzo.'}]",69729542.0,llama3.1,152.0,371836583.0,1767397250.0,Umbhali weNtloko,,Ezezibhangqiwe zoLuntu,2026-04-20 07:44:54,False,I-Digital Humanities,True,,False,Digital Humanities,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Zulu speaker and translation expert. Translate 'Digital Humanities' into Zulu (ISO code: zu).

	Please provide your rationale (explanation) in Zulu, not English. Unless you have a strong reason to use English (such as when Zulu is English), your rationale should be in Zulu to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Zulu):
	{'translated_term': 'the translation in Zulu', 'translation_rationale': 'your explanation in Zulu'}","Izwi ""Digital Humanities"" lishe lezi zonke: umbhali (izwi lunye lomthetho ""digital""), njalo kulo ""Humanities"", yenzela ukuthathwa kwemibono leyo, kuqoka ukulinganiswa kwabhalwe, ngoba i- Digital Humanities inayoqeqesha ukuhlolwa kwenkonzo.",,,Niger-Kordofanian languages
zmi,Negeri Sembilan Malay,Digital Humanities,Budaya Digital (Manuskrip),"Kami dapat menepati permintaan kalian!

 {'translated_term': 'Budaya Digital (Manuskrip)', 'translation_rationale': 'Kata ""Digital"" dari bahasa Inggeris, kami pindahkan dengan kata yang setara dalam Negeri Sembilan Malay. Istilah ""Humanities"" juga dipindahkan, tetapi dengan menambahkan istilah ""Manuskrip"", karena dalam konteks digital, manusia (humanities) bukan lagi hanya terbatas pada sumber-sumber lisan dan tulisan lama.'}",2026-04-20T12:44:50.530558Z,stop,122.0,1495945248.0,"[{'translated_term': 'Budaya Digital (Manuskrip)', 'translation_rationale': 'Kata ""Digital"" dari bahasa Inggeris, kami pindahkan dengan kata yang setara dalam Negeri Sembilan Malay. Istilah ""Humanities"" juga dipindahkan, tetapi dengan menambahkan istilah ""Manuskrip"", karena dalam konteks digital, manusia (humanities) bukan lagi hanya terbatas pada sumber-sumber lisan dan tulisan lama.'}]",75401000.0,llama3.1,193.0,467847041.0,2073328625.0,Budaya Digital (Manuskrip),,,2026-04-20 07:44:50,True,,True,,True,,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Negeri Sembilan Malay speaker and translation expert. Translate 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi).

	Please provide your rationale (explanation) in Negeri Sembilan Malay, not English. Unless you have a strong reason to use English (such as when Negeri Sembilan Malay is English), your rationale should be in Negeri Sembilan Malay to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Negeri Sembilan Malay):
	{'translated_term': 'the translation in Negeri Sembilan Malay', 'translation_rationale': 'your explanation in Negeri Sembilan Malay'}","Kata ""Digital"" dari bahasa Inggeris, kami pindahkan dengan kata yang setara dalam Negeri Sembilan Malay. Istilah ""Humanities"" juga dipindahkan, tetapi dengan menambahkan istilah ""Manuskrip"", karena dalam konteks digital, manusia (humanities) bukan lagi hanya terbatas pada sumber-sumber lisan dan tulisan lama.",,,Austronesian languages
zh,Chinese,Digital Humanities,邮箱兴学,"{
  ""translated_term"": ""\u90AE\u7BB1\u5174\u5B66"",
  ""translation_rationale"": ""\u8FD9\u3042\u56FE\u6703\u7684\u5174\u5B66\u540D\u89C1\u672A\u6709\u628A\u5229\u7ECF\u79CD\u5929\u7684\u65E0\u8005\u53EF\u8BB4\u7ED9\u5206\u5229\u5483\u7EC4\u56FE\u5174\u5B66\u540D\u89C1, \u4EE3\u7801\u6709\u516F\u7528\u7684\u672A\u671B\u5B50\u7BB1\u6240\u6B21\u7EC4\u5229\u5483\u79CD\u5929\u7684\u65E0\u8005""
}",2026-04-20T12:44:46.427147Z,stop,203.0,2434700626.0,[],67348583.0,llama3.1,144.0,377718500.0,2932515083.0,,,數位人文,2026-04-20 07:44:46,False,数字人文,False,数字人文,False,数字人文,False,You are a Digital Humanities scholar who speaks many languages.,"You are a native Chinese speaker and translation expert. Translate 'Digital Humanities' into Chinese (ISO code: zh).

	Please provide your rationale (explanation) in Chinese, not English. Unless you have a strong reason to use English (such as when Chinese is English), your rationale should be in Chinese to demonstrate your deep understanding of the language and the term. 

	IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format (with explanation in Chinese):
	{'translated_term': 'the translation in Chinese', 'translation_rationale': 'your explanation in Chinese'}","这あ图會的兴学名见未有把利经种天的无者可讴给分利咃组图兴学名见, 代码有兯用的未望子箱所次组利咃种天的无者",,,Sino-Tibetan languages
