service,variant,category,n_error_rows,n_languages,possible_cells,error_rows_per_attempt,error_languages_per_attempt
OpenAI,minimal,max_tokens,0,0,881,0.0,0.0
OpenAI,minimal,api_error,0,0,881,0.0,0.0
OpenAI,minimal,empty_translation,0,0,881,0.0,0.0
OpenAI,minimal,ollama_timeout,0,0,881,0.0,0.0
OpenAI,minimal,extinct_ancient,5,5,881,0.0056753688989784334,0.0056753688989784334
OpenAI,minimal,knowledge_gap,43,43,881,0.04880817253121453,0.04880817253121453
OpenAI,minimal,generic_refusal,40,40,881,0.04540295119182747,0.04540295119182747
OpenAI,minimal,repetition_loop,2,2,881,0.0022701475595913734,0.0022701475595913734
OpenAI,minimal,parse_format,0,0,881,0.0,0.0
OpenAI,minimal,other,0,0,881,0.0,0.0
OpenAI,minimal,unknown,0,0,881,0.0,0.0
OpenAI,fluent_speaker,max_tokens,0,0,881,0.0,0.0
OpenAI,fluent_speaker,api_error,0,0,881,0.0,0.0
OpenAI,fluent_speaker,empty_translation,0,0,881,0.0,0.0
OpenAI,fluent_speaker,ollama_timeout,0,0,881,0.0,0.0
OpenAI,fluent_speaker,extinct_ancient,11,11,881,0.012485811577752554,0.012485811577752554
OpenAI,fluent_speaker,knowledge_gap,42,42,881,0.04767309875141884,0.04767309875141884
OpenAI,fluent_speaker,generic_refusal,75,75,881,0.0851305334846765,0.0851305334846765
OpenAI,fluent_speaker,repetition_loop,3,3,881,0.00340522133938706,0.00340522133938706
OpenAI,fluent_speaker,parse_format,0,0,881,0.0,0.0
OpenAI,fluent_speaker,other,0,0,881,0.0,0.0
OpenAI,fluent_speaker,unknown,0,0,881,0.0,0.0
OpenAI,github_searcher,max_tokens,0,0,881,0.0,0.0
OpenAI,github_searcher,api_error,0,0,881,0.0,0.0
OpenAI,github_searcher,empty_translation,0,0,881,0.0,0.0
OpenAI,github_searcher,ollama_timeout,0,0,881,0.0,0.0
OpenAI,github_searcher,extinct_ancient,2,2,881,0.0022701475595913734,0.0022701475595913734
OpenAI,github_searcher,knowledge_gap,1,1,881,0.0011350737797956867,0.0011350737797956867
OpenAI,github_searcher,generic_refusal,0,0,881,0.0,0.0
OpenAI,github_searcher,repetition_loop,8,8,881,0.009080590238365494,0.009080590238365494
OpenAI,github_searcher,parse_format,0,0,881,0.0,0.0
OpenAI,github_searcher,other,0,0,881,0.0,0.0
OpenAI,github_searcher,unknown,0,0,881,0.0,0.0
OpenAI,judge,max_tokens,0,0,881,0.0,0.0
OpenAI,judge,api_error,0,0,881,0.0,0.0
OpenAI,judge,empty_translation,0,0,881,0.0,0.0
OpenAI,judge,ollama_timeout,0,0,881,0.0,0.0
OpenAI,judge,extinct_ancient,0,0,881,0.0,0.0
OpenAI,judge,knowledge_gap,0,0,881,0.0,0.0
OpenAI,judge,generic_refusal,0,0,881,0.0,0.0
OpenAI,judge,repetition_loop,0,0,881,0.0,0.0
OpenAI,judge,parse_format,0,0,881,0.0,0.0
OpenAI,judge,other,0,0,881,0.0,0.0
OpenAI,judge,unknown,0,0,881,0.0,0.0
Claude,minimal,max_tokens,0,0,881,0.0,0.0
Claude,minimal,api_error,0,0,881,0.0,0.0
Claude,minimal,empty_translation,0,0,881,0.0,0.0
Claude,minimal,ollama_timeout,0,0,881,0.0,0.0
Claude,minimal,extinct_ancient,0,0,881,0.0,0.0
Claude,minimal,knowledge_gap,0,0,881,0.0,0.0
Claude,minimal,generic_refusal,0,0,881,0.0,0.0
Claude,minimal,repetition_loop,0,0,881,0.0,0.0
Claude,minimal,parse_format,0,0,881,0.0,0.0
Claude,minimal,other,0,0,881,0.0,0.0
Claude,minimal,unknown,0,0,881,0.0,0.0
Claude,fluent_speaker,max_tokens,0,0,881,0.0,0.0
Claude,fluent_speaker,api_error,0,0,881,0.0,0.0
Claude,fluent_speaker,empty_translation,0,0,881,0.0,0.0
Claude,fluent_speaker,ollama_timeout,0,0,881,0.0,0.0
Claude,fluent_speaker,extinct_ancient,0,0,881,0.0,0.0
Claude,fluent_speaker,knowledge_gap,0,0,881,0.0,0.0
Claude,fluent_speaker,generic_refusal,0,0,881,0.0,0.0
Claude,fluent_speaker,repetition_loop,0,0,881,0.0,0.0
Claude,fluent_speaker,parse_format,0,0,881,0.0,0.0
Claude,fluent_speaker,other,0,0,881,0.0,0.0
Claude,fluent_speaker,unknown,0,0,881,0.0,0.0
Claude,github_searcher,max_tokens,0,0,881,0.0,0.0
Claude,github_searcher,api_error,0,0,881,0.0,0.0
Claude,github_searcher,empty_translation,0,0,881,0.0,0.0
Claude,github_searcher,ollama_timeout,0,0,881,0.0,0.0
Claude,github_searcher,extinct_ancient,1,1,881,0.0011350737797956867,0.0011350737797956867
