language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translation_rationale
zh-yue,Cantonese,Digital Humanities,dak bit gai,"{
  ""translated_term"": ""dak bit gai"" ,
  ""translation_rationale"": ""In Cantonese, \u3000'dak' (\u5316) means digital, and \u3000'bit gai' (\u5e73\u79c1) refers to humanities. This translation preserves the technical precision of Digital Humanities by using \u3000'dak' to convey its digital aspect, while using \u3000'gai' (\u79c1) to refer to humanistic studies.""
}",2026-04-07T07:24:08.283653Z,stop,113.0,3907188747.0,[],78601666.0,llama3.1,134.0,367147542.0,4384306958.0,,,,2026-04-07 08:24:08,False,數碼人文,True,,True,,False,"In Cantonese, 　'dak' (化) means digital, and 　'bit gai' (平私) refers to humanities. This translation preserves the technical precision of Digital Humanities by using 　'dak' to convey its digital aspect, while using 　'gai' (私) to refer to humanistic studies."
zh-min-nan,Minnan,Digital Humanities,\[chûi-sèk-tâi kŭan-hòa̍k\],"{
  ""translated_term"": ""\[chûi-sèk-tâi kŭan-hòa̍k\]"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese \u5e73\u53d1, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (\u4ec0\u6c17) with the suffix '-hòa̍k', indicating a field of study or academic discipline.""
}",2026-04-07T07:24:01.873555Z,stop,152.0,5392196460.0,[],75292542.0,llama3.1,135.0,385719833.0,5901487625.0,,,,2026-04-07 08:24:01,True,,True,,True,,False,"I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese 平发, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (什気) with the suffix '-hòa̍k', indicating a field of study or academic discipline."
xmf,Megrelian,Digital Humanities,Txaltek'itxa digitali,"{
  ""translated_term"": ""Txaltek'itxa digitali"",
  ""translation_rationale"": ""I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing.""
}",2026-04-07T07:23:53.950888Z,stop,75.0,1705283119.0,[],69972375.0,llama3.1,135.0,373378334.0,2169468375.0,,,,2026-04-07 08:23:53,True,,True,,True,,False,"I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing."
xal,Kalmyk,Digital Humanities,Khölömii khöltüül,"{
  ""translated_term"": ""Khölömii khöltüül"",
  ""translation_rationale"": 
    ""The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context.""
}",2026-04-07T07:23:49.76472Z,stop,96.0,3104695962.0,[],82077250.0,llama3.1,135.0,389439000.0,3603097833.0,,,,2026-04-07 08:23:49,True,,True,,True,,False,"The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context."
war,Waray / Samar-Leyte Visayan,Digital Humanities,Humanidades Digital,"{
  ""translated_term"": ""Humanidades Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance.""
}",2026-04-07T07:23:44.137242Z,stop,91.0,2983630372.0,[],83378333.0,llama3.1,148.0,359669625.0,3453227250.0,,,,2026-04-07 08:23:44,False,Digital nga Katawhan,True,,True,,False,"The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance."
vls,West Flemish,Digital Humanities,Digitale Geesteswetenschappen,"{
  ""translated_term"": ""Digitale Geesteswetenschappen"",
  ""translation_rationale"": ""I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept.""
}",2026-04-07T07:23:38.661881Z,stop,105.0,3741295831.0,[],81004375.0,llama3.1,135.0,394732333.0,4248229500.0,,,,2026-04-07 08:23:38,True,,True,,True,,False,"I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept."
vec,Venetian,Digital Humanities,Umanità Digitali,"{
  ""translated_term"": ""Umanità Digitali"",
  ""translation_rationale"": ""I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term.""
}",2026-04-07T07:23:32.382407Z,stop,71.0,1171688625.0,[],71479083.0,llama3.1,134.0,373996542.0,1636389083.0,,,,2026-04-07 08:23:32,False,Siense umane digitałi,True,,True,,False,"I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term."
uz_AF,Uzbeki Afghanistan,Digital Humanities,Digital Ilm-fan,"{
  ""translated_term"": ""Digital Ilm-fan"",
  ""translation_rationale"": ""In Uzbeki Afghanistan, I have used \""Ilm-fan\"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix \""Digital\"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use.""
}",2026-04-07T07:23:28.731204Z,stop,110.0,3768881292.0,[],68702125.0,llama3.1,135.0,362387458.0,4232542584.0,,,,2026-04-07 08:23:28,True,,True,,True,,False,"In Uzbeki Afghanistan, I have used ""Ilm-fan"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix ""Digital"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use."
udm,Udmurt,Digital Humanities,Džigitalläižine filologii,"{
  ""translated_term"": ""Džigitalläižine filologii"",
  ""translation_rationale"": ""I used \""Džigitall\"" to adapt the digital prefix, which is a loanword from Russian. In Udmurt, the suffix \""-läižine\"" indicates a connection to or specialization in something (e.g., läižine fizika = physics). This choice conveys the technical precision and disciplinary significance of the field.""
}",2026-04-07T07:23:22.475502Z,stop,96.0,3126627035.0,[],82901500.0,llama3.1,135.0,361455042.0,3598840834.0,,,,2026-04-07 08:23:22,False,Цифровой гуманитарной наукаос,True,,True,,False,"I used ""Džigitall"" to adapt the digital prefix, which is a loanword from Russian. In Udmurt, the suffix ""-läižine"" indicates a connection to or specialization in something (e.g., läižine fizika = physics). This choice conveys the technical precision and disciplinary significance of the field."
tum,Tumbuka,Digital Humanities,Muunganisho wa Digital,"{
  ""translated_term"": ""Muunganisho wa Digital"",
  ""translation_rationale"": ""I translated 'Digital Humanities' to Muunganisho wa Digital, combining the Tumbuka prefix 'mu-,' which indicates a field of study or academic discipline (e.g., muunganisho wa daktari = medical field), with the word 'digital' and the term for humanities (wanjananijenga). This translation aims to preserve the technical precision and disciplinary significance of the original term.""
}",2026-04-07T07:23:16.853863Z,stop,106.0,3555888791.0,[],82278500.0,llama3.1,134.0,361604167.0,4030802666.0,,,,2026-04-07 08:23:16,False,Ŵanthu ŵa pa intaneti,True,,True,,False,"I translated 'Digital Humanities' to Muunganisho wa Digital, combining the Tumbuka prefix 'mu-,' which indicates a field of study or academic discipline (e.g., muunganisho wa daktari = medical field), with the word 'digital' and the term for humanities (wanjananijenga). This translation aims to preserve the technical precision and disciplinary significance of the original term."
