language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
aa,Afar,Afro-Asiatic languages,Digital Humanities,False,5,0.1688,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 3; construction signals: 1,False,Claude:borrowed; Claude:borrowing; Gemini:loanword,OpenAI:combining,,5,5,19,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'Dijitaal' (digital, borrowed from English/Arabic influences) and 'Insinaanuh' (knowledge/humanities), following Afar's pattern of incorporating modern technical terms through borrowing while using native terms for abstract concepts.","Combining 'Humaanitiyo' for 'Humanities' and 'Digitaala' for 'Digital', based on similar vocabulary usage in related languages.","Afar lacks a direct equivalent for 'humanities'. 'Diigital' is a loanword for 'digital'. 'Baaxaa' means 'knowledge' or 'learning', which is the closest conceptual fit for the academic field of humanities, emphasizing the study and understanding of human culture and thought.","A combination of 'digital' and 'humanities', implying the intersection of digital technology with humanities fields such as literature, history, and culture.","{'Google Translate': 'Xiyitaal Sehdaytiino', 'OpenAI': 'Humaanitiyo Digitaala', 'Claude': 'Dijitaal Insinaanuh', 'Gemini': 'Diigital Baaxaa', 'Ollama': 'Bilbiladha Aadamit'}"
ab,Abkhaz,Caucasian languages,Digital Humanities,False,5,0.1899,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 0; construction signals: 4; script disagreement: Cyrillic+Georgian,False,,Claude:compound; Claude:combining; Claude:formation; Gemini:construct,,5,5,31,True,"['Cyrillic', 'Georgian']","[('Google Translate', 'Cyrillic'), ('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('Ollama', 'Georgian')]",Google Translate:Cyrillic; OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; Ollama:Georgian,"Compound term combining 'Цифрақәа' (digital/numerical) with 'Хуманитарқәа' (humanities) and 'Анаплгеира' (sciences/studies), following Abkhaz word formation patterns for academic disciplines.","The translated term captures 'digital' as 'Ацифкрашәа' (digital/computer-related) and 'humanities' as 'агәыӷраҿы' (humanities/arts), reflecting a focus on digital methods in humanities research.","The translation combines 'Ацифра' (digital), 'Агуманитартә' (humanities, adjectival form), and 'ҭҵарадырра' (studies/science/discipline). This construction is common for academic fields in Abkhaz.",Combination of Abkhazian words for 'digital' (დიჯი) and 'science/humanities' (მეცნიერება),"{'Google Translate': 'Ацифратә гуманитартә ҵарақәа', 'OpenAI': 'Ацифкрашәа агәыӷраҿы', 'Claude': 'Цифрақәа Хуманитарқәа Анаплгеира', 'Gemini': 'Ацифра Агуманитартә ҭҵарадырра', 'Ollama': 'დიჯიტალური მეცნიერება'}"
abq,Abaza,Caucasian languages,Digital Humanities,False,4,0.1933,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 4; script disagreement: Arabic+Cyrillic,False,OpenAI:borrowing,Claude:compound; Claude:combining; Gemini:formation; Ollama:combining,,4,4,28,True,"['Arabic', 'Cyrillic']","[('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('Ollama', 'Arabic')]",OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; Ollama:Arabic,"Abaza translation combining 'цифра' (digital) with 'гуманитар ҭылаӡқәа' (humanitarian sciences/humanities), following Abaza grammatical structure for compound academic terms","In Abaza, 'digital' can be translated as 'цифралтә' which relates to numerical or digital systems, and 'humanities' translates to 'гуманитартә нрацьхыл', which encompasses the study of human culture and society, directly borrowing from Russian influences due to linguistic and cultural proximity.","This translation combines 'Акъымчӏара' (digital/information) and 'гуманитарлъа' (humanities). 'Акъымчӏара' is a common way to express 'digital' or 'information technology' in Abaza, often derived from 'акъым' (mind/intellect) and 'чӏара' (tool/technology). 'Гуманитарлъа' directly translates to 'huma","Combining Abaza words 'فةڤ' (digital), 'خعونيدث' (humanities)","{'OpenAI': 'цифралтә гуманитартә нрацьхыл', 'Claude': 'Цифра гуманитар ҭылаӡқәа', 'Gemini': 'Акъымчӏара-гуманитарлъа', 'Ollama': 'فةڤېۇە خعونيدث،'}"
abr,Abron,Niger-Kordofanian languages,Digital Humanities,False,4,0.1788,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 3,False,,Claude:compound; Claude:combining; Ollama:combining,,4,4,48,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Compound term combining 'nɔmba' (numbers/digital/technology) and 'adesua' (knowledge/learning/humanities), following Abron language structure for modern academic concepts","In Abron, 'digitâlɛ' corresponds to the technological or digital aspect, while 'ɛsiaŋyɛnyɛ' encompasses the study of human culture and society, which relates to humanities.","Abron lacks a direct equivalent for 'digital humanities'. This translation combines 'nwoma kasa' (literature/written word) and 'abakɔsɛm' (history/heritage) with 'a wɔde kɔmputa yɛ' (that which is done with a computer), aiming to capture the interdisciplinary nature and technological aspect.","Combining 'Digital' (Fahuma) with 'Humanities' (Klassa tɛ), the Abron language equivalent for Digital Humanities is a combination of words for 'modern/new technology' and 'classics/arts', respectively.","{'OpenAI': 'Nkwasɛm Nkɔmputasɛyɛmu', 'Claude': 'Nɔmba ne adesua', 'Gemini': 'Nwoma-nimdee Kasa-foforɔ ne Nsɛm-kyerɛw-nimdee a Ɛfa Kɔmputa Ho', 'Ollama': 'Fahuma na Klassa tɛ'}"
ace,Acehnese,Austronesian languages,Digital Humanities,False,5,0.2204,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 4; services with data: 5,True,Claude:loanword; OpenAI:borrowed; Gemini:borrowed; Gemini:loanword,Claude:combining; Ollama:combining; Ollama:prefix,,4,4,13,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,Direct translation combining 'Ilmu Kemanusiaan' (Humanities/Human Sciences) with 'Digital' (adopted loanword commonly used in Acehnese for digital technology),"In Acehnese, 'Humaniora' refers to the humanities or humanistic studies and is often used similarly to Indonesian, while 'Digital' is a borrowed term from English, commonly used in its original form for anything related to digital or electronic communications.","Acehnese, like many other languages, often adopts loanwords for modern technical or academic terms. 'Digital' is directly borrowed, and 'Humaniora' is the standard Indonesian term for 'Humanities', which is widely understood and used in Acehnese academic contexts due to the strong influence of Indon","Combining Acehnese words for 'manusia' (human) and 'dibadani' (displayed, presented), with the prefix 'digital'.","{'Google Translate': 'Kemanusiaan Digital', 'OpenAI': 'Humaniora Digital', 'Claude': 'Ilmu Kemanusiaan Digital', 'Gemini': 'Humaniora Digital', 'Ollama': 'Manusia Dibadani Digital'}"
ach,Acoli,Nilo-Saharan languages,Digital Humanities,False,5,0.239,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 0; services with data: 5,True,,Claude:combining; Gemini:combining; Ollama:combining,,5,5,32,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Acoli translation combining 'ngec me komputa' (digital/computer knowledge) with 'gin ma dhano otimo' (things of humanity/human activities), reflecting the interdisciplinary nature of Digital Humanities","Digital Humanities is translated into Acoli by describing the field as 'the study of human culture facilitated by computers', hence the term 'Kwaŋ umati ma yer me kompyuta'.","Acoli does not have a direct equivalent for 'Digital Humanities'. 'Jamiro me Komputer' translates to 'Computer things/affairs' or 'Digital matters', and 'ki Piny Man' means 'and the Human World' or 'and Humanity'. This phrase attempts to capture the interdisciplinary nature of the field, combining d","Combining 'ako' (digital) and 'longeelo' (humanities) to convey the concept, with a slight modification to fit Acoli grammar and syntax.","{'Google Translate': 'Digital Humanities', 'OpenAI': 'Kwaŋ umati ma yer me kompyuta', 'Claude': 'Ngec me Komputa pi Gin ma Dhano Otimo', 'Gemini': 'Jamiro me Komputer ki Piny Man', 'Ollama': ""Akolongeelo w'okulabika""}"
ada,Adangme,Niger-Kordofanian languages,Digital Humanities,False,4,0.0957,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 4,True,Claude:borrowed; OpenAI:borrowed,,,3,3,17,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'Dijitaal' (digital, borrowed term) with 'Nimɔ Dede' (knowledge/learning about human affairs), reflecting the interdisciplinary study of humanities using digital tools","Certain modern technical terms may not have direct translations in Adangme and are often borrowed or remain in their original form. Thus, 'Digital Humanities' can be used directly in discussions among speakers.","Adangme, like many African languages, often adopts technical and academic terms directly from English or other dominant languages when a precise indigenous equivalent doesn't exist or would be overly complex. 'Digital Humanities' is a relatively new and specialized field. A direct translation would ",No rationale provided,"{'OpenAI': 'Digital Humanities', 'Claude': 'Dijitaal Nimɔ Dede', 'Gemini': 'Digital Humanities', 'Ollama': 'Mmara Mfinimfin kasa'}"
ady,Adyghe,Caucasian languages,Digital Humanities,False,4,0.1399,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 2; construction signals: 2,False,Claude:borrowed; OpenAI:no direct,Claude:compound; Claude:combining,,4,4,27,False,['Cyrillic'],"[('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('Ollama', 'Cyrillic')]",OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; Ollama:Cyrillic,"Direct translation combining 'цифрэ' (digital/numeric), 'гуманитар' (humanities, borrowed from Russian as is standard for academic terms), and 'ешIэпIэхэр' (sciences/studies, plural form). This follows Adyghe linguistic patterns for compound academic terminology.","The term 'Цифрэлъхьэнымэ' is used to denote 'digital' in Adyghe, and 'гуманитар' relates to the concept of 'humanities' since there is no direct Adyghe term for 'Humanities'. The phrase is structured to convey the idea of humanities in relation to digital technology.","This translates literally as 'Digital humanitarian sciences'. 'Цифрлы' means digital, 'гуманитар' means humanitarian, and 'щӏэныгъэхэр' means sciences (plural). This is the most direct and accurate translation reflecting the field's nature in Adyghe.",Derived from Russian 'Дисциплина ,"{'OpenAI': 'Цифрэлъхьэнымэ еплъым я гуманитар', 'Claude': 'Цифрэ гуманитар ешIэпIэхэр', 'Gemini': 'Цифрлы гуманитар щӏэныгъэхэр', 'Ollama': 'Гуманитарӏык цхьанццал'}"
ae,Avestan,Indo-European languages,Digital Humanities,False,4,0.2388,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 4; script disagreement: Latin+Other,False,Ollama:loanword,Claude:compound; Claude:construct; OpenAI:ancient; Gemini:compound,,4,4,26,True,"['Latin', 'Other']","[('OpenAI', 'Other'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Other; Claude:Latin; Gemini:Latin; Ollama:Latin,"Constructed using Avestan 'anguhišta' (finger/digit, related to counting/digital) and 'hūnaraiiā' (skills/arts/humanities). This follows Avestan nominal compound patterns to express the modern concept of Digital Humanities.",The term 'Digital Humanities' is translated into Avestan by understanding the concept of 'digital' as 'related to numbers or calculations' and 'humanities' as 'pertaining to human culture or refinement.' The Avestan script used here represents an effort to fit modern concepts into an ancient languag,"Avestan lacks direct equivalents for 'digital' or 'humanities'. 'Daēnā-' refers to 'worldview, religion, conscience, inner self', encompassing the intellectual and cultural aspects of 'humanities'. 'Vāčā-' means 'word, speech, utterance', which can be extended to 'text' or 'discourse', representing ","Avestan translation of 'Digital Humanities' using the most common and accepted methods for translating loanwords in Avestan. Dīgānaka (digital) is derived from dīga- (digit-) and anaka- (number), while Humānyai is a calque of humanites, taking into account the grammatical and phonological rules of A","{'OpenAI': '𐬛𐬀𐬭𐬌𐬬𐬉𐬙𐬌𐬨𐬵𐬀𐬥𐬙𐬀𐬃 𐬟𐬀𐬙𐬋𐬤𐬙𐬀𐬯𐬘𐬀', 'Claude': 'angušta-dātā-mąθra', 'Gemini': 'daēnā- vāčā-', 'Ollama': 'Dīgānaka Humānyai'}"
aeb,Tunisian Arabic,Afro-Asiatic languages,Digital Humanities,False,4,0.2572,TRANSMOGRIFICATION,No Wikipedia; 2 distinct outputs; absence signals: 1; construction signals: 2,False,OpenAI:loanword,OpenAI:combining; Ollama:root word,,2,2,9,False,['Arabic'],"[('OpenAI', 'Arabic'), ('Claude', 'Arabic'), ('Gemini', 'Arabic'), ('Ollama', 'Arabic')]",OpenAI:Arabic; Claude:Arabic; Gemini:Arabic; Ollama:Arabic,"Direct translation of 'Digital Humanities' into Tunisian Arabic, using 'العلوم الإنسانية' (humanities/human sciences) and 'الرقمية' (digital), which is the standard term used in Arabic academic contexts including Tunisia.","The translation captures the essence of combining humanistic disciplines with digital technology, using terms familiar in modern Tunisian Arabic, aligning with the language's contemporary use of Arabic script for loanwords and advanced concepts.","This is a direct and accurate translation. 'الإنسانيات' (al-insāniyyāt) means 'humanities' and 'الرقمية' (ar-raqmiyya) means 'digital'. This term is widely understood and used in academic and technical contexts across the Arab world, including Tunisia.","The term 'Digital Humanities' has been translated into Tunisian Arabic, using a combination of root words to convey the meaning. The word 'بشرية' (bshrjia) comes from the French word 'humanités', while 'رقمية' (rigmiya) is derived from the English word 'digital'. This translation aims to preserve th","{'OpenAI': 'العلوم الإنسانية الرقمية', 'Claude': 'العلوم الإنسانية الرقمية', 'Gemini': 'الإنسانيات الرقمية', 'Ollama': 'العلوم الإنسانية الرقمية'}"
