language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
ae,Public History,,Avestan,,,,,,,,2025-05-31 21:15:56
no,Public History,Offentlig historie,Norwegian,122.0,1740717698.0,stop,gpt-4o-2024-08-06,104.0,226.0,"The term ""Public History"" refers to the practice of history by and for the public, often involving collaboration with communities, audiences outside academia, and public institutions. The word ""Offentlig"" accurately captures the concept of ""public"" in Norwegian, which implies that it is accessible to or intended for the population at large. ""Historie"" directly translates to ""history,"" retaining the subject focus of the field. Therefore, ""Offentlig historie"" is an appropriate and clear translation that conveys the intended meaning of the English term.",2025-05-31 21:15:56
ms,Public History,Sejarah Awam,Malay,137.0,1740716839.0,stop,gpt-4o-2024-08-06,105.0,242.0,"The term ""Public History"" refers to a field of study and practice that deals with history intended for the public audience, often engaging them directly or interpreting history for their benefit. The translation ""Sejarah Awam"" effectively conveys this concept in Malay. ""Sejarah"" means ""history,"" and ""Awam"" means ""public,"" which together encapsulate the idea of history that is made accessible, interactive, or relevant to the general public. This aligns with both the literal meaning and the essence of ""Public History."" Therefore, ""Sejarah Awam"" is an appropriate and accurate translation.",2025-05-31 21:15:56
mt,Public History,Storja Pubblika,Maltese,104.0,1740716852.0,stop,gpt-4o-2024-08-06,124.0,228.0,"The term 'Public History' is translated into Maltese as 'Storja Pubblika' which directly reflects its meaning. 'Storja' means 'History', and 'Pubblika' means 'Public'. This translation is straightforward and effectively conveys the concept of history that is accessible or pertains to the public at large. There is no need for modification as this translation accurately represents the intended concept without any loss of meaning.",2025-05-31 21:15:56
my,Public History,အများပြည်သူသမိုင်း,Burmese,165.0,1740714336.0,stop,gpt-4o-2024-08-06,109.0,274.0,"The term ""Public History"" refers to history as it is practiced and presented outside of traditional academic settings, often engaging with the public in accessible and relevant ways. ""လူထုသမိုင်း"" directly translates to ""public"" (လူထု) and ""history"" (သမိုင်း), which captures the sense of history being related to the public. However, ""အများပြည်သူ"" specifically emphasizes the idea of the broader public or community, which aligns well with the concept of Public History being history done with a public audience in mind. Thus, the term ""အများပြည်သူသမိုင်း"" should effectively convey the intended concept of Public History in Burmese.",2025-05-31 21:15:56
na,Public History,Ewak Epoa,Nauru,105.0,1740717004.0,stop,gpt-4o-2024-08-06,81.0,186.0,"The term ""Public History"" can be translated into Nauru as ""Ewak Epoa"" by breaking down the components of the term. ""Ewak"" refers to something that is public or communal, and ""Epoa"" means history. This translation ensures that the concept reflects the idea of history being accessible and relevant to the general public or community, appropriate to the context in Nauruan culture and language.",2025-05-31 21:15:56
nb,Public History,Offentlig historie,Norwegian Bokmål,130.0,1740717326.0,stop,gpt-4o-2024-08-06,120.0,250.0,"The term ""Offentlig historie"" is a suitable translation for ""Public History"" in Norwegian Bokmål. The word ""Offentlig"" directly translates to ""Public,"" indicating something that is open or available to the general population. The word ""historie"" translates to ""history,"" reflecting the discipline dedicated to studying and interpreting past events. This terminology is also consistent with the translations provided by both the Google Translate API and the Ollama API, which indicates a consensus in understanding and translating this concept. Therefore, there is no need for modification or refinement in this context.",2025-05-31 21:15:56
nd,Public History,Imbali Yabantu Esidlangaleni,North Ndebele,114.0,1740717476.0,stop,gpt-4o-2024-08-06,117.0,231.0,"The term 'Public History' refers to history as it is presented or engaged with by the general populace outside of academic environments. In North Ndebele, 'Imbali' means history, 'Yabantu' refers to 'of the people', and 'Esidlangaleni' means 'in the public' or 'openly'. This translation captures the essence of Public History: making historical knowledge accessible and engaging to the public.",2025-05-31 21:15:56
ng,Public History,Ondjokonona,Ndonga,165.0,1740717522.0,stop,gpt-4o-2024-08-06,137.0,302.0,"The term 'Ondjokonona' is selected as it effectively captures the essence of 'Public History' within the linguistic and cultural context of Ndonga. 'Ondjokonona' suggests a notion of storytelling or narrating, which aligns with the core idea of public history as an accessible sharing and interpretation of historical narratives with the broader public. This translation maintains the sense of history being communicated and interacted with by non-academic audiences, which aligns well with the principles of public history. The alternative translation 'ǂóɚiǃɔ ǁua Ŋɛǵo' appears more complex and less intuitive for conveying the meaning in Ndonga, making 'Ondjokonona' a more fitting choice.",2025-05-31 21:15:56
nl,Public History,Publieke geschiedenis,Dutch,128.0,1740714963.0,stop,gpt-4o-2024-08-06,130.0,258.0,"The term ""Publieke geschiedenis"" is the most widely used translation for ""Public History"" in Dutch. It reflects the notion of history being accessible and relevant to the public. ""Publieke"" refers to the audience being the general public, which aligns well with the intention of public history to engage and communicate with a broader audience outside academic settings. The alternative ""openbare geschiedenis"" suggests a more open or available history, but ""publieke"" better captures the active engagement aspect of the field. Therefore, ""Publieke geschiedenis"" is the preferred term.",2025-05-31 21:15:56
nn,Public History,Allmenn historie,Norwegian Nynorsk,97.0,1740717545.0,stop,gpt-4o-2024-08-06,111.0,208.0,"The term ""Folkehistorie"" could imply a history specifically about the people or folklore, which can be limiting compared to the broader scope of ""Public History"". ""Allmenn historie"" conveys the inclusivity and accessibility aspect of Public History, focusing on history presented to or created by the general public. This choice reflects the intent of Public History to engage the wider community with historical scholarship and interpretation.",2025-05-31 21:15:56
nr,Public History,Umlando Lomphakathi,South Ndebele,123.0,1740717930.0,stop,gpt-4o-2024-08-06,128.0,251.0,"The term ""Umlando Lomphakathi"" closely aligns with the concept of Public History, where ""Umlando"" refers to ""history"" and ""Lomphakathi"" captures the notion of ""of the public/community"". This translation properly reflects the practice of Public History, which involves the engagement and collaboration with the community or public in understanding and presenting historical narratives. This phrase maintains the integrity of the original concept by combining ""umlindo"" (history) with an appropriate descriptor of the public aspect involved.",2025-05-31 21:15:56
kj,Public History,Ondjokonona yovandinakutumwalela,"Kwanyama, Kuanyama",108.0,1740716659.0,stop,gpt-4o-2024-08-06,125.0,233.0,"The term ""Public History"" can be broken down into components that convey the idea of presenting or sharing history with the public. ""Ondjokonona"" refers to an explanation or narration. ""Yovandinakutumwalela"" relates to showing or communicating to people. This translation captures the essence of making history accessible and engaging for the general public, emphasizing the communal and participatory aspect of public history initiatives.",2025-05-31 21:15:56
ny,Public History,Mbiri ya Anthu,Chichewa; Chewa; Nyanja,143.0,1740714408.0,stop,gpt-4o-2024-08-06,156.0,299.0,"The term ""Public History"" refers to the practice of history that is engaged with the public and often involves presenting or interpreting history outside of traditional academic contexts. ""Mbiri"" means history, and ""ya Anthu"" means of the people, which together capture the essence of Public History as history for the public or by the people. This translation emphasizes accessibility and engagement with the community, which aligns well with the goals of Public History. The other suggestions, such as ""Mbiri Yambiri"" and ""Mphambo Ndebe Ndipo,"" are less clear in conveying the direct connection to public engagement with history.",2025-05-31 21:15:56
