service,variant,possible_cells,parsed_translations,missing_translation_cells,logged_error_rows,logged_error_languages,parsed_translation_rate,missing_translation_rate,logged_error_language_rate
OpenAI,minimal,881,797,84,90,90,0.9046538024971623,0.09534619750283768,0.1021566401816118
Claude,minimal,881,881,0,0,0,1.0,0.0,0.0
Gemini,minimal,881,846,35,40,40,0.960272417707151,0.039727582292849034,0.04540295119182747
DeepSeek,minimal,881,868,13,17,17,0.985244040862656,0.014755959137343927,0.019296254256526674
Llama,minimal,881,787,94,94,94,0.8933030646992054,0.10669693530079455,0.10669693530079455
Gemma,minimal,881,865,16,16,16,0.981838819523269,0.018161180476730987,0.018161180476730987
Qwen,minimal,881,875,6,4,4,0.9931895573212258,0.00681044267877412,0.004540295119182747
Mistral,minimal,881,829,52,52,52,0.9409761634506243,0.05902383654937571,0.05902383654937571
OpenAI,fluent_speaker,881,631,250,131,131,0.7162315550510783,0.28376844494892167,0.14869466515323496
Claude,fluent_speaker,881,881,0,0,0,1.0,0.0,0.0
Gemini,fluent_speaker,881,865,16,10,10,0.981838819523269,0.018161180476730987,0.011350737797956867
DeepSeek,fluent_speaker,881,879,2,2,2,0.9977298524404086,0.0022701475595913734,0.0022701475595913734
Llama,fluent_speaker,881,877,4,4,4,0.9954597048808173,0.004540295119182747,0.004540295119182747
Gemma,fluent_speaker,881,880,1,1,1,0.9988649262202043,0.0011350737797956867,0.0011350737797956867
Qwen,fluent_speaker,881,881,0,0,0,1.0,0.0,0.0
Mistral,fluent_speaker,881,881,0,0,0,1.0,0.0,0.0
OpenAI,github_searcher,881,869,12,11,11,0.9863791146424518,0.01362088535754824,0.012485811577752554
Claude,github_searcher,881,880,1,1,1,0.9988649262202043,0.0011350737797956867,0.0011350737797956867
Gemini,github_searcher,881,848,33,23,23,0.9625425652667423,0.03745743473325766,0.026106696935300794
DeepSeek,github_searcher,881,875,6,6,6,0.9931895573212258,0.00681044267877412,0.00681044267877412
Llama,github_searcher,881,786,95,87,87,0.8921679909194098,0.10783200908059024,0.09875141884222474
Gemma,github_searcher,881,874,7,7,7,0.9920544835414302,0.007945516458569807,0.007945516458569807
Qwen,github_searcher,881,880,1,1,1,0.9988649262202043,0.0011350737797956867,0.0011350737797956867
Mistral,github_searcher,881,881,0,0,0,1.0,0.0,0.0
OpenAI,judge,881,881,0,0,0,1.0,0.0,0.0
Claude,judge,881,881,0,0,0,1.0,0.0,0.0
Gemini,judge,881,869,12,14,12,0.9863791146424518,0.01362088535754824,0.01362088535754824
DeepSeek,judge,881,881,0,0,0,1.0,0.0,0.0
Llama,judge,881,878,3,3,3,0.996594778660613,0.00340522133938706,0.00340522133938706
Gemma,judge,881,881,0,0,0,1.0,0.0,0.0
Qwen,judge,881,881,0,0,0,1.0,0.0,0.0
Mistral,judge,881,881,0,0,0,1.0,0.0,0.0
