language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_openai,term,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
zh-yue,Cantonese,Digital Humanities,數碼人文學,56.0,1775520519.0,stop,gpt-4o-2024-08-06,71.0,127.0,"The term '數碼' refers to 'digital', and '人文學' means 'humanities'. Together, they accurately reflect the concept of 'Digital Humanities' in Cantonese.",,False,,2026-04-07 01:08:40,,False,數碼人文,False,,False,,False,"{
  ""translated_term"": ""\ud598\u5e38\u4fca\u7ed9"",
  ""translation_rationale"": ""Cantonese translation of 'Digital Humanities'""
}",llama3.1,2026-04-07T00:04:49.989473Z,907235500.0,84602083.0,75.0,341919375.0,40.0,467970749.0,stop,햘常俊给,Cantonese translation of 'Digital Humanities',[],
zh-tw,Traditional Chinese,Digital Humanities,數位人文,50.0,1775520517.0,stop,gpt-4o-2024-08-06,71.0,121.0,"In Traditional Chinese, '數位' means 'digital' and '人文' means 'humanities'. This translation is widely accepted in academic and professional contexts.",,False,,2026-04-07 01:08:38,,False,數位人文,False,,False,數位人文,False,"{
  ""translated_term"": ""\u56FD\u6D77\u5173\u5B66"",
  ""translation_rationale"": ""Combining \u56FD (digital) and \u5173\u5B66 (humanities)""
}",llama3.1,2026-04-07T00:04:47.062457Z,1079729625.0,77677833.0,74.0,348697667.0,53.0,637256626.0,stop,国海关学,Combining 国 (digital) and 关学 (humanities),[],
zh-min-nan,Minnan,Digital Humanities,數位人文,83.0,1775520515.0,stop,gpt-4o-2024-08-06,72.0,155.0,"The term 'Digital Humanities' is translated into Minnan as '數位人文', where '數位' refers to 'digital' and '人文' refers to 'humanities'. This translation is consistent with the usage in Minnan where technical and academic terms often draw from Mandarin.",,False,,2026-04-07 01:08:36,,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": """"
}",llama3.1,2026-04-07T00:04:43.966022Z,618139709.0,87854084.0,76.0,351697083.0,16.0,172892290.0,stop,,,[],
zh-classical,Classical Chinese,Digital Humanities,數字人文,76.0,1775520512.0,stop,gpt-4o-2024-08-06,71.0,147.0,"The term '數字' refers to 'digital,' incorporating the idea of numeracy and computation, while '人文' refers to 'humanities,' encompassing literature, philosophy, and cultural studies, which aligns with the concept of Digital Humanities in merging technology and cultural scholarship.",,False,,2026-04-07 01:08:33,,False,,False,,False,,False,"{
  ""translated_term"": """" ( Zhì shù rénwén xué "",
  ""translation_rationale"": "" Digital Humanities is translated as "" ( Zhì shù rénwén xué "", combining the term for ""digital"" from """" and the concept of humanistic studies """" with a modifier indicating a specific field or domain""
}",llama3.1,2026-04-07T00:04:41.32802Z,1479608666.0,83579291.0,75.0,338826083.0,71.0,1036638627.0,stop,, Digital Humanities is translated as ,[],
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარული მეცნიერებები,97.0,1775520509.0,stop,gpt-4o-2024-08-06,71.0,168.0,"The term 'Digital Humanities' is translated by using 'ციფრული', which means 'digital', and 'ჰუმანიტარული მეცნიერებები', which corresponds to 'humanities disciplines'. This translation adapts the concept to the context in Megrelian as there might not be a direct equivalent in the language without using loanwords.",,False,,2026-04-07 01:08:31,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Megrelian language has limited digital presence and translations, I couldn't find a reliable source for the term 'Digital Humanities'. However, I can suggest a possible equivalent in Megrelian: "", ""translation_note"": ""The term is derived from the concept of \""digitali ხალისათუეb"" which combines the idea of digital technology with the concept of human knowledge and culture, similar to the original English term.""}",llama3.1,2026-04-07T00:04:37.829235Z,3079855250.0,81931750.0,75.0,341006584.0,112.0,2623164747.0,stop,,"Megrelian language has limited digital presence and translations, I couldn't find a reliable source for the term 'Digital Humanities'. However, I can suggest a possible equivalent in Megrelian: ",[],
xal,Kalmyk,Digital Humanities,Цахим Энэрстийн Ажиялан,84.0,1775520507.0,stop,gpt-4o-2024-08-06,70.0,154.0,"The translation into Kalmyk involves using 'Цахим' for 'Digital' and 'Энэрстийн Ажиялан' to capture the essence of 'Humanities'. This maintains the context of dealing with cultural, historical, and social aspects through digital means.",,False,,2026-04-07 01:08:28,,False,,False,,False,,False,"{
""translated_term"": ""Aglɨyq humaniti"",
""translation_rationale"": ""Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti)""
}",llama3.1,2026-04-07T00:04:32.729624Z,1063201042.0,80071709.0,75.0,373377334.0,50.0,594493087.0,stop,Aglɨyq humaniti,Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti),[],
war,Waray / Samar-Leyte Visayan,Digital Humanities,Diyitál nga Humanidades,58.0,1775520504.0,stop,gpt-4o-2024-08-06,77.0,135.0,"Waray language often borrows terms directly from English, especially in academic and technical fields, and 'humanidades' is a widely accepted translation of 'humanities'.",,False,,2026-04-07 01:08:25,,False,Digital nga Katawhan,False,,False,,False,"{
""translated_term"": ""Digidal na Kasaysayan"",
""translation_rationale"": ""Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan'""
}",llama3.1,2026-04-07T00:04:29.649469Z,1169525333.0,82466166.0,81.0,374174500.0,57.0,695198912.0,stop,Digidal na Kasaysayan,Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan',[],
vls,West Flemish,Digital Humanities,Digitale Geesteswetenschappen,78.0,1775520502.0,stop,gpt-4o-2024-08-06,71.0,149.0,"The term 'Digital Humanities' is translated into West Flemish as 'Digitale Geesteswetenschappen', similar to the standard Dutch translation, as West Flemish is a dialectal variant of Dutch. This translation maintains the meaning and context of the original term.",,False,,2026-04-07 01:08:23,,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Menskunde"",
  ""translation_rationale"": ""The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.""
}",llama3.1,2026-04-07T00:04:26.459349Z,1112231333.0,79877208.0,75.0,349249292.0,55.0,666456003.0,stop,Digitale Menskunde,"The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.",[],
vec,Venetian,Digital Humanities,Humanità Digitai,64.0,1775520499.0,stop,gpt-4o-2024-08-06,68.0,132.0,The term 'Digital Humanities' is translated into Venetian by using 'Humanità' for 'Humanities' and 'Digitai' for 'Digital'. This translation respects the structure of Venetian and conveys the same meaning.,,False,,2026-04-07 01:08:20,,False,Siense umane digitałi,False,,False,,False,"{
  ""translated_term"": ""Umànità Digitél"",
  ""translation_rationale"": ""Transliteration from Italian 'Umanità Digitale'""
}",llama3.1,2026-04-07T00:04:23.326763Z,863327417.0,80725334.0,74.0,359557208.0,35.0,412549206.0,stop,Umànità Digitél,Transliteration from Italian 'Umanità Digitale',[],
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar Fanlar,88.0,1775520496.0,stop,gpt-4o-2024-08-06,71.0,159.0,"This translation captures the concept of 'Digital Humanities' as a field that integrates digital technology and humanities scholarship in Uzbeki Afghanistan. 'Raqamli' translates to 'Digital,' while 'Gumanitar Fanlar' corresponds to 'Humanities.' This conveys the interdisciplinary nature of the field.",,False,,2026-04-07 01:08:18,,False,,False,,False,,False,"{
  ""translated_term"": ""Kodli Adabiyot Ilmi"",
  ""translation_rationale"": ""I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.""
}",llama3.1,2026-04-07T00:04:20.4403Z,1734646250.0,94052292.0,75.0,365291333.0,75.0,1253719455.0,stop,Kodli Adabiyot Ilmi,"I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.",[],
