language_code,language_name,language_family,has_missing_rationale,missing_rationale_services,has_mixed_script,mixed_script_services,has_romanization,romanization_services,has_script_disagreement,script_disagr_services,has_source_term,source_term_services,has_placeholder_term,placeholder_term_services,has_repetition_loop,repetition_loop_services,has_extreme_term_length,extreme_term_length_services,has_unicode_escape,unicode_escape_services,has_short_translation,short_translation_services,has_any_mixing,any_mixing_services,has_refusal_rationale,refusal_rationale_services,has_transliteration_rationale,transliteration_rationale_services,has_placeholder_rationale,placeholder_rationale_services,has_language_name_term,language_name_term_services,has_unexpected_rationale_language,unexpected_rationale_language_services,quality_flags,flag_count
ase,American Sign Language,Sign languages,False,,False,,False,,True,Llama;Qwen,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI,False,,False,,True,Llama;Mistral,True,Llama,True,Qwen,True,Llama,True,Mistral;OpenAI,True,Llama,False,,True,Mistral,True,Qwen,script_disagreement;source_term;extreme_term_length;unicode_escape;short_translation;any_mixing;refusal_rationale;transliteration_rationale;language_name_term;unexpected_rationale_language,10
zbl,Blissymbols,Artificial languages,True,Mistral,False,,True,Qwen,True,Llama;Qwen,True,Claude,False,,True,Mistral,False,,False,,True,DeepSeek;Gemma,True,Qwen,True,OpenAI,True,Gemini;Gemma;OpenAI,True,Gemini,False,,False,,missing_rationale;romanization;script_disagreement;source_term;repetition_loop;short_translation;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,10
kho,Khotanese,Indo-European languages,True,Gemma,True,Qwen,True,Gemma,True,DeepSeek;Mistral;OpenAI;Qwen,True,Claude,True,OpenAI,False,,False,,False,,False,,True,Gemma;Qwen,True,OpenAI,True,DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;mixed_script;romanization;script_disagreement;source_term;placeholder_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,10
hmd,Large Flowery Miao,Hmong-Mien languages,True,Gemma,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;OpenAI,False,,False,,True,DeepSeek;Gemini,False,,False,,True,Gemma,True,DeepSeek;Gemini;Gemma;OpenAI,True,Gemma,True,Gemini;OpenAI,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;extreme_term_length;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,10
unr,Mundari,Austro-Asiatic languages,True,Gemma;Llama,False,,True,Gemma,True,Claude;DeepSeek;OpenAI;Qwen,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemini,True,DeepSeek;Gemini;Gemma;OpenAI,True,Gemini,True,Gemma;Qwen,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale;language_name_term;unexpected_rationale_language,10
rhg,Rohingya,Indo-European languages,True,Gemma,True,Gemma,True,Gemma;Mistral,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI;Qwen,True,Claude,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,Claude;Mistral,True,Claude;Gemini;Gemma;OpenAI,True,Gemini,False,,True,Qwen,missing_rationale;mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,10
zh-classical,Classical Chinese,Sino-Tibetan languages,True,Llama,False,,True,Gemma,True,Gemma;Llama,False,,False,,False,,False,,True,Llama,True,Gemma,True,Gemma,True,Mistral,True,Gemma,False,,False,,True,DeepSeek;Gemini;Qwen,missing_rationale;romanization;script_disagreement;unicode_escape;short_translation;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,9
lis,Lisu,Sino-Tibetan languages,True,DeepSeek;Gemma;Llama;OpenAI,True,Gemini,True,Gemma;Mistral,True,Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Gemma;Mistral,False,,False,,False,,False,,False,,True,Gemini;Gemma;Mistral,True,Claude;Gemini;Gemma;OpenAI;Qwen,True,Claude;Gemini;Gemma;Qwen,True,OpenAI,False,,False,,missing_rationale;mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,9
rob,Tae',Austronesian languages,True,Gemma,True,Mistral,False,,True,Gemini;Mistral,True,Claude;DeepSeek;Gemini;Llama;Mistral;OpenAI,True,Claude,False,,False,,False,,False,,True,Mistral,True,DeepSeek;OpenAI;Qwen,True,Gemini;Gemma;OpenAI,False,,True,DeepSeek;Gemini;Gemma;Mistral,False,,missing_rationale;mixed_script;script_disagreement;source_term;placeholder_term;any_mixing;refusal_rationale;transliteration_rationale;language_name_term,9
yav,Yangben,Niger-Kordofanian languages,True,DeepSeek;Gemma,False,,False,,True,Llama;Mistral;Qwen,True,Claude;DeepSeek;OpenAI,False,,True,DeepSeek,False,,False,,False,,False,,True,DeepSeek,True,Claude;Gemini;Gemma,True,Gemini,True,Mistral,True,Qwen,missing_rationale;script_disagreement;source_term;repetition_loop;refusal_rationale;transliteration_rationale;placeholder_rationale;language_name_term;unexpected_rationale_language,9
bh,Bihari,Indo-European languages,False,,True,Llama;Qwen,True,Gemma;Llama,True,Gemma;Llama;Qwen,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama;Qwen,True,Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
brx,Boro,Sino-Tibetan languages,True,Mistral;OpenAI,True,Gemma;Mistral,True,Mistral,True,DeepSeek;Gemma;Llama;Mistral;Qwen,True,Mistral;Qwen,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,Gemini;Qwen,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI;Qwen,False,,False,,False,,missing_rationale;mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,8
ett,Etruscan,Language isolate,True,Gemma;OpenAI,False,,False,,True,DeepSeek;Gemma;Llama;OpenAI;Qwen,True,Claude,True,Claude;Gemini;Mistral,False,,False,,False,,False,,True,Gemini;Mistral,True,OpenAI;Qwen,True,DeepSeek;Mistral,True,DeepSeek,False,,False,,missing_rationale;script_disagreement;source_term;placeholder_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,8
kac,Kachin,Sino-Tibetan languages,True,Llama;Mistral;OpenAI,True,Gemma,True,Gemma,True,DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemini;Gemma;Mistral;OpenAI;Qwen,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,missing_rationale;mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,8
