language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
ab,Cultural Analytics,Акультуратә аналитика,Abkhaz,"{'translated_term': 'Акультуратә аналитика', 'translation_rationale': 'I used the provided suggestions from Google Translate and OpenAI, as they are commonly used terms in Abkhaz language. The term ""Акультуратә"" (Aku-kulturat) is a combination of two words: ""аҟ"" (a-) meaning ""of"" or ""relating to"", and ""кulturat"" (kulturat) meaning ""culture"". Adding the suffix ""-налистика"" (-analitika) to it, which is derived from the Greek word for analysis or study, forms a coherent term. The translation reflects the academic concept of Cultural Analytics in Abkhaz language.'}",llama3.2,2024-11-23T19:36:57.378391Z,20667687000,1110410833,176,5931000000,155,13108000000,stop,"[{'translated_term': 'Акультуратә аналитика', 'translation_rationale': 'I used the provided suggestions from Google Translate and OpenAI, as they are commonly used terms in Abkhaz language. The term ""Акультуратә"" (Aku-kulturat) is a combination of two words: ""аҟ"" (a-) meaning ""of"" or ""relating to"", and ""кulturat"" (kulturat) meaning ""culture"". Adding the suffix ""-налистика"" (-analitika) to it, which is derived from the Greek word for analysis or study, forms a coherent term. The translation reflects the academic concept of Cultural Analytics in Abkhaz language.'}]",Акультуратә аналитика,2025-05-31 21:15:56
aa,Cultural Analytics,,Afar,"{'translated_term': 'Qaadâ Makeelo', 'translation_rationale': 'I drew inspiration from Google Translate's suggestion ""Qaadâ Makeelo"" and adapted it, considering the cultural context of Afar language. The term ""Qaadâ"" roughly translates to ""analysis"" or ""evaluation"", while ""Makeelo"" means ""study"" or ""research"". This combination suggests a methodical approach to analyzing culture.'}",llama3.2,2024-11-23T19:37:08.042465Z,9524581958,41092458,162,1352000000,88,8127000000,stop,[],,2025-05-31 21:15:56
af,Cultural Analytics,,Afrikaans,"{'translated_term': 'Kultuur-Analise', 'translation_rationale': 'I chose ""Kultuur-Analise"" instead of Google Translate's or OpenAI's suggestion ""Kultuuranalise"" because in Afrikaans, the word ""kultuur"" is more commonly used to refer to culture, whereas ""cultuur"" has a slightly different connotation in English. Adding ""-Analise"" to the end makes it clear that it refers to the analysis of cultural data. This translation choice also attempts to preserve the original term's precision and nuance.'}",llama3.2,2024-11-23T19:37:20.303501Z,11221500542,36708875,164,915000000,121,10266000000,stop,[],,2025-05-31 21:15:56
ak,Cultural Analytics,,Akan,"{'translated_term': 'Amammerɛ Nsɛmhwehwɛmu', 'translation_rationale': 'Using both Google Translate and OpenAI API's suggestions, I combined elements of ""Amammerɛ"" (data/analysis) with ""Nsɛmhwehwɛmu"" (cultural/national/historical), to convey the concept of cultural analysis. The term is still not perfect, but it aims to capture the essence of Cultural Analytics in Akan language. Alternative suggestions could be ""Amammerɛ Nsɛna"" or simply ""Nsɛmhwehwɛmu"", which focus more on the national/historical aspect.'}",llama3.2,2024-11-23T19:37:37.386869Z,16036189875,42734791,177,1511000000,142,14478000000,stop,[],,2025-05-31 21:15:56
sq,Cultural Analytics,,Albanian,"{'translated_term': 'Analitika Kulturore e Shtarë', 'translation_rationale': 'I've modified OpenAI's suggestion ""Analitika Kulturore"" by adding the prefix ""e"" for ""e shtarë"" which is a common Albanian suffix indicating a broad or general category, to convey that it refers not just to analytical techniques but also to a comprehensive field of study. Google Translate's ""Analiza kulturore"" has been revised to better fit the nuances of the English term. The final result, ""Analitika Kulturore e Shtarë"", suggests a broad and multidisciplinary approach to cultural analysis.'}",llama3.2,2024-11-23T19:37:51.902501Z,13232002583,34012333,165,1455000000,143,11738000000,stop,[],,2025-05-31 21:15:56
am,Cultural Analytics,᪰ዂᇲ ሩᇔኣሩሷ,Amharic,"{""translated_term"": ""\u1ab0\u12c2\u11f2 \u1229\u11d4\u12a3\u1229\u1237"", ""translation_rationale"": ""I combined elements from both suggestions to create a term that reflects the essence of Cultural Analytics in Amharic. The phrase &quot;የባህል ትንታኔ&quot; by Google Translate, which literally translates to &quot;the study of culture&quot;, serves as a foundation for my translation. I added the suffix '\u1237', which is commonly used in Amharic to indicate a field or discipline (e.g., የጥራት \ንቻልት, &quot;the study of law&quot;). This suffix implies that the term 'Cultural Analytics' is a specific area of study or analysis within culture. The OpenAI API's suggestion '\u1a9c\u125b\u1227\u1237', which translates to '\u1ab0\u12c2\u11f2 \u12ad\u1237', was not fully satisfactory, as it only partially captures the essence of Cultural Analytics. By incorporating the prefix '\u1ab0\u12c2\u11f2' (የባህል), I aimed to provide a more comprehensive and accurate translation."", ""alternative_translations"": [""\u1ab0\u12c2\u11f2 \u1229\u1237"", ""\u1a9c\u125b\u1227 \u1237""]}",llama3.2,2024-11-23T19:38:26.578315Z,33636722791,36279083,202,1780000000,358,31816000000,stop,"[{'translated_term': '᪰ዂᇲ ሩᇔኣሩሷ', 'translation_rationale': ""I combined elements from both suggestions to create a term that reflects the essence of Cultural Analytics in Amharic. The phrase &quot;የባህል ትንታኔ&quot; by Google Translate, which literally translates to &quot;the study of culture&quot;, serves as a foundation for my translation. I added the suffix 'ሷ', which is commonly used in Amharic to indicate a field or discipline (e.g., የጥራት \\ንቻልት, &quot;the study of law&quot;). This suffix implies that the term 'Cultural Analytics' is a specific area of study or analysis within culture. The OpenAI API's suggestion '\u1a9cቛሧሷ', which translates to '᪰ዂᇲ ክሷ', was not fully satisfactory, as it only partially captures the essence of Cultural Analytics. By incorporating the prefix '᪰ዂᇲ' (የባህል), I aimed to provide a more comprehensive and accurate translation."", 'alternative_translations': ['᪰ዂᇲ ሩሷ', '\u1a9cቛሧ ሷ']}]",᪰ዂᇲ ሩᇔኣሩሷ,2025-05-31 21:15:56
ar,Cultural Analytics,,Arabic,"{'translated_term': '\u0627\u0644\u0628\u0636\u0629 \ athqafiyyat }, 
'translation_rationale': '\u0627\u0644\u0628\u0636\u0629 \ u0644\u0628\u0629 \u0642\u064a \u0628\u0629 \u064c \u0645\u0627\u0628\u0629 \u0643\u0628\u0646\u0021. \u0645\u0634\u0644\u062f \u0639 \u0628\u0644\u062d\u064a\u0642\u06cc \u0628\u0627\u0628\u0644 \u062c \u0627\u0644\u062b\u0644\u0629 \u0623\u0645\u0642\u0627\u0633\u0629 \u0645\u0634\u0644\u062f \u0645\u0634\u0628\u0646 \u062e\u0641\u064a\u0644\u062b\u0629 \u0627\u0644\u062d\u064c\u0642\u0649. ', 
'alternative_translations': ['\u0627\u0644\u062b\u0644\u0629 \ u0636\u0644 \u0628\u0644\u062a\u0628\u0644\u0021', '\u0627\u0644\u062b\u0644\u0629 \ u0639 \u062e\u0644\u062f \u0627\u0644\u062d\u064c\u0642\u0649'], 
'note': 'The term &quot;التحليلات الثقافية&quot; is widely used in Arabic, but I chose to use &quot;\u0627\u0644\u062b\u0644\u0629 \ u0636\u0644 \u0628\u0644\u062a\u0628\u0644\u0021&quot; to reflect the original English term more accurately.'}",llama3.2,2024-11-23T19:39:08.530811Z,40887660750,42821459,180,1623000000,447,39216000000,stop,[],,2025-05-31 21:15:56
an,Cultural Analytics,Análise Culturala,Aragonese,"{'translated_term': 'Análisis de la Cultura', 'translation_rationale': 'I translated ""Cultural Analytics"" into Aragonese using the word ""análisis"", which means analysis, and ""de la cultura"", which means of culture. This combination is a direct translation of the original term.'}

Alternative: {'translated_term': 'Análise Culturala', 'translation_rationale': 'I also considered using the suffix ""-la"" instead of ""-si"" to make the term more similar to the Aragonese language structure. However, the first suggestion seems more accurate and natural in this context.'}",llama3.2,2024-11-23T19:39:22.171927Z,12571112542,32249500,149,1409000000,128,11124000000,stop,"[{'translated_term': 'Análisis de la Cultura', 'translation_rationale': 'I translated ""Cultural Analytics"" into Aragonese using the word ""análisis"", which means analysis, and ""de la cultura"", which means of culture. This combination is a direct translation of the original term.'}, {'translated_term': 'Análise Culturala', 'translation_rationale': 'I also considered using the suffix ""-la"" instead of ""-si"" to make the term more similar to the Aragonese language structure. However, the first suggestion seems more accurate and natural in this context.'}]",Análise Culturala,2025-05-31 21:15:56
hy,Cultural Analytics,,Armenian,"{'translated_term': 'Մշակութային վերլուծություն', 
 'translation_rationale': 'I used the provided suggestions as a starting point and refined them to better fit the Armenian language. The term ""Մշակութային վերլուծություն"" is a direct translation of ""Cultural Analytics"". However, in Armenian, the term ""Մշակութա"" (mshakutya) more accurately conveys the meaning of ""culture"", and ""վերլուծություն"" (verlumeutyan) means ""analysis"". Therefore, combining these two words results in a more precise translation. The suggested term is preferred because it accurately conveys the meaning of Cultural Analytics and has a natural flow in Armenian.', 
 'alternative_translation': 'Կելհակային վերլուծություն' (kelharakan verlumeutyan) could also be used, as it incorporates the prefix ""Կել"" (kel), which is commonly used in Armenian to indicate a field of study. However, this term might not be as widely recognized or used in academic contexts.', 
 'notes': 'The translation of Cultural Analytics into Armenian requires careful consideration of cultural and linguistic nuances. The provided suggestions are just a starting point, and the final translation should be refined based on the specific context in which it will be used.'}",llama3.2,2024-11-23T19:40:01.321684Z,38072339250,47998083,244,2584000000,420,35438000000,stop,[],,2025-05-31 21:15:56
as,Cultural Analytics,आंज् मरपितक़,Assamese,"{'translated_term': '\u0906\u0902\u091C\u094d \u092e\u0930\u092a\u093f\u0924\u0958', 'translation_rationale': 'I have translated ""Cultural Analytics"" into Assamese by using the term \u0906\u0902\u091C\u094d (sankritik) which means culture, and \u092e\u0930\u092a\u093f (\u0924\u0958) which is a suffix often used to indicate analysis or study. The resulting phrase \u0906\u0902\u091C\u094d \u092e\u0930\u092a\u093f (\u0924\u0958) roughly translates to cultural analysis or cultural study.', 'translation_alternatives': ['\u0906\u0902\u091C\u094d \u092e\u0930\u092a\u093f', '\u0906\u0902\u091C\u094d \u092e\u0930\u0924\u0958']}",llama3.2,2024-11-23T19:40:21.752329Z,19357413625,40147875,204,1885000000,224,17426000000,stop,"[{'translated_term': 'आंज् मरपितक़', 'translation_rationale': 'I have translated ""Cultural Analytics"" into Assamese by using the term आंज् (sankritik) which means culture, and मरपि (तक़) which is a suffix often used to indicate analysis or study. The resulting phrase आंज् मरपि (तक़) roughly translates to cultural analysis or cultural study.', 'translation_alternatives': ['आंज् मरपि', 'आंज् मरतक़']}]",आंज् मरपितक़,2025-05-31 21:15:56
