agreement_score,best_candidate,variant_distribution,unique_translations,total_variants,variants_with_data,above_threshold,term_source,language_code,language_name,variants_loaded,minimal_term,comparative_term,expert_persona_term,contextual_term,native_rationale_term
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,zh-yue,Cantonese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,zh-tw,Traditional Chinese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,zh-min-nan,Minnan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,zh-classical,Classical Chinese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,xmf,Megrelian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,xal,Kalmyk,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,war,Waray / Samar-Leyte Visayan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,vls,West Flemish,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,vec,Venetian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,uz_AF,Uzbeki Afghanistan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,udm,Udmurt,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tum,Tumbuka,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tpi,Tok Pisin,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tokipona,tokipona,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tlh,Klingon,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tet,Tetum,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,sco,Scots,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,scn,Sicilian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,roa-rup,Aromanian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,rmy,Romani,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
