language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
aa,Public History,Ayyunti Aydaadu,Afar,,,
ab,Public History,Ауаажәларратә ҭоурых,Abkhaz,,,
ae,Public History,,Avestan,,,
af,Public History,Openbare Geskiedenis,Afrikaans,,,
ak,Public History,Ɔmanfo Abakɔsɛm,Akan,,,
am,Public History,የህዝብ ታሪክ,Amharic,,,
an,Public History,,Aragonese,,,
ar,Public History,التاريخ العام,Arabic,,,
as,Public History,ৰাজহুৱা ইতিহাস,Assamese,,,
av,Public History,ЖамгӀияб тарих,Avaric,,,
ay,Public History,Historia Pública uka tuqita,Aymara,,,
az,Public History,İctimai Tarix,Azerbaijani,,,
ba,Public History,Йәмәғәт тарихы,Bashkir,,,
be,Public History,Публічная гісторыя,Belarusian,,,
bg,Public History,Публична история,Bulgarian,,,
bh,Public History,सार्वजनिक इतिहास के बारे में बतावल गइल बा,Bihari,,,
bi,Public History,,Bislama,,,
bm,Public History,Foroba tariku,Bambara,,,
bn,Public History,জনসাধারণের ইতিহাস,Bengali,,,
bo,Public History,སྤྱི་པའི་ལོ་རྒྱུས།,Tibetan,,,
br,Public History,Istor foran,Breton,,,
bs,Public History,Javna historija,Bosnian,,,
ca,Public History,Història pública,Catalan; Valencian,,,
ce,Public History,Къоман истори,Chechen,,,
ch,Public History,Estoria Pupbliku,Chamorro,,,
co,Public History,Storia publica,Corsican,,,
cr,Public History,,Cree,,,
cs,Public History,Veřejná historie,Czech,,,
cu,Public History,,Old Church Slavonic,,,
cv,Public History,Обществӑлла истори,Chuvash,,,
cy,Public History,Hanes Cyhoeddus,Welsh,,,
da,Public History,Offentlig historie,Danish,,,
de,Public History,Öffentliche Geschichte,German,,,
dv,Public History,ޕަބްލިކް ހީސްޓްރީ,Divehi; Maldivian;,,,
dz,Public History,སྤྱི་པའི་ལོ་རྒྱུས།,Dzongkha,,,
ee,Public History,Dutoƒo Ŋutinya,Ewe,,,
el,Public History,Δημόσια Ιστορία,"Greek, Modern",,,
en,Public History,Public History,English,,,
eo,Public History,Publika Historio,Esperanto,,,
es,Public History,Historia pública,Spanish; Castilian,,,
et,Public History,Avalik ajalugu,Estonian,,,
eu,Public History,Historia Publikoa,Basque,,,
fa,Public History,تاریخ عمومی,Persian,,,
ff,Public History,Daartol renndo,Fula,,,
fi,Public History,Julkinen historia,Finnish,,,
fj,Public History,iTukutuku Makawa ni Lewenivanua,Fijian,,,
fo,Public History,Almenn søga,Faroese,,,
fr,Public History,Histoire publique,French,,,
fy,Public History,Iepenbiere skiednis,Western Frisian,,,
ga,Public History,Stair Phoiblí,Irish,,,
gd,Public History,Eachdraidh Phoblach,Scottish Gaelic,,,
gl,Public History,Historia pública,Galician,,,
gn,Public History,Tembiasakue Público rehegua,Guaraní,,,
gu,Public History,જાહેર ઇતિહાસ,Gujarati,,,
gv,Public History,Tashtey Pobblagh,Manx,,,
ha,Public History,Tarihin Jama&#39;a,Hausa,,,
he,Public History,היסטוריה ציבורית,Hebrew (modern),,,
hi,Public History,सार्वजनिक इतिहास,Hindi,,,
ho,Public History,,Hiri Motu,,,
hr,Public History,Javna povijest,Croatian,,,
ht,Public History,Istwa Piblik,Haitian,,,
hu,Public History,Köztörténet,Hungarian,,,
hy,Public History,Հանրային պատմություն,Armenian,,,
hz,Public History,,Herero,,,
ia,Public History,,Interlingua,,,
id,Public History,Sejarah Publik,Indonesian,,,
ie,Public History,,Interlingue,,,
ig,Public History,Akụkọ Ọha,Igbo,,,
ii,Public History,,Nuosu,,,
ik,Public History,,Inupiaq,,,
io,Public History,,Ido,,,
is,Public History,Opinber saga,Icelandic,,,
it,Public History,Storia pubblica,Italian,,,
iu,Public History,ᑭᒃᑯᑐᐃᓐᓇᕐᓄᑦ ᖃᓄᐃᓕᐅᕈᑕᐅᖃᑦᑕᖅᓯᒪᔪᑦ,Inuktitut,,,
ja,Public History,公共史,Japanese,,,
jv,Public History,Sejarah Umum,Javanese,,,
ka,Public History,საჯარო ისტორია,Georgian,,,
kg,Public History,Disolo ya bantu yonso,Kongo,,,
ki,Public History,,"Kikuyu, Gikuyu",,,
kj,Public History,,"Kwanyama, Kuanyama",,,
kk,Public History,Қоғамдық тарих,Kazakh,,,
kl,Public History,Oqaluttuarisaarneq Oqaluttuarisaaneq,Kalaallisut,,,
km,Public History,ប្រវត្តិសាស្រ្តសាធារណៈ,Khmer,,,
kn,Public History,ಸಾರ್ವಜನಿಕ ಇತಿಹಾಸ,Kannada,,,
ko,Public History,공공 역사,Korean,,,
kr,Public History,Gargam Jamabe,Kanuri,,,
ks,Public History,,Kashmiri,,,
ku,Public History,Dîroka Giştî,Kurdish,,,
kv,Public History,Общественнӧй история .,Komi,,,
kw,Public History,,Cornish,,,
ky,Public History,Коомдук тарых,"Kirghiz, Kyrgyz",,,
la,Public History,Historia Publica,Latin,,,
lb,Public History,Ëffentlech Geschicht,Luxembourgish,,,
lg,Public History,Ebyafaayo by’olukale,Luganda,,,
li,Public History,Openbare gesjiedenis,Limburgish,,,
ln,Public History,Lisolo ya bato nyonso,Lingala,,,
lo,Public History,ປະຫວັດສາດສາທາລະນະ,Lao,,,
lt,Public History,Viešoji istorija,Lithuanian,,,
lu,Public History,,Luba-Katanga,,,
lv,Public History,Publiskā vēsture,Latvian,,,
mg,Public History,Tantaram-bahoaka,Malagasy,,,
mh,Public History,Bwebwenato ko an armij,Marshallese,,,
mi,Public History,Hītori Tūmatanui,Māori,,,
mk,Public History,Јавна историја,Macedonian,,,
ml,Public History,പൊതു ചരിത്രം,Malayalam,,,
mn,Public History,Нийтийн түүх,Mongolian,,,
mr,Public History,सार्वजनिक इतिहास,Marathi (Marāṭhī),,,
ms,Public History,Sejarah Awam,Malay,,,
mt,Public History,Storja Pubblika,Maltese,,,
my,Public History,လူထုသမိုင်း,Burmese,,,
na,Public History,,Nauru,,,
nb,Public History,Offentlig historie,Norwegian Bokmål,,,
nd,Public History,,North Ndebele,,,
ne,Public History,सार्वजनिक इतिहास,Nepali,,,
ng,Public History,,Ndonga,,,
nl,Public History,Publieke geschiedenis,Dutch,,,
nn,Public History,,Norwegian Nynorsk,,,
no,Public History,Offentlig historie,Norwegian,,,
nr,Public History,Umlando womphakathi,South Ndebele,,,
nv,Public History,,"Navajo, Navaho",,,
ny,Public History,Mbiri Yambiri,Chichewa; Chewa; Nyanja,,,
oc,Public History,Istòria publica,Occitan,,,
oj,Public History,,"Ojibwe, Ojibwa",,,
om,Public History,Seenaa Ummataa,Oromo,,,
or,Public History,ସାର୍ବଜନୀନ ଇତିହାସ,Oriya,,,
os,Public History,Æхсæнадон истори,"Ossetian, Ossetic",,,
pa,Public History,ਜਨਤਕ ਇਤਿਹਾਸ,"Panjabi, Punjabi",,,
pi,Public History,,Pāli,,,
pl,Public History,Historia publiczna,Polish,,,
ps,Public History,عامه تاریخ,"Pashto, Pushto",,,
pt,Public History,História Pública,Portuguese,,,
qu,Public History,Historia Pública nisqamanta,Quechua,,,
